ID;Geslacht;Persoonskenmerken;Perioden;Sportdeelname_1;TotaalSolosporten_2;Atletiek_3;Autosport_4;Fitness_5;Golf_6;Gymnastiek_7;Paardrijden_8;Schaatsen_9;Skaten_10;Wielrennen_11;Trimmen_12;Wandelsport_13;Zeilen_14;Zwemmen_15;TotaalDuosporten_16;Badminton_17;Squash_18;Tafeltennis_19;Tennis_20;Vechtsport_21;TotaalTeamsporten_22;Basketbal_23;Handbal_24;Hockey_25;Korfbal_26;Honkbal_27;Veldvoetbal_28;Volleybal_29;Zaalvoetbal_30;OverigeSporten_31;TotaleBevolking_32;SportendeBevolking_33;TotaleBevolking_34;SportendeBevolking_35;TotaleBevolking_36;SportendeBevolking_37;TotaleBevolking_38;SportendeBevolking_39;ToeschouwerSportwedstrijden_40;ToeschouwerBetaaldVoetbal_41;WekelijksVolgenSportRadioTelevisie_42
0;1100;Totaal personen;1991;65.0;53.0;;1.0;9.0;1.0;7.0;3.0;13.0;;10.0;14.0;8.0;7.0;32.0;19.0;7.0;;3.0;10.0;2.0;18.0;1.0;1.0;2.0;1.0;1.0;9.0;5.0;3.0;10.0;36.0;51.0;30.0;46.0;1.7;2.6;;;32.0;9.0;48.0
1;1100;Totaal personen;1995;66.0;55.0;1.0;1.0;11.0;1.0;6.0;3.0;7.0;;9.0;15.0;8.0;8.0;35.0;19.0;5.0;3.0;3.0;10.0;3.0;18.0;2.0;1.0;2.0;1.0;1.0;10.0;5.0;4.0;8.0;35.0;50.0;27.0;41.0;1.6;2.5;;;30.0;10.0;49.0
2;1100;Totaal personen;1999;67.0;56.0;1.0;2.0;13.0;2.0;6.0;3.0;6.0;11.0;8.0;15.0;11.0;6.0;32.0;18.0;5.0;3.0;4.0;9.0;3.0;17.0;2.0;1.0;1.0;1.0;;9.0;4.0;4.0;11.0;35.0;48.0;24.0;36.0;1.7;2.6;;;30.0;10.0;44.0
3;1100;Totaal personen;2003;71.0;61.0;1.0;2.0;17.0;3.0;5.0;4.0;9.0;10.0;12.0;19.0;14.0;8.0;37.0;21.0;7.0;3.0;5.0;11.0;3.0;18.0;3.0;1.0;2.0;1.0;1.0;11.0;4.0;5.0;9.0;34.0;47.0;28.0;40.0;2.1;2.9;33.0;47.0;34.0;12.0;48.0
4;1100;Totaal personen;2007;76.0;65.0;2.0;2.0;22.0;4.0;6.0;4.0;6.0;8.0;18.0;22.0;15.0;7.0;35.0;19.0;6.0;3.0;5.0;10.0;4.0;20.0;3.0;2.0;3.0;2.0;2.0;13.0;5.0;6.0;7.0;33.0;44.0;29.0;38.0;2.2;2.9;36.0;48.0;33.0;13.0;41.0
5;1100;13;1991;88.0;72.0;;0.0;4.0;1.0;19.0;8.0;25.0;;7.0;8.0;5.0;11.0;57.0;31.0;11.0;;8.0;14.0;7.0;38.0;4.0;2.0;5.0;3.0;3.0;24.0;6.0;4.0;10.0;62.0;69.0;62.0;70.0;2.7;3.0;;;43.0;10.0;35.0
6;1100;13;1995;88.0;72.0;3.0;1.0;5.0;1.0;17.0;9.0;14.0;;7.0;9.0;5.0;11.0;59.0;31.0;11.0;1.0;9.0;13.0;9.0;40.0;6.0;3.0;5.0;4.0;3.0;28.0;6.0;6.0;9.0;60.0;67.0;56.0;63.0;2.5;2.9;;;40.0;11.0;41.0
7;1100;13;1999;90.0;74.0;2.0;1.0;6.0;1.0;18.0;9.0;12.0;32.0;6.0;9.0;6.0;9.0;56.0;30.0;12.0;2.0;11.0;11.0;9.0;40.0;6.0;3.0;4.0;4.0;;28.0;6.0;8.0;14.0;60.0;66.0;54.0;60.0;2.9;3.3;;;43.0;13.0;31.0
8;1100;13;2003;92.0;79.0;5.0;1.0;10.0;2.0;20.0;11.0;19.0;29.0;10.0;13.0;7.0;12.0;63.0;39.0;18.0;2.0;16.0;16.0;9.0;47.0;11.0;5.0;9.0;4.0;5.0;33.0;9.0;12.0;13.0;63.0;68.0;63.0;68.0;3.7;4.0;58.0;63.0;46.0;17.0;
9;1100;13;2007;94.0;79.0;6.0;2.0;9.0;3.0;21.0;9.0;14.0;22.0;22.0;14.0;4.0;11.0;63.0;38.0;16.0;2.0;16.0;15.0;10.0;55.0;14.0;6.0;11.0;7.0;7.0;40.0;10.0;15.0;11.0;61.0;64.0;62.0;66.0;3.8;4.1;58.0;62.0;43.0;17.0;28.0
10;1100;14;1991;80.0;65.0;;2.0;20.0;1.0;3.0;5.0;18.0;;19.0;14.0;5.0;13.0;39.0;26.0;9.0;;5.0;12.0;5.0;32.0;3.0;1.0;3.0;2.0;2.0;16.0;11.0;7.0;14.0;43.0;52.0;43.0;54.0;2.4;3.0;;;44.0;17.0;47.0
11;1100;14;1995;76.0;60.0;1.0;2.0;24.0;1.0;2.0;5.0;9.0;;16.0;13.0;6.0;11.0;37.0;26.0;6.0;9.0;5.0;11.0;4.0;29.0;3.0;2.0;2.0;1.0;1.0;15.0;8.0;8.0;11.0;42.0;53.0;37.0;49.0;2.1;2.8;;;40.0;18.0;47.0
12;1100;14;1999;81.0;65.0;1.0;3.0;27.0;2.0;2.0;5.0;7.0;15.0;14.0;9.0;7.0;8.0;35.0;23.0;6.0;6.0;6.0;10.0;4.0;31.0;3.0;2.0;2.0;2.0;;17.0;8.0;9.0;13.0;42.0;51.0;35.0;43.0;2.3;2.8;;;42.0;18.0;42.0
13;1100;14;2003;80.0;69.0;2.0;3.0;32.0;3.0;2.0;5.0;10.0;14.0;20.0;14.0;9.0;10.0;45.0;30.0;8.0;8.0;10.0;13.0;6.0;33.0;7.0;2.0;3.0;2.0;2.0;21.0;7.0;11.0;9.0;39.0;48.0;38.0;47.0;2.8;3.5;40.0;51.0;41.0;17.0;42.0
14;1100;14;2007;88.0;77.0;2.0;4.0;40.0;4.0;2.0;7.0;10.0;13.0;36.0;18.0;6.0;12.0;46.0;29.0;10.0;7.0;12.0;13.0;4.0;37.0;7.0;2.0;5.0;3.0;2.0;27.0;8.0;14.0;9.0;40.0;45.0;43.0;48.0;3.2;3.7;45.0;51.0;48.0;20.0;39.0
15;1100;Leeftijd: 25 tot 35 jaar;1991;77.0;64.0;;2.0;18.0;1.0;3.0;2.0;15.0;;17.0;17.0;8.0;10.0;38.0;21.0;9.0;;2.0;10.0;2.0;23.0;1.0;1.0;1.0;1.0;1.0;10.0;9.0;6.0;13.0;39.0;48.0;34.0;44.0;2.0;2.7;;;34.0;11.0;46.0
16;1100;Leeftijd: 25 tot 35 jaar;1995;75.0;62.0;1.0;3.0;21.0;2.0;2.0;3.0;7.0;;15.0;16.0;7.0;11.0;38.0;24.0;5.0;9.0;2.0;13.0;2.0;21.0;1.0;1.0;2.0;1.0;1.0;10.0;6.0;6.0;9.0;39.0;50.0;31.0;42.0;1.9;2.6;;;33.0;14.0;49.0
17;1100;Leeftijd: 25 tot 35 jaar;1999;75.0;63.0;1.0;3.0;21.0;2.0;1.0;3.0;5.0;13.0;13.0;16.0;9.0;9.0;35.0;23.0;4.0;9.0;2.0;10.0;3.0;19.0;1.0;1.0;1.0;1.0;;9.0;5.0;6.0;11.0;33.0;42.0;25.0;34.0;2.0;2.6;;;32.0;15.0;38.0
18;1100;Leeftijd: 25 tot 35 jaar;2003;79.0;68.0;0.0;4.0;28.0;4.0;1.0;4.0;8.0;12.0;18.0;22.0;13.0;9.0;38.0;24.0;6.0;9.0;4.0;11.0;2.0;22.0;2.0;0.0;2.0;1.0;1.0;11.0;5.0;8.0;10.0;35.0;44.0;31.0;40.0;2.3;2.9;36.0;45.0;36.0;18.0;41.0
19;1100;Leeftijd: 25 tot 35 jaar;2007;81.0;72.0;0.0;2.0;34.0;4.0;1.0;4.0;4.0;8.0;25.0;20.0;10.0;9.0;37.0;22.0;3.0;8.0;4.0;10.0;6.0;21.0;1.0;1.0;1.0;1.0;1.0;11.0;5.0;7.0;7.0;36.0;44.0;29.0;35.0;2.3;2.8;35.0;43.0;32.0;15.0;34.0
20;1100;Leeftijd: 35 tot 45 jaar;1991;69.0;57.0;;1.0;11.0;2.0;4.0;2.0;14.0;;13.0;17.0;8.0;7.0;32.0;22.0;8.0;;2.0;14.0;1.0;16.0;0.0;1.0;1.0;0.0;0.0;7.0;6.0;4.0;10.0;39.0;52.0;28.0;41.0;1.7;2.4;;;37.0;9.0;50.0
21;1100;Leeftijd: 35 tot 45 jaar;1995;70.0;60.0;1.0;2.0;14.0;2.0;3.0;2.0;7.0;;13.0;18.0;10.0;7.0;39.0;22.0;7.0;3.0;3.0;12.0;1.0;14.0;1.0;1.0;1.0;1.0;0.0;6.0;5.0;3.0;6.0;35.0;46.0;24.0;34.0;1.7;2.4;;;34.0;10.0;50.0
22;1100;Leeftijd: 35 tot 45 jaar;1999;69.0;59.0;1.0;2.0;16.0;2.0;2.0;2.0;5.0;8.0;12.0;16.0;11.0;6.0;33.0;18.0;6.0;3.0;2.0;9.0;1.0;14.0;0.0;1.0;1.0;1.0;;6.0;5.0;3.0;10.0;32.0;43.0;20.0;28.0;1.6;2.4;;;34.0;10.0;44.0
23;1100;Leeftijd: 35 tot 45 jaar;2003;77.0;68.0;1.0;2.0;20.0;3.0;1.0;3.0;10.0;9.0;17.0;23.0;15.0;8.0;41.0;21.0;6.0;4.0;3.0;12.0;1.0;14.0;1.0;0.0;1.0;1.0;0.0;8.0;4.0;4.0;8.0;33.0;41.0;26.0;35.0;2.1;2.7;30.0;40.0;41.0;13.0;43.0
24;1100;Leeftijd: 35 tot 45 jaar;2007;79.0;69.0;1.0;2.0;26.0;4.0;1.0;4.0;6.0;6.0;21.0;23.0;16.0;7.0;37.0;18.0;5.0;4.0;3.0;9.0;2.0;15.0;1.0;1.0;2.0;1.0;0.0;8.0;4.0;3.0;7.0;32.0;39.0;23.0;29.0;2.0;2.6;30.0;38.0;37.0;15.0;39.0
25;1100;Leeftijd: 45 tot 55 jaar;1991;56.0;45.0;;0.0;4.0;1.0;5.0;1.0;8.0;;8.0;16.0;10.0;5.0;22.0;16.0;4.0;;2.0;11.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;1.0;8.0;29.0;45.0;18.0;33.0;1.2;2.1;;;34.0;9.0;53.0
26;1100;Leeftijd: 45 tot 55 jaar;1995;60.0;51.0;1.0;1.0;8.0;2.0;4.0;1.0;6.0;;8.0;20.0;11.0;6.0;26.0;15.0;3.0;1.0;2.0;11.0;0.0;7.0;0.0;0.0;1.0;0.0;0.0;3.0;3.0;1.0;7.0;29.0;44.0;17.0;29.0;1.2;2.1;;;28.0;7.0;55.0
27;1100;Leeftijd: 45 tot 55 jaar;1999;61.0;52.0;1.0;1.0;11.0;1.0;4.0;1.0;5.0;3.0;7.0;20.0;15.0;5.0;23.0;14.0;4.0;1.0;2.0;9.0;0.0;7.0;0.0;0.0;0.0;0.0;;2.0;3.0;1.0;11.0;28.0;41.0;15.0;24.0;1.3;2.1;;;27.0;9.0;48.0
28;1100;Leeftijd: 45 tot 55 jaar;2003;67.0;58.0;1.0;1.0;16.0;3.0;3.0;1.0;6.0;3.0;10.0;23.0;21.0;6.0;28.0;16.0;4.0;2.0;3.0;10.0;1.0;9.0;0.0;0.0;1.0;0.0;1.0;4.0;3.0;1.0;6.0;27.0;39.0;18.0;26.0;1.6;2.4;28.0;42.0;34.0;10.0;46.0
29;1100;Leeftijd: 45 tot 55 jaar;2007;74.0;64.0;1.0;2.0;23.0;5.0;2.0;1.0;4.0;4.0;17.0;28.0;23.0;7.0;30.0;16.0;4.0;2.0;3.0;10.0;1.0;11.0;1.0;1.0;1.0;0.0;0.0;4.0;4.0;2.0;7.0;28.0;37.0;21.0;28.0;1.9;2.5;34.0;46.0;38.0;12.0;44.0
30;1100;Leeftijd: 55 tot 65 jaar;1991;45.0;38.0;;0.0;1.0;1.0;6.0;0.0;3.0;;2.0;17.0;11.0;2.0;19.0;7.0;2.0;;1.0;6.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;9.0;21.0;37.0;9.0;20.0;0.8;1.9;;;21.0;5.0;57.0
31;1100;Leeftijd: 55 tot 65 jaar;1995;52.0;45.0;0.0;0.0;3.0;1.0;6.0;1.0;3.0;;4.0;22.0;12.0;4.0;23.0;7.0;1.0;0.0;0.0;6.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;8.0;21.0;35.0;11.0;20.0;1.0;1.9;;;21.0;5.0;58.0
32;1100;Leeftijd: 55 tot 65 jaar;1999;56.0;48.0;0.0;0.0;7.0;3.0;6.0;1.0;2.0;1.0;4.0;22.0;17.0;3.0;21.0;10.0;2.0;0.0;1.0;8.0;0.0;5.0;0.0;0.0;0.0;0.0;;2.0;2.0;1.0;10.0;26.0;39.0;10.0;18.0;1.2;2.1;;;19.0;5.0;54.0
33;1100;Leeftijd: 55 tot 65 jaar;2003;64.0;56.0;1.0;1.0;10.0;4.0;4.0;1.0;4.0;1.0;6.0;26.0;23.0;5.0;25.0;14.0;3.0;0.0;1.0;10.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0;9.0;27.0;37.0;14.0;22.0;1.4;2.2;25.0;41.0;25.0;7.0;55.0
34;1100;Leeftijd: 55 tot 65 jaar;2007;69.0;62.0;1.0;2.0;19.0;5.0;4.0;1.0;2.0;1.0;7.0;31.0;28.0;5.0;19.0;9.0;2.0;0.0;1.0;7.0;1.0;5.0;0.0;0.0;1.0;0.0;0.0;2.0;2.0;0.0;5.0;24.0;35.0;16.0;23.0;1.5;2.1;33.0;48.0;26.0;8.0;53.0
35;1100;Leeftijd: 65 jaar of ouder;1991;27.0;23.0;;0.0;0.0;0.0;5.0;0.0;1.0;;1.0;10.0;7.0;1.0;10.0;2.0;0.0;;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;9.0;20.0;3.0;11.0;0.4;1.6;;;8.0;2.0;51.0
36;1100;Leeftijd: 65 jaar of ouder;1995;30.0;25.0;0.0;0.0;1.0;1.0;6.0;0.0;1.0;;1.0;11.0;7.0;1.0;11.0;3.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;11.0;24.0;4.0;13.0;0.5;1.7;;;11.0;2.0;51.0
37;1100;Leeftijd: 65 jaar of ouder;1999;36.0;28.0;0.0;0.0;2.0;1.0;7.0;0.0;1.0;0.0;1.0;10.0;9.0;0.0;13.0;3.0;1.0;0.0;0.0;3.0;0.0;2.0;0.0;0.0;0.0;0.0;;0.0;1.0;0.0;11.0;14.0;32.0;4.0;11.0;0.6;1.7;;;10.0;2.0;54.0
38;1100;Leeftijd: 65 jaar of ouder;2003;37.0;30.0;0.0;0.0;3.0;2.0;6.0;1.0;1.0;0.0;1.0;12.0;11.0;2.0;14.0;4.0;1.0;0.0;1.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;6.0;13.0;30.0;6.0;16.0;0.7;1.8;14.0;42.0;14.0;3.0;51.0
39;1100;Leeftijd: 65 jaar of ouder;2007;47.0;37.0;1.0;0.0;8.0;2.0;8.0;1.0;1.0;0.0;2.0;20.0;15.0;1.0;15.0;5.0;1.0;0.0;1.0;5.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;6.0;13.0;27.0;8.0;18.0;0.9;1.9;18.0;41.0;16.0;4.0;52.0
40;1100;6030;1991;65.0;54.0;;1.0;8.0;1.0;7.0;3.0;13.0;;10.0;15.0;8.0;7.0;33.0;19.0;7.0;;3.0;10.0;2.0;18.0;1.0;1.0;2.0;1.0;1.0;9.0;6.0;3.0;10.0;37.0;52.0;30.0;46.0;1.7;2.6;;;33.0;9.0;48.0
41;1100;6030;1995;67.0;56.0;1.0;1.0;11.0;1.0;6.0;4.0;8.0;;10.0;16.0;8.0;8.0;36.0;19.0;5.0;3.0;3.0;10.0;2.0;18.0;2.0;1.0;2.0;1.0;1.0;9.0;5.0;4.0;8.0;36.0;51.0;28.0;41.0;1.7;2.5;;;31.0;10.0;50.0
42;1100;6030;1999;69.0;57.0;1.0;2.0;12.0;2.0;6.0;3.0;6.0;11.0;8.0;15.0;11.0;6.0;33.0;18.0;5.0;3.0;4.0;9.0;2.0;17.0;2.0;1.0;1.0;1.0;;9.0;4.0;4.0;12.0;36.0;48.0;25.0;36.0;1.8;2.6;;;31.0;11.0;44.0
43;1100;6030;2003;72.0;63.0;1.0;2.0;16.0;3.0;5.0;4.0;9.0;10.0;12.0;20.0;15.0;8.0;38.0;21.0;7.0;3.0;5.0;11.0;3.0;19.0;3.0;1.0;2.0;1.0;1.0;11.0;5.0;5.0;9.0;35.0;48.0;29.0;40.0;2.1;2.9;34.0;47.0;35.0;13.0;48.0
44;1100;6030;2007;77.0;66.0;1.0;2.0;21.0;4.0;6.0;4.0;6.0;8.0;18.0;25.0;16.0;8.0;36.0;19.0;6.0;3.0;5.0;10.0;3.0;19.0;3.0;2.0;3.0;2.0;1.0;12.0;5.0;5.0;7.0;35.0;46.0;30.0;39.0;2.2;2.9;38.0;49.0;36.0;14.0;43.0
45;1100;1100;1991;64.0;49.0;;1.0;12.0;1.0;7.0;2.0;9.0;;10.0;9.0;6.0;6.0;28.0;20.0;7.0;;3.0;9.0;4.0;19.0;2.0;0.0;2.0;1.0;2.0;10.0;4.0;3.0;12.0;32.0;48.0;29.0;46.0;1.6;2.5;;;29.0;9.0;46.0
46;1100;1100;1995;59.0;47.0;1.0;1.0;12.0;2.0;6.0;2.0;4.0;;9.0;8.0;6.0;7.0;30.0;19.0;4.0;3.0;4.0;8.0;5.0;18.0;2.0;1.0;2.0;1.0;1.0;12.0;3.0;4.0;7.0;30.0;47.0;23.0;39.0;1.5;2.4;;;27.0;8.0;45.0
47;1100;1100;1999;59.0;48.0;1.0;1.0;15.0;2.0;5.0;2.0;3.0;9.0;10.0;8.0;8.0;3.0;26.0;17.0;5.0;3.0;2.0;7.0;4.0;16.0;2.0;1.0;1.0;1.0;;10.0;4.0;4.0;9.0;29.0;44.0;19.0;32.0;1.5;2.5;;;25.0;9.0;41.0
48;1100;1100;2003;66.0;54.0;2.0;2.0;18.0;3.0;6.0;3.0;6.0;8.0;11.0;13.0;11.0;5.0;31.0;21.0;6.0;4.0;6.0;9.0;4.0;18.0;5.0;1.0;3.0;1.0;2.0;12.0;3.0;6.0;9.0;28.0;40.0;24.0;37.0;1.9;2.9;30.0;47.0;27.0;8.0;45.0
49;1100;1100;2007;73.0;60.0;3.0;1.0;23.0;4.0;7.0;3.0;4.0;5.0;18.0;12.0;10.0;5.0;34.0;19.0;5.0;3.0;6.0;9.0;6.0;22.0;5.0;2.0;3.0;2.0;3.0;16.0;5.0;8.0;8.0;27.0;37.0;23.0;31.0;2.1;2.9;30.0;41.0;23.0;7.0;35.0
50;1100;1102;1991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;1100;1102;1995;64.0;52.0;1.0;1.0;13.0;2.0;5.0;3.0;5.0;;9.0;12.0;9.0;9.0;32.0;22.0;5.0;4.0;3.0;11.0;4.0;16.0;2.0;0.0;3.0;1.0;1.0;8.0;3.0;3.0;9.0;33.0;49.0;25.0;39.0;1.6;2.5;;;29.0;9.0;45.0
52;1100;1102;1999;64.0;53.0;0.0;1.0;17.0;3.0;3.0;2.0;4.0;9.0;11.0;11.0;9.0;4.0;27.0;19.0;5.0;4.0;2.0;8.0;4.0;12.0;1.0;1.0;1.0;1.0;;6.0;4.0;3.0;12.0;33.0;46.0;21.0;32.0;1.5;2.4;;;24.0;9.0;39.0
53;1100;1102;2003;71.0;60.0;1.0;2.0;19.0;4.0;6.0;4.0;7.0;9.0;11.0;19.0;17.0;7.0;35.0;24.0;7.0;5.0;6.0;12.0;4.0;14.0;3.0;1.0;3.0;1.0;1.0;8.0;2.0;4.0;10.0;31.0;42.0;24.0;34.0;2.1;2.9;32.0;46.0;28.0;9.0;43.0
54;1100;1102;2007;76.0;63.0;2.0;1.0;23.0;6.0;5.0;2.0;5.0;6.0;18.0;18.0;17.0;6.0;32.0;19.0;6.0;3.0;5.0;10.0;4.0;16.0;3.0;1.0;3.0;1.0;2.0;11.0;3.0;4.0;10.0;28.0;38.0;22.0;30.0;2.1;2.7;31.0;41.0;30.0;11.0;36.0
55;1100;1101;1991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;1100;1101;1995;53.0;41.0;2.0;1.0;12.0;1.0;7.0;1.0;2.0;;8.0;2.0;3.0;4.0;29.0;15.0;3.0;2.0;5.0;5.0;5.0;21.0;3.0;1.0;0.0;0.0;2.0;17.0;3.0;6.0;3.0;26.0;45.0;21.0;39.0;1.3;2.4;;;25.0;6.0;44.0
57;1100;1101;1999;54.0;43.0;1.0;1.0;13.0;1.0;7.0;2.0;1.0;9.0;7.0;5.0;6.0;3.0;25.0;14.0;5.0;2.0;2.0;6.0;4.0;20.0;3.0;1.0;2.0;1.0;;15.0;4.0;6.0;6.0;24.0;42.0;17.0;32.0;1.4;2.6;;;25.0;8.0;44.0
58;1100;1101;2003;59.0;46.0;3.0;1.0;16.0;1.0;7.0;2.0;4.0;7.0;10.0;5.0;5.0;3.0;27.0;16.0;5.0;1.0;6.0;6.0;5.0;24.0;6.0;1.0;2.0;1.0;3.0;16.0;4.0;7.0;7.0;23.0;37.0;24.0;41.0;1.6;2.8;27.0;48.0;25.0;7.0;49.0
59;1100;1101;2007;71.0;58.0;3.0;1.0;23.0;2.0;8.0;3.0;4.0;4.0;18.0;6.0;4.0;4.0;35.0;19.0;5.0;3.0;7.0;8.0;8.0;27.0;8.0;2.0;3.0;3.0;4.0;20.0;7.0;11.0;6.0;26.0;36.0;23.0;33.0;2.1;3.0;30.0;42.0;18.0;4.0;35.0
60;1100;21;1991;49.0;39.0;;1.0;7.0;0.0;4.0;1.0;6.0;;6.0;11.0;6.0;2.0;21.0;11.0;4.0;;1.0;6.0;1.0;10.0;0.0;1.0;0.0;0.0;0.0;5.0;3.0;3.0;8.0;25.0;43.0;17.0;35.0;1.0;2.0;;;28.0;8.0;53.0
61;1100;21;1995;49.0;40.0;0.0;1.0;7.0;0.0;4.0;1.0;3.0;;5.0;13.0;6.0;3.0;23.0;9.0;2.0;1.0;1.0;5.0;1.0;9.0;0.0;0.0;0.0;0.0;0.0;5.0;2.0;2.0;7.0;23.0;41.0;14.0;29.0;1.0;2.0;;;25.0;7.0;53.0
