ID;LeeftijdReferentiepersoon;Perioden;TotaalParen_1;GeenKinderen_2;k_1Kind_3;k_2Kinderen_4;k_3OfMeerKinderen_5;TotaalEenouderhuishoudens_6;k_1Kind_7;k_2Kinderen_8;k_3OfMeerKinderen_9
0;Totaal leeftijden (15 jaar of ouder);2011;4193302;2148246;745785;925779;373492;495175;298635;149968;46572
1;Totaal leeftijden (15 jaar of ouder);2012;4210442;2170990;748152;921047;370253;502841;303202;152615;47024
2;Totaal leeftijden (15 jaar of ouder);2013;4227209;2192377;751691;916297;366844;510223;307745;155083;47395
3;Totaal leeftijden (15 jaar of ouder);2014;4243206;2214083;754426;911486;363211;516541;311579;157240;47722
4;Totaal leeftijden (15 jaar of ouder);2015;4258283;2235133;757223;906660;359267;522012;315111;159020;47881
5;Totaal leeftijden (15 jaar of ouder);2016;4272507;2255042;759226;902639;355600;526757;318022;160736;47999
6;Totaal leeftijden (15 jaar of ouder);2017;4285897;2273940;760926;899107;351924;530769;320420;162234;48115
7;Totaal leeftijden (15 jaar of ouder);2018;4298409;2291519;762042;896286;348562;534167;322483;163523;48161
8;Totaal leeftijden (15 jaar of ouder);2019;4310068;2307616;763102;893980;345370;537118;324190;164699;48229
9;Totaal leeftijden (15 jaar of ouder);2020;4320848;2320598;766192;892021;342037;540038;326299;165555;48184
10;Totaal leeftijden (15 jaar of ouder);2021;4330623;2332524;768446;890627;339026;542514;328158;166248;48108
11;Totaal leeftijden (15 jaar of ouder);2022;4339321;2343905;769211;889836;336369;544270;329439;166818;48013
12;Totaal leeftijden (15 jaar of ouder);2023;4346773;2354323;768696;889643;334111;545547;330425;167239;47883
13;Totaal leeftijden (15 jaar of ouder);2024;4352716;2363293;766888;890195;332340;546470;330914;167748;47808
14;Totaal leeftijden (15 jaar of ouder);2025;4356951;2370409;765093;890829;330620;547023;331247;168052;47724
15;Totaal leeftijden (15 jaar of ouder);2026;4359302;2375368;762103;892429;329402;547340;331259;168423;47658
16;Totaal leeftijden (15 jaar of ouder);2027;4359665;2377678;758544;894905;328538;547555;331130;168853;47572
