ID;Voertuigcategorie;BouwjaarVoertuig;Wegtype;CO_1;VOS_2;NOx_3;PM10_4
0;Totaal;Bouwjaargroep 2000 en ouder;Bebouwde kom;7.77;0.96;1.04;0.079
1;Totaal;Bouwjaargroep 2000 en ouder;Buitenwegen;3.69;0.36;0.73;0.046
2;Totaal;Bouwjaargroep 2000 en ouder;Autosnelwegen;3.29;0.23;1.1;0.06
3;Totaal;2001;Bebouwde kom;2.82;0.51;1.01;0.037
4;Totaal;2001;Buitenwegen;2.06;0.16;0.54;0.016
5;Totaal;2001;Autosnelwegen;1.08;0.04;1.04;0.041
6;Totaal;2002;Bebouwde kom;2.82;0.53;0.99;0.035
7;Totaal;2002;Buitenwegen;2.02;0.15;0.53;0.015
8;Totaal;2002;Autosnelwegen;1.05;0.04;1.03;0.039
9;Totaal;2003;Bebouwde kom;2.56;0.55;0.99;0.037
10;Totaal;2003;Buitenwegen;1.79;0.15;0.56;0.016
11;Totaal;2003;Autosnelwegen;0.96;0.04;1.12;0.041
12;Totaal;2004;Bebouwde kom;2.51;0.63;1.27;0.044
13;Totaal;2004;Buitenwegen;1.71;0.15;0.65;0.018
14;Totaal;2004;Autosnelwegen;0.81;0.04;1.13;0.045
15;Totaal;2005;Bebouwde kom;2.36;0.66;1.14;0.028
16;Totaal;2005;Buitenwegen;1.61;0.14;0.58;0.012
17;Totaal;2005;Autosnelwegen;0.77;0.03;1.0;0.03
18;Totaal;2006;Bebouwde kom;2.38;0.59;1.27;0.025
19;Totaal;2006;Buitenwegen;1.61;0.13;0.63;0.011
20;Totaal;2006;Autosnelwegen;0.76;0.02;0.93;0.027
21;Totaal;2007;Bebouwde kom;2.31;0.58;1.02;0.023
22;Totaal;2007;Buitenwegen;1.66;0.14;0.6;0.013
23;Totaal;2007;Autosnelwegen;0.66;0.01;0.56;0.025
24;Totaal;2008;Bebouwde kom;2.38;0.6;1.08;0.024
25;Totaal;2008;Buitenwegen;1.71;0.14;0.63;0.013
26;Totaal;2008;Autosnelwegen;0.7;0.01;0.58;0.025
