ID;RegioS;Perioden;WanbetalersZorgverzekering_1;WanbetalersZorgverzekeringRelatief_2
0;Nederland;2006;190210;1.5
1;Nederland;2007;240250;1.9
2;Nederland;2008;256690;2.0
3;Nederland;2009;318480;2.4
4;Groningen (PV);2006;8160;1.8
5;Groningen (PV);2007;10740;2.3
6;Groningen (PV);2008;10630;2.3
7;Groningen (PV);2009;12050;2.8
8;Friesland (PV);2006;5300;1.1
9;Friesland (PV);2007;6910;1.4
10;Friesland (PV);2008;8120;1.7
11;Friesland (PV);2009;9460;1.9
12;Drenthe (PV);2006;5230;1.4
13;Drenthe (PV);2007;6890;1.8
14;Drenthe (PV);2008;6570;1.7
15;Drenthe (PV);2009;8180;2.1
16;Overijssel (PV);2006;12330;1.4
17;Overijssel (PV);2007;15300;1.8
18;Overijssel (PV);2008;15440;1.8
19;Overijssel (PV);2009;19040;2.2
20;Flevoland (PV);2006;6290;2.3
21;Flevoland (PV);2007;8170;2.9
22;Flevoland (PV);2008;8600;3.0
23;Flevoland (PV);2009;10800;3.8
24;Gelderland (PV);2006;19840;1.3
25;Gelderland (PV);2007;24660;1.6
26;Gelderland (PV);2008;25100;1.6
27;Gelderland (PV);2009;30930;2.0
28;Utrecht (PV);2006;10920;1.2
29;Utrecht (PV);2007;12350;1.3
30;Utrecht (PV);2008;13310;1.4
31;Utrecht (PV);2009;16310;1.7
32;Noord-Holland (PV);2006;31820;1.5
33;Noord-Holland (PV);2007;39360;1.9
34;Noord-Holland (PV);2008;42880;2.0
35;Noord-Holland (PV);2009;54570;2.6
36;Zuid-Holland (PV);2006;51920;1.9
37;Zuid-Holland (PV);2007;63160;2.3
38;Zuid-Holland (PV);2008;70060;2.5
39;Zuid-Holland (PV);2009;89450;3.2
40;Zeeland (PV);2006;3440;1.2
41;Zeeland (PV);2007;4750;1.6
42;Zeeland (PV);2008;4830;1.6
43;Zeeland (PV);2009;5810;1.9
44;Noord-Brabant (PV);2006;21760;1.2
45;Noord-Brabant (PV);2007;29370;1.5
46;Noord-Brabant (PV);2008;31470;1.6
47;Noord-Brabant (PV);2009;38360;2.0
48;Limburg (PV);2006;13210;1.5
49;Limburg (PV);2007;18610;2.1
50;Limburg (PV);2008;19700;2.2
51;Limburg (PV);2009;23510;2.7
52;Amsterdam;2006;12440;2.1
53;Amsterdam;2007;17790;2.9
54;Amsterdam;2008;20000;3.2
55;Amsterdam;2009;25000;4.0
56;'s-Gravenhage (gemeente);2006;8370;2.2
57;'s-Gravenhage (gemeente);2007;12050;3.2
58;'s-Gravenhage (gemeente);2008;14440;3.8
59;'s-Gravenhage (gemeente);2009;18030;4.6
60;Rotterdam;2006;16260;3.5
61;Rotterdam;2007;21520;4.6
62;Rotterdam;2008;22710;4.8
63;Rotterdam;2009;28950;6.1
64;Utrecht (gemeente);2006;3370;1.4
65;Utrecht (gemeente);2007;4060;1.7
66;Utrecht (gemeente);2008;4500;1.9
67;Utrecht (gemeente);2009;5690;2.3
