ID;BurgerlijkeStaat;Geslacht;GrootteklasseNagelatenVermogen;Perioden;NagelatenVermogenAantal_1;NagelatenVermogenTotaalBedrag_2;NagelatenVermogenGemiddeldBedrag_3;NagelatenVermogenMediaanBedrag_4
0;Totaal burgerlijke staat;Mannen en vrouwen;Totaal;2005;52120;9488.0;182.0;98.0
1;Totaal burgerlijke staat;Mannen en vrouwen;Totaal;2006;56240;10439.0;186.0;101.0
2;Totaal burgerlijke staat;Mannen en vrouwen;Totaal;2007;55340;10912.0;197.0;109.0
3;Totaal burgerlijke staat;Mannen en vrouwen;Totaal;2008;56670;11398.0;201.0;112.0
4;Totaal burgerlijke staat;Mannen en vrouwen;Totaal;2009;56400;10754.0;191.0;114.0
5;Totaal burgerlijke staat;Mannen en vrouwen;Totaal;2010;52650;12473.0;237.0;145.0
6;Totaal burgerlijke staat;Mannen en vrouwen;Negatief of nul euro;2005;660;-34.0;-51.0;-17.0
7;Totaal burgerlijke staat;Mannen en vrouwen;Negatief of nul euro;2006;640;-31.0;-48.0;-15.0
8;Totaal burgerlijke staat;Mannen en vrouwen;Negatief of nul euro;2007;710;-36.0;-50.0;-20.0
9;Totaal burgerlijke staat;Mannen en vrouwen;Negatief of nul euro;2008;680;-48.0;-70.0;-20.0
10;Totaal burgerlijke staat;Mannen en vrouwen;Negatief of nul euro;2009;810;-51.0;-62.0;-20.0
11;Totaal burgerlijke staat;Mannen en vrouwen;Negatief of nul euro;2010;550;-46.0;-84.0;-26.0
12;Totaal burgerlijke staat;Mannen en vrouwen;> 0 tot 5 000 euro;2005;1730;4.0;2.0;2.0
13;Totaal burgerlijke staat;Mannen en vrouwen;> 0 tot 5 000 euro;2006;2060;4.0;2.0;2.0
14;Totaal burgerlijke staat;Mannen en vrouwen;> 0 tot 5 000 euro;2007;1760;4.0;2.0;2.0
15;Totaal burgerlijke staat;Mannen en vrouwen;> 0 tot 5 000 euro;2008;1510;3.0;2.0;2.0
16;Totaal burgerlijke staat;Mannen en vrouwen;> 0 tot 5 000 euro;2009;1340;3.0;2.0;2.0
17;Totaal burgerlijke staat;Mannen en vrouwen;> 0 tot 5 000 euro;2010;910;2.0;2.0;2.0
18;Totaal burgerlijke staat;Mannen en vrouwen;5 000 tot 10 000 euro;2005;1510;11.0;7.0;8.0
19;Totaal burgerlijke staat;Mannen en vrouwen;5 000 tot 10 000 euro;2006;1610;12.0;8.0;8.0
20;Totaal burgerlijke staat;Mannen en vrouwen;5 000 tot 10 000 euro;2007;1420;11.0;8.0;7.0
21;Totaal burgerlijke staat;Mannen en vrouwen;5 000 tot 10 000 euro;2008;1260;9.0;8.0;8.0
22;Totaal burgerlijke staat;Mannen en vrouwen;5 000 tot 10 000 euro;2009;1160;9.0;8.0;8.0
23;Totaal burgerlijke staat;Mannen en vrouwen;5 000 tot 10 000 euro;2010;710;5.0;8.0;8.0
