ID;BedrijfstakkenBranchesSBI2008;Perioden;BeloningVanWerknemers_1;BeloningSeizoengecorrigeerd_2;Lonen_3;LonenSeizoengecorrigeerd_4;SocialePremiesTLVWerkgevers_5;SocialePremiesSeizoengecorrigeerd_6;BeloningVanWerknemersPerArbeidsjaar_7;LonenPerArbeidsjaar_8;TotaalBanen_9;Mannen_10;Vrouwen_11;GewerkteUren_12;Arbeidsjaren_13
0;A-U Alle economische activiteiten;1995 1e kwartaal;35907.0;37661.0;30563.0;32341.0;5344.0;5320.0;7.34;6.25;6228;3651;2577;2196;4893
1;A-U Alle economische activiteiten;1995 2e kwartaal;44126.0;38760.0;37836.0;33240.0;6290.0;5519.0;8.84;7.58;6369;3727;2641;2057;4993
2;A-U Alle economische activiteiten;1995 3e kwartaal;36489.0;39351.0;31452.0;33672.0;5037.0;5679.0;7.21;6.21;6463;3776;2687;1892;5063
3;A-U Alle economische activiteiten;1995 4e kwartaal;39315.0;40065.0;33618.0;34216.0;5697.0;5849.0;7.78;6.65;6445;3764;2681;2358;5053
4;A-U Alle economische activiteiten;1995;155837.0;;133469.0;;22368.0;;31.16;26.69;6376;3730;2647;8503;5001
5;A-U Alle economische activiteiten;1996 1e kwartaal;37524.0;39323.0;31911.0;33728.0;5613.0;5595.0;7.51;6.39;6380;3744;2636;2242;4997
6;A-U Alle economische activiteiten;1996 2e kwartaal;45846.0;40256.0;39236.0;34467.0;6610.0;5788.0;8.98;7.68;6536;3831;2705;2103;5106
7;A-U Alle economische activiteiten;1996 3e kwartaal;37824.0;40804.0;32553.0;34849.0;5271.0;5955.0;7.32;6.3;6626;3877;2749;1932;5170
8;A-U Alle economische activiteiten;1996 4e kwartaal;40626.0;41437.0;34694.0;35350.0;5932.0;6087.0;7.89;6.74;6590;3857;2733;2403;5150
9;A-U Alle economische activiteiten;1996;161820.0;;138394.0;;23426.0;;31.69;27.11;6533;3827;2706;8681;5106
10;A-U Alle economische activiteiten;1997 1e kwartaal;39867.0;41718.0;34051.0;35916.0;5816.0;5802.0;7.75;6.62;6559;3841;2718;2297;5142
11;A-U Alle economische activiteiten;1997 2e kwartaal;48342.0;42394.0;41543.0;36458.0;6799.0;5936.0;9.19;7.89;6731;3934;2797;2236;5263
12;A-U Alle economische activiteiten;1997 3e kwartaal;39955.0;43128.0;34496.0;36947.0;5459.0;6181.0;7.47;6.45;6847;3995;2852;1991;5346
13;A-U Alle economische activiteiten;1997 4e kwartaal;43058.0;43982.0;36889.0;37658.0;6169.0;6324.0;8.08;6.92;6811;3974;2837;2408;5328
14;A-U Alle economische activiteiten;1997;171222.0;;146979.0;;24243.0;;32.49;27.89;6737;3936;2801;8933;5270
15;A-U Alle economische activiteiten;1998 1e kwartaal;42929.0;44848.0;34568.0;36363.0;8361.0;8485.0;8.06;6.49;6808;3958;2850;2403;5329
16;A-U Alle economische activiteiten;1998 2e kwartaal;52055.0;45597.0;41962.0;36766.0;10093.0;8831.0;9.53;7.69;6993;4060;2933;2255;5460
17;A-U Alle economische activiteiten;1998 3e kwartaal;42896.0;46346.0;34756.0;37264.0;8140.0;9082.0;7.75;6.28;7093;4114;2979;2045;5532
18;A-U Alle economische activiteiten;1998 4e kwartaal;46174.0;47263.0;37005.0;37897.0;9169.0;9366.0;8.38;6.72;7049;4089;2960;2474;5509
19;A-U Alle economische activiteiten;1998;184054.0;;148291.0;;35763.0;;33.73;27.17;6986;4055;2930;9176;5457
20;A-U Alle economische activiteiten;1999 1e kwartaal;46028.0;48011.0;37076.0;38881.0;8952.0;9130.0;8.36;6.74;7056;4068;2988;2448;5504
21;A-U Alle economische activiteiten;1999 2e kwartaal;55875.0;48895.0;45254.0;39606.0;10621.0;9289.0;9.91;8.03;7240;4171;3069;2310;5636
22;A-U Alle economische activiteiten;1999 3e kwartaal;45950.0;49682.0;37269.0;40039.0;8681.0;9643.0;8.06;6.54;7329;4217;3112;2082;5698
23;A-U Alle economische activiteiten;1999 4e kwartaal;49491.0;50756.0;39762.0;40835.0;9729.0;9920.0;8.72;7.01;7282;4190;3092;2604;5674
24;A-U Alle economische activiteiten;1999;197344.0;;159361.0;;37983.0;;35.07;28.32;7227;4161;3065;9444;5628
25;A-U Alle economische activiteiten;2000 1e kwartaal;49787.0;51900.0;40073.0;41967.0;9714.0;9934.0;8.86;7.13;7232;4145;3088;2611;5622
