ID;Bestemming;Perioden;WaardeInWerkelijkePrijzen_1;WaardePrijsniveau2005_2;VolumemutatieTOVVoorafgaandJaar_3;Prijsindexcijfers_4
0;A-U Alle economische activiteiten;1969;13519.0;44815.0;;30.2
1;A-U Alle economische activiteiten;1970;16358.0;49996.0;11.6;32.7
2;A-U Alle economische activiteiten;1971;18642.0;51393.0;2.8;36.3
3;A-U Alle economische activiteiten;1972;19316.0;49446.0;-3.8;39.1
4;A-U Alle economische activiteiten;1973;21072.0;50304.0;1.7;41.9
5;A-U Alle economische activiteiten;1974;22106.0;47544.0;-5.5;46.5
6;A-U Alle economische activiteiten;1975;23909.0;46510.0;-2.2;51.4
7;A-U Alle economische activiteiten;1976;25969.0;46409.0;-0.2;56.0
8;A-U Alle economische activiteiten;1977;29624.0;49942.0;7.6;59.3
9;A-U Alle economische activiteiten;1978;32100.0;50990.0;2.1;63.0
10;A-U Alle economische activiteiten;1979;33265.0;49680.0;-2.6;67.0
11;A-U Alle economische activiteiten;1980;36736.0;51217.0;3.1;71.7
12;A-U Alle economische activiteiten;1981;35567.0;46409.0;-9.4;76.6
13;A-U Alle economische activiteiten;1982;35682.0;45174.0;-2.7;79.0
14;A-U Alle economische activiteiten;1983;36706.0;46112.0;2.1;79.6
15;A-U Alle economische activiteiten;1984;39852.0;49644.0;7.7;80.3
16;A-U Alle economische activiteiten;1985;42814.0;53507.0;7.8;80.0
17;A-U Alle economische activiteiten;1986;45176.0;56991.0;6.5;79.3
18;A-U Alle economische activiteiten;1987;46361.0;58019.0;1.8;79.9
19;A-U Alle economische activiteiten;1988;51491.0;63648.0;9.7;80.9
20;A-U Alle economische activiteiten;1989;53761.0;65833.0;3.4;81.7
21;A-U Alle economische activiteiten;1990;56198.0;67929.0;3.2;82.7
22;A-U Alle economische activiteiten;1991;57627.0;68558.0;0.9;84.1
23;A-U Alle economische activiteiten;1992;59623.0;69958.0;2.0;85.2
24;A-U Alle economische activiteiten;1993;59171.0;68886.0;-1.5;85.9
25;A-U Alle economische activiteiten;1994;60600.0;70355.0;2.1;86.1
26;A-U Alle economische activiteiten;1995;64210.0;74139.0;5.4;86.6
27;A-U Alle economische activiteiten;1996;69948.0;80506.0;8.6;86.9
28;A-U Alle economische activiteiten;1997;75888.0;87261.0;8.4;87.0
29;A-U Alle economische activiteiten;1998;81292.0;93189.0;6.8;87.2
30;A-U Alle economische activiteiten;1999;89418.0;101391.0;8.8;88.2
31;A-U Alle economische activiteiten;2000;92742.0;102067.0;0.7;90.9
32;A-U Alle economische activiteiten;2001;96197.0;102696.0;0.6;93.7
33;A-U Alle economische activiteiten;2002;94507.0;98234.0;-4.3;96.2
34;A-U Alle economische activiteiten;2003;94759.0;96986.0;-1.3;97.7
35;A-U Alle economische activiteiten;2004;94336.0;95475.0;-1.6;98.8
36;A-U Alle economische activiteiten;2005;99170.0;99170.0;3.9;100.0
37;A-U Alle economische activiteiten;2006;108568.0;106444.0;7.3;102.0
38;A-U Alle economische activiteiten;2007;116712.0;112371.0;5.6;103.9
39;A-U Alle economische activiteiten;2008;124191.0;117233.0;4.3;105.9
40;A-U Alle economische activiteiten;2009;111123.0;103460.0;-11.7;107.4
41;A-U Alle economische activiteiten;2010;104492.0;96101.0;-7.1;108.7
42;A-U Alle economische activiteiten;2011;109531.0;101815.0;5.9;107.6
43;A-U Alle economische activiteiten;2012;104493.0;97650.0;-4.1;107.0
44;A Landbouw, bosbouw en visserij;1969;810.0;2815.0;;28.8
45;A Landbouw, bosbouw en visserij;1970;805.0;2621.0;-6.9;30.7
46;A Landbouw, bosbouw en visserij;1971;694.0;1914.0;-27.0;36.3
47;A Landbouw, bosbouw en visserij;1972;892.0;2300.0;20.2;38.8
48;A Landbouw, bosbouw en visserij;1973;1291.0;3164.0;37.6;40.8
49;A Landbouw, bosbouw en visserij;1974;1216.0;2745.0;-13.2;44.3
50;A Landbouw, bosbouw en visserij;1975;1274.0;2598.0;-5.3;49.0
51;A Landbouw, bosbouw en visserij;1976;1391.0;2649.0;2.0;52.5
52;A Landbouw, bosbouw en visserij;1977;1474.0;2647.0;-0.1;55.7
53;A Landbouw, bosbouw en visserij;1978;1937.0;3296.0;24.5;58.8
54;A Landbouw, bosbouw en visserij;1979;2095.0;3384.0;2.7;61.9
55;A Landbouw, bosbouw en visserij;1980;1661.0;2533.0;-25.2;65.6
56;A Landbouw, bosbouw en visserij;1981;1676.0;2333.0;-7.9;71.8
57;A Landbouw, bosbouw en visserij;1982;1769.0;2323.0;-0.4;76.1
58;A Landbouw, bosbouw en visserij;1983;2064.0;2703.0;16.3;76.4
59;A Landbouw, bosbouw en visserij;1984;1789.0;2359.0;-12.7;75.9
60;A Landbouw, bosbouw en visserij;1985;2023.0;2643.0;12.1;76.5
61;A Landbouw, bosbouw en visserij;1986;2239.0;2970.0;12.4;75.4
62;A Landbouw, bosbouw en visserij;1987;1945.0;2549.0;-14.2;76.3
63;A Landbouw, bosbouw en visserij;1988;2260.0;2903.0;13.7;77.8
64;A Landbouw, bosbouw en visserij;1989;2431.0;3028.0;4.3;80.3
65;A Landbouw, bosbouw en visserij;1990;2503.0;3125.0;3.2;80.1
66;A Landbouw, bosbouw en visserij;1991;2561.0;3173.0;1.5;80.7
67;A Landbouw, bosbouw en visserij;1992;2415.0;2928.0;-7.7;82.5
68;A Landbouw, bosbouw en visserij;1993;2253.0;2719.0;-7.2;82.9
69;A Landbouw, bosbouw en visserij;1994;2304.0;2779.0;2.2;82.9
70;A Landbouw, bosbouw en visserij;1995;2308.0;2775.0;-0.1;83.2
71;A Landbouw, bosbouw en visserij;1996;2345.0;2870.0;3.4;81.7
72;A Landbouw, bosbouw en visserij;1997;2977.0;3553.0;23.8;83.8
73;A Landbouw, bosbouw en visserij;1998;2615.0;3096.0;-12.9;84.5
74;A Landbouw, bosbouw en visserij;1999;3280.0;3840.0;24.0;85.4
75;A Landbouw, bosbouw en visserij;2000;3240.0;3660.0;-4.7;88.5
76;A Landbouw, bosbouw en visserij;2001;3422.0;3751.0;2.5;91.2
77;A Landbouw, bosbouw en visserij;2002;3459.0;3627.0;-3.3;95.4
78;A Landbouw, bosbouw en visserij;2003;3553.0;3651.0;0.7;97.3
79;A Landbouw, bosbouw en visserij;2004;3221.0;3279.0;-10.2;98.2
80;A Landbouw, bosbouw en visserij;2005;3262.0;3262.0;-0.5;100.0
81;A Landbouw, bosbouw en visserij;2006;3446.0;3364.0;3.1;102.4
82;A Landbouw, bosbouw en visserij;2007;4201.0;4013.0;19.3;104.7
83;A Landbouw, bosbouw en visserij;2008;4519.0;4202.0;4.7;107.5
84;A Landbouw, bosbouw en visserij;2009;4168.0;3811.0;-9.3;109.4
85;A Landbouw, bosbouw en visserij;2010;4667.0;4124.0;8.2;113.2
86;A Landbouw, bosbouw en visserij;2011;5084.0;4476.0;8.5;113.6
87;A Landbouw, bosbouw en visserij;2012;4207.0;3691.0;-17.5;114.0
88;01 Landbouw;1969;;;;
89;01 Landbouw;1970;;;;
90;01 Landbouw;1971;;;;
91;01 Landbouw;1972;;;;
92;01 Landbouw;1973;;;;
93;01 Landbouw;1974;;;;
94;01 Landbouw;1975;;;;
95;01 Landbouw;1976;;;;
96;01 Landbouw;1977;;;;
97;01 Landbouw;1978;;;;
98;01 Landbouw;1979;;;;
99;01 Landbouw;1980;;;;
100;01 Landbouw;1981;;;;
101;01 Landbouw;1982;;;;
102;01 Landbouw;1983;;;;
103;01 Landbouw;1984;;;;
104;01 Landbouw;1985;;;;
105;01 Landbouw;1986;;;;
106;01 Landbouw;1987;;;;
107;01 Landbouw;1988;2123.0;2729.0;;77.8
108;01 Landbouw;1989;2330.0;2903.0;6.4;80.3
109;01 Landbouw;1990;2432.0;3040.0;4.7;80.0
110;01 Landbouw;1991;2533.0;3141.0;3.3;80.6
111;01 Landbouw;1992;2369.0;2876.0;-8.4;82.4
112;01 Landbouw;1993;2196.0;2652.0;-7.8;82.8
113;01 Landbouw;1994;2197.0;2654.0;0.0;82.8
114;01 Landbouw;1995;2261.0;2722.0;2.6;83.0
115;01 Landbouw;1996;2298.0;2818.0;3.5;81.6
116;01 Landbouw;1997;2939.0;3510.0;24.6;83.7
117;01 Landbouw;1998;2546.0;3019.0;-14.0;84.3
118;01 Landbouw;1999;3200.0;3752.0;24.3;85.3
119;01 Landbouw;2000;3120.0;3526.0;-6.0;88.5
120;01 Landbouw;2001;3347.0;3667.0;4.0;91.3
121;01 Landbouw;2002;3361.0;3523.0;-3.9;95.4
122;01 Landbouw;2003;3485.0;3579.0;1.6;97.4
123;01 Landbouw;2004;3174.0;3231.0;-9.7;98.2
124;01 Landbouw;2005;3223.0;3223.0;-0.3;100.0
125;01 Landbouw;2006;3390.0;3307.0;2.6;102.5
126;01 Landbouw;2007;4144.0;3956.0;19.6;104.8
127;01 Landbouw;2008;4471.0;4154.0;5.0;107.6
128;01 Landbouw;2009;4081.0;3728.0;-10.3;109.5
129;01 Landbouw;2010;4629.0;4086.0;9.6;113.3
130;01 Landbouw;2011;5046.0;4438.0;8.6;113.7
131;01 Landbouw;2012;;;;
132;02 Bosbouw;1969;;;;
133;02 Bosbouw;1970;;;;
134;02 Bosbouw;1971;;;;
135;02 Bosbouw;1972;;;;
136;02 Bosbouw;1973;;;;
137;02 Bosbouw;1974;;;;
138;02 Bosbouw;1975;;;;
139;02 Bosbouw;1976;;;;
140;02 Bosbouw;1977;;;;
141;02 Bosbouw;1978;;;;
142;02 Bosbouw;1979;;;;
143;02 Bosbouw;1980;;;;
144;02 Bosbouw;1981;;;;
145;02 Bosbouw;1982;;;;
146;02 Bosbouw;1983;;;;
147;02 Bosbouw;1984;;;;
148;02 Bosbouw;1985;;;;
149;02 Bosbouw;1986;;;;
150;02 Bosbouw;1987;;;;
151;02 Bosbouw;1988;5.0;8.0;;
152;02 Bosbouw;1989;4.0;8.0;;
