ID;SectorBranchesSIC2008;Periods;Employee_1;EmployedPerson_2;Employee_3;EmployedPerson_4;Total_5;Total_6;DomesticNetTurnover_7;ForeignNetTurnover_8;OtherRevenues_9;Total_10;PurchaseValueOfSales_11;Total_12;GrossWagesAndSalaries_13;Total_14;EmployerPaidSocialInsurancePremiums_15;PensionAndEarlyRetirementPremiums_16;OtherSocialInsuranceCosts_17;OtherPersonnelCosts_18;Total_19;CostsOfEnergyUse_20;HousingCosts_21;EquipmentAndInventoryCosts_22;TransportCosts_23;SalesCosts_24;CommunicationCosts_25;CostsOfOtherServices_26;OtherLiabilities_27;DepreciationFixedAssets_28;OperatingResults_29;NetFinancialIncome_30;BalanceOfProvisions_31;NetExtraordinaryIncome_32;PreTaxResults_33
0;46 Wholesale trade (no motor vehicles);2009;469.0;583.1;403.4;482.5;349532.0;347017.0;221147.0;125871.0;2515.0;336983.0;267553.0;24208.0;17510.0;3629.0;2176.0;1453.0;201.0;2869.0;41732.0;792.0;3248.0;797.0;2306.0;8789.0;718.0;4778.0;20304.0;3489.0;12549.0;526.0;-208.0;-112.0;12754.0
1;46 Wholesale trade (no motor vehicles);2010;472.2;585.7;406.6;487.6;392144.0;389009.0;226666.0;162344.0;3135.0;376817.0;303691.0;25357.0;18389.0;3816.0;2297.0;1519.0;194.0;2959.0;44157.0;726.0;3366.0;888.0;2534.0;6397.0;757.0;5521.0;23968.0;3612.0;15328.0;87.0;-103.0;-2.0;15310.0
2;46 Wholesale trade (no motor vehicles);2011;490.5;601.9;420.2;505.0;441389.0;437813.0;275621.0;162192.0;3576.0;425996.0;348914.0;26507.0;19087.0;4034.0;2419.0;1615.0;204.0;3182.0;46721.0;705.0;3457.0;929.0;2610.0;7516.0;766.0;6215.0;24522.0;3854.0;15393.0;360.0;-14.0;249.0;15988.0
3;46 Wholesale trade (no motor vehicles);2012;490.8;599.2;421.1;502.1;450141.0;446432.0;254471.0;191960.0;3709.0;434989.0;356052.0;26880.0;19368.0;4215.0;2586.0;1629.0;200.0;3097.0;48148.0;736.0;3539.0;953.0;2651.0;10183.0;763.0;6379.0;22945.0;3909.0;15152.0;1715.0;-127.0;-274.0;16466.0
4;46 Wholesale trade (no motor vehicles);2013;488.9;596.8;417.7;502.7;439959.0;436386.0;224321.0;212065.0;3575.0;421904.0;345327.0;26791.0;19178.0;4386.0;2652.0;1734.0;170.0;3058.0;45943.0;756.0;3458.0;935.0;2462.0;7100.0;697.0;6872.0;23663.0;3843.0;18056.0;1036.0;-199.0;-396.0;18497.0
5;462-469 Wholesale;2009;449.6;553.1;387.6;459.1;343076.0;340724.0;215786.0;124938.0;2352.0;331136.0;263776.0;23123.0;16717.0;3466.0;2075.0;1391.0;190.0;2750.0;40852.0;767.0;3132.0;764.0;2202.0;8585.0;677.0;4638.0;20087.0;3384.0;11941.0;547.0;-185.0;-115.0;12188.0
6;462-469 Wholesale;2010;452.4;554.8;390.1;462.4;385218.0;382200.0;221251.0;160950.0;3018.0;370512.0;299806.0;24237.0;17547.0;3653.0;2200.0;1453.0;181.0;2856.0;42981.0;700.0;3230.0;836.0;2386.0;6115.0;688.0;5360.0;23665.0;3489.0;14706.0;83.0;-96.0;-33.0;14659.0
7;462-469 Wholesale;2011;469.9;569.8;403.0;479.3;434612.0;431228.0;270061.0;161167.0;3384.0;419813.0;345269.0;25278.0;18162.0;3851.0;2314.0;1537.0;192.0;3073.0;45545.0;676.0;3307.0;887.0;2492.0;7238.0;721.0;6062.0;24162.0;3721.0;14799.0;668.0;-13.0;249.0;15704.0
8;462-469 Wholesale;2012;469.3;566.2;402.9;474.9;443037.0;439504.0;248834.0;190669.0;3533.0;428508.0;352293.0;25577.0;18415.0;4000.0;2449.0;1551.0;188.0;2974.0;46881.0;705.0;3362.0;891.0;2487.0;9953.0;668.0;6240.0;22576.0;3757.0;14529.0;1746.0;-126.0;37.0;16186.0
9;462-469 Wholesale;2013;467.6;562.8;399.6;474.9;432081.0;428670.0;218060.0;210610.0;3412.0;414606.0;340807.0;25458.0;18208.0;4185.0;2527.0;1658.0;158.0;2907.0;44639.0;718.0;3316.0;894.0;2329.0;6842.0;624.0;6698.0;23217.0;3703.0;17475.0;1046.0;-192.0;-367.0;17962.0
