ID;BalansstandenEnTransacties;Sectoren;Perioden;TotaalVorderingen_1;TotaalLiquideMiddelen_2;ChartaalGeld_3;GiraleDepositoS_4;SpaartegoedenEnOverigeDepositoS_5;TotaalVerhandelbareWaardepapieren_6;KortlopendeWaardepapieren_7;Obligaties_8;FinancieleDerivaten_9;TotaalLeningen_10;KortlopendeLeningen_11;LanglopendeLeningen_12;TotaalAandelenEnOverigeDeelnemingen_13;BeursgenoteerdeAandelen_14;OverigeDeelnemingen_15;HandelskredietenEnTransitorischeP_16;TotaalSchulden_17;ChartaalGeld_18;TotaalVerhandelbareWaardepapieren_19;KortlopendeWaardepapieren_20;Obligaties_21;TotaalLeningen_22;KortlopendeLeningen_23;LanglopendeLeningen_24;HandelskredietenTransitorischePosten_25;FinancieelVermogen_26
0;Beginbalans;Overheid;1990;131513.0;7980.0;102.0;1869.0;6009.0;311.0;311.0;0.0;0.0;45465.0;347.0;45118.0;39034.0;;;38723.0;202537.0;1013.0;82423.0;1593.0;80830.0;92120.0;3356.0;88764.0;26981.0;-71024.0
1;Beginbalans;Overheid;1991;130296.0;7526.0;117.0;2274.0;5135.0;153.0;136.0;17.0;0.0;44074.0;550.0;43524.0;35148.0;;;43395.0;213223.0;1113.0;87688.0;908.0;86780.0;92622.0;3370.0;89252.0;31800.0;-82927.0
2;Beginbalans;Overheid;1992;137100.0;10092.0;112.0;3480.0;6500.0;381.0;182.0;199.0;0.0;46996.0;1125.0;45871.0;36004.0;;;43627.0;227523.0;1158.0;100743.0;259.0;100484.0;91677.0;3356.0;88321.0;33945.0;-90423.0
3;Beginbalans;Overheid;1993;136343.0;9096.0;115.0;3471.0;5510.0;880.0;363.0;517.0;0.0;49438.0;2057.0;47381.0;35147.0;;;41782.0;246438.0;1161.0;121527.0;305.0;121222.0;89392.0;3601.0;85791.0;34358.0;-110095.0
4;Beginbalans;Overheid;1994;140561.0;12802.0;125.0;5965.0;6712.0;1108.0;635.0;473.0;0.0;49067.0;881.0;48186.0;37783.0;;;39801.0;266222.0;1163.0;142506.0;1452.0;141054.0;88185.0;3178.0;85007.0;34368.0;-125661.0
5;Beginbalans;Overheid;1995;121976.0;11955.0;119.0;6219.0;5617.0;661.0;112.0;549.0;0.0;43865.0;759.0;43106.0;33035.0;10357.0;22678.0;32460.0;251350.0;1165.0;132273.0;3462.0;128811.0;85196.0;4121.0;81075.0;32716.0;-129374.0
6;Beginbalans;Overheid;1996;108354.0;14032.0;114.0;9079.0;4839.0;613.0;31.0;582.0;0.0;32774.0;572.0;32202.0;32264.0;7466.0;24798.0;28671.0;273635.0;1183.0;162113.0;5823.0;156290.0;83026.0;5501.0;77525.0;27313.0;-165281.0
7;Beginbalans;Overheid;1997;112917.0;14076.0;106.0;8980.0;4990.0;732.0;11.0;721.0;0.0;32039.0;442.0;31597.0;35920.0;7503.0;28417.0;30150.0;281611.0;1196.0;174293.0;6998.0;167295.0;77819.0;7521.0;70298.0;28303.0;-168694.0
8;Beginbalans;Overheid;1998;111237.0;8964.0;143.0;2527.0;6294.0;1344.0;0.0;1344.0;0.0;31722.0;622.0;31100.0;38086.0;9272.0;28814.0;31121.0;281432.0;1214.0;180634.0;6043.0;174591.0;68997.0;4970.0;64027.0;30587.0;-170195.0
9;Beginbalans;Overheid;1999;118132.0;11820.0;172.0;5133.0;6515.0;410.0;38.0;372.0;0.0;29775.0;677.0;29098.0;42619.0;16041.0;26578.0;33508.0;292944.0;1245.0;196104.0;6971.0;189133.0;63983.0;5136.0;58847.0;31612.0;-174812.0
