ID;NominaleEnMarktwaarde;Sectoren;Perioden;TotaalGeldgevers_1;TotaalBinnenland_2;Banken_3;PensioenfondsenEnVerzekeraars_4;Beleggingsinstellingen_5;OverigeFinancieleInstellingen_6;Overheid_7;NietFinancieleBedrijven_8;Huishoudens_9;Buitenland_10;TotaalChartaalGeld_11;TotaalBinnenland_12;Banken_13;PensioenfondsenEnVerzekeraars_14;Beleggingsinstellingen_15;OverigeFinancieleInstellingen_16;Overheid_17;NietFinancieleBedrijven_18;Huishoudens_19;Buitenland_20;TotaalKortlopendeWaardepapieren_21;TotaalBinnenland_22;Banken_23;PensioenfondsenEnVerzekeraars_24;Beleggingsinstellingen_25;OverigeFinancieleInstellingen_26;Overheid_27;NietFinancieleBedrijven_28;Huishoudens_29;Buitenland_30;TotaalObligaties_31;TotaalBinnenland_32;Banken_33;PensioenfondsenEnVerzekeraars_34;Beleggingsinstellingen_35;OverigeFinancieleInstellingen_36;Overheid_37;NietFinancieleBedrijven_38;Huishoudens_39;Buitenland_40;TotaalKortlopendeLeningen_41;TotaalBinnenland_42;Banken_43;PensioenfondsenEnVerzekeraars_44;Beleggingsinstellingen_45;OverigeFinancieleInstellingen_46;Overheid_47;NietFinancieleBedrijven_48;Huishoudens_49;Buitenland_50;TotaalLanglopendeLeningen_51;TotaalBinnenland_52;Banken_53;PensioenfondsenEnVerzekeraars_54;Beleggingsinstellingen_55;OverigeFinancieleInstellingen_56;Overheid_57;NietFinancieleBedrijven_58;Huishoudens_59;Buitenland_60
0;Nominale waarde;Overheid;1990;187345.0;;;;;;0.0;;;;1113.0;;;;;;0.0;;;;908.0;;;;;;0.0;;;;92702.0;;;;;;0.0;;;;3370.0;;;;;;0.0;;;;89252.0;;;;;;0.0;;;
1;Nominale waarde;Overheid;1991;197306.0;;;;;;0.0;;;;1158.0;;;;;;0.0;;;;259.0;;;;;;0.0;;;;104212.0;;;;;;0.0;;;;3356.0;;;;;;0.0;;;;88321.0;;;;;;0.0;;;
2;Nominale waarde;Overheid;1992;207659.0;;;;;;0.0;;;;1161.0;;;;;;0.0;;;;305.0;;;;;;0.0;;;;116801.0;;;;;;0.0;;;;3601.0;;;;;;0.0;;;;85791.0;;;;;;0.0;;;
3;Nominale waarde;Overheid;1993;216607.0;;;;;;0.0;;;;1163.0;;;;;;0.0;;;;1452.0;;;;;;0.0;;;;125807.0;;;;;;0.0;;;;3178.0;;;;;;0.0;;;;85007.0;;;;;;0.0;;;
4;Nominale waarde;Overheid;1994;218266.0;;;;;;0.0;;;;1166.0;;;;;;0.0;;;;3464.0;;;;;;0.0;;;;128438.0;;;;;;0.0;;;;4123.0;;;;;;0.0;;;;81075.0;;;;;;0.0;;;
5;Nominale waarde;Overheid;1995;232232.0;189741.0;64249.0;103057.0;6324.0;380.0;0.0;6839.0;8892.0;42491.0;1183.0;1183.0;5.0;0.0;0.0;0.0;0.0;0.0;1178.0;0.0;5823.0;5042.0;4667.0;40.0;324.0;11.0;0.0;0.0;0.0;781.0;142200.0;100885.0;20005.0;62150.0;5676.0;367.0;0.0;5001.0;7686.0;41315.0;5501.0;5477.0;4919.0;271.0;0.0;0.0;0.0;262.0;25.0;24.0;77525.0;77154.0;34653.0;40596.0;324.0;2.0;0.0;1576.0;3.0;371.0
6;Nominale waarde;Overheid;1996;236952.0;198654.0;68025.0;108941.0;4660.0;571.0;0.0;8050.0;8407.0;38298.0;1196.0;1196.0;3.0;0.0;0.0;0.0;0.0;0.0;1193.0;0.0;6998.0;5601.0;5221.0;91.0;289.0;0.0;0.0;0.0;0.0;1397.0;150939.0;114410.0;22369.0;74710.0;4037.0;569.0;0.0;5544.0;7181.0;36529.0;7521.0;7513.0;6441.0;319.0;0.0;0.0;0.0;723.0;30.0;8.0;70298.0;69934.0;33991.0;33821.0;334.0;2.0;0.0;1783.0;3.0;364.0
7;Nominale waarde;Overheid;1997;233326.0;196671.0;67530.0;108822.0;5350.0;673.0;0.0;7643.0;6653.0;36655.0;1214.0;1214.0;8.0;0.0;0.0;0.0;0.0;0.0;1206.0;0.0;6043.0;4619.0;4393.0;115.0;111.0;0.0;0.0;0.0;0.0;1424.0;157072.0;123155.0;26415.0;79961.0;5169.0;671.0;0.0;5506.0;5433.0;33917.0;4970.0;4960.0;4430.0;206.0;0.0;0.0;0.0;315.0;9.0;10.0;64027.0;62723.0;32284.0;28540.0;70.0;2.0;0.0;1822.0;5.0;1304.0
8;Nominale waarde;Overheid;1998;238183.0;194392.0;71021.0;102809.0;4941.0;1598.0;0.0;7307.0;6716.0;43791.0;1245.0;1245.0;12.0;0.0;0.0;0.0;0.0;0.0;1233.0;0.0;6971.0;5342.0;5248.0;83.0;11.0;0.0;0.0;0.0;0.0;1629.0;165984.0;125896.0;29783.0;78848.0;4918.0;1470.0;0.0;5409.0;5468.0;40088.0;5136.0;5135.0;4804.0;149.0;0.0;0.0;0.0;182.0;0.0;1.0;58847.0;56774.0;31174.0;23729.0;12.0;128.0;0.0;1716.0;15.0;2073.0
9;Nominale waarde;Overheid;1999;236085.0;172437.0;64183.0;87370.0;3641.0;2168.0;0.0;8582.0;6493.0;63648.0;1244.0;1244.0;3.0;0.0;0.0;0.0;0.0;0.0;1241.0;0.0;5145.0;984.0;939.0;40.0;5.0;0.0;0.0;0.0;0.0;4161.0;176092.0;118909.0;31243.0;71044.0;3636.0;1984.0;0.0;5774.0;5228.0;57183.0;5032.0;5032.0;4507.0;249.0;0.0;0.0;0.0;272.0;4.0;0.0;48572.0;46268.0;27491.0;16037.0;0.0;184.0;0.0;2536.0;20.0;2304.0
