ID;Sectoren;TypeNietFinancieleActiva;Perioden;Beginbalans_1;Herwaardering_2;Kapitaalvorming_3;OverigeVolumemutaties_4;StatistischVerschil_5;Eindbalans_6;VolumeIndexcijfers2005100_7
0;Totaal sectoren;Totaal niet-financiële activa;1996;;;;;;1439514.0;87.33
1;Totaal sectoren;Totaal niet-financiële activa;1997;1439514.0;112375.0;28394.0;-1026.0;696.0;1579952.0;89.07
2;Totaal sectoren;Totaal niet-financiële activa;1998;1579952.0;108447.0;31125.0;5064.0;70.0;1724657.0;91.02
3;Totaal sectoren;Totaal niet-financiële activa;1999;1724657.0;166555.0;33570.0;5246.0;1477.0;1931505.0;93.0
4;Totaal sectoren;Totaal niet-financiële activa;2000;1931505.0;229566.0;30725.0;360.0;1651.0;2193808.0;94.57
5;Totaal sectoren;Totaal niet-financiële activa;2001;2193809.0;184425.0;30431.0;1878.0;-868.0;2409674.0;95.96
6;Totaal sectoren;Totaal niet-financiële activa;2002;2409674.0;121405.0;23918.0;5978.0;483.0;2561459.0;97.12
7;Totaal sectoren;Totaal niet-financiële activa;2003;2561459.0;69091.0;21682.0;7240.0;-443.0;2659029.0;98.18
8;Totaal sectoren;Totaal niet-financiële activa;2004;2659029.0;71495.0;19608.0;6559.0;-2962.0;2753728.0;99.03
9;Totaal sectoren;Totaal niet-financiële activa;2005;2753728.0;91493.0;21317.0;2829.0;1490.0;2870857.0;100.0
10;Totaal sectoren;Totaal niet-financiële activa;2006;2870857.0;134017.0;29223.0;1453.0;24.0;3035574.0;101.14
11;Totaal sectoren;Totaal niet-financiële activa;2007;3035574.0;134240.0;34544.0;4384.0;5800.0;3214542.0;102.63
12;Totaal sectoren;Totaal niet-financiële activa;2008;3214542.0;132571.0;36145.0;3831.0;-469.0;3386620.0;104.05
13;Totaal sectoren;Totaal niet-financiële activa;2009;3386620.0;-65460.0;17179.0;14557.0;0.0;3357404.0;105.06
14;Totaal sectoren;Totaal niet-financiële activa;2010;3357404.0;-25965.0;14202.0;4510.0;2110.0;3352261.0;105.67
15;Totaal sectoren;Totaal niet-financiële activa;2011;3352261.0;-58538.0;19306.0;-1380.0;0.0;3311649.0;106.31
16;Totaal sectoren;Totaal niet-financiële activa;2012;3311649.0;-112376.0;15879.0;-7048.0;0.0;3208104.0;106.72
17;Totaal sectoren;Totaal vaste activa;1996;;;;;;1052282.0;83.8
18;Totaal sectoren;Totaal vaste activa;1997;1052282.0;18956.0;25117.0;0.0;987.0;1097342.0;85.9
19;Totaal sectoren;Totaal vaste activa;1998;1097342.0;25749.0;27701.0;0.0;735.0;1151527.0;88.1
