ID;HerkomstBestemming;ResiduProduct;GevaarlijkNietGevaarlijk;Perioden;TotaalAfval_1;ChemischAfval_2;MetaalAfval_3;NietMetaalAfval_4;AfgedanktMateriaal_5;DierlijkEnPlantaardigAfval_6;GemengdAfval_7;Slib_8;MineraalAfval_9
0;Totaal particuliere huishoudens;3;3;1990;;;;;;;;;
1;Totaal particuliere huishoudens;3;3;1991;;;;;;;;;
2;Totaal particuliere huishoudens;3;3;1992;;;;;;;;;
3;Totaal particuliere huishoudens;3;3;1993;;;;;;;;;
4;Totaal particuliere huishoudens;3;3;1994;;;;;;;;;
5;Totaal particuliere huishoudens;3;3;1995;;;;;;;;;
6;Totaal particuliere huishoudens;3;3;1996;;;;;;;;;
7;Totaal particuliere huishoudens;3;3;1997;;;;;;;;;
8;Totaal particuliere huishoudens;3;3;1998;;;;;;;;;
9;Totaal particuliere huishoudens;3;3;1999;;;;;;;;;
10;Totaal particuliere huishoudens;3;3;2000;;;;;;;;;
11;Totaal particuliere huishoudens;3;3;2001;;;;;;;;;
12;Totaal particuliere huishoudens;3;3;2002;9289.0;16.0;55.0;1781.0;395.0;1805.0;4734.0;0.0;504.0
13;Totaal particuliere huishoudens;3;3;2003;9223.0;15.0;64.0;1813.0;384.0;1722.0;4648.0;0.0;576.0
14;Totaal particuliere huishoudens;3;3;2004;9493.0;14.0;68.0;1916.0;373.0;1808.0;4700.0;0.0;614.0
15;Totaal particuliere huishoudens;3;3;2005;9511.0;15.0;67.0;1933.0;352.0;1777.0;4760.0;0.0;607.0
16;Totaal particuliere huishoudens;3;3;2006;9417.0;21.0;70.0;1976.0;300.0;1710.0;4768.0;0.0;571.0
17;Totaal particuliere huishoudens;3;3;2007;9568.0;23.0;73.0;2109.0;278.0;1764.0;4704.0;0.0;617.0
18;Totaal particuliere huishoudens;3;3;2008;9420.0;23.0;71.0;2100.0;285.0;1707.0;4667.0;0.0;567.0
19;Totaal particuliere huishoudens;3;3;2009;9332.0;18.0;73.0;1971.0;369.0;1750.0;4582.0;0.0;568.0
20;Totaal particuliere huishoudens;3;3;2010;9072.0;17.0;65.0;1983.0;371.0;1713.0;4560.0;0.0;363.0
21;Totaal particuliere huishoudens;3;1;1990;;;;;;;;;
22;Totaal particuliere huishoudens;3;1;1991;;;;;;;;;
23;Totaal particuliere huishoudens;3;1;1992;;;;;;;;;
24;Totaal particuliere huishoudens;3;1;1993;;;;;;;;;
25;Totaal particuliere huishoudens;3;1;1994;;;;;;;;;
26;Totaal particuliere huishoudens;3;1;1995;;;;;;;;;
27;Totaal particuliere huishoudens;3;1;1996;;;;;;;;;
28;Totaal particuliere huishoudens;3;1;1997;;;;;;;;;
29;Totaal particuliere huishoudens;3;1;1998;;;;;;;;;
30;Totaal particuliere huishoudens;3;1;1999;;;;;;;;;
31;Totaal particuliere huishoudens;3;1;2000;;;;;;;;;
32;Totaal particuliere huishoudens;3;1;2001;;;;;;;;;
33;Totaal particuliere huishoudens;3;1;2002;331.0;15.0;0.0;0.0;303.0;0.0;0.0;0.0;13.0
34;Totaal particuliere huishoudens;3;1;2003;324.0;15.0;0.0;0.0;293.0;0.0;0.0;0.0;16.0
35;Totaal particuliere huishoudens;3;1;2004;310.0;13.0;0.0;0.0;282.0;0.0;0.0;0.0;15.0
36;Totaal particuliere huishoudens;3;1;2005;287.0;15.0;0.0;0.0;260.0;0.0;0.0;0.0;12.0
37;Totaal particuliere huishoudens;3;1;2006;245.0;21.0;0.0;0.0;213.0;0.0;0.0;0.0;11.0
38;Totaal particuliere huishoudens;3;1;2007;217.0;23.0;0.0;0.0;183.0;0.0;0.0;0.0;12.0
39;Totaal particuliere huishoudens;3;1;2008;221.0;23.0;0.0;0.0;187.0;0.0;0.0;0.0;10.0
40;Totaal particuliere huishoudens;3;1;2009;;;;;;;;;
41;Totaal particuliere huishoudens;3;1;2010;;;;;;;;;
42;Totaal particuliere huishoudens;3;2;1990;;;;;;;;;
43;Totaal particuliere huishoudens;3;2;1991;;;;;;;;;
