ID;Geslacht;Leeftijd;Herkomstgroepering;Perioden;InstroomWWInclHerinstroom_1;HerinstroomWW_2
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2005 1e kwartaal;95370;26780
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2005 2e kwartaal;76140;20200
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2005 3e kwartaal;65520;17970
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2005 4e kwartaal;69080;20530
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2006 1e kwartaal;85270;27290
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2006 2e kwartaal;61330;16510
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2006 3e kwartaal;55790;16020
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2006 4e kwartaal;60880;19970
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2007 1e kwartaal;64760;19420
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2007 2e kwartaal;48950;14820
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2007 3e kwartaal;46970;13090
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2007 4e kwartaal;51870;15670
12;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2005 1e kwartaal;70800;19830
13;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2005 2e kwartaal;54770;14120
14;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2005 3e kwartaal;47720;12660
15;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2005 4e kwartaal;49720;14700
16;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2006 1e kwartaal;62530;20170
17;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2006 2e kwartaal;43340;11420
18;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2006 3e kwartaal;40130;11200
19;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2006 4e kwartaal;43300;14270
20;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2007 1e kwartaal;46550;13970
21;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2007 2e kwartaal;34240;10320
22;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2007 3e kwartaal;32950;9120
23;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2007 4e kwartaal;35820;11060
24;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;2005 1e kwartaal;10000;2770
