ID;SIC2008;Periods;Enterprises_1;Employees_2;EmployeesInFTE_3;TotalOperatingReturns_4;NetTurnover_5;TotalOtherRevenues_6;Subsidies_7;OtherRevenuesNotBeforeMentioned_8;TotalOperatingCosts_9;TotalLabourCosts_10;WagesAndSalaries_11;SocialSecurityContributions_12;DepreciationFixedAssets_13;TotalOtherOperatingCosts_14;OtherPersonnelCosts_15;OperatingCostsNotBeforeMentioned_16;OperatingResults_17;OperatingSurplus_18;ExceptionalResult_19;PreTaxResults_20;TotalAssets_21;IntangibleFixedAssets_22;TangibleFixedAssets_23;FinancialAssets_24;Stock_25;ShortTermClaims_26;Securities_27;LiquidAssets_28;TotalLiabilities_29;Equity_30;Provisions_31;LongTermLoans_32;ShortTermLoans_33
0;86101 University hospitals;2006;8;60490.0;47900.0;4699;3693.0;1006.0;844.0;162.0;4554;2697;2177;520;209;1647.0;221.0;1426.0;145;-56.0;0.0;90.0;5305;78;3132;33;684;1027;3;348;5305;1436;267;1382;2220
1;86101 University hospitals;2007;8;61870.0;49600.0;5210;3772.0;1438.0;1061.0;377.0;5071;2885;2340;545;261;1925.0;229.0;1696.0;139;-47.0;-3.0;89.0;5319;2;3327;36;664;932;0;358;5319;1503;305;1220;2292
2;86101 University hospitals;2008;8;68220.0;52790.0;5841;3661.0;2180.0;1739.0;442.0;5705;3218;2603;614;291;2197.0;298.0;1898.0;136;-35.0;0.0;101.0;5621;2;3604;41;587;890;0;496;5621;941;394;1913;2372
3;86101 University hospitals;2009;8;70790.0;54920.0;6267;4057.0;2211.0;1849.0;362.0;6157;3488;2805;682;296;2374.0;330.0;2044.0;110;-42.0;1.0;69.0;5823;3;3918;41;649;949;0;264;5823;1050;454;2189;2129
4;86101 University hospitals;2010;8;72250.0;55930.0;6640;4402.0;2238.0;1983.0;254.0;6534;3717;2983;734;441;2376.0;357.0;2019.0;105;-65.0;0.0;41.0;6284;20;4077;41;486;1452;0;208;6284;1089;499;2285;2410
5;86101 University hospitals;2011;8;71750.0;57170.0;6866;4541.0;2324.0;2073.0;252.0;6683;3819;3063;756;394;2470.0;361.0;2109.0;183;-95.0;0.0;88.0;6961;13;4429;59;715;1496;0;247;6961;1215;516;2824;2406
6;86101 University hospitals;2012;8;71940.0;57050.0;7190;4739.0;2451.0;2134.0;317.0;6952;3975;3143;831;414;2563.0;346.0;2217.0;238;-111.0;-1.0;125.0;7637;29;4638;58;351;2252;2;308;7637;1497;491;3098;2550
7;86101 University hospitals;2013;8;71389.0;55939.0;7546;4798.0;2748.0;2227.0;520.0;7323;4051;3166;884;517;2756.0;362.0;2394.0;223;-104.0;-2.0;117.0;7646;51;4577;55;184;2364;2;412;7646;1637;525;3067;2416
8;86101 University hospitals;2014;8;71673.0;56125.0;7621;4835.0;2787.0;2277.0;509.0;7346;4130;3221;909;448;2768.0;339.0;2430.0;275;-95.0;0.0;179.0;7704;83;4556;57;195;1937;4;872;7704;1836;670;2934;2264
9;86102 General hospitals;2006;82;176350.0;123540.0;10537;10309.0;228.0;33.0;195.0;10176;5603;4548;1055;760;3814.0;441.0;3373.0;361;-288.0;2.0;75.0;12750;258;7932;181;1019;2858;0;502;12750;1133;261;4966;6389
10;86102 General hospitals;2007;81;180320.0;125510.0;11068;10412.0;656.0;297.0;359.0;10672;5812;4714;1098;880;3980.0;477.0;3503.0;396;-256.0;-6.0;134.0;13000;37;8553;152;1236;2568;3;450;13000;1282;271;4936;6511
11;86102 General hospitals;2008;79;183920.0;125460.0;11724;11039.0;685.0;290.0;395.0;11331;6157;4981;1176;894;4279.0;570.0;3710.0;393;-277.0;0.0;116.0;13762;15;9103;272;1142;2732;3;495;13762;1416;313;5223;6809
12;86102 General hospitals;2009;78;190640.0;129790.0;12659;11857.0;802.0;321.0;481.0;12171;6452;5241;1211;1001;4718.0;636.0;4082.0;488;-286.0;13.0;215.0;14187;128;9485;255;898;2890;3;528;14187;1684;348;5494;6661
13;86102 General hospitals;2010;76;193420.0;133220.0;13845;13036.0;810.0;355.0;454.0;13273;6789;5503;1286;1595;4890.0;656.0;4233.0;572;-304.0;14.0;281.0;14288;37;9431;187;777;3283;3;570;14288;2006;438;5803;6041
14;86102 General hospitals;2011;75;195640.0;135110.0;13775;12776.0;999.0;502.0;497.0;13196;7060;5717;1343;1129;5007.0;666.0;4340.0;579;-320.0;5.0;265.0;15315;25;9844;215;953;3239;3;1035;15315;2297;548;6525;5944
15;86102 General hospitals;2012;75;195940.0;135930.0;14455;13251.0;1204.0;589.0;615.0;13841;7305;5909;1396;1135;5401.0;655.0;4746.0;614;-344.0;2.0;272.0;16171;32;10152;229;1029;3916;4;809;16171;2625;685;6844;6018
16;86102 General hospitals;2013;73;;133563.0;15069;13762.0;1307.0;588.0;718.0;14333;7511;6090;1421;1141;5681.0;640.0;5041.0;736;-343.0;0.0;393.0;16510;18;10544;133;596;4194;4;1021;16510;3100;778;6952;5680
17;86102 General hospitals;2014;72;190105.0;133949.0;15238;13904.0;1335.0;641.0;694.0;14614;7677;6173;1504;1114;5823.0;655.0;5168.0;625;-340.0;0.0;284.0;16471;30;10733;130;526;3782;4;1267;16471;3409;826;7134;5102
18;86103 Specialised hospitals (not mental);2006;28;14080.0;9900.0;835;751.0;84.0;42.0;42.0;800;507;414;94;54;238.0;53.0;186.0;36;-23.0;2.0;14.0;1000;22;680;23;39;204;0;33;1000;166;28;412;394
19;86103 Specialised hospitals (not mental);2007;27;15280.0;10770.0;911;795.0;116.0;73.0;43.0;880;551;451;100;56;272.0;51.0;221.0;31;-23.0;-1.0;8.0;1039;3;729;11;50;203;3;39;1039;181;37;405;415
20;86103 Specialised hospitals (not mental);2008;27;15910.0;11410.0;980;830.0;149.0;95.0;54.0;940;586;480;106;66;288.0;59.0;229.0;39;-25.0;2.0;16.0;1131;1;746;13;70;240;8;53;1131;184;31;431;484
21;86103 Specialised hospitals (not mental);2009;25;16840.0;11550.0;1064;892.0;173.0;110.0;63.0;1023;636;517;119;75;313.0;60.0;252.0;41;-22.0;1.0;20.0;1230;0;788;10;102;278;9;43;1230;214;37;418;561
22;86103 Specialised hospitals (not mental);2010;23;17490.0;12130.0;1157;981.0;176.0;129.0;48.0;1112;675;552;123;107;330.0;68.0;262.0;46;-26.0;0.0;19.0;1208;0;746;8;134;254;9;57;1208;236;40;437;494
23;86103 Specialised hospitals (not mental);2011;23;17880.0;12200.0;1204;1018.0;187.0;120.0;67.0;1161;709;579;129;97;355.0;72.0;283.0;44;-21.0;0.0;23.0;1206;0;708;13;165;227;8;86;1206;260;52;438;457
24;86103 Specialised hospitals (not mental);2012;23;17790.0;12220.0;1235;1044.0;190.0;122.0;69.0;1193;731;596;135;75;387.0;83.0;304.0;41;-17.0;0.0;24.0;1248;0;732;13;70;343;9;81;1248;288;45;402;513
25;86103 Specialised hospitals (not mental);2013;23;17945.0;12607.0;1289;1093.0;196.0;124.0;72.0;1239;757;611;145;80;402.0;75.0;326.0;50;-16.0;0.0;34.0;1331;1;781;14;78;351;7;99;1331;319;57;497;458
26;86103 Specialised hospitals (not mental);2014;23;18064.0;12856.0;1322;1108.0;213.0;135.0;79.0;1282;778;625;154;73;430.0;87.0;343.0;39;-20.0;0.0;19.0;1360;5;823;11;83;306;6;126;1360;339;61;545;415
27;Care for mental health;2006;100;75860.0;57760.0;4308;3784.0;524.0;431.0;93.0;4181;2831;2302;529;183;1167.0;264.0;903.0;127;-57.0;0.0;70.0;2965;34;2399;11;7;179;1;334;2965;621;142;1174;1028
28;Care for mental health;2007;102;80010.0;60080.0;4630;3967.0;663.0;549.0;114.0;4519;3031;2478;554;204;1284.0;283.0;1000.0;111;-56.0;8.0;63.0;3175;7;2599;15;7;271;0;275;3175;705;145;1243;1083
29;Care for mental health;2008;97;81380.0;61560.0;4862;4055.0;807.0;668.0;139.0;4753;3187;2579;608;214;1351.0;318.0;1033.0;110;-85.0;2.0;26.0;4803;8;2780;19;668;1208;0;120;4803;724;154;1434;2490
30;Care for mental health;2009;95;83690.0;63440.0;5238;4319.0;919.0;771.0;149.0;5057;3357;2762;595;229;1472.0;329.0;1143.0;181;-82.0;0.0;99.0;4962;7;2929;24;584;1247;1;169;4962;816;171;1498;2477
31;Care for mental health;2010;95;83650.0;63020.0;5324;4393.0;931.0;791.0;139.0;5148;3446;2813;633;237;1465.0;322.0;1143.0;176;-77.0;-1.0;98.0;4843;9;2989;46;577;899;0;323;4843;894;204;1579;2166
32;Care for mental health;2011;100;84290.0;63430.0;5550;4619.0;931.0;800.0;130.0;5359;3567;2903;664;320;1472.0;326.0;1146.0;191;-74.0;1.0;118.0;4831;9;3082;53;461;895;0;331;4831;1014;249;1700;1868
33;Care for mental health;2012;111;83530.0;63220.0;5710;4742.0;968.0;831.0;136.0;5528;3677;2983;693;322;1530.0;345.0;1184.0;182;-84.0;0.0;97.0;5107;10;3126;56;328;1193;0;394;5107;1121;285;1942;1759
