ID;Geslacht;Leeftijd;Perioden;TotaalSlachtoffersMoordEnDoodslag_1;SlachtoffersMoordEnDoodslagRelatief_2;OphangenVerwurgenOfVerstikken_3;SlaanOfSchoppen_4;Vuurwapen_5;SteekOfSlagwapen_6;OverigeOfOnbekendeWijze_7;WoningVanHetSlachtofferOfAnderen_8;LocatieVoorHandelEnDienstverlening_9;OpenbareWeg_10;OverigeOfOnbekendeLocatie_11
0;Totaal mannen en vrouwen;Totaal alle leeftijden;1996;240;15.5;22.0;13.0;86.0;88.0;31.0;97.0;15.0;40.0;88.0
1;Totaal mannen en vrouwen;Totaal alle leeftijden;1997;237;15.2;33.0;9.0;78.0;76.0;41.0;70.0;15.0;51.0;101.0
2;Totaal mannen en vrouwen;Totaal alle leeftijden;1998;208;13.2;23.0;9.0;74.0;73.0;29.0;66.0;9.0;47.0;86.0
3;Totaal mannen en vrouwen;Totaal alle leeftijden;1999;230;14.5;19.0;21.0;89.0;81.0;20.0;95.0;10.0;58.0;67.0
4;Totaal mannen en vrouwen;Totaal alle leeftijden;2000;223;14.0;24.0;6.0;81.0;75.0;37.0;101.0;21.0;40.0;61.0
5;Totaal mannen en vrouwen;Totaal alle leeftijden;2001;264;16.5;12.0;9.0;91.0;103.0;49.0;133.0;13.0;67.0;51.0
6;Totaal mannen en vrouwen;Totaal alle leeftijden;2002;224;13.9;14.0;18.0;80.0;77.0;35.0;115.0;13.0;63.0;33.0
7;Totaal mannen en vrouwen;Totaal alle leeftijden;2003;247;15.2;16.0;17.0;75.0;95.0;44.0;113.0;19.0;65.0;50.0
8;Totaal mannen en vrouwen;Totaal alle leeftijden;2004;223;13.7;23.0;18.0;67.0;87.0;28.0;105.0;15.0;70.0;33.0
9;Totaal mannen en vrouwen;Totaal alle leeftijden;2005;197;12.1;24.0;7.0;63.0;70.0;33.0;114.0;18.0;47.0;18.0
10;Totaal mannen en vrouwen;Totaal alle leeftijden;2006;159;9.7;12.0;8.0;43.0;66.0;30.0;83.0;12.0;30.0;34.0
11;Totaal mannen en vrouwen;Totaal alle leeftijden;2007;164;10.0;16.0;15.0;47.0;66.0;20.0;92.0;18.0;34.0;20.0
12;Totaal mannen en vrouwen;Totaal alle leeftijden;2008;176;10.7;12.0;16.0;52.0;75.0;21.0;94.0;8.0;50.0;24.0
13;Totaal mannen en vrouwen;Totaal alle leeftijden;2009;175;10.6;13.0;19.0;55.0;69.0;19.0;102.0;10.0;42.0;21.0
14;Totaal mannen en vrouwen;Totaal alle leeftijden;2010;158;9.5;12.0;18.0;41.0;75.0;12.0;98.0;10.0;36.0;14.0
15;Totaal mannen en vrouwen;Totaal alle leeftijden;2011;165;9.9;13.0;18.0;60.0;62.0;12.0;93.0;21.0;31.0;20.0
16;Totaal mannen en vrouwen;Totaal alle leeftijden;2012;157;9.4;15.0;21.0;54.0;53.0;14.0;87.0;11.0;34.0;25.0
17;Totaal mannen en vrouwen;Totaal alle leeftijden;2013;147;8.7;21.0;12.0;35.0;56.0;23.0;91.0;8.0;25.0;23.0
18;Totaal mannen en vrouwen;Totaal alle leeftijden;2014;144;8.5;17.0;14.0;47.0;57.0;9.0;71.0;11.0;44.0;18.0
19;Totaal mannen en vrouwen;Totaal alle leeftijden;2015;120;7.1;13.0;13.0;41.0;49.0;4.0;66.0;4.0;35.0;15.0
20;Totaal mannen en vrouwen;Totaal alle leeftijden;2016;108;6.5;9.0;13.0;31.0;51.0;4.0;58.0;10.0;31.0;9.0
21;Totaal mannen en vrouwen;Totaal alle leeftijden;2017;158;9.2;14.0;21.0;46.0;68.0;9.0;77.0;11.0;45.0;25.0
22;Totaal mannen en vrouwen;Totaal alle leeftijden;2018;119;6.9;18.0;10.0;40.0;49.0;2.0;80.0;11.0;22.0;6.0
23;Totaal mannen en vrouwen;Jonger dan 20 jaar;1996;29;7.7;4.0;1.0;3.0;11.0;10.0;18.0;1.0;3.0;7.0
24;Totaal mannen en vrouwen;Jonger dan 20 jaar;1997;36;9.5;11.0;2.0;5.0;6.0;12.0;13.0;1.0;4.0;18.0
25;Totaal mannen en vrouwen;Jonger dan 20 jaar;1998;26;6.8;3.0;0.0;6.0;9.0;8.0;10.0;0.0;3.0;13.0
26;Totaal mannen en vrouwen;Jonger dan 20 jaar;1999;26;6.7;8.0;1.0;6.0;6.0;5.0;11.0;0.0;4.0;11.0
27;Totaal mannen en vrouwen;Jonger dan 20 jaar;2000;27;6.9;4.0;1.0;4.0;8.0;10.0;12.0;1.0;6.0;8.0
28;Totaal mannen en vrouwen;Jonger dan 20 jaar;2001;25;6.4;2.0;0.0;5.0;8.0;10.0;13.0;2.0;4.0;6.0
29;Totaal mannen en vrouwen;Jonger dan 20 jaar;2002;28;7.1;3.0;0.0;3.0;4.0;18.0;20.0;0.0;4.0;4.0
30;Totaal mannen en vrouwen;Jonger dan 20 jaar;2003;30;7.5;2.0;4.0;3.0;13.0;8.0;17.0;1.0;11.0;1.0
