ID;ParticipatieEnVertrouwen;Persoonskenmerken;Perioden;NietZoGelukkig_1;Gelukkig_2;NietZoTevredenMetHetLeven_3;TevredenMetHetLeven_4
0;999;Totaal persoonskenmerken;2003;13.0;87.0;13.0;87.0
1;999;Totaal persoonskenmerken;2004;13.0;87.0;13.0;87.0
2;999;Totaal persoonskenmerken;2005;13.0;87.0;14.0;86.0
3;999;Totaal persoonskenmerken;2006;12.0;88.0;13.0;87.0
4;999;Totaal persoonskenmerken;2007;12.0;88.0;13.0;87.0
5;999;Totaal persoonskenmerken;2008;12.0;88.0;12.0;88.0
6;999;Totaal persoonskenmerken;2009;11.0;89.0;13.0;87.0
7;999;Totaal persoonskenmerken;2010 oude methode;13.0;87.0;14.0;86.0
8;999;Totaal persoonskenmerken;2010 nieuwe methode;16.0;84.0;15.0;85.0
9;999;Totaal persoonskenmerken;2012;17.0;83.0;17.0;83.0
10;999;Geslacht: mannen;2003;12.0;88.0;13.0;87.0
11;999;Geslacht: mannen;2004;11.0;89.0;13.0;87.0
12;999;Geslacht: mannen;2005;13.0;87.0;14.0;86.0
13;999;Geslacht: mannen;2006;10.0;90.0;13.0;87.0
14;999;Geslacht: mannen;2007;11.0;89.0;12.0;88.0
15;999;Geslacht: mannen;2008;12.0;88.0;11.0;89.0
16;999;Geslacht: mannen;2009;10.0;90.0;12.0;88.0
17;999;Geslacht: mannen;2010 oude methode;11.0;89.0;13.0;87.0
18;999;Geslacht: mannen;2010 nieuwe methode;14.0;86.0;15.0;85.0
19;999;Geslacht: mannen;2012;18.0;82.0;17.0;83.0
20;999;Geslacht: vrouwen;2003;14.0;86.0;14.0;86.0
21;999;Geslacht: vrouwen;2004;14.0;86.0;14.0;86.0
22;999;Geslacht: vrouwen;2005;14.0;86.0;14.0;86.0
23;999;Geslacht: vrouwen;2006;13.0;87.0;14.0;86.0
24;999;Geslacht: vrouwen;2007;13.0;87.0;13.0;87.0
25;999;Geslacht: vrouwen;2008;12.0;88.0;12.0;88.0
26;999;Geslacht: vrouwen;2009;13.0;87.0;13.0;87.0
27;999;Geslacht: vrouwen;2010 oude methode;14.0;86.0;15.0;85.0
28;999;Geslacht: vrouwen;2010 nieuwe methode;18.0;82.0;16.0;84.0
29;999;Geslacht: vrouwen;2012;16.0;84.0;17.0;83.0
30;999;Leeftijd: 18 tot 35 jaar;2003;9.0;91.0;11.0;89.0
31;999;Leeftijd: 18 tot 35 jaar;2004;10.0;90.0;12.0;88.0
32;999;Leeftijd: 18 tot 35 jaar;2005;11.0;89.0;13.0;87.0
33;999;Leeftijd: 18 tot 35 jaar;2006;8.0;92.0;12.0;88.0
34;999;Leeftijd: 18 tot 35 jaar;2007;10.0;90.0;10.0;90.0
35;999;Leeftijd: 18 tot 35 jaar;2008;7.0;93.0;9.0;91.0
36;999;Leeftijd: 18 tot 35 jaar;2009;9.0;91.0;11.0;89.0
37;999;Leeftijd: 18 tot 35 jaar;2010 oude methode;8.0;92.0;11.0;89.0
38;999;Leeftijd: 18 tot 35 jaar;2010 nieuwe methode;13.0;87.0;14.0;86.0
39;999;Leeftijd: 18 tot 35 jaar;2012;12.0;88.0;15.0;85.0
40;999;Leeftijd: 35 tot 50 jaar;2003;12.0;88.0;14.0;86.0
41;999;Leeftijd: 35 tot 50 jaar;2004;12.0;88.0;14.0;86.0
42;999;Leeftijd: 35 tot 50 jaar;2005;12.0;88.0;14.0;86.0
43;999;Leeftijd: 35 tot 50 jaar;2006;12.0;88.0;14.0;86.0
44;999;Leeftijd: 35 tot 50 jaar;2007;11.0;89.0;13.0;87.0
45;999;Leeftijd: 35 tot 50 jaar;2008;13.0;87.0;14.0;86.0
46;999;Leeftijd: 35 tot 50 jaar;2009;11.0;89.0;14.0;86.0
47;999;Leeftijd: 35 tot 50 jaar;2010 oude methode;18.0;82.0;14.0;86.0
48;999;Leeftijd: 35 tot 50 jaar;2010 nieuwe methode;16.0;84.0;16.0;84.0
49;999;Leeftijd: 35 tot 50 jaar;2012;16.0;84.0;17.0;83.0
50;999;Leeftijd: 50 tot 65 jaar;2003;14.0;86.0;13.0;87.0
51;999;Leeftijd: 50 tot 65 jaar;2004;14.0;86.0;14.0;86.0
52;999;Leeftijd: 50 tot 65 jaar;2005;15.0;85.0;16.0;84.0
53;999;Leeftijd: 50 tot 65 jaar;2006;13.0;87.0;15.0;85.0
54;999;Leeftijd: 50 tot 65 jaar;2007;14.0;86.0;14.0;86.0
55;999;Leeftijd: 50 tot 65 jaar;2008;13.0;87.0;12.0;88.0
56;999;Leeftijd: 50 tot 65 jaar;2009;11.0;89.0;13.0;0.0
57;999;Leeftijd: 50 tot 65 jaar;2010 oude methode;14.0;86.0;15.0;85.0
58;999;Leeftijd: 50 tot 65 jaar;2010 nieuwe methode;17.0;83.0;16.0;84.0
59;999;Leeftijd: 50 tot 65 jaar;2012;22.0;78.0;21.0;79.0
60;999;Leeftijd: 65 jaar of ouder;2003;18.0;82.0;15.0;85.0
61;999;Leeftijd: 65 jaar of ouder;2004;17.0;83.0;13.0;87.0
62;999;Leeftijd: 65 jaar of ouder;2005;17.0;83.0;13.0;87.0
63;999;Leeftijd: 65 jaar of ouder;2006;15.0;85.0;12.0;88.0
64;999;Leeftijd: 65 jaar of ouder;2007;16.0;84.0;14.0;86.0
65;999;Leeftijd: 65 jaar of ouder;2008;15.0;85.0;12.0;88.0
66;999;Leeftijd: 65 jaar of ouder;2009;15.0;85.0;13.0;87.0
67;999;Leeftijd: 65 jaar of ouder;2010 oude methode;18.0;82.0;14.0;86.0
68;999;Leeftijd: 65 jaar of ouder;2010 nieuwe methode;20.0;80.0;16.0;84.0
69;999;Leeftijd: 65 jaar of ouder;2012;18.0;82.0;15.0;85.0
70;999;Herkomst: autochtoon;2003;11.0;89.0;12.0;88.0
71;999;Herkomst: autochtoon;2004;11.0;89.0;12.0;88.0
72;999;Herkomst: autochtoon;2005;11.0;89.0;12.0;88.0
73;999;Herkomst: autochtoon;2006;10.0;90.0;12.0;88.0
74;999;Herkomst: autochtoon;2007;11.0;89.0;12.0;88.0
75;999;Herkomst: autochtoon;2008;10.0;90.0;11.0;89.0
76;999;Herkomst: autochtoon;2009;10.0;90.0;11.0;89.0
