ID;BedrijfstakkenBranchesSBI2008;Perioden;BedrijfsbestelautoS_1
0;A-U Alle economische activiteiten;2009;814444.0
1;A-U Alle economische activiteiten;2010;817280.0
2;A-U Alle economische activiteiten;2011;825724.0
3;A-U Alle economische activiteiten;2012;820841.0
4;A-U Alle economische activiteiten;2013;808302.0
5;A-U Alle economische activiteiten;2014;804084.0
6;A-U Alle economische activiteiten;2015;815365.0
7;A-U Alle economische activiteiten;2016;850606.0
8;B-E Nijverheid (geen bouw) en energie;2009;73035.0
9;B-E Nijverheid (geen bouw) en energie;2010;73538.0
10;B-E Nijverheid (geen bouw) en energie;2011;76435.0
11;B-E Nijverheid (geen bouw) en energie;2012;72747.0
12;B-E Nijverheid (geen bouw) en energie;2013;73245.0
13;B-E Nijverheid (geen bouw) en energie;2014;72452.0
14;B-E Nijverheid (geen bouw) en energie;2015;72131.0
15;B-E Nijverheid (geen bouw) en energie;2016;76939.0
16;G-I Handel, vervoer en horeca;2009;261882.0
17;G-I Handel, vervoer en horeca;2010;262772.0
18;G-I Handel, vervoer en horeca;2011;260264.0
19;G-I Handel, vervoer en horeca;2012;262228.0
20;G-I Handel, vervoer en horeca;2013;256774.0
21;G-I Handel, vervoer en horeca;2014;255446.0
22;G-I Handel, vervoer en horeca;2015;259063.0
23;G-I Handel, vervoer en horeca;2016;273291.0
24;M-N Zakelijke dienstverlening;2009;108462.0
25;M-N Zakelijke dienstverlening;2010;108960.0
26;M-N Zakelijke dienstverlening;2011;113481.0
27;M-N Zakelijke dienstverlening;2012;114732.0
28;M-N Zakelijke dienstverlening;2013;115458.0
29;M-N Zakelijke dienstverlening;2014;116321.0
30;M-N Zakelijke dienstverlening;2015;120400.0
31;M-N Zakelijke dienstverlening;2016;120805.0
32;O-Q Overheid en zorg;2009;24014.0
33;O-Q Overheid en zorg;2010;25032.0
34;O-Q Overheid en zorg;2011;25095.0
35;O-Q Overheid en zorg;2012;25268.0
36;O-Q Overheid en zorg;2013;25945.0
37;O-Q Overheid en zorg;2014;25142.0
38;O-Q Overheid en zorg;2015;26045.0
39;O-Q Overheid en zorg;2016;26991.0
40;R-U Cultuur, recreatie, overige diensten;2009;27133.0
41;R-U Cultuur, recreatie, overige diensten;2010;29123.0
42;R-U Cultuur, recreatie, overige diensten;2011;28885.0
43;R-U Cultuur, recreatie, overige diensten;2012;28679.0
44;R-U Cultuur, recreatie, overige diensten;2013;28629.0
45;R-U Cultuur, recreatie, overige diensten;2014;28968.0
46;R-U Cultuur, recreatie, overige diensten;2015;29689.0
47;R-U Cultuur, recreatie, overige diensten;2016;29931.0
48;A Landbouw, bosbouw en visserij;2009;45040.0
49;A Landbouw, bosbouw en visserij;2010;45862.0
50;A Landbouw, bosbouw en visserij;2011;46438.0
51;A Landbouw, bosbouw en visserij;2012;46402.0
52;A Landbouw, bosbouw en visserij;2013;46662.0
53;A Landbouw, bosbouw en visserij;2014;47436.0
54;A Landbouw, bosbouw en visserij;2015;49086.0
55;A Landbouw, bosbouw en visserij;2016;50899.0
56;01 Landbouw;2009;43703.0
57;01 Landbouw;2010;44463.0
58;01 Landbouw;2011;45009.0
59;01 Landbouw;2012;45000.0
60;01 Landbouw;2013;45248.0
61;01 Landbouw;2014;46032.0
62;01 Landbouw;2015;47561.0
63;01 Landbouw;2016;49374.0
64;011 Teelt van eenjarige gewassen;2009;9409.0
65;011 Teelt van eenjarige gewassen;2010;9548.0
66;011 Teelt van eenjarige gewassen;2011;9844.0
67;011 Teelt van eenjarige gewassen;2012;9771.0
68;011 Teelt van eenjarige gewassen;2013;9812.0
69;011 Teelt van eenjarige gewassen;2014;9772.0
70;011 Teelt van eenjarige gewassen;2015;10163.0
71;011 Teelt van eenjarige gewassen;2016;10572.0
72;0111 Teelt van granen en peulvruchten;2009;4660.0
73;0111 Teelt van granen en peulvruchten;2010;4452.0
74;0111 Teelt van granen en peulvruchten;2011;3989.0
75;0111 Teelt van granen en peulvruchten;2012;3798.0
76;0111 Teelt van granen en peulvruchten;2013;3805.0
77;0111 Teelt van granen en peulvruchten;2014;3829.0
78;0111 Teelt van granen en peulvruchten;2015;3817.0
79;0111 Teelt van granen en peulvruchten;2016;3942.0
80;0113 Teelt van groenten en knolgewassen;2009;2479.0
81;0113 Teelt van groenten en knolgewassen;2010;2793.0
82;0113 Teelt van groenten en knolgewassen;2011;3489.0
83;0113 Teelt van groenten en knolgewassen;2012;3620.0
84;0113 Teelt van groenten en knolgewassen;2013;3673.0
85;0113 Teelt van groenten en knolgewassen;2014;3692.0
86;0113 Teelt van groenten en knolgewassen;2015;3974.0
87;0113 Teelt van groenten en knolgewassen;2016;4261.0
88;0116 Teelt van vezelgewassen;2009;77.0
89;0116 Teelt van vezelgewassen;2010;69.0
90;0116 Teelt van vezelgewassen;2011;65.0
91;0116 Teelt van vezelgewassen;2012;65.0
92;0116 Teelt van vezelgewassen;2013;63.0
93;0116 Teelt van vezelgewassen;2014;65.0
94;0116 Teelt van vezelgewassen;2015;67.0
95;0116 Teelt van vezelgewassen;2016;67.0
96;0119 Teelt van andere eenjarige gewassen;2009;2193.0
97;0119 Teelt van andere eenjarige gewassen;2010;2234.0
98;0119 Teelt van andere eenjarige gewassen;2011;2301.0
99;0119 Teelt van andere eenjarige gewassen;2012;2288.0
100;0119 Teelt van andere eenjarige gewassen;2013;2271.0
101;0119 Teelt van andere eenjarige gewassen;2014;2186.0
102;0119 Teelt van andere eenjarige gewassen;2015;2305.0
103;0119 Teelt van andere eenjarige gewassen;2016;2302.0
104;012 Teelt van meerjarige gewassen;2009;1290.0
105;012 Teelt van meerjarige gewassen;2010;1398.0
106;012 Teelt van meerjarige gewassen;2011;1487.0
107;012 Teelt van meerjarige gewassen;2012;1484.0
108;012 Teelt van meerjarige gewassen;2013;1518.0
109;012 Teelt van meerjarige gewassen;2014;1527.0
110;012 Teelt van meerjarige gewassen;2015;1614.0
111;012 Teelt van meerjarige gewassen;2016;1681.0
112;0121 Teelt van druiven;2009;
113;0121 Teelt van druiven;2010;6.0
114;0121 Teelt van druiven;2011;16.0
115;0121 Teelt van druiven;2012;18.0
116;0121 Teelt van druiven;2013;12.0
117;0121 Teelt van druiven;2014;8.0
118;0121 Teelt van druiven;2015;9.0
119;0121 Teelt van druiven;2016;12.0
120;0124 Teelt van pit- en steenvruchten;2009;1205.0
121;0124 Teelt van pit- en steenvruchten;2010;1227.0
122;0124 Teelt van pit- en steenvruchten;2011;1251.0
123;0124 Teelt van pit- en steenvruchten;2012;1230.0
124;0124 Teelt van pit- en steenvruchten;2013;1217.0
125;0124 Teelt van pit- en steenvruchten;2014;1185.0
126;0124 Teelt van pit- en steenvruchten;2015;1219.0
127;0124 Teelt van pit- en steenvruchten;2016;1194.0
128;0125 Teelt van overige vruchten;2009;32.0
129;0125 Teelt van overige vruchten;2010;104.0
130;0125 Teelt van overige vruchten;2011;146.0
131;0125 Teelt van overige vruchten;2012;157.0
132;0125 Teelt van overige vruchten;2013;187.0
133;0125 Teelt van overige vruchten;2014;223.0
134;0125 Teelt van overige vruchten;2015;254.0
135;0125 Teelt van overige vruchten;2016;292.0
136;0127 Teelt van gewassen voor dranken;2009;0.0
137;0127 Teelt van gewassen voor dranken;2010;0.0
138;0127 Teelt van gewassen voor dranken;2011;0.0
139;0127 Teelt van gewassen voor dranken;2012;0.0
140;0127 Teelt van gewassen voor dranken;2013;0.0
141;0127 Teelt van gewassen voor dranken;2014;0.0
142;0127 Teelt van gewassen voor dranken;2015;0.0
143;0127 Teelt van gewassen voor dranken;2016;0.0
144;0128 Teelt van specerijen;2009;
145;0128 Teelt van specerijen;2010;30.0
146;0128 Teelt van specerijen;2011;34.0
147;0128 Teelt van specerijen;2012;34.0
148;0128 Teelt van specerijen;2013;38.0
149;0128 Teelt van specerijen;2014;35.0
150;0128 Teelt van specerijen;2015;29.0
151;0128 Teelt van specerijen;2016;40.0
152;0129 Teelt van overig meerjarig gewas;2009;13.0
153;0129 Teelt van overig meerjarig gewas;2010;31.0
154;0129 Teelt van overig meerjarig gewas;2011;40.0
155;0129 Teelt van overig meerjarig gewas;2012;45.0
156;0129 Teelt van overig meerjarig gewas;2013;64.0
157;0129 Teelt van overig meerjarig gewas;2014;76.0
158;0129 Teelt van overig meerjarig gewas;2015;103.0
159;0129 Teelt van overig meerjarig gewas;2016;143.0
160;013 Teelt van sierplanten;2009;5467.0
161;013 Teelt van sierplanten;2010;5514.0
162;013 Teelt van sierplanten;2011;5475.0
163;013 Teelt van sierplanten;2012;5382.0
164;013 Teelt van sierplanten;2013;5342.0
165;013 Teelt van sierplanten;2014;5284.0
166;013 Teelt van sierplanten;2015;5331.0
167;013 Teelt van sierplanten;2016;5340.0
168;0130 Teelt van sierplanten;2009;5467.0
169;0130 Teelt van sierplanten;2010;5514.0
170;0130 Teelt van sierplanten;2011;5475.0
171;0130 Teelt van sierplanten;2012;5382.0
172;0130 Teelt van sierplanten;2013;5342.0
173;0130 Teelt van sierplanten;2014;5284.0
174;0130 Teelt van sierplanten;2015;5331.0
175;0130 Teelt van sierplanten;2016;5340.0
176;014 Veeteelt en fokkerijen;2009;14745.0
177;014 Veeteelt en fokkerijen;2010;14775.0
178;014 Veeteelt en fokkerijen;2011;14742.0
179;014 Veeteelt en fokkerijen;2012;14542.0
180;014 Veeteelt en fokkerijen;2013;14749.0
181;014 Veeteelt en fokkerijen;2014;15295.0
182;014 Veeteelt en fokkerijen;2015;15912.0
183;014 Veeteelt en fokkerijen;2016;16666.0
184;0141 Melkveehouderij;2009;11360.0
185;0141 Melkveehouderij;2010;10221.0
186;0141 Melkveehouderij;2011;9043.0
187;0141 Melkveehouderij;2012;8546.0
188;0141 Melkveehouderij;2013;8481.0
189;0141 Melkveehouderij;2014;8671.0
190;0141 Melkveehouderij;2015;8814.0
191;0141 Melkveehouderij;2016;9192.0
192;0142 Rundveehouderij (geen melkvee);2009;319.0
193;0142 Rundveehouderij (geen melkvee);2010;598.0
194;0142 Rundveehouderij (geen melkvee);2011;1058.0
195;0142 Rundveehouderij (geen melkvee);2012;1287.0
196;0142 Rundveehouderij (geen melkvee);2013;1462.0
197;0142 Rundveehouderij (geen melkvee);2014;1580.0
198;0142 Rundveehouderij (geen melkvee);2015;1806.0
199;0142 Rundveehouderij (geen melkvee);2016;1923.0
200;0143 Paardenfokkerij;2009;138.0
201;0143 Paardenfokkerij;2010;201.0
202;0143 Paardenfokkerij;2011;281.0
203;0143 Paardenfokkerij;2012;321.0
204;0143 Paardenfokkerij;2013;356.0
205;0143 Paardenfokkerij;2014;411.0
206;0143 Paardenfokkerij;2015;451.0
207;0143 Paardenfokkerij;2016;550.0
208;0145 Schapen- en geitenhouderij;2009;740.0
209;0145 Schapen- en geitenhouderij;2010;956.0
210;0145 Schapen- en geitenhouderij;2011;1065.0
211;0145 Schapen- en geitenhouderij;2012;1010.0
212;0145 Schapen- en geitenhouderij;2013;1039.0
213;0145 Schapen- en geitenhouderij;2014;1094.0
214;0145 Schapen- en geitenhouderij;2015;1207.0
215;0145 Schapen- en geitenhouderij;2016;1303.0
216;0146 Varkenshouderij;2009;713.0
217;0146 Varkenshouderij;2010;1306.0
218;0146 Varkenshouderij;2011;1781.0
219;0146 Varkenshouderij;2012;1856.0
220;0146 Varkenshouderij;2013;1917.0
221;0146 Varkenshouderij;2014;1984.0
222;0146 Varkenshouderij;2015;2046.0
223;0146 Varkenshouderij;2016;2045.0
224;0147 Pluimveehouderij;2009;996.0
225;0147 Pluimveehouderij;2010;991.0
226;0147 Pluimveehouderij;2011;1003.0
227;0147 Pluimveehouderij;2012;996.0
228;0147 Pluimveehouderij;2013;971.0
229;0147 Pluimveehouderij;2014;995.0
230;0147 Pluimveehouderij;2015;1006.0
231;0147 Pluimveehouderij;2016;1048.0
232;0149 Overige fokkerij en houderij;2009;479.0
233;0149 Overige fokkerij en houderij;2010;502.0
234;0149 Overige fokkerij en houderij;2011;511.0
235;0149 Overige fokkerij en houderij;2012;526.0
236;0149 Overige fokkerij en houderij;2013;523.0
237;0149 Overige fokkerij en houderij;2014;560.0
238;0149 Overige fokkerij en houderij;2015;582.0
