ID;SoortMisdrijf;SoortVerdachte;LeeftijdVerdachte;Perioden;TotaalAfdoeningenDoorDeRechter_1;MeervoudigeKamer_2;Politierechter_3;MeervoudigeEconomischeKamer_4;EconomischePolitierechter_5;Kinderrechter_6;Raadkamer_7;Onbekend_8;OnbevoegdverklaringVanDeRechter_9;NietOntvankelijkOpenbaarMinisterie_10;NietOntvankelijkeVerdachte_11;SchorsingVanDeVervolging_12;Vrijspraak_13;OntslagRechtsvervolgingMetMaatregel_14;OntslagRechtsvervolgingZonderMaatr_15;SchuldigverklaringMetStraf_16;SchuldigverklaringZonderStraf_17;Onbekend_18;ContradictoirVonnis_19;Verstekvonnis_20;ZonderRechtsmiddel_21;HogerBeroep_22;Cassatie_23;RechtsmiddelOnbekend_24
0;Misdrijven, totaal;Totaal;Totaal leeftijd;1994;96510;9495;74895;75;6945;5100;0;0;30;565;0;0;3960;0;230;91210;520;0;60005;36510;87775;8720;15;0
1;Misdrijven, totaal;Totaal;Totaal leeftijd;1995;102310;10290;80125;65;6385;5445;0;0;30;680;0;0;4130;0;260;96545;660;0;65000;37310;93570;8720;20;0
2;Misdrijven, totaal;Totaal;Totaal leeftijd;1996;104615;11060;80175;120;6585;6680;0;0;40;605;0;5;4190;0;225;98845;715;0;69290;35325;95895;8710;15;0
3;Misdrijven, totaal;Totaal;Totaal leeftijd;1997;106370;11225;81160;100;7320;6565;0;0;25;755;0;5;4130;0;220;100515;720;0;70240;36135;95815;9950;605;0
4;Misdrijven, totaal;Totaal;Totaal leeftijd;1998;105030;11115;80590;80;6370;6875;0;0;45;480;0;0;4110;0;220;99540;640;0;69785;35245;93920;10860;250;0
5;Misdrijven, totaal;Totaal;Totaal leeftijd;1999;111310;11115;87195;75;5725;7200;0;0;50;520;0;15;4655;0;285;105155;630;0;75265;36045;100145;11110;55;0
6;Misdrijven, totaal;Totaal;Totaal leeftijd;2000;111030;11230;86460;85;5465;7785;0;0;45;650;0;10;4690;0;245;104760;630;0;73710;37325;101230;9790;15;0
7;Misdrijven, totaal;Totaal;Totaal leeftijd;2001;113335;12610;88135;5;4940;7640;0;0;55;1005;0;5;4825;0;305;106445;685;0;74595;38735;102030;11305;0;0
8;Misdrijven, totaal;Totaal;Totaal leeftijd;2002;118820;14040;90540;5;5245;8990;0;0;65;885;5;10;4785;0;300;112005;770;0;77835;40985;106455;12365;0;0
9;Misdrijven, totaal;Totaal;Totaal leeftijd;2003;137355;14540;106760;0;6200;9850;0;0;55;860;0;10;5895;0;355;129285;890;0;89710;47645;123035;14315;0;0
