ID;SoortBromfiets;RegioS;Perioden;VoertuigenMetBromfietskenteken_1;VoertuigenPer1000Inwoners_2
0;Voertuigen met bromfietskenteken;Nederland;2007;706486.0;43.0
1;Voertuigen met bromfietskenteken;Nederland;2008;780643.0;48.0
2;Voertuigen met bromfietskenteken;Nederland;2009;869903.0;53.0
3;Voertuigen met bromfietskenteken;Nederland;2010;951504.0;57.0
4;Voertuigen met bromfietskenteken;Nederland;2011;1023634.0;61.0
5;Voertuigen met bromfietskenteken;Nederland;2012;1057100.0;63.0
6;Voertuigen met bromfietskenteken;Nederland;2013;1080514.0;64.0
7;Voertuigen met bromfietskenteken;Nederland;2014;1097180.0;65.0
8;Voertuigen met bromfietskenteken;Nederland;2015;1119877.0;66.0
9;Voertuigen met bromfietskenteken;Nederland;2016;1145603.0;67.0
10;Voertuigen met bromfietskenteken;Nederland;2017;1172828.0;69.0
11;Voertuigen met bromfietskenteken;Nederland;2018;1205827.0;70.0
12;Voertuigen met bromfietskenteken;Nederland;2019;1224429.0;71.0
13;Voertuigen met bromfietskenteken;Nederland;2020;1243704.0;71.0
14;Voertuigen met bromfietskenteken;Nederland;2021;1287160.0;74.0
15;Voertuigen met bromfietskenteken;Nederland;2022;1325072.0;75.0
16;Voertuigen met bromfietskenteken;Noord-Nederland (LD);2007;66454.0;39.0
17;Voertuigen met bromfietskenteken;Noord-Nederland (LD);2008;71740.0;42.0
18;Voertuigen met bromfietskenteken;Noord-Nederland (LD);2009;78142.0;46.0
19;Voertuigen met bromfietskenteken;Noord-Nederland (LD);2010;84173.0;49.0
20;Voertuigen met bromfietskenteken;Noord-Nederland (LD);2011;89981.0;52.0
21;Voertuigen met bromfietskenteken;Noord-Nederland (LD);2012;92776.0;54.0
22;Voertuigen met bromfietskenteken;Noord-Nederland (LD);2013;94652.0;55.0
23;Voertuigen met bromfietskenteken;Noord-Nederland (LD);2014;96271.0;56.0
24;Voertuigen met bromfietskenteken;Noord-Nederland (LD);2015;98459.0;57.0
25;Voertuigen met bromfietskenteken;Noord-Nederland (LD);2016;100775.0;59.0
26;Voertuigen met bromfietskenteken;Noord-Nederland (LD);2017;103714.0;60.0
