ID;BedrijfstakkenBranchesSBI2008;Perioden;TotaalBedrijven_1;k_1WerkzaamPersoon_2;k_2WerkzamePersonen_3;k_3Tot5WerkzamePersonen_4;k_5Tot10WerkzamePersonen_5;k_10Tot20WerkzamePersonen_6;k_20Tot50WerkzamePersonen_7;k_50Tot100WerkzamePersonen_8;k_100WerkzamePersonenOfMeer_9;k_0Tot50WerkzamePersonen_10;k_0Tot250WerkzamePersonen_11;NatuurlijkePersonen_12;Rechtspersonen_13
0;A-U Alle economische activiteiten;2007 1e kwartaal;987345;619565;158445;81295;60100;32635;20280;7170;7855;972320.0;984225.0;702465;284880
1;A-U Alle economische activiteiten;2007 2e kwartaal;1012210;641795;159225;82530;60370;32790;20295;7165;8040;997010.0;1009030.0;720725;291490
2;A-U Alle economische activiteiten;2007 3e kwartaal;1040415;672410;157220;82565;60085;32785;20285;7150;7910;1025355.0;1037255.0;745770;294640
3;A-U Alle economische activiteiten;2007 4e kwartaal;1057860;687525;160035;82930;59680;32620;20200;7040;7825;1042995.0;1054740.0;760030;297830
4;A-U Alle economische activiteiten;2008 1e kwartaal;1087470;720745;158780;81475;59135;32555;20035;7000;7745;1072725.0;1084365.0;775095;312375
5;A-U Alle economische activiteiten;2008 2e kwartaal;1088095;720860;159185;81870;59025;32545;19960;6940;7705;1073450.0;1085010.0;778695;309400
6;A-U Alle economische activiteiten;2008 3e kwartaal;1112885;746650;158440;82110;58750;32530;19890;6870;7650;1098370.0;1109800.0;798730;314155
7;A-U Alle economische activiteiten;2008 4e kwartaal;1127895;758055;160300;83020;59230;32805;19975;6865;7650;1113380.0;1124825.0;815390;312505
8;A-U Alle economische activiteiten;2009 1e kwartaal;1154590;789450;157820;80475;60480;31785;19865;7055;7660;1139875.0;1151520.0;830765;323825
9;A-U Alle economische activiteiten;2009 2e kwartaal;1158835;791475;158830;81305;59255;32590;20450;7090;7835;1143905.0;1155665.0;832030;326805
10;A-U Alle economische activiteiten;2009 3e kwartaal;1189525;820110;166525;84530;56225;29890;18490;6425;7325;1175775.0;1186515.0;859565;329955
11;A-U Alle economische activiteiten;2009 4e kwartaal;1211460;841620;169290;82575;54950;30525;18635;6490;7375;1197595.0;1208425.0;881655;329805
12;A-U Alle economische activiteiten;2010 1e kwartaal;1214570;841865;170690;80840;57875;30175;18910;6750;7470;1200355.0;1211560.0;887070;327505
13;A-U Alle economische activiteiten;2010 2e kwartaal;1227405;855400;169010;81305;58195;30320;18900;6775;7495;1213135.0;1224395.0;894850;332555
14;A-U Alle economische activiteiten;2010 3e kwartaal;1250505;882240;168165;80240;57435;29950;18465;6645;7370;1236495.0;1247590.0;914390;336115
15;A-U Alle economische activiteiten;2010 4e kwartaal;1265225;874475;171145;88330;64830;32590;19505;6880;7470;1250875.0;1262255.0;933055;332170
16;A-U Alle economische activiteiten;2011 1e kwartaal;1277720;887960;170460;88560;64925;32260;19380;6765;7410;1263545.0;1274765.0;943415;334305
17;A-U Alle economische activiteiten;2011 2e kwartaal;1283690;894405;170450;89050;64600;31790;19375;6650;7370;1269670.0;1280775.0;947365;336325
18;A-U Alle economische activiteiten;2011 3e kwartaal;1307195;920050;169440;88820;64185;31455;19245;6645;7355;1293195.0;1304270.0;966875;340315
19;A-U Alle economische activiteiten;2011 4e kwartaal;1318410;928125;170305;89070;64995;32120;19515;6815;7475;1304125.0;1315455.0;979210;339200
20;A-U Alle economische activiteiten;2012 1e kwartaal;1341545;947780;173150;89625;65020;32270;19555;6710;7430;1327400.0;1338610.0;996305;345240
