ID;BedrijfstakkenBranchesSBI2008;Perioden;TotaalZuiveringsinstallaties_1;MechanischeZuiveringsinstallaties_2;FysischChemischeZuiveringsinstallaties_3;TotaalBiologischeInstallaties_4;BiologischAerobeInstallaties_5;BiologischAnaerobeInstallaties_6;CombinatieAnaeroobAerobeInst_7;Capaciteit_8;CorresponderendAantalInstallaties_9;TotaalHoeveelheidSlibAfgevoerd_10;LandbouwBodem_11;DiervoedersDestructiebedrijven_12;Composteren_13;Storten_14;Verbranden_15;Vergisten_16;InzetAlsBrandstof_17;OverigeBestemmingen_18;TotaalDrogeStofAfgevoerd_19;LandbouwBodem_20;DiervoedersDestructiebedrijven_21;Composteren_22;Storten_23;Verbranden_24;Vergisten_25;InzetAlsBrandstof_26;OverigeBestemmingen_27
0;300025;2010;474;29;236.0;209;158;17;34;14118;215;1084602;215803;30482;53645;149868;132586;;;502218;191143;23853;4273;8775;29714;20229;;;104299
1;300025;2011;462;28;228.0;206;156;16;34;13966;211;1080785;179912;28237;62976;69005;101764;;;638891;182540;20708;3734;11765;26628;23704;;;96001
2;300025;2012;449;24;219.0;206;154;13;39;13943;214;1098820;176957;14667;85406;103715;101229;;;616846;190926;17214;1773;16026;21539;19268;;;115107
3;300025;2013;440;24;207.0;209;157;13;39;13966;216;1120637;200128;21355;99934;112913;117875;184433.0;165229.0;218770;201789;20988;2265;16717;23196;16884;22157.0;34596.0;64987
4;300025;2014;427;23;198.0;206;154;12;40;13822;214;1104566;192517;28882;88456;104636;76721;260466.0;113861.0;239028;194572;15416;3003;18213;31632;13708;28870.0;24333.0;59395
5;300025;2015;432;24;199.0;209;154;14;41;13805;218;1087004;144978;30819;110337;83381;79833;306092.0;98764.0;232799;198187;14152;3095;20404;32014;12961;34249.0;23102.0;58209
6;300025;2016;419;23;187.0;209;153;15;41;13640;215;1267385;125751;18686;78376;122625;93395;434050.0;110690.0;283813;208106;13419;2192;16125;32960;12256;54231.0;24720.0;52203
7;301000;2010;2;2;0.0;0;0;0;0;0;0;13800;0;0;0;0;0;;;13800;5520;0;0;0;0;0;;;5520
8;301000;2011;2;2;0.0;0;0;0;0;0;0;30;0;0;0;0;0;;;30;12;0;0;0;0;0;;;12
9;301000;2012;2;2;0.0;0;0;0;0;0;0;30;0;0;0;0;0;;;30;12;0;0;0;0;0;;;12
10;301000;2013;2;2;0.0;0;0;0;0;0;0;51;0;0;0;0;51;0.0;0.0;0;20;0;0;0;0;20;0.0;0.0;0
11;301000;2014;2;2;0.0;0;0;0;0;0;0;50;0;0;0;0;50;0.0;0.0;0;20;0;0;0;0;20;0.0;0.0;0
12;301000;2015;2;2;0.0;0;0;0;0;0;0;50;0;0;0;0;50;0.0;0.0;0;20;0;0;0;0;20;0.0;0.0;0
13;301000;2016;3;2;1.0;0;0;0;0;1;1;96;0;0;0;0;96;0.0;0.0;0;39;0;0;0;0;39;0.0;0.0;0
14;300002;2010;440;26;221.0;193;143;16;34;13779;203;1038382;200576;30482;53645;148948;130647;;;474084;174537;16239;4273;8775;29244;19594;;;96412
15;300002;2011;430;25;215.0;190;141;15;34;13627;199;1055784;168028;28237;62976;68224;98639;;;629680;173325;14884;3734;11765;26286;22745;;;93910
16;300002;2012;414;22;203.0;189;138;12;39;13525;199;1069074;168200;14667;85385;102854;99002;;;598966;183742;16776;1773;16025;21190;18721;;;109257
17;300002;2013;404;22;192.0;190;139;12;39;13582;200;1092644;196128;21355;99934;109272;113618;183153.0;163926.0;205259;192743;20188;2265;16717;21362;15169;21875.0;34500.0;60666
18;300002;2014;388;21;185.0;182;133;11;38;12082;195;1022813;188517;28882;88456;91201;73443;256278.0;110117.0;185919;166800;14616;3003;18213;26109;12309;28049.0;24032.0;40469
19;300002;2015;393;22;186.0;185;134;13;38;12027;198;1012870;140478;30819;110337;75650;77287;300087.0;98662.0;179549;170950;13252;3095;20404;29403;11891;31419.0;23086.0;38400
20;300002;2016;377;20;174.0;183;131;14;38;11860;193;1186328;117653;18686;77099;114222;90810;426645.0;110690.0;230523;183932;10420;2192;16049;30193;11134;52679.0;24720.0;36544
21;305700;2010;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;;;0
