ID;Geslacht;Leeftijd;OpleidingsrichtingEnSector;MaandinkomstenUitWerk;KenmerkenVanHetWerk;Perioden;TotaalMboGediplomeerdeSchoolverlaters_1;BolVoltijd_2;Bbl_3;Niveau1_4;Niveau2_5;Niveau3_6;Niveau4_7;BolVoltijdNiveau1_8;BolVoltijdNiveau2_9;BolVoltijdNiveau3_10;BolVoltijdNiveau4_11;BblNiveau1_12;BblNiveau2_13;BblNiveau3_14;BblNiveau4_15
0;Mannen en vrouwen;Totaal leeftijd;0;0;0;2007/'08;74740.0;38060.0;36680.0;5000.0;20620.0;21040.0;28080.0;1720.0;7300.0;8670.0;20370.0;3280.0;13320.0;12370.0;7710.0
1;Mannen en vrouwen;Totaal leeftijd;0;0;0;2008/'09;76980.0;36160.0;40820.0;4700.0;21640.0;22230.0;28410.0;1300.0;7150.0;8010.0;19710.0;3410.0;14490.0;14220.0;8710.0
2;Mannen en vrouwen;Totaal leeftijd;0;0;1;2007/'08;66330.0;31470.0;34850.0;3850.0;17940.0;19330.0;25220.0;900.0;5440.0;7430.0;17710.0;2940.0;12510.0;11900.0;7510.0
3;Mannen en vrouwen;Totaal leeftijd;0;0;1;2008/'09;66390.0;28470.0;37920.0;3500.0;17940.0;20110.0;24840.0;570.0;4890.0;6580.0;16430.0;2930.0;13060.0;13530.0;8410.0
4;Mannen en vrouwen;Totaal leeftijd;0;0;8;2007/'08;1770.0;1540.0;220.0;200.0;540.0;370.0;660.0;150.0;450.0;310.0;630.0;50.0;90.0;50.0;30.0
5;Mannen en vrouwen;Totaal leeftijd;0;0;8;2008/'09;2430.0;2190.0;240.0;170.0;780.0;470.0;1020.0;120.0;670.0;410.0;990.0;40.0;100.0;60.0;30.0
6;Mannen en vrouwen;Totaal leeftijd;0;0;9;2007/'08;64560.0;29930.0;34630.0;3640.0;17400.0;18960.0;24560.0;760.0;4980.0;7120.0;17080.0;2890.0;12420.0;11840.0;7480.0
7;Mannen en vrouwen;Totaal leeftijd;0;0;9;2008/'09;63960.0;26280.0;37680.0;3330.0;17170.0;19640.0;23820.0;450.0;4210.0;6170.0;15450.0;2880.0;12950.0;13470.0;8370.0
8;Mannen en vrouwen;Totaal leeftijd;0;0;Eén baan;2007/'08;59450.0;26560.0;32890.0;3600.0;16380.0;17630.0;21840.0;780.0;4680.0;6320.0;14780.0;2820.0;11700.0;11310.0;7060.0
9;Mannen en vrouwen;Totaal leeftijd;0;0;Eén baan;2008/'09;59590.0;23730.0;35860.0;3350.0;16480.0;18320.0;21450.0;510.0;4240.0;5480.0;13510.0;2840.0;12240.0;12840.0;7940.0
10;Mannen en vrouwen;Totaal leeftijd;0;0;Twee of meer banen;2007/'08;6880.0;4910.0;1970.0;250.0;1560.0;1700.0;3370.0;130.0;750.0;1110.0;2930.0;120.0;810.0;590.0;450.0
11;Mannen en vrouwen;Totaal leeftijd;0;0;Twee of meer banen;2008/'09;6800.0;4740.0;2060.0;150.0;1470.0;1790.0;3390.0;60.0;650.0;1100.0;2920.0;90.0;820.0;690.0;470.0
12;Mannen en vrouwen;Totaal leeftijd;0;0;4;2007/'08;65700.0;31190.0;34510.0;3840.0;17770.0;19100.0;24990.0;900.0;5400.0;7360.0;17540.0;2940.0;12380.0;11750.0;7450.0
13;Mannen en vrouwen;Totaal leeftijd;0;0;4;2008/'09;65680.0;28100.0;37580.0;3480.0;17800.0;19880.0;24520.0;570.0;4860.0;6490.0;16190.0;2910.0;12950.0;13390.0;8330.0
14;Mannen en vrouwen;Totaal leeftijd;0;0;5;2007/'08;19540.0;4230.0;15310.0;1500.0;5910.0;5810.0;6320.0;60.0;440.0;940.0;2790.0;1440.0;5470.0;4870.0;3530.0
15;Mannen en vrouwen;Totaal leeftijd;0;0;5;2008/'09;19630.0;2920.0;16720.0;1550.0;5880.0;6230.0;5980.0;40.0;340.0;620.0;1920.0;1510.0;5540.0;5600.0;4060.0
16;Mannen en vrouwen;Totaal leeftijd;0;0;6;2007/'08;46160.0;26960.0;19200.0;2330.0;11870.0;13290.0;18670.0;840.0;4960.0;6420.0;14750.0;1490.0;6910.0;6880.0;3920.0
17;Mannen en vrouwen;Totaal leeftijd;0;0;6;2008/'09;46050.0;25180.0;20870.0;1930.0;11920.0;13660.0;18540.0;530.0;4520.0;5870.0;14270.0;1410.0;7400.0;7780.0;4270.0
18;Mannen en vrouwen;Totaal leeftijd;0;0;7;2007/'08;1120.0;480.0;640.0;20.0;290.0;380.0;430.0;0.0;50.0;130.0;290.0;20.0;240.0;250.0;140.0
19;Mannen en vrouwen;Totaal leeftijd;0;0;7;2008/'09;1240.0;590.0;650.0;30.0;250.0;400.0;570.0;10.0;40.0;140.0;400.0;20.0;200.0;260.0;170.0
20;Mannen en vrouwen;Totaal leeftijd;0;0;2;2007/'08;8410.0;6580.0;1830.0;1160.0;2680.0;1710.0;2860.0;820.0;1860.0;1240.0;2660.0;340.0;820.0;470.0;200.0
21;Mannen en vrouwen;Totaal leeftijd;0;0;2;2008/'09;10590.0;7690.0;2910.0;1200.0;3700.0;2120.0;3570.0;720.0;2260.0;1430.0;3270.0;480.0;1440.0;690.0;300.0
22;Mannen en vrouwen;Totaal leeftijd;0;1;0;2007/'08;66330.0;31470.0;34850.0;3850.0;17940.0;19330.0;25220.0;900.0;5440.0;7430.0;17710.0;2940.0;12510.0;11900.0;7510.0
23;Mannen en vrouwen;Totaal leeftijd;0;1;0;2008/'09;66390.0;28470.0;37920.0;3500.0;17940.0;20110.0;24840.0;570.0;4890.0;6580.0;16430.0;2930.0;13060.0;13530.0;8410.0
24;Mannen en vrouwen;Totaal leeftijd;0;1;1;2007/'08;66330.0;31470.0;34850.0;3850.0;17940.0;19330.0;25220.0;900.0;5440.0;7430.0;17710.0;2940.0;12510.0;11900.0;7510.0
25;Mannen en vrouwen;Totaal leeftijd;0;1;1;2008/'09;66390.0;28470.0;37920.0;3500.0;17940.0;20110.0;24840.0;570.0;4890.0;6580.0;16430.0;2930.0;13060.0;13530.0;8410.0
26;Mannen en vrouwen;Totaal leeftijd;0;1;8;2007/'08;1770.0;1540.0;220.0;200.0;540.0;370.0;660.0;150.0;450.0;310.0;630.0;50.0;90.0;50.0;30.0
27;Mannen en vrouwen;Totaal leeftijd;0;1;8;2008/'09;2430.0;2190.0;240.0;170.0;780.0;470.0;1020.0;120.0;670.0;410.0;990.0;40.0;100.0;60.0;30.0
28;Mannen en vrouwen;Totaal leeftijd;0;1;9;2007/'08;64560.0;29930.0;34630.0;3640.0;17400.0;18960.0;24560.0;760.0;4980.0;7120.0;17080.0;2890.0;12420.0;11840.0;7480.0
29;Mannen en vrouwen;Totaal leeftijd;0;1;9;2008/'09;63960.0;26280.0;37680.0;3330.0;17170.0;19640.0;23820.0;450.0;4210.0;6170.0;15450.0;2880.0;12950.0;13470.0;8370.0
30;Mannen en vrouwen;Totaal leeftijd;0;1;Eén baan;2007/'08;59450.0;26560.0;32890.0;3600.0;16380.0;17630.0;21840.0;780.0;4680.0;6320.0;14780.0;2820.0;11700.0;11310.0;7060.0
31;Mannen en vrouwen;Totaal leeftijd;0;1;Eén baan;2008/'09;59590.0;23730.0;35860.0;3350.0;16480.0;18320.0;21450.0;510.0;4240.0;5480.0;13510.0;2840.0;12240.0;12840.0;7940.0
32;Mannen en vrouwen;Totaal leeftijd;0;1;Twee of meer banen;2007/'08;6880.0;4910.0;1970.0;250.0;1560.0;1700.0;3370.0;130.0;750.0;1110.0;2930.0;120.0;810.0;590.0;450.0
33;Mannen en vrouwen;Totaal leeftijd;0;1;Twee of meer banen;2008/'09;6800.0;4740.0;2060.0;150.0;1470.0;1790.0;3390.0;60.0;650.0;1100.0;2920.0;90.0;820.0;690.0;470.0
34;Mannen en vrouwen;Totaal leeftijd;0;1;4;2007/'08;65700.0;31190.0;34510.0;3840.0;17770.0;19100.0;24990.0;900.0;5400.0;7360.0;17540.0;2940.0;12380.0;11750.0;7450.0
35;Mannen en vrouwen;Totaal leeftijd;0;1;4;2008/'09;65680.0;28100.0;37580.0;3480.0;17800.0;19880.0;24520.0;570.0;4860.0;6490.0;16190.0;2910.0;12950.0;13390.0;8330.0
36;Mannen en vrouwen;Totaal leeftijd;0;1;5;2007/'08;19540.0;4230.0;15310.0;1500.0;5910.0;5810.0;6320.0;60.0;440.0;940.0;2790.0;1440.0;5470.0;4870.0;3530.0
37;Mannen en vrouwen;Totaal leeftijd;0;1;5;2008/'09;19630.0;2920.0;16720.0;1550.0;5880.0;6230.0;5980.0;40.0;340.0;620.0;1920.0;1510.0;5540.0;5600.0;4060.0
38;Mannen en vrouwen;Totaal leeftijd;0;1;6;2007/'08;46160.0;26960.0;19200.0;2330.0;11870.0;13290.0;18670.0;840.0;4960.0;6420.0;14750.0;1490.0;6910.0;6880.0;3920.0
39;Mannen en vrouwen;Totaal leeftijd;0;1;6;2008/'09;46050.0;25180.0;20870.0;1930.0;11920.0;13660.0;18540.0;530.0;4520.0;5870.0;14270.0;1410.0;7400.0;7780.0;4270.0
40;Mannen en vrouwen;Totaal leeftijd;0;1;7;2007/'08;1120.0;480.0;640.0;20.0;290.0;380.0;430.0;0.0;50.0;130.0;290.0;20.0;240.0;250.0;140.0
41;Mannen en vrouwen;Totaal leeftijd;0;1;7;2008/'09;1240.0;590.0;650.0;30.0;250.0;400.0;570.0;10.0;40.0;140.0;400.0;20.0;200.0;260.0;170.0
42;Mannen en vrouwen;Totaal leeftijd;0;1;2;2007/'08;;;;;;;;;;;;;;;
43;Mannen en vrouwen;Totaal leeftijd;0;1;2;2008/'09;;;;;;;;;;;;;;;
44;Mannen en vrouwen;Totaal leeftijd;0;4;0;2007/'08;3240.0;2880.0;370.0;310.0;880.0;710.0;1340.0;230.0;740.0;610.0;1300.0;80.0;140.0;100.0;50.0
45;Mannen en vrouwen;Totaal leeftijd;0;4;0;2008/'09;4220.0;3750.0;480.0;300.0;1160.0;880.0;1880.0;190.0;990.0;750.0;1820.0;110.0;180.0;130.0;60.0
46;Mannen en vrouwen;Totaal leeftijd;0;4;1;2007/'08;3240.0;2880.0;370.0;310.0;880.0;710.0;1340.0;230.0;740.0;610.0;1300.0;80.0;140.0;100.0;50.0
47;Mannen en vrouwen;Totaal leeftijd;0;4;1;2008/'09;4220.0;3750.0;480.0;300.0;1160.0;880.0;1880.0;190.0;990.0;750.0;1820.0;110.0;180.0;130.0;60.0
