ID;BedrijfstakkenBranchesSBI2008;Bedrijfsgrootte;Onderzoekspopulatie_1;Innovatoren_2;AlsVanDeOnderzoekspopulatie_3;InnovatorenRuimeDefinitie_4;AlsVanDeOnderzoekspopulatie_5;BedrijvenMetAfgerondeInnovaties_6;AlsVanDeOnderzoekspopulatie_7;BedrijvenMetProductinnovaties_8;BedrijvenMetProductinnovaties_9;Goederen_10;DoorHetEigenBedrijf_11;InEenSamenwerkingsverband_12;DoorAanpassing_13;UitsluitendDoorDerden_14;Diensten_15;DoorHetEigenBedrijf_16;InEenSamenwerkingsverband_17;DoorAanpassing_18;UitsluitendDoorDerden_19;BedrijvenMetProcesinnovaties_20;BedrijvenMetProcesinnovaties_21;DoorHetEigenBedrijf_22;InEenSamenwerkingsverband_23;DoorAanpassing_24;UitsluitendDoorDerden_25;ProductieVanGoederenEnDiensten_26;DeLogistiek_27;OndersteunendeActiviteiten_28;Ja_29;Nee_30;Onbekend_31;BedrijvenMetProductinnovaties_32;OmzetProductenNieuwVoorDeMarkt_33;OmzetProductenNieuwVoorHetBedrijf_34;OmzetOngewijzigdeProducten_35;NieuwVoorDeMarkt_36;AlleenNieuwVoorHetBedrijf_37;AfgebrokenInnovaties_38;OnafgerondeInnovaties_39;Innovatoren_40;InnovatorenMetPartnerAantal_41;InnovatorenMetPartner_42;TotaalBinnenEigenConcern_43;InNederland_44;InHetBuitenlandTotaal_45;InEenEuropeesLand_46;InDeVerenigdeStaten_47;InChinaOfInIndia_48;InOverigeLanden_49;TotaalLeveranciers_50;InNederland_51;InHetBuitenlandTotaal_52;InEenEuropeesLand_53;InDeVerenigdeStaten_54;InChinaOfInIndia_55;InOverigeLanden_56;TotaalAfnemers_57;InNederland_58;InHetBuitenlandTotaal_59;InEenEuropeesLand_60;InDeVerenigdeStaten_61;InChinaOfInIndia_62;InOverigeLanden_63;TotaalConcurrenten_64;InNederland_65;InHetBuitenlandTotaal_66;InEenEuropeesLand_67;InDeVerenigdeStaten_68;InChinaOfInIndia_69;InOverigeLanden_70;TotaalConsultants_71;InNederland_72;InHetBuitenlandTotaal_73;InEenEuropeesLand_74;InDeVerenigdeStaten_75;InChinaOfInIndia_76;InOverigeLanden_77;TotaalUniversiteiten_78;InNederland_79;InHetBuitenlandTotaal_80;InEenEuropeesLand_81;InDeVerenigdeStaten_82;InChinaOfInIndia_83;InOverigeLanden_84;TotaalOverheid_85;InNederland_86;InHetBuitenlandTotaal_87;InEenEuropeesLand_88;InDeVerenigdeStaten_89;InChinaOfInIndia_90;InOverigeLanden_91;AnderBedrijfBinnenEigenConcern_92;Leverancier_93;Afnemer_94;Concurrent_95;Consultant_96;Universiteit_97;Overheidsinstelling_98;Innovatoren_99;TotaalInnovatieUitgaven_100;InnovatorenMetInnovatieUitgaven_101;Uitgaven_102;RDVindtVrijwelPermanentPlaats_103;RDVindtMeerIncidenteelPlaats_104;AantalInnovatoren_105;Uitgaven_106;AantalInnovatoren_107;Uitgaven_108;AantalInnovatoren_109;Uitgaven_110;AantalInnovatoren_111;Uitgaven_112;AantalInnovatoren_113;Uitgaven_114;AantalInnovatoren_115;Uitgaven_116;AantalInnovatoren_117;Uitgaven_118;AantalInnovatoren_119;Innovatoren_120;BedrijvenMetSteunVanDeOverheid_121;LokaleOfRegionaleOverheden_122;NationaleOverheid_123;EuropeseUnieEU27_124;DeelgenomenAanKaderprogrammaEU_125;OnderzoekswerkVoorPubliekeOrganisatie_126;OnderzoekswerkVoorBedrijven_127;BijdragenVanFondsenOfPNPS_128;TotaleOntvangenRDFinanciering_129;FinancieringDoorPubliekeOrganisaties_130;BijDeInnovatoren_131;BijDeNietInnovatoren_132;Innovatoren_133;InnovatorenMetIntellectueelEigendom_134;OctrooiAangevraagd_135;IndustrieelOntwerpGedeponeerd_136;HandelsmerkGedeponeerd_137;AuteursrechtVastgelegd_138;BijAlleBedrijven_139;BijDeInnovatoren_140;BijDeNietInnovatoren_141;BijAlleBedrijven_142;BijDeInnovatoren_143;BijDeNietInnovatoren_144;BijAlleBedrijven_145;BijDeInnovatoren_146;BijDeNietInnovatoren_147;BijAlleBedrijven_148;BijDeInnovatoren_149;BijDeNietInnovatoren_150;BijAlleBedrijven_151;BijDeInnovatoren_152;BijDeNietInnovatoren_153;BijAlleBedrijven_154;BijDeInnovatoren_155;BijDeNietInnovatoren_156;BijAlleBedrijven_157;BijDeInnovatoren_158;BijDeNietInnovatoren_159;BijAlleBedrijven_160;BijDeInnovatoren_161;BijDeNietInnovatoren_162;BijAlleBedrijven_163;BijDeInnovatoren_164;BijDeNietInnovatoren_165;BijAlleBedrijven_166;BijDeInnovatoren_167;BijDeNietInnovatoren_168;ToegepastMetSucces_169;ToegepastZonderSucces_170;ToegepastSuccesNietBekend_171;NietToegepast_172;ToegepastMetSucces_173;ToegepastZonderSucces_174;ToegepastSuccesNietBekend_175;NietToegepast_176;ToegepastMetSucces_177;ToegepastZonderSucces_178;ToegepastSuccesNietBekend_179;NietToegepast_180;ToegepastMetSucces_181;ToegepastZonderSucces_182;ToegepastSuccesNietBekend_183;NietToegepast_184;ToegepastMetSucces_185;ToegepastZonderSucces_186;ToegepastSuccesNietBekend_187;NietToegepast_188;ToegepastMetSucces_189;ToegepastZonderSucces_190;ToegepastSuccesNietBekend_191;NietToegepast_192;BedrijvenMetKnelpuntenBijInnovatie_193;BedrijvenMetKnelpuntenBijInnovatie_194;InnovatieactiviteitenNietGestart_195;InnovatieactiviteitenStopgezet_196;InnovatieactiviteitenVertraagd_197;InnovatieactiviteitenVerkleind_198;NietGestart_199;VoortijdigStopgezet_200;ErnstigVertraagd_201;InOmvangTeruggebracht_202;KnelpuntNietErvaren_203;NietGestart_204;VoortijdigStopgezet_205;ErnstigVertraagd_206;InOmvangTeruggebracht_207;KnelpuntNietErvaren_208;NietGestart_209;VoortijdigStopgezet_210;ErnstigVertraagd_211;InOmvangTeruggebracht_212;KnelpuntNietErvaren_213;NietGestart_214;VoortijdigStopgezet_215;ErnstigVetraagd_216;InOmvangTeruggebracht_217;KnelpuntNietErvaren_218;NietGestart_219;VoortijdigStopgezet_220;ErnstigVertraagd_221;InOmvangTeruggebracht_222;KnelpuntNietErvaren_223;NietGestart_224;VoortijdigStopgezet_225;ErnstigVertraagd_226;InOmvangTeruggebracht_227;KnelpuntNietErvaren_228;NietGestart_229;VoortijdigStopgezet_230;ErnstigVertraagd_231;InOmvangTeruggebracht_232;KnelpuntNietErvaren_233;NietGestart_234;VoortijdigStopgezet_235;ErnstigVertraagd_236;InOmvangTeruggebracht_237;KnelpuntNietErvaren_238;NietGestart_239;VoortijdigStopgezet_240;ErnstigVertraagd_241;InOmvangTeruggebracht_242;KnelpuntNietErvaren_243;NietNodig_244;NietNodigVanwegeEerdereInnovaties_245;NietNodigVanwegeGebrekAanMarktvraag_246;Knelpunten_247;GebrekAanFinancieleMiddelen_248;GebrekAanExterneFinancieleMiddelen_249;TeHogeInnovatiekosten_250;GebrekAanGekwalificeerdPersoneel_251;GebrekAanInformatieOverTechnologie_252;GebrekAanMarktinformatie_253;MoeiteMetVindenSamenwerkingspartners_254;MarktGedomineerd_255;OnzekereVraag_256
0;Bedrijven, totaal;Totaal (10 en meer) werkzame personen;53835;20248;38;26084;48;19547;36;14087;70;9239;64;44;15;16;8420;67;42;17;9;14048;69;41;46;15;28;7990;4704;9658;2027;7694;4327;14087;12;14;74;9378;10798;2630;7872;20248;6000;30;60;45;24;21;7;4;5;77;68;23;19;3;3;3;38;35;10;10;3;2;3;27;24;5;5;1;1;1;32;30;6;5;1;1;1;24;22;5;5;1;0;0;18;17;2;2;0;0;0;11;48;12;9;10;7;3;20248;13119;84;5297;27;19;46;1789;20;4188;52;365;17;493;38;451;23;373;24;162;19;20248;5608;41;91;14;2;431;1076;374;769;184;24;17;20248;19;8;3;12;3;32;57;17;23;44;11;17;35;6;15;28;7;9;18;4;21;38;10;4;10;1;15;26;8;9;18;3;6;13;2;20;1;12;67;9;0;5;85;7;1;4;89;3;1;3;93;5;1;5;89;8;1;7;84;7202;13;12;9;21;14;6;3;8;7;11;5;2;4;4;15;5;3;5;5;13;2;1;6;3;15;1;1;5;2;17;2;1;3;2;18;2;1;4;2;17;2;1;2;2;18;3;2;4;4;14;96;28;46;4;3;1;2;1;0;1;1;1;2
1;Bedrijven, totaal;10 tot 50 werkzame personen;43731;15041;34;19499;45;14591;33;10489;70;6754;61;41;15;18;6352;67;38;16;10;10311;69;39;41;14;31;5853;3328;7039;1413;5794;3104;10489;12;15;73;6930;8039;1708;5258;15041;4047;27;57;46;14;13;2;2;2;77;68;18;15;1;3;2;37;35;8;7;2;1;2;26;24;4;4;1;0;0;28;28;3;2;1;1;1;20;18;3;3;1;0;0;15;14;1;1;0;0;0;7;53;12;10;9;7;3;15041;3991;82;672;23;18;42;245;16;2407;51;56;16;273;35;168;21;136;23;36;17;15041;3609;44;89;14;2;313;655;285;135;20;24;16;15041;17;6;2;11;3;28;53;16;19;38;10;14;31;5;12;25;6;8;15;4;19;36;10;3;8;1;14;26;8;8;17;3;6;12;2;17;1;10;71;7;0;4;89;5;1;3;92;2;1;2;95;5;1;4;90;7;1;6;86;5248;12;11;8;20;13;6;3;7;6;10;5;2;4;4;13;4;2;5;4;12;2;1;6;3;14;1;1;5;1;16;1;1;3;1;17;1;2;4;1;16;1;1;2;2;17;3;2;3;3;14;96;27;46;4;3;1;2;1;0;1;1;1;2
2;Bedrijven, totaal;50 tot 250 werkzame personen;8480;4187;49;5316;63;3988;47;2850;68;1989;70;52;15;12;1579;67;49;19;6;2982;71;43;55;17;23;1676;1041;2093;445;1556;981;2850;11;13;76;1917;2172;625;1982;4187;1442;34;61;43;32;25;10;4;7;77;67;29;25;6;4;4;38;33;15;14;4;2;4;26;23;7;6;1;0;1;35;32;8;7;2;1;0;26;25;6;6;2;0;1;20;19;2;2;0;0;0;17;42;12;8;11;7;3;4187;2794;88;1076;37;20;58;236;28;935;54;63;19;161;48;106;28;169;27;47;23;4187;1542;36;94;11;1;91;313;61;170;40;25;17;4187;23;11;4;14;3;46;66;26;38;56;20;30;47;13;25;37;13;15;22;7;27;40;14;6;11;2;19;27;10;13;20;6;8;12;3;29;1;17;52;18;1;9;73;11;1;6;81;5;1;5;89;6;1;7;85;11;1;12;76;1520;18;12;10;22;18;6;3;7;8;14;4;2;3;4;19;4;3;4;7;14;3;1;6;4;16;1;1;4;3;19;2;1;4;3;19;1;0;4;3;20;2;1;1;2;21;3;2;5;5;16;94;32;45;6;4;2;2;2;0;0;1;1;2
3;Bedrijven, totaal;250 en meer werkzame personen;1624;1020;63;1269;78;968;60;747;73;496;73;64;20;8;489;67;69;22;5;755;74;50;66;22;15;461;336;526;168;344;242;747;9;10;81;530;586;297;632;1020;510;50;74;44;48;44;20;10;12;77;67;40;37;12;7;7;41;37;17;17;7;4;7;31;26;14;12;4;1;3;53;48;18;17;4;1;3;47;45;16;15;5;2;3;30;30;8;7;3;1;2;21;33;12;6;11;12;5;1020;6334;88;3549;48;15;64;1308;39;846;53;247;25;60;47;177;33;68;25;79;28;1020;457;35;95;24;11;27;108;28;464;124;26;20;1020;37;24;10;20;7;64;77;41;56;68;35;45;59;22;41;51;24;25;31;13;38;49;20;12;18;2;28;36;14;19;26;8;13;17;7;41;1;23;35;37;1;15;47;18;1;15;66;11;2;10;76;13;0;12;74;18;1;18;64;434;27;20;20;30;25;12;8;10;14;14;6;2;3;6;24;10;5;4;9;17;5;2;12;6;18;3;1;7;3;24;3;2;7;3;24;3;2;7;3;24;4;2;2;3;26;6;5;8;6;18;94;34;42;6;3;1;1;3;1;0;0;1;1
4;A-F Landbouw en nijverheid;Totaal (10 en meer) werkzame personen;9070;2602;29;3505;39;2468;27;1537;59;1025;49;51;12;30;1012;48;36;26;17;1962;75;33;39;18;38;1178;625;1263;358;1017;587;1537;11;12;76;1090;1158;364;766;2602;852;33;65;64;5;5;0;0;0;82;75;14;13;2;0;0;41;40;5;5;1;0;0;32;31;3;3;0;0;0;28;27;3;2;1;0;0;28;24;6;5;1;0;0;16;16;1;1;0;0;0;8;50;10;14;9;7;3;2602;991;80;270;20;17;36;162;15;392;54;19;16;25;37;14;19;92;17;18;15;2602;918;41;83;24;2;60;92;58;72;9;13;9;2602;16;7;2;9;1;23;47;14;17;38;9;12;31;5;11;22;6;7;14;5;13;25;8;1;2;0;10;17;7;5;13;1;4;8;2;13;2;7;78;5;0;2;93;3;1;2;94;2;1;2;95;3;1;3;93;5;0;5;90;937;10;10;11;16;13;7;4;4;6;9;5;3;2;6;10;5;5;6;4;8;1;1;3;1;15;1;0;3;1;15;2;2;2;1;14;2;2;3;2;12;2;3;3;2;11;5;3;3;1;11;95;29;49;5;4;2;3;0;0;0;1;1;1
5;A-F Landbouw en nijverheid;10 tot 50 werkzame personen;7749;1994;26;2723;35;1891;24;1184;59;786;46;49;9;33;780;44;32;25;19;1497;75;31;35;17;42;917;505;913;256;769;472;1184;12;13;75;857;894;275;487;1994;613;31;63;62;1;1;0;0;0;86;79;12;12;1;0;0;45;43;6;6;2;0;0;29;28;1;1;0;0;0;24;23;2;2;1;0;0;21;16;5;5;0;0;0;10;10;0;0;0;0;0;7;56;11;15;8;2;2;1994;243;77;60;17;13;30;9;11;142;55;10;16;6;32;7;18;5;16;4;11;1994;674;40;80;26;1;37;50;47;47;4;12;9;1994;15;7;1;9;1;20;41;13;14;32;7;9;26;3;8;18;5;6;11;4;12;23;8;0;1;0;9;15;7;4;13;1;3;8;1;11;2;6;82;3;0;1;96;2;0;1;96;1;1;1;96;2;1;3;94;4;0;4;92;715;9;10;11;15;12;8;5;5;5;7;6;4;2;6;8;5;7;7;3;6;1;1;3;0;14;1;0;3;0;15;3;2;1;1;13;2;2;3;1;11;2;4;4;1;8;5;3;3;1;10;96;29;49;4;4;2;3;0;0;0;1;1;1
6;A-F Landbouw en nijverheid;50 tot 250 werkzame personen;1148;482;42;638;56;456;40;266;55;168;54;46;19;24;167;54;41;31;9;365;76;37;48;20;29;197;85;273;62;203;101;266;10;10;80;172;198;48;191;482;162;34;60;59;14;14;0;0;0;68;62;13;13;3;1;1;28;28;2;2;0;0;0;39;39;1;1;0;0;0;31;31;3;0;0;2;1;35;34;4;3;1;0;1;30;30;0;0;0;0;0;9;37;12;14;12;12;4;482;354;90;125;23;27;50;39;22;80;53;6;15;14;54;6;19;80;17;4;22;482;169;45;93;12;0;17;26;3;9;2;15;13;482;13;6;1;8;1;40;63;23;36;55;22;27;46;13;21;32;13;14;23;8;17;30;8;2;4;1;12;21;5;8;15;3;5;8;3;22;2;17;59;11;0;7;81;9;2;4;85;4;1;4;92;4;1;6;88;8;1;10;82;161;14;9;6;14;14;1;1;2;5;13;2;1;2;3;13;3;1;3;6;11;1;1;2;4;15;1;0;4;3;14;1;1;3;4;15;1;0;3;3;14;1;0;0;2;17;1;2;3;3;12;92;28;49;8;6;2;3;2;1;1;2;0;3
7;A-F Landbouw en nijverheid;250 en meer werkzame personen;173;126;73;144;83;121;70;87;69;71;69;76;29;11;65;76;75;33;5;100;79;55;72;22;20;65;35;77;40;45;15;87;11;10;79;61;66;41;88;126;78;62;84;84;9;9;3;3;3;78;77;28;24;7;4;0;38;38;10;10;0;0;5;41;39;20;15;3;3;3;56;52;14;9;4;0;3;71;68;17;11;7;3;3;43;43;8;8;3;0;3;14;28;3;8;12;30;4;126;395;92;85;48;31;80;114;54;169;55;4;26;5;48;1;32;6;27;10;35;126;75;43;91;34;12;6;15;8;16;3;19;19;126;41;23;11;17;9;63;73;38;59;68;35;52;61;28;41;47;27;31;34;23;33;39;17;3;2;3;23;28;9;13;15;9;10;13;3;51;0;17;32;36;0;17;47;21;1;15;63;16;1;7;76;19;0;11;70;21;0;18;62;61;35;20;28;32;31;11;5;5;23;15;5;2;5;12;27;13;1;2;24;13;5;1;3;6;30;2;3;6;11;25;2;3;7;8;28;3;5;1;3;30;6;6;5;1;29;7;8;13;9;18;97;31;46;3;3;3;3;0;0;0;0;3;0
8;C Industrie;Totaal (10 en meer) werkzame personen;8899;4752;53;5356;60;4584;52;3532;74;3219;80;49;12;4;1071;66;45;14;6;3137;66;47;48;15;23;2264;866;1842;456;1550;1131;3532;11;14;75;2362;2734;900;2523;4752;1718;36;64;40;35;30;11;5;7;73;60;33;29;4;6;4;41;35;19;19;5;3;4;21;18;6;6;2;1;1;38;34;10;9;2;1;1;30;29;9;9;2;0;1;21;21;4;4;1;0;0;16;43;16;5;10;8;3;4752;6655;91;3615;46;22;69;1036;27;1482;56;99;16;70;37;183;26;95;29;75;24;4752;2250;39;97;12;3;106;347;51;449;123;16;13;4752;26;16;7;13;3;38;58;15;30;46;11;24;39;7;20;30;8;10;16;3;22;36;6;7;13;1;13;22;4;9;15;2;7;11;1;21;2;14;64;12;0;7;81;7;1;5;87;4;1;4;91;4;1;6;88;8;1;9;82;2031;23;15;14;26;19;8;5;11;8;14;5;2;4;4;21;6;4;5;6;16;3;2;9;4;18;3;1;6;2;21;3;2;5;2;22;3;1;5;2;22;2;1;1;2;24;4;2;5;6;17;92;32;49;8;5;2;3;2;2;1;2;1;4
9;C Industrie;10 tot 50 werkzame personen;6466;3006;46;3446;53;2934;45;2204;73;1969;78;45;12;6;687;61;38;16;7;1920;64;43;39;15;28;1331;487;1140;231;1000;689;2204;11;15;74;1402;1721;440;1420;3006;939;31;54;41;16;14;0;2;2;71;60;25;21;0;4;2;37;34;13;13;2;1;2;18;17;2;2;0;0;0;30;29;4;4;1;1;0;24;23;5;5;1;0;0;19;18;3;3;0;0;0;10;51;17;5;8;8;2;3006;1214;89;202;37;25;62;22;19;913;57;11;13;32;31;13;20;13;26;8;19;3006;1191;45;96;13;3;63;154;31;35;6;14;14;3006;20;11;6;11;2;31;51;13;23;38;9;17;31;5;14;24;6;7;12;3;19;33;6;6;11;0;11;20;4;8;13;2;6;11;1;15;2;12;72;6;0;4;90;4;0;4;91;1;1;3;95;3;1;5;91;6;1;7;86;1206;19;12;11;23;16;6;4;10;5;12;5;2;4;2;17;5;3;4;5;14;3;2;8;3;17;3;1;6;2;18;3;2;4;2;20;3;1;5;1;18;1;1;1;2;22;3;2;4;5;15;93;31;50;7;4;1;3;2;2;1;3;1;4
