ID;BalanceSheetsAndTransactions;AssetsAndLiabilities;Sectors;Periods;Total_1;MonetaryGoldAndSpecialDrawingRights_2;Total_3;Currency_4;TransferableDeposits_5;Total_6;SavingsDepositsInEuros_7;OtherDeposits_8;Total_9;BillsAndShortTermBonds_10;LongTermBonds_11;FinancialDerivatives_12;Total_13;ShortTermLoans_14;LongTermLoans_15;Total_16;QuotedShares_17;UnquotedSharesAndOthers_18;MutualFundsShares_19;Total_20;NetEquityInLifeInsuranceReserves_21;NetEquityInPensionFundsReserves_22;OtherInsuranceTechnicalReserves_23;OtherAccountsReceivableAndPayable_24
0;Opening balance sheet;Assets;Total economy;1990;2042383;21698;292851;17505;49020;226326;73543;152783;121322;17106;109615;-5399.0;650514;149252;501262;541327;;;;251662;36458;204137;11067;163009
1;Opening balance sheet;Assets;Total economy;1991;2105176;17652;313773;17863;54348;241562;79618;161944;133491;15878;122525;-4912.0;686625;164367;522258;515294;;;;263886;41411;210726;11749;174455
2;Opening balance sheet;Assets;Total economy;1992;2235918;17622;324429;17909;56389;250131;84429;165702;148457;14651;138520;-4714.0;720608;172630;547978;558406;;;;287557;47581;227978;11998;178839
3;Opening balance sheet;Assets;Total economy;1993;2384291;17250;344000;18106;58963;266931;88148;178783;178920;19871;163401;-4352.0;761160;183519;577641;599737;;;;310431;53110;244539;12782;172793
4;Opening balance sheet;Assets;Total economy;1994;2614934;20647;367451;18333;68789;280329;90522;189807;208957;23500;189301;-3844.0;808952;205766;603186;677198;;;;348680;61127;273390;14163;183049
5;Opening balance sheet;Assets;Total economy;1995;2631031;17364;360133;18775;68699;272659;93793;178866;213584;26718;189973;-3107.0;813977;192913;621064;702069;147154.0;518422.0;36493.0;355900;63804;277060;15036;168004
6;Opening balance sheet;Assets;Total economy;1996;2816669;15772;373602;18944;82968;271690;99994;171696;259669;26899;231781;989.0;822418;202900;619518;783082;180459.0;564276.0;38347.0;390603;70186;303912;16505;171523
7;Opening balance sheet;Assets;Total economy;1997;3132111;15230;386074;19140;93023;273911;106233;167678;302442;25005;280417;-2980.0;892805;241106;651699;911805;245690.0;622009.0;44106.0;440573;77019;345627;17927;183182
8;Opening balance sheet;Assets;Total economy;1998;3518591;10880;392476;19339;98057;275080;110281;164799;360388;29633;330409;346.0;998138;294369;703769;1046842;342466.0;652003.0;52373.0;497692;85347;393441;18904;212175
9;Opening balance sheet;Assets;Total economy;1999;3993360;8470;509890;18874;132292;358724;118659;240065;429278;18228;409975;1075.0;1091509;309169;782340;1164701;431684.0;673805.0;59212.0;560266;96896;441951;21419;229246
10;Opening balance sheet;Assets;Total economy;2000;4624012;9429;534380;19124;137098;378158;127024;251134;440498;22535;408817;9146.0;1326569;415340;911229;1424954;598036.0;749352.0;77566.0;639936;107965;509323;22648;248246
11;Opening balance sheet;Assets;Total economy;2001;5068182;8548;598694;19006;167283;412405;130488;281917;488704;14518;469284;4902.0;1501970;450479;1051491;1530941;603685.0;839678.0;87578.0;666402;114631;527038;24733;272923
12;Opening balance sheet;Assets;Total economy;2002;5358651;9054;716418;11792;179377;525249;148988;376261;503617;13905;495316;-5604.0;1639805;487574;1152231;1519225;513256.0;926956.0;79013.0;665028;111239;527457;26332;305504
13;Opening balance sheet;Assets;Total economy;2003;5348432;8926;754675;18220;183307;553148;163979;389169;560891;14585;560073;-13767.0;1699946;509122;1190824;1339370;369499.0;904388.0;65483.0;656112;120823;507776;27513;328512
14;Opening balance sheet;Assets;Total economy;2004;5758563;8250;832634;18824;194657;619153;183198;435955;608995;19648;596897;-7550.0;1783617;466809;1316808;1476654;419499.0;984691.0;72464.0;708793;121718;557255;29820;339620
15;Opening balance sheet;Assets;Total economy;2005 1st quarter;6131479;8005;883601;21938;214223;647440;197670;449770;678945;28276;654049;-3380.0;1852871;470874;1381997;1607295;466220.0;1067260.0;73815.0;776103;135969;608308;31826;324659
16;Opening balance sheet;Assets;Total economy;2005 2nd quarter;6336612;7642;935748;21604;228925;685219;202834;482385;693191;30849;669890;-7548.0;1886228;498781;1387447;1672821;490897.0;1107785.0;74139.0;802672;139373;630714;32585;338310
17;Opening balance sheet;Assets;Total economy;2005 3rd quarter;6553493;8371;974283;20625;267768;685890;208637;477253;721321;32223;694992;-5894.0;1921164;512425;1408739;1745199;525757.0;1144947.0;74495.0;823832;143877;645990;33965;359323
18;Opening balance sheet;Assets;Total economy;2005 4th quarter;6778863;9108;1015355;22303;265021;728031;210709;517322;729448;30136;702788;-3476.0;1966918;521133;1445785;1847047;553276.0;1220752.0;73019.0;859633;149813;674806;35014;351354
19;Opening balance sheet;Assets;Total economy;2005;6131479;8005;883601;21938;214223;647440;197670;449770;678945;28276;654049;-3380.0;1852871;470874;1381997;1607295;466220.0;1067260.0;73815.0;776103;135969;608308;31826;324659
20;Opening balance sheet;Assets;Total economy;2006 1st quarter;6925655;9680;1005098;23280;248796;733022;210686;522336;755296;30425;730436;-5565.0;2027210;516783;1510427;1879289;474077.0;1228910.0;176302.0;887475;153624;697934;35917;361607
21;Opening balance sheet;Assets;Total economy;2006 2nd quarter;7154279;10163;1103879;23555;299810;780514;215861;564653;766750;33869;735198;-2317.0;2072952;544943;1528009;1947548;490131.0;1273853.0;183564.0;918045;156898;726309;34838;334942
22;Opening balance sheet;Assets;Total economy;2006 3rd quarter;7277590;9925;1087641;24641;288048;774952;220609;554343;772644;30484;742172;-12.0;2114222;562628;1551594;2036462;470807.0;1386345.0;179310.0;894668;160135;701997;32536;362028
23;Opening balance sheet;Assets;Total economy;2006 4th quarter;7481527;10050;1130211;25111;298450;806650;221446;585204;789255;34962;757177;-2884.0;2149572;589523;1560049;2114773;485196.0;1439056.0;190521.0;927800;163767;731450;32583;359866
24;Opening balance sheet;Assets;Total economy;2006;6925655;9680;1005098;23280;248796;733022;210686;522336;755296;30425;730436;-5565.0;2027210;516783;1510427;1879289;474077.0;1228910.0;176302.0;887475;153624;697934;35917;361607
25;Opening balance sheet;Assets;Total economy;2007 1st quarter;7665549;9937;1162617;27007;330848;804762;221708;583054;794183;30851;758450;4882.0;2209572;594877;1614695;2173342;492797.0;1472906.0;207639.0;939414;160178;746053;33183;376484
26;Opening balance sheet;Assets;Total economy;2007 2nd quarter;7947600;10280;1260220;27135;384802;848283;226958;621325;808095;32459;762485;13151.0;2313947;638236;1675711;2206731;501401.0;1494293.0;211037.0;963120;163425;765765;33930;385207
27;Opening balance sheet;Assets;Total economy;2007 3rd quarter;8128031;9923;1293375;29534;366306;897535;235895;661640;826355;35002;782839;8514.0;2352083;646113;1705970;2286352;535637.0;1543124.0;207591.0;973773;166814;774196;32763;386170
28;Opening balance sheet;Assets;Total economy;2007 4th quarter;8330578;10752;1333310;29212;378672;925426;237613;687813;843367;36530;799584;7253.0;2497995;653875;1844120;2268984;549647.0;1512846.0;206491.0;994220;167770;794817;31633;381950
