ID;Leeftijd;Doodsoorzaken;Perioden;TotaalOverledenen_1;TotaalZonderMBLHandelwijze_2;PlotselingEnOnverwachtOverleden_3;NietPlotselingOnverwachtOverleden_4;TotaalMetMBLHandelwijze_5;NISRekeningHoudendMetOverlijden_6;PSBRekeningHoudendMetOverlijden_7;PSBOverlijdenMedeDoel_8;NISOverlijdenUitdrukkelijkDoel_9;TotaalToedienenMiddel_10;Euthanasie_11;HulpBijZelfdoding_12;LevensbeeindigendHandZonderVerzoek_13
0;Totaal;Totaal doodsoorzaken;2010;136058.0;57331.0;27234.0;30096.0;78727.0;10713.0;47957.0;1606.0;14092.0;4360.0;3859.0;192.0;310.0
1;Totaal;Totaal doodsoorzaken;2015;147134.0;61607.0;24542.0;37066.0;85527.0;7437.0;50911.0;1712.0;18213.0;7254.0;6672.0;150.0;431.0
2;Totaal;Totaal doodsoorzaken;2021;170972.0;79268.0;22195.0;57073.0;91608.0;9931.0;48580.0;2657.0;20640.0;9799.0;9038.0;245.0;517.0
3;Totaal;Aangeboren aandoeningen (nuljarigen);2010;202.0;82.0;40.0;42.0;121.0;30.0;49.0;0.0;37.0;5.0;0.0;0.0;5.0
4;Totaal;Aangeboren aandoeningen (nuljarigen);2015;163.0;30.0;0.0;30.0;133.0;16.0;28.0;10.0;79.0;0.0;0.0;0.0;0.0
5;Totaal;Aangeboren aandoeningen (nuljarigen);2021;155.0;63.0;19.0;44.0;92.0;14.0;0.0;0.0;72.0;6.0;0.0;0.0;6.0
6;Totaal;Ov./onbekende doodsoorzaken (nuljarigen);2010;493.0;177.0;99.0;78.0;315.0;59.0;57.0;3.0;191.0;5.0;0.0;0.0;5.0
7;Totaal;Ov./onbekende doodsoorzaken (nuljarigen);2015;398.0;165.0;85.0;81.0;233.0;36.0;68.0;0.0;129.0;0.0;0.0;0.0;0.0
8;Totaal;Ov./onbekende doodsoorzaken (nuljarigen);2021;440.0;190.0;92.0;98.0;250.0;65.0;56.0;0.0;129.0;0.0;0.0;0.0;0.0
9;Totaal;Kwaadaardige nieuwvormingen (>0 jaar);2010;42346.0;13414.0;1923.0;11491.0;28931.0;2229.0;19346.0;861.0;3174.0;3321.0;3119.0;100.0;102.0
10;Totaal;Kwaadaardige nieuwvormingen (>0 jaar);2015;44155.0;12392.0;1449.0;10943.0;31762.0;1793.0;20747.0;838.0;3735.0;4649.0;4419.0;77.0;153.0
11;Totaal;Kwaadaardige nieuwvormingen (>0 jaar);2021;44987.0;16379.0;1127.0;15252.0;28608.0;1592.0;16746.0;993.0;3327.0;5950.0;5684.0;98.0;168.0
12;Totaal;Hart- en vaatziekten excl. CVA (>0 jaar);2010;30158.0;18332.0;12105.0;6227.0;11827.0;2264.0;6197.0;277.0;2935.0;153.0;146.0;7.0;0.0
13;Totaal;Hart- en vaatziekten excl. CVA (>0 jaar);2015;29679.0;18218.0;10556.0;7662.0;11461.0;1370.0;6402.0;146.0;3206.0;337.0;310.0;17.0;10.0
14;Totaal;Hart- en vaatziekten excl. CVA (>0 jaar);2021;28348.0;17164.0;7827.0;9337.0;11184.0;1940.0;5789.0;409.0;2497.0;550.0;411.0;24.0;115.0
15;Totaal;Ziekten ademhalingsorganen (>0 jaar);2010;13012.0;5045.0;1845.0;3200.0;7967.0;1076.0;4837.0;87.0;1734.0;232.0;150.0;49.0;34.0
16;Totaal;Ziekten ademhalingsorganen (>0 jaar);2015;12766.0;5497.0;2089.0;3408.0;7269.0;471.0;4266.0;151.0;1904.0;477.0;477.0;0.0;0.0
17;Totaal;Ziekten ademhalingsorganen (>0 jaar);2021;10328.0;4706.0;615.0;4091.0;5622.0;608.0;2865.0;161.0;1557.0;431.0;401.0;30.0;0.0
18;Totaal;Ziekten zenuwstelsel incl.CVA (>0 jaar);2010;13504.0;4600.0;2048.0;2552.0;8904.0;1871.0;4924.0;79.0;1791.0;239.0;214.0;25.0;0.0
19;Totaal;Ziekten zenuwstelsel incl.CVA (>0 jaar);2015;17211.0;6267.0;1800.0;4467.0;10944.0;1126.0;5959.0;120.0;3053.0;686.0;580.0;7.0;99.0
20;Totaal;Ziekten zenuwstelsel incl.CVA (>0 jaar);2021;17167.0;7416.0;1297.0;6119.0;9751.0;1336.0;4591.0;151.0;2593.0;1080.0;952.0;17.0;111.0
21;Totaal;Suïcide (>0 jaar);2010;1600.0;1553.0;1455.0;98.0;47.0;10.0;24.0;0.0;13.0;0.0;0.0;0.0;0.0
22;Totaal;Suïcide (>0 jaar);2015;1871.0;1831.0;1641.0;190.0;41.0;4.0;0.0;0.0;32.0;5.0;0.0;5.0;0.0
23;Totaal;Suïcide (>0 jaar);2021;1860.0;1815.0;1094.0;720.0;45.0;0.0;4.0;0.0;41.0;0.0;0.0;0.0;0.0
24;Totaal;Ov./onbekende doodsoorzaken (>0 jaar);2010;34744.0;14128.0;7720.0;6408.0;20616.0;3175.0;12523.0;297.0;4215.0;406.0;229.0;11.0;165.0
25;Totaal;Ov./onbekende doodsoorzaken (>0 jaar);2015;40891.0;17207.0;6922.0;10285.0;23685.0;2621.0;13441.0;448.0;6075.0;1100.0;886.0;45.0;170.0
26;Totaal;Ov./onbekende doodsoorzaken (>0 jaar);2021;67590.0;31535.0;10125.0;21410.0;36055.0;4375.0;18531.0;942.0;10426.0;1782.0;1590.0;76.0;116.0
27;0 jaar;Totaal doodsoorzaken;2010;695.0;259.0;139.0;120.0;436.0;89.0;106.0;3.0;228.0;9.0;0.0;0.0;9.0
28;0 jaar;Totaal doodsoorzaken;2015;561.0;195.0;85.0;111.0;366.0;52.0;96.0;10.0;208.0;0.0;0.0;0.0;0.0
29;0 jaar;Totaal doodsoorzaken;2021;595.0;254.0;111.0;143.0;341.0;80.0;56.0;0.0;200.0;6.0;0.0;0.0;6.0
30;0 jaar;Aangeboren aandoeningen (nuljarigen);2010;202.0;82.0;40.0;42.0;121.0;30.0;49.0;0.0;37.0;5.0;0.0;0.0;5.0
31;0 jaar;Aangeboren aandoeningen (nuljarigen);2015;163.0;30.0;0.0;30.0;133.0;16.0;28.0;10.0;79.0;0.0;0.0;0.0;0.0
32;0 jaar;Aangeboren aandoeningen (nuljarigen);2021;155.0;63.0;19.0;44.0;92.0;14.0;0.0;0.0;72.0;6.0;0.0;0.0;6.0
33;0 jaar;Ov./onbekende doodsoorzaken (nuljarigen);2010;493.0;177.0;99.0;78.0;315.0;59.0;57.0;3.0;191.0;5.0;0.0;0.0;5.0
34;0 jaar;Ov./onbekende doodsoorzaken (nuljarigen);2015;398.0;165.0;85.0;81.0;233.0;36.0;68.0;0.0;129.0;0.0;0.0;0.0;0.0
35;0 jaar;Ov./onbekende doodsoorzaken (nuljarigen);2021;440.0;190.0;92.0;98.0;250.0;65.0;56.0;0.0;129.0;0.0;0.0;0.0;0.0
36;0 jaar;Kwaadaardige nieuwvormingen (>0 jaar);2010;;;;;;;;;;;;;
37;0 jaar;Kwaadaardige nieuwvormingen (>0 jaar);2015;;;;;;;;;;;;;
38;0 jaar;Kwaadaardige nieuwvormingen (>0 jaar);2021;;;;;;;;;;;;;
39;0 jaar;Hart- en vaatziekten excl. CVA (>0 jaar);2010;;;;;;;;;;;;;
40;0 jaar;Hart- en vaatziekten excl. CVA (>0 jaar);2015;;;;;;;;;;;;;
41;0 jaar;Hart- en vaatziekten excl. CVA (>0 jaar);2021;;;;;;;;;;;;;
42;0 jaar;Ziekten ademhalingsorganen (>0 jaar);2010;;;;;;;;;;;;;
43;0 jaar;Ziekten ademhalingsorganen (>0 jaar);2015;;;;;;;;;;;;;
44;0 jaar;Ziekten ademhalingsorganen (>0 jaar);2021;;;;;;;;;;;;;
45;0 jaar;Ziekten zenuwstelsel incl.CVA (>0 jaar);2010;;;;;;;;;;;;;
46;0 jaar;Ziekten zenuwstelsel incl.CVA (>0 jaar);2015;;;;;;;;;;;;;
47;0 jaar;Ziekten zenuwstelsel incl.CVA (>0 jaar);2021;;;;;;;;;;;;;
48;0 jaar;Suïcide (>0 jaar);2010;;;;;;;;;;;;;
49;0 jaar;Suïcide (>0 jaar);2015;;;;;;;;;;;;;
50;0 jaar;Suïcide (>0 jaar);2021;;;;;;;;;;;;;
51;0 jaar;Ov./onbekende doodsoorzaken (>0 jaar);2010;;;;;;;;;;;;;
52;0 jaar;Ov./onbekende doodsoorzaken (>0 jaar);2015;;;;;;;;;;;;;
53;0 jaar;Ov./onbekende doodsoorzaken (>0 jaar);2021;;;;;;;;;;;;;
54;1 tot 17 jaar;Totaal doodsoorzaken;2010;363.0;214.0;155.0;58.0;149.0;24.0;89.0;8.0;29.0;0.0;0.0;0.0;0.0
55;1 tot 17 jaar;Totaal doodsoorzaken;2015;296.0;153.0;110.0;43.0;143.0;10.0;85.0;10.0;38.0;0.0;0.0;0.0;0.0
56;1 tot 17 jaar;Totaal doodsoorzaken;2021;278.0;183.0;130.0;53.0;95.0;4.0;34.0;0.0;57.0;0.0;0.0;0.0;0.0
57;1 tot 17 jaar;Aangeboren aandoeningen (nuljarigen);2010;;;;;;;;;;;;;
58;1 tot 17 jaar;Aangeboren aandoeningen (nuljarigen);2015;;;;;;;;;;;;;
59;1 tot 17 jaar;Aangeboren aandoeningen (nuljarigen);2021;;;;;;;;;;;;;
60;1 tot 17 jaar;Ov./onbekende doodsoorzaken (nuljarigen);2010;;;;;;;;;;;;;
61;1 tot 17 jaar;Ov./onbekende doodsoorzaken (nuljarigen);2015;;;;;;;;;;;;;
62;1 tot 17 jaar;Ov./onbekende doodsoorzaken (nuljarigen);2021;;;;;;;;;;;;;
63;1 tot 17 jaar;Kwaadaardige nieuwvormingen (>0 jaar);2010;61.0;7.0;0.0;7.0;54.0;3.0;47.0;0.0;5.0;0.0;0.0;0.0;0.0
64;1 tot 17 jaar;Kwaadaardige nieuwvormingen (>0 jaar);2015;100.0;18.0;0.0;18.0;83.0;0.0;54.0;10.0;19.0;0.0;0.0;0.0;0.0
65;1 tot 17 jaar;Kwaadaardige nieuwvormingen (>0 jaar);2021;31.0;16.0;3.0;14.0;15.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0
66;1 tot 17 jaar;Hart- en vaatziekten excl. CVA (>0 jaar);2010;11.0;11.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67;1 tot 17 jaar;Hart- en vaatziekten excl. CVA (>0 jaar);2015;7.0;0.0;0.0;0.0;7.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0
68;1 tot 17 jaar;Hart- en vaatziekten excl. CVA (>0 jaar);2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
69;1 tot 17 jaar;Ziekten ademhalingsorganen (>0 jaar);2010;17.0;12.0;4.0;8.0;4.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0
70;1 tot 17 jaar;Ziekten ademhalingsorganen (>0 jaar);2015;4.0;0.0;0.0;0.0;4.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0
71;1 tot 17 jaar;Ziekten ademhalingsorganen (>0 jaar);2021;17.0;17.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
72;1 tot 17 jaar;Ziekten zenuwstelsel incl.CVA (>0 jaar);2010;28.0;18.0;6.0;12.0;10.0;3.0;2.0;0.0;5.0;0.0;0.0;0.0;0.0
73;1 tot 17 jaar;Ziekten zenuwstelsel incl.CVA (>0 jaar);2015;40.0;20.0;20.0;0.0;20.0;0.0;16.0;0.0;4.0;0.0;0.0;0.0;0.0
74;1 tot 17 jaar;Ziekten zenuwstelsel incl.CVA (>0 jaar);2021;33.0;15.0;3.0;12.0;17.0;0.0;7.0;0.0;10.0;0.0;0.0;0.0;0.0
75;1 tot 17 jaar;Suïcide (>0 jaar);2010;12.0;12.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
76;1 tot 17 jaar;Suïcide (>0 jaar);2015;30.0;30.0;28.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
77;1 tot 17 jaar;Suïcide (>0 jaar);2021;20.0;20.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
78;1 tot 17 jaar;Ov./onbekende doodsoorzaken (>0 jaar);2010;233.0;152.0;122.0;31.0;81.0;18.0;35.0;8.0;20.0;0.0;0.0;0.0;0.0
79;1 tot 17 jaar;Ov./onbekende doodsoorzaken (>0 jaar);2015;114.0;85.0;62.0;23.0;29.0;10.0;4.0;0.0;15.0;0.0;0.0;0.0;0.0
80;1 tot 17 jaar;Ov./onbekende doodsoorzaken (>0 jaar);2021;178.0;115.0;87.0;28.0;63.0;4.0;12.0;0.0;46.0;0.0;0.0;0.0;0.0
81;17 tot 65 jaar;Totaal doodsoorzaken;2010;24066.0;12046.0;7472.0;4573.0;12020.0;1000.0;7061.0;399.0;2092.0;1468.0;1324.0;91.0;52.0
82;17 tot 65 jaar;Totaal doodsoorzaken;2015;22166.0;11378.0;6577.0;4801.0;10788.0;797.0;6515.0;379.0;1459.0;1638.0;1544.0;13.0;81.0
83;17 tot 65 jaar;Totaal doodsoorzaken;2021;22721.0;11191.0;5068.0;6122.0;11530.0;730.0;6153.0;203.0;2635.0;1809.0;1660.0;0.0;148.0
84;17 tot 65 jaar;Aangeboren aandoeningen (nuljarigen);2010;;;;;;;;;;;;;
85;17 tot 65 jaar;Aangeboren aandoeningen (nuljarigen);2015;;;;;;;;;;;;;
86;17 tot 65 jaar;Aangeboren aandoeningen (nuljarigen);2021;;;;;;;;;;;;;
87;17 tot 65 jaar;Ov./onbekende doodsoorzaken (nuljarigen);2010;;;;;;;;;;;;;
88;17 tot 65 jaar;Ov./onbekende doodsoorzaken (nuljarigen);2015;;;;;;;;;;;;;
89;17 tot 65 jaar;Ov./onbekende doodsoorzaken (nuljarigen);2021;;;;;;;;;;;;;
90;17 tot 65 jaar;Kwaadaardige nieuwvormingen (>0 jaar);2010;12102.0;3485.0;564.0;2921.0;8616.0;606.0;5568.0;360.0;826.0;1257.0;1183.0;61.0;12.0
91;17 tot 65 jaar;Kwaadaardige nieuwvormingen (>0 jaar);2015;10623.0;2945.0;479.0;2465.0;7678.0;353.0;5134.0;241.0;667.0;1283.0;1201.0;13.0;69.0
92;17 tot 65 jaar;Kwaadaardige nieuwvormingen (>0 jaar);2021;8964.0;3052.0;330.0;2722.0;5911.0;189.0;4043.0;203.0;453.0;1023.0;989.0;0.0;33.0
93;17 tot 65 jaar;Hart- en vaatziekten excl. CVA (>0 jaar);2010;3564.0;2881.0;2299.0;583.0;682.0;65.0;280.0;0.0;330.0;7.0;7.0;0.0;0.0
94;17 tot 65 jaar;Hart- en vaatziekten excl. CVA (>0 jaar);2015;2767.0;2342.0;1807.0;535.0;425.0;43.0;222.0;0.0;148.0;12.0;7.0;0.0;5.0
95;17 tot 65 jaar;Hart- en vaatziekten excl. CVA (>0 jaar);2021;3507.0;2475.0;1572.0;903.0;1032.0;252.0;101.0;0.0;420.0;259.0;144.0;0.0;115.0
96;17 tot 65 jaar;Ziekten ademhalingsorganen (>0 jaar);2010;1006.0;383.0;300.0;83.0;622.0;150.0;235.0;0.0;215.0;22.0;12.0;10.0;0.0
