ID;NationaliteitVoertuig;RegioS;Perioden;TotaalGeladenGewicht_1;VervoerdBinnenDezelfdeProvincie_2;VervoerdNaarAndereProvincies_3;VervoerdNaarBuitenland_4;TotaalGelostGewicht_5;AfkomstigUitDezelfdeProvincie_6;AfkomstigUitAndereProvincies_7;AfkomstigUitBuitenland_8
0;Alle voertuigen;Groningen (PV);2005;22902;13410;6975;2517;26555;13410;11046;2099
1;Alle voertuigen;Groningen (PV);2006;21571;12214;6461;2896;28413;12214;13407;2792
2;Alle voertuigen;Groningen (PV);2007;24469;13850;7624;2995;28633;13850;12033;2749
3;Alle voertuigen;Groningen (PV);2008;22724;13052;6908;2764;25767;13052;9860;2855
4;Alle voertuigen;Groningen (PV);2009;27387;18384;6716;2288;34597;18384;13929;2285
5;Alle voertuigen;Groningen (PV);2010;19073;9230;7252;2590;24998;9230;13077;2691
6;Alle voertuigen;Groningen (PV);2011;19005;9475;7043;2487;20130;9475;8104;2551
7;Alle voertuigen;Groningen (PV);2012;16192;8022;5844;2327;20269;8022;10264;1983
8;Alle voertuigen;Friesland (PV);2005;20304;11699;7342;1262;21612;11699;8248;1665
9;Alle voertuigen;Friesland (PV);2006;22124;13568;7349;1207;24162;13568;8709;1885
10;Alle voertuigen;Friesland (PV);2007;23205;13894;7967;1345;25307;13894;9583;1830
11;Alle voertuigen;Friesland (PV);2008;21374;12074;7965;1336;23111;12074;9298;1739
12;Alle voertuigen;Friesland (PV);2009;21091;12312;7570;1209;22989;12312;9004;1673
13;Alle voertuigen;Friesland (PV);2010;19516;9311;8770;1435;20995;9311;9718;1966
14;Alle voertuigen;Friesland (PV);2011;20373;9470;9479;1423;20768;9470;9540;1757
15;Alle voertuigen;Friesland (PV);2012;19404;10836;7410;1158;20970;10836;8493;1641
16;Alle voertuigen;Drenthe (PV);2005;16605;6348;8684;1573;19010;6348;10724;1938
17;Alle voertuigen;Drenthe (PV);2006;21463;7466;12362;1635;18985;7466;8877;2642
18;Alle voertuigen;Drenthe (PV);2007;21627;7679;12042;1907;19648;7679;9368;2601
19;Alle voertuigen;Drenthe (PV);2008;18245;6175;10458;1612;18382;6175;10078;2129
20;Alle voertuigen;Drenthe (PV);2009;24318;8403;14051;1864;20214;8403;9646;2166
21;Alle voertuigen;Drenthe (PV);2010;20238;5009;13582;1647;16366;5009;9227;2130
22;Alle voertuigen;Drenthe (PV);2011;15272;5107;8477;1689;17324;5107;10526;1691
23;Alle voertuigen;Drenthe (PV);2012;17100;5128;10372;1600;15761;5128;8763;1869
24;Alle voertuigen;Overijssel (PV);2005;34985;15411;15417;4157;33506;15411;13229;4866
25;Alle voertuigen;Overijssel (PV);2006;42979;21804;16323;4852;41956;21804;13623;6529
26;Alle voertuigen;Overijssel (PV);2007;40414;17893;16858;5663;37773;17893;13083;6797
27;Alle voertuigen;Overijssel (PV);2008;45164;20404;19251;5510;40586;20404;13568;6614
28;Alle voertuigen;Overijssel (PV);2009;41743;19907;17143;4693;37883;19907;12222;5754
29;Alle voertuigen;Overijssel (PV);2010;38283;15123;18397;4763;34978;15123;14389;5465
30;Alle voertuigen;Overijssel (PV);2011;40506;15643;19641;5223;36198;15643;14559;5996
31;Alle voertuigen;Overijssel (PV);2012;33516;12998;15699;4818;30468;12998;11932;5538
32;Alle voertuigen;Flevoland (PV);2005;11018;2576;7352;1091;8605;2576;5361;668
33;Alle voertuigen;Flevoland (PV);2006;9159;1698;6366;1095;8429;1698;5805;926
34;Alle voertuigen;Flevoland (PV);2007;10007;2645;6048;1314;10436;2645;6870;921
35;Alle voertuigen;Flevoland (PV);2008;11857;4566;5931;1360;12857;4566;7302;989
36;Alle voertuigen;Flevoland (PV);2009;10824;4195;5217;1412;11470;4195;6395;881
37;Alle voertuigen;Flevoland (PV);2010;10316;3324;5576;1416;11517;3324;7280;913
38;Alle voertuigen;Flevoland (PV);2011;10204;2273;6339;1592;9288;2273;5991;1024
39;Alle voertuigen;Flevoland (PV);2012;10625;3887;5586;1152;10701;3887;5897;917
40;Alle voertuigen;Gelderland (PV);2005;68018;30185;28010;9824;66477;30185;26049;10243
41;Alle voertuigen;Gelderland (PV);2006;72001;33910;28123;9967;71601;33910;27224;10466
42;Alle voertuigen;Gelderland (PV);2007;70991;32329;29052;9610;73390;32329;29423;11638
43;Alle voertuigen;Gelderland (PV);2008;69366;28923;30362;10081;68976;28923;28049;12004
44;Alle voertuigen;Gelderland (PV);2009;68654;32438;26988;9228;70244;32438;27966;9840
45;Alle voertuigen;Gelderland (PV);2010;65431;29386;26708;9337;65892;29386;25772;10734
46;Alle voertuigen;Gelderland (PV);2011;65907;29852;27054;9000;67003;29852;27424;9727
47;Alle voertuigen;Gelderland (PV);2012;60620;26873;24511;9236;62455;26873;25253;10330
48;Alle voertuigen;Utrecht (PV);2005;28174;11463;14908;1803;30077;11463;16066;2548
49;Alle voertuigen;Utrecht (PV);2006;25912;8908;14979;2025;26825;8908;15187;2730
50;Alle voertuigen;Utrecht (PV);2007;27549;11434;13716;2398;30110;11434;15750;2926
51;Alle voertuigen;Utrecht (PV);2008;29839;13051;14743;2045;30388;13051;14667;2670
52;Alle voertuigen;Utrecht (PV);2009;28530;12837;13757;1937;29983;12837;14708;2439
53;Alle voertuigen;Utrecht (PV);2010;23902;9320;12521;2062;27451;9320;15159;2972
54;Alle voertuigen;Utrecht (PV);2011;25276;9595;13648;2032;29069;9595;16956;2518
55;Alle voertuigen;Utrecht (PV);2012;24724;10559;12084;2081;24627;10559;11476;2592
56;Alle voertuigen;Noord-Holland (PV);2005;55866;31566;18669;5631;57921;31566;22079;4276
57;Alle voertuigen;Noord-Holland (PV);2006;55146;32091;16997;6058;59521;32091;22307;5123
58;Alle voertuigen;Noord-Holland (PV);2007;59337;33865;18554;6917;61934;33865;22681;5388
59;Alle voertuigen;Noord-Holland (PV);2008;56022;32267;15834;7921;59634;32267;21704;5663
60;Alle voertuigen;Noord-Holland (PV);2009;58885;33818;18239;6828;60032;33818;20711;5503
61;Alle voertuigen;Noord-Holland (PV);2010;56526;33194;16775;6558;59582;33194;21251;5137
62;Alle voertuigen;Noord-Holland (PV);2011;54700;30680;17903;6117;57444;30680;21833;4930
63;Alle voertuigen;Noord-Holland (PV);2012;51380;30844;14479;6057;54085;30844;18093;5148
64;Alle voertuigen;Zuid-Holland (PV);2005;128395;71167;36226;21002;120886;71167;34936;14782
65;Alle voertuigen;Zuid-Holland (PV);2006;128614;71734;34713;22167;120258;71734;33310;15214
66;Alle voertuigen;Zuid-Holland (PV);2007;133477;73113;36594;23770;124613;73113;35709;15792
67;Alle voertuigen;Zuid-Holland (PV);2008;126935;70280;33613;23042;121826;70280;35424;16122
68;Alle voertuigen;Zuid-Holland (PV);2009;123690;68586;33018;22086;115858;68586;32856;14415
69;Alle voertuigen;Zuid-Holland (PV);2010;118787;62824;34516;21447;109525;62824;32311;14390
70;Alle voertuigen;Zuid-Holland (PV);2011;117814;61153;36086;20575;107509;61153;32142;14214
71;Alle voertuigen;Zuid-Holland (PV);2012;113650;63995;30757;18898;106341;63995;29026;13319
72;Alle voertuigen;Zeeland (PV);2005;19329;7109;5373;6847;16583;7109;6043;3431
73;Alle voertuigen;Zeeland (PV);2006;19068;6833;5501;6733;16313;6833;6040;3439
74;Alle voertuigen;Zeeland (PV);2007;20173;7691;5202;7280;17748;7691;6341;3717
75;Alle voertuigen;Zeeland (PV);2008;22974;9752;6036;7186;20503;9752;6977;3774
76;Alle voertuigen;Zeeland (PV);2009;20121;7892;5552;6677;17862;7892;6598;3372
77;Alle voertuigen;Zeeland (PV);2010;19579;8136;5212;6231;17822;8136;5977;3709
78;Alle voertuigen;Zeeland (PV);2011;17370;6375;5125;5870;15073;6375;5635;3063
79;Alle voertuigen;Zeeland (PV);2012;18905;6790;5973;6141;16287;6790;6242;3254
80;Alle voertuigen;Noord-Brabant (PV);2005;104704;53853;34997;15854;102089;53853;32130;16106
81;Alle voertuigen;Noord-Brabant (PV);2006;98763;46742;35100;16920;94369;46742;31158;16469
82;Alle voertuigen;Noord-Brabant (PV);2007;111523;55655;37684;18184;106821;55655;32815;18351
83;Alle voertuigen;Noord-Brabant (PV);2008;103149;49676;35479;17994;101249;49676;32671;18902
84;Alle voertuigen;Noord-Brabant (PV);2009;103432;52932;34801;15699;101398;52932;31510;16957
