ID;BedrijfstakkenBranchesSBI2008;Perioden;Waarde_1;Prijs_2;Volume_3;Waarde_4;Prijs_5;Volume_6
0;9602 Kappers en schoonheidsverzorging;2005 januari;83.7;86.3;96.9;0.0;0.0;0.0
1;9602 Kappers en schoonheidsverzorging;2005 februari;84.5;86.2;98.0;0.0;0.0;0.0
2;9602 Kappers en schoonheidsverzorging;2005 maart;97.8;86.2;113.5;0.0;0.0;0.0
3;9602 Kappers en schoonheidsverzorging;2005 1e kwartaal;88.6;86.2;102.8;0.0;0.0;0.0
4;9602 Kappers en schoonheidsverzorging;2005 april;94.0;86.3;109.0;0.0;0.0;0.0
5;9602 Kappers en schoonheidsverzorging;2005 mei;91.7;86.3;106.3;0.0;0.0;0.0
6;9602 Kappers en schoonheidsverzorging;2005 juni;95.1;86.4;110.2;0.0;0.0;0.0
7;9602 Kappers en schoonheidsverzorging;2005 2e kwartaal;93.6;86.3;108.5;0.0;0.0;0.0
8;9602 Kappers en schoonheidsverzorging;2005 juli;90.7;86.4;105.0;0.0;0.0;0.0
9;9602 Kappers en schoonheidsverzorging;2005 augustus;85.4;86.5;98.8;0.0;0.0;0.0
10;9602 Kappers en schoonheidsverzorging;2005 september;90.4;86.7;104.3;0.0;0.0;0.0
11;9602 Kappers en schoonheidsverzorging;2005 3e kwartaal;88.8;86.5;102.7;0.0;0.0;0.0
12;9602 Kappers en schoonheidsverzorging;2005 oktober;88.2;86.9;101.5;0.0;0.0;0.0
13;9602 Kappers en schoonheidsverzorging;2005 november;90.9;86.8;104.7;0.0;0.0;0.0
14;9602 Kappers en schoonheidsverzorging;2005 december;107.0;86.8;123.2;0.0;0.0;0.0
15;9602 Kappers en schoonheidsverzorging;2005 4e kwartaal;95.4;86.8;109.8;0.0;0.0;0.0
16;9602 Kappers en schoonheidsverzorging;2005;91.6;86.5;106.0;0.0;0.0;0.0
17;9602 Kappers en schoonheidsverzorging;2006 januari;83.5;88.5;94.3;-0.2;2.5;-2.7
18;9602 Kappers en schoonheidsverzorging;2006 februari;85.4;89.0;96.0;1.1;3.3;-2.1
19;9602 Kappers en schoonheidsverzorging;2006 maart;99.3;89.0;111.6;1.5;3.3;-1.7
20;9602 Kappers en schoonheidsverzorging;2006 1e kwartaal;89.4;88.8;100.6;0.8;3.0;-2.1
21;9602 Kappers en schoonheidsverzorging;2006 april;92.6;89.2;103.8;-1.5;3.4;-4.8
22;9602 Kappers en schoonheidsverzorging;2006 mei;95.8;89.2;107.4;4.4;3.4;1.0
23;9602 Kappers en schoonheidsverzorging;2006 juni;98.7;89.2;110.7;3.8;3.3;0.5
24;9602 Kappers en schoonheidsverzorging;2006 2e kwartaal;95.7;89.2;107.3;2.2;3.4;-1.1
25;9602 Kappers en schoonheidsverzorging;2006 juli;89.7;89.3;100.4;-1.2;3.3;-4.3
26;9602 Kappers en schoonheidsverzorging;2006 augustus;92.9;89.3;104.1;8.8;3.2;5.4
27;9602 Kappers en schoonheidsverzorging;2006 september;94.6;89.3;106.0;4.7;3.0;1.6
28;9602 Kappers en schoonheidsverzorging;2006 3e kwartaal;92.4;89.3;103.5;4.0;3.2;0.8
29;9602 Kappers en schoonheidsverzorging;2006 oktober;92.6;89.4;103.5;5.0;2.9;2.0
30;9602 Kappers en schoonheidsverzorging;2006 november;96.4;89.7;107.5;6.0;3.2;2.7
31;9602 Kappers en schoonheidsverzorging;2006 december;109.5;90.1;121.6;2.4;3.8;-1.3
32;9602 Kappers en schoonheidsverzorging;2006 4e kwartaal;99.5;89.7;110.9;4.3;3.3;1.0
33;9602 Kappers en schoonheidsverzorging;2006;94.2;89.3;105.6;2.9;3.2;-0.4
34;9602 Kappers en schoonheidsverzorging;2007 januari;90.6;91.5;99.0;8.5;3.4;5.0
35;9602 Kappers en schoonheidsverzorging;2007 februari;91.2;91.8;99.3;6.8;3.2;3.4
36;9602 Kappers en schoonheidsverzorging;2007 maart;103.9;91.8;113.1;4.7;3.2;1.4
37;9602 Kappers en schoonheidsverzorging;2007 1e kwartaal;95.2;91.7;103.8;6.6;3.3;3.2
38;9602 Kappers en schoonheidsverzorging;2007 april;95.2;92.1;103.3;2.8;3.3;-0.5
39;9602 Kappers en schoonheidsverzorging;2007 mei;101.5;92.3;109.9;5.9;3.4;2.4
40;9602 Kappers en schoonheidsverzorging;2007 juni;105.2;92.5;113.7;6.6;3.8;2.7
41;9602 Kappers en schoonheidsverzorging;2007 2e kwartaal;100.6;92.3;109.0;5.1;3.5;1.6
42;9602 Kappers en schoonheidsverzorging;2007 juli;95.9;92.7;103.4;7.0;3.9;3.0
43;9602 Kappers en schoonheidsverzorging;2007 augustus;98.4;92.7;106.1;5.9;3.9;2.0
44;9602 Kappers en schoonheidsverzorging;2007 september;95.9;93.1;103.1;1.4;4.3;-2.8
45;9602 Kappers en schoonheidsverzorging;2007 3e kwartaal;96.7;92.8;104.2;4.7;4.0;0.7
46;9602 Kappers en schoonheidsverzorging;2007 oktober;99.4;93.4;106.4;7.3;4.5;2.8
47;9602 Kappers en schoonheidsverzorging;2007 november;100.6;93.4;107.8;4.4;4.1;0.3
48;9602 Kappers en schoonheidsverzorging;2007 december;110.4;93.2;118.4;0.8;3.5;-2.7
49;9602 Kappers en schoonheidsverzorging;2007 4e kwartaal;103.5;93.3;110.8;4.0;4.0;0.0
50;9602 Kappers en schoonheidsverzorging;2007;99.0;92.6;107.0;5.1;3.7;1.3
51;9602 Kappers en schoonheidsverzorging;2008 januari;97.8;95.3;102.6;8.0;4.2;3.6
52;9602 Kappers en schoonheidsverzorging;2008 februari;96.5;95.3;101.3;5.8;3.8;2.0
53;9602 Kappers en schoonheidsverzorging;2008 maart;99.7;95.2;104.7;-4.1;3.7;-7.5
54;9602 Kappers en schoonheidsverzorging;2008 1e kwartaal;98.0;95.3;102.9;2.9;3.9;-0.9
55;9602 Kappers en schoonheidsverzorging;2008 april;103.6;95.4;108.6;8.8;3.5;5.2
56;9602 Kappers en schoonheidsverzorging;2008 mei;105.3;95.2;110.6;3.8;3.2;0.6
57;9602 Kappers en schoonheidsverzorging;2008 juni;100.5;95.1;105.7;-4.5;2.8;-7.1
58;9602 Kappers en schoonheidsverzorging;2008 2e kwartaal;103.1;95.2;108.3;2.5;3.2;-0.6
59;9602 Kappers en schoonheidsverzorging;2008 juli;100.0;95.3;104.9;4.3;2.8;1.4
60;9602 Kappers en schoonheidsverzorging;2008 augustus;99.4;95.4;104.2;1.0;2.9;-1.8
61;9602 Kappers en schoonheidsverzorging;2008 september;98.6;95.4;103.4;2.7;2.4;0.3
62;9602 Kappers en schoonheidsverzorging;2008 3e kwartaal;99.3;95.4;104.2;2.7;2.7;0.0
63;9602 Kappers en schoonheidsverzorging;2008 oktober;102.8;95.7;107.5;3.5;2.4;1.1
64;9602 Kappers en schoonheidsverzorging;2008 november;97.6;95.8;102.0;-3.0;2.6;-5.4
65;9602 Kappers en schoonheidsverzorging;2008 december;113.1;96.0;117.8;2.5;2.9;-0.4
66;9602 Kappers en schoonheidsverzorging;2008 4e kwartaal;104.5;95.8;109.1;1.0;2.6;-1.6
67;9602 Kappers en schoonheidsverzorging;2008;101.2;95.4;106.1;2.3;3.1;-0.8
68;9602 Kappers en schoonheidsverzorging;2009 januari;99.4;97.7;101.7;1.6;2.5;-0.8
69;9602 Kappers en schoonheidsverzorging;2009 februari;93.1;97.1;95.9;-3.5;1.9;-5.3
70;9602 Kappers en schoonheidsverzorging;2009 maart;100.8;97.4;103.4;1.1;2.3;-1.2
71;9602 Kappers en schoonheidsverzorging;2009 1e kwartaal;97.8;97.4;100.3;-0.2;2.2;-2.4
72;9602 Kappers en schoonheidsverzorging;2009 april;100.6;98.1;102.5;-2.9;2.8;-5.6
73;9602 Kappers en schoonheidsverzorging;2009 mei;103.7;97.9;105.9;-1.5;2.8;-4.2
74;9602 Kappers en schoonheidsverzorging;2009 juni;99.6;98.1;101.5;-0.9;3.1;-3.9
75;9602 Kappers en schoonheidsverzorging;2009 2e kwartaal;101.3;98.0;103.3;-1.8;2.9;-4.6
76;9602 Kappers en schoonheidsverzorging;2009 juli;101.0;98.3;102.7;1.0;3.1;-2.1
77;9602 Kappers en schoonheidsverzorging;2009 augustus;91.2;98.5;92.5;-8.3;3.3;-11.2
78;9602 Kappers en schoonheidsverzorging;2009 september;97.2;98.8;98.4;-1.4;3.6;-4.8
79;9602 Kappers en schoonheidsverzorging;2009 3e kwartaal;96.5;98.5;97.9;-2.9;3.3;-6.0
80;9602 Kappers en schoonheidsverzorging;2009 oktober;100.3;98.8;101.5;-2.5;3.3;-5.6
81;9602 Kappers en schoonheidsverzorging;2009 november;93.7;99.1;94.6;-4.0;3.5;-7.2
82;9602 Kappers en schoonheidsverzorging;2009 december;111.0;99.1;112.0;-1.9;3.3;-5.0
83;9602 Kappers en schoonheidsverzorging;2009 4e kwartaal;101.7;99.0;102.7;-2.7;3.4;-5.9
84;9602 Kappers en schoonheidsverzorging;2009;99.3;98.2;101.1;-1.9;3.0;-4.8
85;9602 Kappers en schoonheidsverzorging;2010 januari;94.0;99.9;94.1;-5.4;2.3;-7.5
86;9602 Kappers en schoonheidsverzorging;2010 februari;93.0;100.2;92.8;-0.2;3.1;-3.2
87;9602 Kappers en schoonheidsverzorging;2010 maart;104.4;100.3;104.1;3.6;2.9;0.6
88;9602 Kappers en schoonheidsverzorging;2010 1e kwartaal;97.1;100.1;97.0;-0.7;2.8;-3.3
89;9602 Kappers en schoonheidsverzorging;2010 april;101.6;99.7;101.9;1.0;1.7;-0.7
90;9602 Kappers en schoonheidsverzorging;2010 mei;100.0;99.8;100.2;-3.6;1.9;-5.4
91;9602 Kappers en schoonheidsverzorging;2010 juni;102.8;99.9;102.9;3.3;1.8;1.4
92;9602 Kappers en schoonheidsverzorging;2010 2e kwartaal;101.5;99.8;101.7;0.2;1.8;-1.6
93;9602 Kappers en schoonheidsverzorging;2010 juli;101.8;100.0;101.8;0.8;1.7;-0.9
94;9602 Kappers en schoonheidsverzorging;2010 augustus;93.8;99.9;93.9;2.8;1.3;1.5
95;9602 Kappers en schoonheidsverzorging;2010 september;98.8;99.9;98.9;1.7;1.1;0.6
96;9602 Kappers en schoonheidsverzorging;2010 3e kwartaal;98.1;99.9;98.2;1.7;1.4;0.3
97;9602 Kappers en schoonheidsverzorging;2010 oktober;99.4;100.2;99.2;-0.9;1.4;-2.3
98;9602 Kappers en schoonheidsverzorging;2010 november;96.7;100.2;96.5;3.2;1.1;2.0
99;9602 Kappers en schoonheidsverzorging;2010 december;113.8;100.1;113.6;2.6;1.0;1.5
100;9602 Kappers en schoonheidsverzorging;2010 4e kwartaal;103.3;100.2;103.1;1.6;1.2;0.4
101;9602 Kappers en schoonheidsverzorging;2010;100.0;100.0;100.0;0.7;1.8;-1.1
102;9602 Kappers en schoonheidsverzorging;2011 januari;94.0;101.3;92.9;0.0;1.3;-1.3
103;9602 Kappers en schoonheidsverzorging;2011 februari;94.6;101.7;93.1;1.8;1.5;0.3
104;9602 Kappers en schoonheidsverzorging;2011 maart;105.2;102.1;103.1;0.8;1.8;-1.0
105;9602 Kappers en schoonheidsverzorging;2011 1e kwartaal;98.0;101.7;96.3;0.8;1.5;-0.7
106;9602 Kappers en schoonheidsverzorging;2011 april;100.9;102.3;98.6;-0.7;2.6;-3.2
107;9602 Kappers en schoonheidsverzorging;2011 mei;102.7;102.3;100.3;2.7;2.6;0.1
108;9602 Kappers en schoonheidsverzorging;2011 juni;100.0;102.3;97.7;-2.8;2.4;-5.0
109;9602 Kappers en schoonheidsverzorging;2011 2e kwartaal;101.2;102.3;98.9;-0.3;2.5;-2.7
110;9602 Kappers en schoonheidsverzorging;2011 juli;97.9;102.4;95.6;-3.8;2.4;-6.1
111;9602 Kappers en schoonheidsverzorging;2011 augustus;93.6;102.5;91.3;-0.2;2.6;-2.8
