ID;BedrijfstakkenBranchesSBI2008;Perioden;IndexcijfersOmzet_1;OmzetontwikkelingTOVEenJaarEerder_2
0;46 Groothandel en handelsbemiddeling;2005 1e kwartaal;75.4;
1;46 Groothandel en handelsbemiddeling;2005 2e kwartaal;77.5;
2;46 Groothandel en handelsbemiddeling;2005 3e kwartaal;75.7;
3;46 Groothandel en handelsbemiddeling;2005 4e kwartaal;83.8;
4;46 Groothandel en handelsbemiddeling;2005;78.1;
5;46 Groothandel en handelsbemiddeling;2006 1e kwartaal;80.5;6.9
6;46 Groothandel en handelsbemiddeling;2006 2e kwartaal;83.8;8.0
7;46 Groothandel en handelsbemiddeling;2006 3e kwartaal;80.7;6.6
8;46 Groothandel en handelsbemiddeling;2006 4e kwartaal;88.3;5.4
9;46 Groothandel en handelsbemiddeling;2006;83.3;6.7
10;46 Groothandel en handelsbemiddeling;2007 1e kwartaal;88.0;9.2
11;46 Groothandel en handelsbemiddeling;2007 2e kwartaal;91.7;9.5
12;46 Groothandel en handelsbemiddeling;2007 3e kwartaal;89.4;10.8
13;46 Groothandel en handelsbemiddeling;2007 4e kwartaal;101.5;14.9
14;46 Groothandel en handelsbemiddeling;2007;92.6;11.2
15;46 Groothandel en handelsbemiddeling;2008 1e kwartaal;98.3;11.8
16;46 Groothandel en handelsbemiddeling;2008 2e kwartaal;104.1;13.5
17;46 Groothandel en handelsbemiddeling;2008 3e kwartaal;101.5;13.6
18;46 Groothandel en handelsbemiddeling;2008 4e kwartaal;99.3;-2.2
19;46 Groothandel en handelsbemiddeling;2008;100.8;8.8
20;46 Groothandel en handelsbemiddeling;2009 1e kwartaal;89.5;-9.0
21;46 Groothandel en handelsbemiddeling;2009 2e kwartaal;91.2;-12.4
22;46 Groothandel en handelsbemiddeling;2009 3e kwartaal;89.0;-12.3
23;46 Groothandel en handelsbemiddeling;2009 4e kwartaal;96.5;-2.8
24;46 Groothandel en handelsbemiddeling;2009;91.6;-9.2
25;46 Groothandel en handelsbemiddeling;2010 1e kwartaal;93.9;5.0
26;46 Groothandel en handelsbemiddeling;2010 2e kwartaal;100.7;10.4
27;46 Groothandel en handelsbemiddeling;2010 3e kwartaal;97.3;9.4
28;46 Groothandel en handelsbemiddeling;2010 4e kwartaal;108.1;11.9
29;46 Groothandel en handelsbemiddeling;2010;100.0;9.2
30;46 Groothandel en handelsbemiddeling;2011 1e kwartaal;106.9;13.8
31;46 Groothandel en handelsbemiddeling;2011 2e kwartaal;109.6;8.8
32;46 Groothandel en handelsbemiddeling;2011 3e kwartaal;106.5;9.4
33;46 Groothandel en handelsbemiddeling;2011 4e kwartaal;108.3;0.2
34;46 Groothandel en handelsbemiddeling;2011;107.8;7.8
35;46 Groothandel en handelsbemiddeling;2012 1e kwartaal;106.6;-0.3
36;46 Groothandel en handelsbemiddeling;2012 2e kwartaal;107.5;-1.8
37;46 Groothandel en handelsbemiddeling;2012 3e kwartaal;107.1;0.6
38;46 Groothandel en handelsbemiddeling;2012 4e kwartaal;108.7;0.4
39;46 Groothandel en handelsbemiddeling;2012;107.5;-0.3
40;46 Groothandel en handelsbemiddeling;2013 1e kwartaal;102.6;-3.8
41;46 Groothandel en handelsbemiddeling;2013 2e kwartaal;105.0;-2.3
42;46 Groothandel en handelsbemiddeling;2013 3e kwartaal;104.2;-2.7
43;46 Groothandel en handelsbemiddeling;2013 4e kwartaal;105.3;-3.2
44;46 Groothandel en handelsbemiddeling;2013;104.3;-3.0
45;46 Groothandel en handelsbemiddeling;2014 1e kwartaal;100.1;-2.5
46;46 Groothandel en handelsbemiddeling;2014 2e kwartaal;103.6;-1.3
47;46 Groothandel en handelsbemiddeling;2014 3e kwartaal;101.5;-2.6
48;46 Groothandel en handelsbemiddeling;2014 4e kwartaal;102.4;-2.8
49;46 Groothandel en handelsbemiddeling;2014;101.9;-2.3
50;46 Groothandel en handelsbemiddeling;2015 1e kwartaal;98.2;-1.9
51;46 Groothandel en handelsbemiddeling;2015 2e kwartaal;103.0;-0.6
52;46 Groothandel en handelsbemiddeling;2015 3e kwartaal;102.6;1.0
53;46 Groothandel en handelsbemiddeling;2015 4e kwartaal;105.2;2.8
54;46 Groothandel en handelsbemiddeling;2015;102.3;0.4
55;46 Groothandel en handelsbemiddeling;2016 1e kwartaal;99.2;1.0
56;46 Groothandel en handelsbemiddeling;2016 2e kwartaal;105.4;2.3
57;46 Groothandel en handelsbemiddeling;2016 3e kwartaal;105.8;3.1
58;46 Groothandel en handelsbemiddeling;2016 4e kwartaal;112.8;7.1
59;46 Groothandel en handelsbemiddeling;2016;105.8;3.4
60;46 Groothandel en handelsbemiddeling;2017 1e kwartaal;111.0;11.9
61;46 Groothandel en handelsbemiddeling;2017 2e kwartaal;112.4;6.6
62;46 Groothandel en handelsbemiddeling;2017 3e kwartaal;109.5;3.5
63;46 Groothandel en handelsbemiddeling;2017 4e kwartaal;116.0;2.9
64;46 Groothandel en handelsbemiddeling;2017;112.2;6.1
65;462-469 Groothandel;2005 1e kwartaal;75.3;
66;462-469 Groothandel;2005 2e kwartaal;77.6;
67;462-469 Groothandel;2005 3e kwartaal;75.7;
68;462-469 Groothandel;2005 4e kwartaal;84.0;
69;462-469 Groothandel;2005;78.1;
70;462-469 Groothandel;2006 1e kwartaal;80.6;7.0
71;462-469 Groothandel;2006 2e kwartaal;83.8;8.0
72;462-469 Groothandel;2006 3e kwartaal;80.7;6.5
73;462-469 Groothandel;2006 4e kwartaal;88.4;5.2
74;462-469 Groothandel;2006;83.4;6.7
75;462-469 Groothandel;2007 1e kwartaal;87.8;8.9
76;462-469 Groothandel;2007 2e kwartaal;91.5;9.2
77;462-469 Groothandel;2007 3e kwartaal;89.4;10.8
78;462-469 Groothandel;2007 4e kwartaal;101.6;15.0
79;462-469 Groothandel;2007;92.6;11.0
80;462-469 Groothandel;2008 1e kwartaal;98.3;12.0
81;462-469 Groothandel;2008 2e kwartaal;104.1;13.8
82;462-469 Groothandel;2008 3e kwartaal;101.4;13.5
83;462-469 Groothandel;2008 4e kwartaal;99.3;-2.2
84;462-469 Groothandel;2008;100.8;8.9
85;462-469 Groothandel;2009 1e kwartaal;89.2;-9.3
86;462-469 Groothandel;2009 2e kwartaal;90.9;-12.7
87;462-469 Groothandel;2009 3e kwartaal;88.8;-12.5
88;462-469 Groothandel;2009 4e kwartaal;96.4;-2.9
89;462-469 Groothandel;2009;91.3;-9.4
90;462-469 Groothandel;2010 1e kwartaal;94.0;5.4
91;462-469 Groothandel;2010 2e kwartaal;100.6;10.7
92;462-469 Groothandel;2010 3e kwartaal;97.2;9.5
93;462-469 Groothandel;2010 4e kwartaal;108.2;12.2
94;462-469 Groothandel;2010;100.0;9.5
95;462-469 Groothandel;2011 1e kwartaal;106.8;13.7
96;462-469 Groothandel;2011 2e kwartaal;109.4;8.7
97;462-469 Groothandel;2011 3e kwartaal;106.6;9.6
98;462-469 Groothandel;2011 4e kwartaal;108.2;0.1
99;462-469 Groothandel;2011;107.8;7.8
100;462-469 Groothandel;2012 1e kwartaal;106.6;-0.2
101;462-469 Groothandel;2012 2e kwartaal;107.4;-1.8
102;462-469 Groothandel;2012 3e kwartaal;107.1;0.5
