ID;SectorsBranchesSIC2008;Periods;Production_1;AverageDailyProduction_2;SeasonallyAdjustedProduction_3;TotalTurnover_4;DomesticTurnover_5;ForeignTurnover_6;AverageDailyTurnoverTotal_7;AverageDailyTurnoverDomestic_8;AverageDailyTurnoverForeign_9;SeasonallyAdjDailyTurnoverTotal_10;SeasonallyAdjDailyTurnoverDomestic_11;SeasonallyAdjDailyTurnoverForeign_12;Production_13;AverageDailyProduction_14;TotalTurnover_15;DomesticTurnover_16;ForeignTurnover_17;AverageDailyTurnoverTotal_18;AverageDailyTurnoverDomestic_19;AverageDailyTurnoverForeign_20;ChangeSeasonallyAdjustedProduction_21;SeasonallyAdjDailyTurnoverTotal_22;SeasonallyAdjDailyTurnoverDomestic_23;SeasonallyAdjDailyTurnoverForeign_24
0;B-E Industry (no construction), energy;2005 January;98.4;99.7;91.8;;;;;;;;;;;;;;;;;;;;;
1;B-E Industry (no construction), energy;2005 February;97.4;97.6;93.4;;;;;;;;;;;;;;;;;;1.8;;;
2;B-E Industry (no construction), energy;2005 March;102.9;102.3;92.9;;;;;;;;;;;;;;;;;;-0.5;;;
3;B-E Industry (no construction), energy;2005 1st quarter;99.6;99.9;92.7;;;;;;;;;;;;;;;;;;;;;
4;B-E Industry (no construction), energy;2005 April;92.4;91.2;95.2;;;;;;;;;;;;;;;;;;2.4;;;
5;B-E Industry (no construction), energy;2005 May;87.6;88.5;93.8;;;;;;;;;;;;;;;;;;-1.4;;;
6;B-E Industry (no construction), energy;2005 June;92.0;90.3;95.9;;;;;;;;;;;;;;;;;;2.2;;;
7;B-E Industry (no construction), energy;2005 2nd quarter;90.7;90.0;95.0;;;;;;;;;;;;;;;;;;2.4;;;
8;B-E Industry (no construction), energy;2005 July;82.5;83.9;94.3;;;;;;;;;;;;;;;;;;-1.6;;;
9;B-E Industry (no construction), energy;2005 August;79.9;79.5;92.7;;;;;;;;;;;;;;;;;;-1.7;;;
