ID;SectorBranches;Periods;TurnoverIndices_1;TurnoverYearOnYearChange_2
0;H Transportation and storage;2005 1st quarter;86.6;
1;H Transportation and storage;2005 2nd quarter;95.8;
2;H Transportation and storage;2005 3rd quarter;96.8;
3;H Transportation and storage;2005 4th quarter;102.2;
4;H Transportation and storage;2005;95.3;
5;H Transportation and storage;2006 1st quarter;93.5;7.9
6;H Transportation and storage;2006 2nd quarter;100.6;5.0
7;H Transportation and storage;2006 3rd quarter;99.8;3.1
8;H Transportation and storage;2006 4th quarter;105.2;2.9
9;H Transportation and storage;2006;99.8;4.6
10;H Transportation and storage;2007 1st quarter;99.4;6.2
11;H Transportation and storage;2007 2nd quarter;108.4;7.7
12;H Transportation and storage;2007 3rd quarter;109.5;9.7
13;H Transportation and storage;2007 4th quarter;114.0;8.4
14;H Transportation and storage;2007;107.8;8.1
15;H Transportation and storage;2008 1st quarter;104.8;5.4
16;H Transportation and storage;2008 2nd quarter;114.0;5.2
17;H Transportation and storage;2008 3rd quarter;113.6;3.7
18;H Transportation and storage;2008 4th quarter;114.2;0.1
19;H Transportation and storage;2008;111.6;3.6
20;H Transportation and storage;2009 1st quarter;93.2;-11.0
21;H Transportation and storage;2009 2nd quarter;97.7;-14.3
22;H Transportation and storage;2009 3rd quarter;98.0;-13.7
23;H Transportation and storage;2009 4th quarter;100.9;-11.6
24;H Transportation and storage;2009;97.5;-12.7
25;H Transportation and storage;2010 1st quarter;91.3;-2.1
26;H Transportation and storage;2010 2nd quarter;99.8;2.1
27;H Transportation and storage;2010 3rd quarter;103.1;5.2
28;H Transportation and storage;2010 4th quarter;105.9;4.9
29;H Transportation and storage;2010;100.0;2.6
30;H Transportation and storage;2011 1st quarter;96.9;6.2
31;H Transportation and storage;2011 2nd quarter;105.7;5.9
32;H Transportation and storage;2011 3rd quarter;106.3;3.1
33;H Transportation and storage;2011 4th quarter;108.3;2.3
34;H Transportation and storage;2011;104.3;4.3
35;H Transportation and storage;2012 1st quarter;100.7;3.9
36;H Transportation and storage;2012 2nd quarter;109.3;3.4
37;H Transportation and storage;2012 3rd quarter;109.6;3.1
38;H Transportation and storage;2012 4th quarter;110.5;2.0
39;H Transportation and storage;2012;107.5;3.1
40;H Transportation and storage;2013 1st quarter;100.8;0.1
41;H Transportation and storage;2013 2nd quarter;109.2;0.0
42;H Transportation and storage;2013 3rd quarter;110.9;1.2
43;H Transportation and storage;2013 4th quarter;112.0;1.4
44;H Transportation and storage;2013;108.2;0.7
45;H Transportation and storage;2014 1st quarter;102.4;1.6
46;H Transportation and storage;2014 2nd quarter;111.9;2.5
47;H Transportation and storage;2014 3rd quarter;114.0;2.8
48;H Transportation and storage;2014 4th quarter;114.3;2.1
49;H Transportation and storage;2014;110.7;2.2
50;H Transportation and storage;2015 1st quarter;104.9;2.4
51;H Transportation and storage;2015 2nd quarter;114.3;2.2
52;H Transportation and storage;2015 3rd quarter;116.3;2.0
53;H Transportation and storage;2015 4th quarter;118.1;3.3
54;H Transportation and storage;2015;113.4;2.5
55;H Transportation and storage;2016 1st quarter;105.8;0.9
56;H Transportation and storage;2016 2nd quarter;113.6;-0.6
57;H Transportation and storage;2016 3rd quarter;114.3;-1.7
58;H Transportation and storage;2016 4th quarter;118.3;0.2
59;H Transportation and storage;2016;113.0;-0.3
60;H Transportation and storage;2017 1st quarter;111.4;5.3
61;H Transportation and storage;2017 2nd quarter;119.0;4.7
62;H Transportation and storage;2017 3rd quarter;119.9;4.8
63;H Transportation and storage;2017 4th quarter;123.5;4.4
64;H Transportation and storage;2017;118.4;4.8
65;49 Land transport ;2005 1st quarter;77.8;
66;49 Land transport ;2005 2nd quarter;87.4;
67;49 Land transport ;2005 3rd quarter;85.2;
68;49 Land transport ;2005 4th quarter;96.2;
69;49 Land transport ;2005;86.6;
70;49 Land transport ;2006 1st quarter;85.6;10.1
71;49 Land transport ;2006 2nd quarter;96.5;10.4
72;49 Land transport ;2006 3rd quarter;93.5;9.7
73;49 Land transport ;2006 4th quarter;103.6;7.7
74;49 Land transport ;2006;94.8;9.4
75;49 Land transport ;2007 1st quarter;93.5;9.3
76;49 Land transport ;2007 2nd quarter;103.7;7.5
77;49 Land transport ;2007 3rd quarter;100.5;7.5
78;49 Land transport ;2007 4th quarter;109.3;5.5
79;49 Land transport ;2007;101.8;7.4
80;49 Land transport ;2008 1st quarter;99.3;6.2
81;49 Land transport ;2008 2nd quarter;109.4;5.5
82;49 Land transport ;2008 3rd quarter;106.5;6.0
83;49 Land transport ;2008 4th quarter;111.0;1.5
84;49 Land transport ;2008;106.5;4.7
85;49 Land transport ;2009 1st quarter;91.8;-7.5
86;49 Land transport ;2009 2nd quarter;99.5;-9.0
87;49 Land transport ;2009 3rd quarter;95.6;-10.3
88;49 Land transport ;2009 4th quarter;103.8;-6.5
89;49 Land transport ;2009;97.7;-8.3
90;49 Land transport ;2010 1st quarter;89.8;-2.1
91;49 Land transport ;2010 2nd quarter;101.0;1.5
92;49 Land transport ;2010 3rd quarter;99.2;3.8
93;49 Land transport ;2010 4th quarter;110.0;6.0
94;49 Land transport ;2010;100.0;2.4
95;49 Land transport ;2011 1st quarter;97.6;8.6
96;49 Land transport ;2011 2nd quarter;106.5;5.5
97;49 Land transport ;2011 3rd quarter;102.5;3.3
98;49 Land transport ;2011 4th quarter;109.2;-0.7
99;49 Land transport ;2011;104.0;4.0
100;49 Land transport ;2012 1st quarter;99.3;1.8
101;49 Land transport ;2012 2nd quarter;109.5;2.8
102;49 Land transport ;2012 3rd quarter;104.7;2.2
103;49 Land transport ;2012 4th quarter;110.7;1.3
104;49 Land transport ;2012;106.0;2.0
105;49 Land transport ;2013 1st quarter;98.1;-1.3
106;49 Land transport ;2013 2nd quarter;106.5;-2.7
107;49 Land transport ;2013 3rd quarter;103.0;-1.6
108;49 Land transport ;2013 4th quarter;113.3;2.3
109;49 Land transport ;2013;105.2;-0.8
110;49 Land transport ;2014 1st quarter;100.1;2.0
111;49 Land transport ;2014 2nd quarter;109.7;3.0
112;49 Land transport ;2014 3rd quarter;107.6;4.4
113;49 Land transport ;2014 4th quarter;114.3;0.9
114;49 Land transport ;2014;107.9;2.6
115;49 Land transport ;2015 1st quarter;102.8;2.8
116;49 Land transport ;2015 2nd quarter;112.7;2.8
117;49 Land transport ;2015 3rd quarter;109.2;1.5
118;49 Land transport ;2015 4th quarter;119.1;4.1
119;49 Land transport ;2015;111.0;2.8
120;49 Land transport ;2016 1st quarter;106.3;3.4
121;49 Land transport ;2016 2nd quarter;115.6;2.6
122;49 Land transport ;2016 3rd quarter;111.5;2.1
123;49 Land transport ;2016 4th quarter;123.6;3.8
124;49 Land transport ;2016;114.3;3.0
125;49 Land transport ;2017 1st quarter;112.9;6.2
126;49 Land transport ;2017 2nd quarter;121.2;4.8
127;49 Land transport ;2017 3rd quarter;117.2;5.2
