ID;Persoonskenmerken;Marges;Perioden;SAvondsLichtBrandenBijAfwezigheid_1;FietsInBewaakteFietsenstalling_2;WaardevolleSpullenMeenemenUitAuto_3;WaardevolleSpullenThuisLaten_4;SociaalPreventiefGedragSchaalscore_5;ExtraVeiligheidsslotenOpBuitendeuren_6;RolluikenVoorRamenEnOfDeuren_7;Buitenverlichting_8;Alarminstallatie_9;PreventieInRondWoningSomscore_10
0;Totaal personen;Waarde;2012;41.1;34.7;70.1;33.4;1.8;67.5;18.7;77.3;13.0;1.8
1;Totaal personen;Waarde;2013;41.4;35.1;69.9;34.4;1.8;66.8;18.7;76.4;12.8;1.7
2;Totaal personen;Waarde;2014;42.3;35.3;69.9;33.5;1.8;66.5;18.9;76.6;13.1;1.8
3;Totaal personen;Waarde;2015;43.1;36.1;69.4;33.1;1.8;66.5;19.5;76.9;13.1;1.8
4;Totaal personen;Waarde;2016;42.5;36.7;68.9;31.4;1.8;65.3;19.5;76.2;12.8;1.7
5;Totaal personen;Waarde;2017;42.2;36.2;68.2;30.4;1.8;64.9;19.1;76.0;12.9;1.7
6;Totaal personen;Waarde;2019;45.1;36.7;69.3;29.4;1.8;63.4;20.6;74.3;12.3;1.7
7;Totaal personen;Betrouwbaarheidsmarge;2012;0.4;0.4;0.4;0.4;0.0;0.4;0.3;0.4;0.3;0.0
8;Totaal personen;Betrouwbaarheidsmarge;2013;0.4;0.4;0.4;0.4;0.0;0.4;0.3;0.3;0.2;0.0
9;Totaal personen;Betrouwbaarheidsmarge;2014;0.4;0.4;0.4;0.4;0.0;0.4;0.3;0.4;0.3;0.0
10;Totaal personen;Betrouwbaarheidsmarge;2015;0.4;0.4;0.4;0.4;0.0;0.4;0.3;0.3;0.3;0.0
11;Totaal personen;Betrouwbaarheidsmarge;2016;0.4;0.4;0.4;0.4;0.0;0.4;0.3;0.4;0.3;0.0
12;Totaal personen;Betrouwbaarheidsmarge;2017;0.4;0.4;0.4;0.3;0.0;0.4;0.3;0.3;0.2;0.0
13;Totaal personen;Betrouwbaarheidsmarge;2019;0.4;0.4;0.3;0.3;0.0;0.4;0.3;0.3;0.2;0.0
14;Geslacht: Mannen;Waarde;2012;38.0;32.6;69.0;29.7;1.7;68.3;18.9;77.6;13.8;1.8
15;Geslacht: Mannen;Waarde;2013;38.5;33.0;69.4;31.0;1.7;67.8;18.4;77.2;13.5;1.8
16;Geslacht: Mannen;Waarde;2014;39.1;32.9;68.8;29.9;1.7;66.9;18.7;77.3;13.9;1.8
17;Geslacht: Mannen;Waarde;2015;39.9;33.4;68.4;29.1;1.7;67.2;19.4;77.5;14.0;1.8
18;Geslacht: Mannen;Waarde;2016;39.4;34.0;67.5;27.5;1.7;66.1;19.0;76.5;13.7;1.8
19;Geslacht: Mannen;Waarde;2017;39.1;33.8;66.8;26.5;1.7;65.2;19.0;76.3;13.8;1.7
20;Geslacht: Mannen;Waarde;2019;41.3;34.0;67.2;25.6;1.7;64.0;20.7;74.8;13.3;1.7
21;Geslacht: Mannen;Betrouwbaarheidsmarge;2012;0.6;0.6;0.6;0.6;0.0;0.7;0.5;0.6;0.5;0.0
22;Geslacht: Mannen;Betrouwbaarheidsmarge;2013;0.5;0.5;0.5;0.5;0.0;0.5;0.4;0.5;0.4;0.0
23;Geslacht: Mannen;Betrouwbaarheidsmarge;2014;0.6;0.6;0.6;0.5;0.0;0.6;0.5;0.5;0.4;0.0
24;Geslacht: Mannen;Betrouwbaarheidsmarge;2015;0.6;0.6;0.6;0.5;0.0;0.6;0.5;0.5;0.4;0.0
25;Geslacht: Mannen;Betrouwbaarheidsmarge;2016;0.6;0.6;0.6;0.5;0.0;0.6;0.5;0.5;0.4;0.0
26;Geslacht: Mannen;Betrouwbaarheidsmarge;2017;0.5;0.5;0.5;0.5;0.0;0.5;0.4;0.5;0.4;0.0
27;Geslacht: Mannen;Betrouwbaarheidsmarge;2019;0.5;0.5;0.5;0.5;0.0;0.5;0.4;0.5;0.4;0.0
28;Geslacht: Vrouwen;Waarde;2012;44.2;36.6;71.2;37.0;1.9;66.6;18.4;77.1;12.2;1.7
29;Geslacht: Vrouwen;Waarde;2013;44.2;37.1;70.3;37.8;1.9;65.9;18.9;75.6;12.1;1.7
30;Geslacht: Vrouwen;Waarde;2014;45.5;37.6;70.9;37.0;1.9;66.1;19.0;75.8;12.4;1.7
31;Geslacht: Vrouwen;Waarde;2015;46.3;38.6;70.4;37.0;1.9;65.9;19.6;76.4;12.2;1.7
32;Geslacht: Vrouwen;Waarde;2016;45.6;39.3;70.1;35.2;1.9;64.5;20.0;75.9;11.9;1.7
33;Geslacht: Vrouwen;Waarde;2017;45.3;38.7;69.5;34.2;1.9;64.5;19.1;75.7;12.0;1.7
34;Geslacht: Vrouwen;Waarde;2019;48.9;39.4;71.3;33.2;1.9;62.8;20.6;73.9;11.3;1.7
35;Geslacht: Vrouwen;Betrouwbaarheidsmarge;2012;0.6;0.6;0.6;0.6;0.0;0.6;0.5;0.6;0.4;0.0
