ID;InEnUitvoer;Perioden;Oorspronkelijk_1;Werkdaggecorrigeerd_2;Prijs_3;Oorspronkelijk_4;Werkdaggecorrigeerd_5;Oorspronkelijk_6;Werkdaggecorrigeerd_7;Prijs_8;Oorspronkelijk_9;Werkdaggecorrigeerd_10
0;10;1990 januari;31.8;31.3;101.0;31.5;31.0;;;;;
1;10;1990 februari;30.2;30.5;99.9;30.2;30.5;;;;;
2;10;1990 maart;33.6;33.6;99.4;33.8;33.8;;;;;
3;10;1990 1e kwartaal;31.9;31.8;100.1;31.8;31.8;;;;;
4;10;1990 april;31.7;32.3;100.0;31.7;32.3;;;;;
5;10;1990 mei;33.3;32.2;96.9;34.3;33.2;;;;;
6;10;1990 juni;30.4;31.0;95.8;31.7;32.4;;;;;
7;10;1990 2e kwartaal;31.8;31.8;97.6;32.6;32.6;;;;;
8;10;1990 juli;29.3;29.4;98.1;29.9;30.0;;;;;
9;10;1990 augustus;30.8;30.1;102.2;30.1;29.4;;;;;
10;10;1990 september;30.9;32.2;105.7;29.3;30.4;;;;;
11;10;1990 3e kwartaal;30.3;30.6;102.0;29.8;30.0;;;;;
12;10;1990 oktober;36.3;35.5;104.1;34.9;34.1;;;;;
13;10;1990 november;32.6;32.1;103.0;31.6;31.1;;;;;
14;10;1990 december;27.8;29.0;102.6;27.1;28.2;;;;;
15;10;1990 4e kwartaal;32.2;32.2;103.2;31.2;31.1;;;;;
16;10;1990;31.5;31.6;100.7;31.3;31.4;;;;;
17;10;1991 januari;33.5;32.9;99.3;33.8;33.2;5.4;5.4;-1.6;7.1;7.1
18;10;1991 februari;31.3;31.7;96.9;32.3;32.7;4.0;3.9;-2.9;7.1;7.1
19;10;1991 maart;34.1;35.1;98.2;34.7;35.7;1.5;4.3;-1.2;2.8;5.6
20;10;1991 1e kwartaal;33.0;33.2;98.2;33.6;33.8;3.6;4.6;-1.9;5.6;6.6
21;10;1991 april;32.9;32.6;99.8;32.9;32.7;3.8;1.0;-0.2;4.0;1.2
22;10;1991 mei;33.9;33.4;97.9;34.6;34.2;1.9;3.9;1.0;0.9;2.9
23;10;1991 juni;32.6;33.6;97.7;33.4;34.4;7.4;8.3;2.1;5.2;6.1
24;10;1991 2e kwartaal;33.1;33.2;98.5;33.6;33.7;4.3;4.3;0.9;3.3;3.4
25;10;1991 juli;33.3;32.6;101.3;32.9;32.1;13.7;10.6;3.3;10.0;7.1
26;10;1991 augustus;28.6;28.7;101.4;28.2;28.3;-7.2;-4.6;-0.8;-6.4;-3.9
27;10;1991 september;33.4;33.8;101.3;32.9;33.3;7.8;4.9;-4.2;12.5;9.5
28;10;1991 3e kwartaal;31.8;31.7;101.3;31.3;31.2;4.6;3.6;-0.7;5.3;4.3
29;10;1991 oktober;35.6;34.8;100.0;35.6;34.8;-1.9;-1.9;-3.9;2.1;2.1
30;10;1991 november;33.4;33.8;100.8;33.1;33.5;2.5;5.3;-2.2;4.8;7.7
31;10;1991 december;30.3;30.8;100.7;30.1;30.6;9.2;6.2;-1.8;11.2;8.2
32;10;1991 4e kwartaal;33.1;33.1;100.5;32.9;32.9;2.8;2.9;-2.6;5.6;5.8
33;10;1991;32.7;32.8;99.6;32.9;32.9;3.8;3.9;-1.1;4.9;5.0
34;10;1992 januari;32.1;31.6;97.5;33.0;32.4;-4.2;-4.2;-1.9;-2.4;-2.5
35;10;1992 februari;34.8;34.4;96.9;35.9;35.5;11.1;8.7;-0.1;11.1;8.7
36;10;1992 maart;35.9;36.0;97.6;36.8;36.8;5.4;2.6;-0.6;6.0;3.2
37;10;1992 1e kwartaal;34.3;34.0;97.3;35.2;34.9;3.9;2.3;-0.8;4.8;3.1
38;10;1992 april;33.9;33.6;98.9;34.2;34.0;3.0;2.9;-0.9;3.9;3.9
39;10;1992 mei;31.2;31.9;97.5;32.0;32.7;-7.9;-4.6;-0.3;-7.6;-4.3
40;10;1992 juni;34.1;33.9;96.5;35.3;35.1;4.6;1.0;-1.3;5.9;2.3
41;10;1992 2e kwartaal;33.1;33.1;97.7;33.9;33.9;-0.2;-0.3;-0.8;0.6;0.6
42;10;1992 juli;32.4;31.7;98.0;33.1;32.4;-2.6;-2.6;-3.3;0.8;0.7
43;10;1992 augustus;27.3;28.2;97.1;28.1;29.0;-4.4;-1.8;-4.3;-0.2;2.6
44;10;1992 september;32.5;32.0;96.8;33.6;33.0;-2.6;-5.2;-4.4;1.9;-0.8
45;10;1992 3e kwartaal;30.8;30.6;97.3;31.6;31.5;-3.2;-3.3;-4.0;0.9;0.7
46;10;1992 oktober;33.9;34.0;94.5;35.9;36.0;-4.8;-2.2;-5.6;0.8;3.5
47;10;1992 november;31.4;31.7;96.2;32.6;33.0;-6.0;-6.0;-4.5;-1.5;-1.5
48;10;1992 december;31.8;30.9;96.8;32.9;31.9;5.1;0.3;-3.9;9.3;4.4
49;10;1992 4e kwartaal;32.4;32.2;95.8;33.8;33.6;-2.2;-2.7;-4.7;2.6;2.1
50;10;1992;32.6;32.5;97.0;33.6;33.5;-0.4;-1.0;-2.6;2.3;1.6
51;10;1993 januari;31.0;32.2;93.5;33.2;34.4;-3.4;1.9;-4.1;0.6;6.3
52;10;1993 februari;30.4;30.8;93.4;32.6;32.9;-12.6;-10.6;-3.6;-9.3;-7.3
53;10;1993 maart;36.1;35.2;94.1;38.3;37.4;0.5;-2.2;-3.6;4.2;1.4
54;10;1993 1e kwartaal;32.5;32.7;93.7;34.7;34.9;-5.2;-3.8;-3.7;-1.5;0.0
55;10;1993 april;30.7;30.5;94.4;32.5;32.3;-9.3;-9.3;-4.5;-5.0;-5.1
56;10;1993 mei;30.1;31.3;92.9;32.4;33.7;-3.8;-1.9;-4.8;1.1;3.0
57;10;1993 juni;33.3;32.5;92.3;36.1;35.2;-2.3;-4.1;-4.4;2.2;0.3
58;10;1993 2e kwartaal;31.4;31.4;93.2;33.7;33.7;-5.2;-5.2;-4.6;-0.6;-0.6
59;10;1993 juli;30.3;30.5;93.9;32.3;32.4;-6.5;-4.0;-4.1;-2.5;0.2
60;10;1993 augustus;29.8;29.9;93.5;31.9;32.0;9.1;6.2;-3.7;13.3;10.3
61;10;1993 september;31.8;31.3;92.1;34.5;34.0;-2.1;-2.1;-4.8;2.9;2.9
62;10;1993 3e kwartaal;30.6;30.6;93.2;32.9;32.8;-0.3;-0.2;-4.2;4.1;4.2
63;10;1993 oktober;31.5;32.5;91.9;34.3;35.4;-7.0;-4.4;-2.7;-4.4;-1.8
64;10;1993 november;33.3;32.8;93.7;35.5;35.0;6.1;3.2;-2.6;8.9;6.0
65;10;1993 december;33.9;32.3;95.1;35.7;34.0;6.6;4.6;-1.7;8.5;6.4
66;10;1993 4e kwartaal;32.9;32.5;93.6;35.2;34.8;1.7;1.0;-2.3;4.0;3.3
67;10;1993;31.9;31.8;93.4;34.1;34.0;-2.3;-2.1;-3.7;1.4;1.7
68;10;1994 januari;32.6;33.2;91.9;35.5;36.1;5.2;3.2;-1.8;7.1;5.1
69;10;1994 februari;33.0;33.3;91.7;36.0;36.4;8.3;8.3;-1.9;10.4;10.4
70;10;1994 maart;38.9;37.9;92.7;42.0;40.9;7.8;7.8;-1.5;9.5;9.5
71;10;1994 1e kwartaal;34.8;34.8;92.1;37.8;37.8;7.1;6.5;-1.7;9.0;8.3
72;10;1994 april;33.9;34.0;93.7;36.2;36.3;10.6;11.4;-0.8;11.5;12.4
73;10;1994 mei;33.7;34.2;92.8;36.4;36.8;12.2;9.2;-0.1;12.3;9.3
74;10;1994 juni;36.6;35.7;92.6;39.6;38.6;9.9;9.9;0.4;9.5;9.5
75;10;1994 2e kwartaal;34.8;34.6;93.0;37.4;37.2;10.9;10.2;-0.2;11.1;10.4
76;10;1994 juli;31.3;32.3;92.9;33.8;34.8;3.4;6.2;-1.1;4.5;7.4
77;10;1994 augustus;32.7;31.9;93.4;35.0;34.2;9.6;6.7;0.0;9.7;6.7
78;10;1994 september;37.2;36.6;93.3;39.9;39.3;17.0;17.0;1.3;15.5;15.5
79;10;1994 3e kwartaal;33.7;33.6;93.2;36.2;36.1;10.1;10.0;0.0;10.0;10.0
80;10;1994 oktober;36.3;37.4;92.5;39.2;40.5;15.0;15.0;0.6;14.3;14.3
81;10;1994 november;38.2;37.6;94.6;40.3;39.7;14.7;14.7;0.9;13.7;13.6
82;10;1994 december;38.8;38.7;96.3;40.3;40.2;14.4;19.8;1.3;13.0;18.4
83;10;1994 4e kwartaal;37.8;37.9;94.4;40.0;40.1;14.7;16.5;0.9;13.7;15.4
84;10;1994;35.3;35.2;93.2;37.8;37.8;10.7;10.8;-0.2;11.0;11.0
85;10;1995 januari;38.1;37.7;92.9;41.0;40.6;16.7;13.5;1.1;15.3;12.3
86;10;1995 februari;37.7;38.1;92.8;40.6;41.0;14.2;14.2;1.2;12.9;12.9
87;10;1995 maart;44.6;43.5;92.9;48.0;46.8;14.7;14.7;0.3;14.4;14.4
88;10;1995 1e kwartaal;40.1;39.7;92.9;43.2;42.8;15.2;14.2;0.9;14.2;13.2
89;10;1995 april;37.7;38.7;93.7;40.2;41.3;11.0;14.0;0.1;10.9;13.9
