ID;Geslacht;Leeftijd;Herkomstgroepering;HoogstGevolgdeOpleiding;Recidive;Perioden;TotaalVerdachtenVanMisdrijven_1;VerdachtenPer10000Inwoners_2;TotaalVerdachtenVanMisdrijven_3;VerdachtenPer10000Inwoners_4
0;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Totaal opleidingen;0;2006;126680.0;449.0;90040.0;324.0
1;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Totaal opleidingen;0;2007;127440.0;450.0;93530.0;334.0
2;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Totaal opleidingen;0;2008;121850.0;424.0;88200.0;310.0
3;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Totaal opleidingen;0;2009;116510.0;404.0;80840.0;282.0
4;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Totaal opleidingen;0;2010;104780.0;360.0;75790.0;262.0
5;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Totaal opleidingen;0;2011;99430.0;336.0;74220.0;253.0
6;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Totaal opleidingen;0;2012;92260.0;309.0;69010.0;233.0
7;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Totaal opleidingen;0;2013;82180.0;271.0;59770.0;198.0
8;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Totaal opleidingen;0;2014;72910.0;241.0;50800.0;168.0
9;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Totaal opleidingen;2;2006;33370.0;109.0;42590.0;149.0
10;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Totaal opleidingen;2;2007;34240.0;112.0;43380.0;151.0
11;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Totaal opleidingen;2;2008;36030.0;116.0;39960.0;135.0
12;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Totaal opleidingen;2;2009;36560.0;120.0;35660.0;119.0
13;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Totaal opleidingen;2;2010;31980.0;102.0;33320.0;111.0
14;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Totaal opleidingen;2;2011;32440.0;102.0;32750.0;106.0
15;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Totaal opleidingen;2;2012;;;29820.0;96.0
16;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Totaal opleidingen;2;2013;;;25730.0;80.0
17;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Totaal opleidingen;2;2014;;;22150.0;69.0
18;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Totaal opleidingen;1;2006;93310.0;340.0;47450.0;174.0
19;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Totaal opleidingen;1;2007;93200.0;338.0;50150.0;183.0
20;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Totaal opleidingen;1;2008;85830.0;308.0;48240.0;175.0
21;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Totaal opleidingen;1;2009;79950.0;285.0;45180.0;163.0
22;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Totaal opleidingen;1;2010;72800.0;258.0;42470.0;151.0
23;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Totaal opleidingen;1;2011;66990.0;234.0;41470.0;146.0
24;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Totaal opleidingen;1;2012;;;39190.0;137.0
25;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Totaal opleidingen;1;2013;;;34030.0;118.0
26;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Totaal opleidingen;1;2014;;;28650.0;99.0
27;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Basisonderwijs;0;2006;3590.0;368.0;2090.0;214.0
28;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Basisonderwijs;0;2007;2610.0;307.0;1580.0;186.0
29;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Basisonderwijs;0;2008;2180.0;280.0;1330.0;171.0
30;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Basisonderwijs;0;2009;1900.0;264.0;1060.0;147.0
31;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Basisonderwijs;0;2010;1450.0;212.0;830.0;122.0
32;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Basisonderwijs;0;2011;1320.0;199.0;820.0;123.0
33;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Basisonderwijs;0;2012;1290.0;195.0;780.0;118.0
34;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Basisonderwijs;0;2013;1170.0;186.0;700.0;111.0
35;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Basisonderwijs;0;2014;;;;
36;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Basisonderwijs;2;2006;780.0;81.0;1040.0;107.0
37;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Basisonderwijs;2;2007;620.0;73.0;770.0;91.0
38;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Basisonderwijs;2;2008;620.0;80.0;590.0;75.0
39;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Basisonderwijs;2;2009;630.0;87.0;430.0;60.0
40;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Basisonderwijs;2;2010;400.0;59.0;350.0;51.0
41;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Basisonderwijs;2;2011;410.0;61.0;340.0;51.0
42;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Basisonderwijs;2;2012;;;340.0;51.0
43;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Basisonderwijs;2;2013;;;310.0;49.0
44;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Basisonderwijs;2;2014;;;;
