ID;Sectoren;Perioden;WerkzamePersonen_1;Arbeidsjaren_2;UitgavenVoorEigenRDActiviteiten_3;RDIntensiteit_4;OndernemingenMetEigenRDActiviteiten_5
0;Alle sectoren;2011;172105;117437;12235;1.9;18156
1;Alle sectoren;2012;185059;122215;12512;1.94;19495
2;Alle sectoren;2013;185246;123214;12746;1.95;19330
3;Alle sectoren;2014;189037;124066;13268;2.0;19694
4;Alle sectoren;2015;186762;129060;13696;1.98;20976
5;Alle sectoren;2016;184036;131024;14142;2.0;20483
6;Alle sectoren;2017;199266;138292;14675;1.99;20789
7;Bedrijven;2011;121051;74011;6922;1.08;18006
8;Bedrijven;2012;129978;76767;7078;1.1;18845
9;Bedrijven;2013;130094;77399;7095;1.09;18649
10;Bedrijven;2014;132409;76708;7433;1.12;18939
11;Bedrijven;2015;128611;81108;7669;1.11;20147
12;Bedrijven;2016;126461;83827;8242;1.15;19529
13;Bedrijven;2017;138971;90037;8626;1.17;19827
14;Instellingen;2011;13447;11228;1319;0.21;85
15;Instellingen;2012;17780;13496;1482;0.23;586
16;Instellingen;2013;17513;13485;1559;0.24;618
17;Instellingen;2014;17952;14121;1572;0.24;692
18;Instellingen;2015;19163;14348;1634;0.24;766
19;Instellingen;2016;19151;13897;1596;0.24;891
20;Instellingen;2017;21745;14856;1674;0.23;899
21;Hoger onderwijs;2011;37607;32198;3994;0.62;65
22;Hoger onderwijs;2012;37302;31952;3953;0.61;64
23;Hoger onderwijs;2013;37640;32331;4092;0.63;63
24;Hoger onderwijs;2014;38676;33237;4262;0.64;63
25;Hoger onderwijs;2015;38988;33604;4393;0.64;63
26;Hoger onderwijs;2016;38424;33300;4304;0.61;63
27;Hoger onderwijs;2017;38550;33400;4375;0.59;63
