ID;Nationality;Periods;TotalResidencePermitsAsylum_1;RefugeeStatusBeneficiaryStatus_2;HumanitarianReasons_3;TotalOrdinaryResidencePermit_4;TotalFamilyReunificationFormation_5;HusbandWife_6;ChildUnder18_7;OtherFamilyReunification_8;Study_9;TotalLabour_10;HighlySkilledMigrantBlueCardHolder_11;Researcher_12;OtherLabour_13;VictimOfHumanTrade_14;OtherOrdinary_15;SinglePermitGVVA_16
0;Total;2008;6090;;;56495;24085;11650;9770;2665;8850;11615;6410;865;4340;0;11945;
1;Total;2009;8490;4475.0;4015.0;48000;23080;11195;8860;3020;9945;10435;4895;1305;4235;0;4545;
2;Total;2010;8680;5300.0;3380.0;45800;21565;10905;8100;2560;10510;10450;5530;1485;3430;0;3275;
3;Total;2011;8380;6040.0;2345.0;46690;22325;11730;8220;2375;10700;10960;5595;1615;3750;340;2365;
4;Total;2012;5920;4315.0;1605.0;45240;21160;10015;8540;2605;10745;10920;5515;1690;3715;320;2095;
5;Total;2013;9545;4695.0;4850.0;55195;25375;12255;11065;2055;12880;12675;7045;2365;3260;210;4055;
6;Total;2014;18620;12465.0;6155.0;50950;22115;11520;9505;1090;12745;11780;7130;2310;2340;180;4125;545.0
7;Total;2015;31085;16895.0;14190.0;55605;21685;11075;9210;1395;15265;13310;7930;2420;2960;135;5215;1160.0
8;Total;2016;34250;21990.0;12260.0;61505;24960;12590;10600;1770;16315;14620;9125;2520;2975;120;5485;935.0
9;Total;2017;25815;10565.0;15250.0;71580;30970;13735;12340;4890;17240;17745;11310;2750;3685;155;5480;1785.0
10;Total;2018;12445;5335.0;7110.0;79620;34035;15265;13770;5005;18470;20885;13510;3065;4310;290;5940;2050.0
11;Total;2019;11890;6940.0;4950.0;90240;38655;17045;15655;5955;20180;22030;14335;3240;4455;385;8995;2590.0
12;Total;2020;14045;9200.0;4850.0;59465;28870;12585;11690;4595;11645;13345;8170;2430;2745;155;5445;1445.0
13;Total;2021;24705;12985.0;11720.0;81165;34535;16530;12975;5030;19580;20770;14490;3175;3105;80;6195;1515.0
14;Total;2022;29635;17530.0;12110.0;107565;45870;21845;17040;6990;21870;32125;24510;3475;4140;100;7600;1850.0
15;Total;2023;27140;16070.0;11065.0;104645;45340;21435;17055;6850;22920;27440;17770;3495;6175;140;8805;2090.0
16;Afghan;2008;200;0.0;0.0;625;325;180;120;20;5;5;0;0;5;0;290;
17;Afghan;2009;320;210.0;115.0;580;300;200;80;15;25;5;0;0;0;0;255;
18;Afghan;2010;755;520.0;235.0;390;300;190;100;10;40;0;0;0;0;0;55;
19;Afghan;2011;1375;920.0;450.0;310;265;170;85;15;25;0;0;0;0;0;20;
20;Afghan;2012;705;460.0;245.0;275;235;105;110;20;10;5;0;0;5;0;25;
21;Afghan;2013;715;415.0;300.0;420;355;190;105;60;20;5;0;0;0;0;40;
22;Afghan;2014;585;400.0;185.0;340;305;175;90;45;10;0;0;0;0;0;25;
23;Afghan;2015;500;355.0;145.0;345;280;150;80;50;20;5;0;0;0;0;40;
24;Afghan;2016;700;530.0;175.0;370;320;185;90;50;15;0;0;0;0;0;35;
25;Afghan;2017;880;635.0;245.0;425;355;145;85;120;15;0;0;0;0;0;55;
26;Afghan;2018;630;305.0;325.0;675;585;235;90;260;20;0;0;0;0;0;70;
27;Afghan;2019;360;195.0;165.0;590;465;170;120;175;10;5;5;0;0;0;110;
28;Afghan;2020;375;230.0;150.0;425;375;165;100;115;20;5;0;0;0;0;25;
29;Afghan;2021;2985;2540.0;445.0;545;470;210;130;130;40;0;5;0;0;0;35;
30;Afghan;2022;2815;2605.0;210.0;575;530;250;150;130;20;10;5;5;0;0;15;
31;Afghan;2023;865;615.0;250.0;620;560;230;175;160;30;5;0;5;0;0;20;
32;Albanian;2008;0;0.0;0.0;125;60;20;5;35;25;10;10;0;0;0;30;
33;Albanian;2009;0;0.0;0.0;125;70;15;5;50;40;5;5;0;0;0;5;
34;Albanian;2010;0;0.0;0.0;105;55;15;5;35;35;5;5;0;0;0;5;
35;Albanian;2011;0;0.0;0.0;85;45;10;5;25;40;5;0;5;0;0;0;
36;Albanian;2012;0;0.0;0.0;120;55;15;5;40;55;10;5;5;0;0;0;
37;Albanian;2013;0;0.0;0.0;155;75;25;35;15;50;10;5;5;0;0;15;
38;Albanian;2014;0;0.0;0.0;175;40;20;15;10;80;15;10;5;5;0;35;
39;Albanian;2015;5;0.0;5.0;180;25;20;0;5;75;15;10;0;5;5;60;
40;Albanian;2016;5;0.0;0.0;235;45;20;15;10;105;20;15;0;5;0;60;
41;Albanian;2017;0;0.0;0.0;255;65;25;15;25;95;35;25;5;5;0;60;
42;Albanian;2018;5;0.0;0.0;265;75;40;20;15;85;35;25;5;5;0;75;
43;Albanian;2019;5;5.0;5.0;350;120;60;35;30;95;45;30;0;15;0;90;
44;Albanian;2020;0;0.0;0.0;245;80;35;25;20;85;25;15;5;5;0;55;
45;Albanian;2021;0;0.0;0.0;300;85;40;35;15;80;50;35;5;10;0;80;
46;Albanian;2022;5;0.0;5.0;440;115;55;35;25;100;120;100;5;15;0;105;
47;Albanian;2023;0;0.0;0.0;340;125;60;35;35;75;65;50;0;10;5;70;
48;Algerian;2008;0;0.0;0.0;255;50;25;10;15;0;15;10;0;0;0;190;
49;Algerian;2009;0;0.0;0.0;100;55;35;10;10;0;10;5;5;0;0;35;
50;Algerian;2010;0;0.0;0.0;70;50;30;5;15;5;5;5;0;0;0;10;
51;Algerian;2011;0;0.0;0.0;75;50;20;20;10;0;15;15;0;0;0;5;
52;Algerian;2012;0;0.0;0.0;65;50;25;15;10;5;10;10;0;0;0;0;
53;Algerian;2013;5;0.0;0.0;85;60;30;25;5;5;10;10;5;0;0;5;
54;Algerian;2014;5;5.0;0.0;70;45;30;15;5;0;15;10;5;0;0;10;
55;Algerian;2015;10;0.0;10.0;60;30;25;10;0;10;10;5;0;5;0;10;
56;Algerian;2016;5;0.0;5.0;70;40;20;15;5;10;10;10;5;0;0;10;
57;Algerian;2017;5;5.0;0.0;100;60;30;20;10;10;10;5;5;0;0;20;
58;Algerian;2018;10;5.0;0.0;90;50;30;5;10;10;15;10;5;0;0;15;
59;Algerian;2019;0;0.0;0.0;125;75;30;20;25;5;25;10;5;10;0;25;
60;Algerian;2020;5;5.0;0.0;105;75;40;10;25;5;10;10;0;0;0;10;
61;Algerian;2021;15;5.0;10.0;105;50;30;10;10;15;25;15;5;5;0;15;
62;Algerian;2022;15;10.0;5.0;150;85;45;15;25;10;40;30;5;5;0;15;
63;Algerian;2023;5;5.0;0.0;210;135;80;30;25;20;35;25;5;5;0;25;
64;American;2008;0;0.0;0.0;4410;1750;775;770;205;1085;1385;840;45;505;0;190;
65;American;2009;0;0.0;0.0;4035;1485;730;595;160;1285;1120;705;75;340;0;145;
66;American;2010;0;0.0;0.0;4160;1430;710;565;155;1290;1290;795;85;405;0;150;
67;American;2011;0;0.0;0.0;4375;1630;795;665;165;1440;1150;790;85;275;0;155;
68;American;2012;0;0.0;0.0;4470;1715;785;765;170;1320;1325;830;90;405;0;110;
69;American;2013;0;0.0;0.0;4800;1735;820;870;50;1445;1475;885;125;465;0;140;
70;American;2014;0;0.0;0.0;4925;1800;945;810;50;1420;1550;945;105;500;0;155;
71;American;2015;5;0.0;5.0;5795;1795;940;810;50;1940;1800;1035;155;615;0;260;
72;American;2016;0;0.0;0.0;5860;1775;915;800;60;2120;1715;980;125;605;0;255;
73;American;2017;5;0.0;5.0;6495;2055;1095;880;80;2145;2065;1235;180;650;0;230;
74;American;2018;10;0.0;10.0;6950;2115;1120;895;100;2395;2140;1340;190;610;0;295;
75;American;2019;15;5.0;10.0;7405;2290;1175;965;150;2510;2200;1305;170;725;0;405;
76;American;2020;15;10.0;5.0;4285;1760;1020;655;85;850;1435;850;125;465;0;235;
77;American;2021;5;0.0;5.0;5590;1905;1005;780;120;1815;1545;880;135;530;0;325;
78;American;2022;10;0.0;10.0;6775;2275;1200;940;135;2190;2010;1230;135;645;0;300;
79;American;2023;10;0.0;10.0;6935;2155;1145;905;105;2460;1955;960;135;865;0;360;
80;Angolan;2008;10;0.0;0.0;480;55;15;25;10;0;0;0;0;0;0;425;
81;Angolan;2009;25;15.0;10.0;165;55;15;20;20;0;10;5;0;0;0;100;
82;Angolan;2010;15;5.0;10.0;90;50;5;20;25;0;0;0;0;0;0;40;
83;Angolan;2011;5;5.0;0.0;60;30;5;15;10;5;0;0;0;0;15;10;
84;Angolan;2012;5;0.0;0.0;50;30;10;15;10;0;0;0;0;0;10;5;
85;Angolan;2013;0;0.0;0.0;110;70;5;30;35;0;0;0;0;0;5;30;
86;Angolan;2014;5;0.0;0.0;75;50;15;20;15;0;0;0;0;0;5;20;
87;Angolan;2015;0;0.0;0.0;45;30;5;20;5;5;0;0;0;0;0;10;
88;Angolan;2016;0;0.0;0.0;40;20;5;10;5;0;0;0;0;0;0;15;
89;Angolan;2017;0;0.0;0.0;50;35;5;10;20;0;0;0;0;0;5;10;
90;Angolan;2018;0;0.0;0.0;45;35;5;10;15;0;0;0;0;0;5;5;
91;Angolan;2019;0;0.0;0.0;55;40;0;20;20;0;0;0;0;0;0;10;
92;Angolan;2020;0;0.0;0.0;45;30;5;15;15;0;0;0;0;0;0;15;
93;Angolan;2021;0;0.0;0.0;35;20;0;10;10;5;0;0;0;0;0;5;
94;Angolan;2022;5;5.0;0.0;50;40;5;15;20;5;0;5;0;0;0;10;
95;Angolan;2023;5;5.0;0.0;70;50;5;10;40;0;5;0;0;0;0;15;
96;Argentinian;2008;0;0.0;0.0;170;75;30;10;30;25;50;40;0;10;0;20;
97;Argentinian;2009;0;0.0;0.0;155;55;30;10;15;30;50;25;5;20;0;25;
98;Argentinian;2010;0;0.0;0.0;155;45;30;5;15;35;50;25;10;20;0;20;
99;Argentinian;2011;0;0.0;0.0;170;65;30;15;20;35;40;20;10;10;0;25;
100;Argentinian;2012;0;0.0;0.0;150;55;25;10;20;30;40;20;10;10;0;20;
101;Argentinian;2013;0;0.0;0.0;260;105;50;50;5;50;75;50;10;10;0;30;
102;Argentinian;2014;0;0.0;0.0;190;60;45;10;0;35;60;25;15;20;0;35;
103;Argentinian;2015;0;0.0;0.0;205;60;35;20;5;45;65;30;5;30;0;40;
