ID;Geslacht;Leeftijd;LeefsituatieInHetOuderlijkGezin;Geboortegeneratie;HeeftOoitSamengewoond_1;HeeftOoitOngehuwdSamengewoond_2;IsOoitGehuwd_3;HeeftOoitKinderenGekregen_4;IsOoitUitElkaarGegaan_5
0;Mannen;Tot leeftijd 25 jaar;1;1950 tot 1960;53.0;15.0;44.0;16.0;2.0
1;Mannen;Tot leeftijd 25 jaar;1;1960 tot 1970;44.0;29.0;23.0;9.0;3.0
2;Mannen;Tot leeftijd 25 jaar;1;1970 tot 1980;37.0;34.0;6.0;3.0;7.0
3;Mannen;Tot leeftijd 25 jaar;2;1950 tot 1960;64.0;35.0;41.0;18.0;2.0
4;Mannen;Tot leeftijd 25 jaar;2;1960 tot 1970;49.0;36.0;20.0;9.0;4.0
5;Mannen;Tot leeftijd 25 jaar;2;1970 tot 1980;44.0;37.0;11.0;6.0;4.0
6;Mannen;Tot leeftijd 25 jaar;3;1950 tot 1960;59.0;32.0;38.0;16.0;8.0
7;Mannen;Tot leeftijd 25 jaar;3;1960 tot 1970;51.0;40.0;20.0;7.0;7.0
8;Mannen;Tot leeftijd 25 jaar;3;1970 tot 1980;49.0;41.0;12.0;10.0;12.0
9;Mannen;Tot leeftijd 25 jaar;5;1950 tot 1960;62.0;38.0;37.0;15.0;4.0
10;Mannen;Tot leeftijd 25 jaar;5;1960 tot 1970;50.0;48.0;13.0;8.0;8.0
11;Mannen;Tot leeftijd 25 jaar;5;1970 tot 1980;39.0;38.0;3.0;3.0;8.0
12;Mannen;Tot leeftijd 25 jaar;Religie vader: RK, frequent kerkbezoek;1950 tot 1960;53.0;21.0;38.0;11.0;4.0
13;Mannen;Tot leeftijd 25 jaar;Religie vader: RK, frequent kerkbezoek;1960 tot 1970;43.0;26.0;23.0;2.0;4.0
14;Mannen;Tot leeftijd 25 jaar;Religie vader: RK, frequent kerkbezoek;1970 tot 1980;32.0;31.0;6.0;5.0;2.0
15;Mannen;Tot leeftijd 25 jaar;Religie vader: RK, minder freq kerkbe...;1950 tot 1960;73.0;26.0;56.0;26.0;6.0
16;Mannen;Tot leeftijd 25 jaar;Religie vader: RK, minder freq kerkbe...;1960 tot 1970;45.0;36.0;20.0;6.0;5.0
17;Mannen;Tot leeftijd 25 jaar;Religie vader: RK, minder freq kerkbe...;1970 tot 1980;43.0;43.0;4.0;3.0;8.0
18;Mannen;Tot leeftijd 25 jaar;Religie vader: protestant, freq kerkb...;1950 tot 1960;56.0;15.0;49.0;21.0;1.0
19;Mannen;Tot leeftijd 25 jaar;Religie vader: protestant, freq kerkb...;1960 tot 1970;53.0;33.0;32.0;10.0;4.0
20;Mannen;Tot leeftijd 25 jaar;Religie vader: protestant, freq kerkb...;1970 tot 1980;47.0;34.0;19.0;7.0;5.0
21;Mannen;Tot leeftijd 25 jaar;Religie vader: prot, minder freq kerk...;1950 tot 1960;61.0;32.0;39.0;14.0;5.0
22;Mannen;Tot leeftijd 25 jaar;Religie vader: prot, minder freq kerk...;1960 tot 1970;56.0;45.0;21.0;9.0;5.0
23;Mannen;Tot leeftijd 25 jaar;Religie vader: prot, minder freq kerk...;1970 tot 1980;48.0;45.0;3.0;3.0;13.0
24;Mannen;Tot leeftijd 25 jaar;Onderwijsniveau vader: lager onderwijs;1950 tot 1960;62.0;23.0;49.0;20.0;4.0
25;Mannen;Tot leeftijd 25 jaar;Onderwijsniveau vader: lager onderwijs;1960 tot 1970;47.0;32.0;23.0;6.0;4.0
26;Mannen;Tot leeftijd 25 jaar;Onderwijsniveau vader: lager onderwijs;1970 tot 1980;45.0;40.0;8.0;4.0;7.0
27;Mannen;Tot leeftijd 25 jaar;Onderwijsniveau vader: middelbaar;1950 tot 1960;49.0;26.0;31.0;11.0;3.0
28;Mannen;Tot leeftijd 25 jaar;Onderwijsniveau vader: middelbaar;1960 tot 1970;44.0;29.0;25.0;9.0;4.0
29;Mannen;Tot leeftijd 25 jaar;Onderwijsniveau vader: middelbaar;1970 tot 1980;38.0;34.0;7.0;3.0;7.0
30;Mannen;Tot leeftijd 25 jaar;Onderwijsniveau vader: hoog;1950 tot 1960;53.0;35.0;28.0;6.0;9.0
31;Mannen;Tot leeftijd 25 jaar;Onderwijsniveau vader: hoog;1960 tot 1970;48.0;40.0;15.0;4.0;6.0
32;Mannen;Tot leeftijd 25 jaar;Onderwijsniveau vader: hoog;1970 tot 1980;39.0;35.0;7.0;4.0;8.0
33;Mannen;Tot leeftijd 25 jaar;Gezin: eenouder;1950 tot 1960;42.0;24.0;31.0;11.0;6.0
34;Mannen;Tot leeftijd 25 jaar;Gezin: eenouder;1960 tot 1970;45.0;36.0;16.0;8.0;5.0
35;Mannen;Tot leeftijd 25 jaar;Gezin: eenouder;1970 tot 1980;43.0;40.0;6.0;5.0;10.0
36;Mannen;Tot leeftijd 25 jaar;6;1950 tot 1960;62.0;25.0;46.0;18.0;4.0
37;Mannen;Tot leeftijd 25 jaar;6;1960 tot 1970;48.0;33.0;24.0;8.0;4.0
