ID;BedrijfstakkenBranchesSBI2008;Perioden;Productie_1;GemiddeldeDagproductie_2;Productie_3;GemiddeldeDagproductie_4
0;B-E Nijverheid (geen bouw) en energie;1953 januari;;14.6;;
1;B-E Nijverheid (geen bouw) en energie;1953 februari;;14.8;;
2;B-E Nijverheid (geen bouw) en energie;1953 maart;;15.3;;
3;B-E Nijverheid (geen bouw) en energie;1953 april;;16.1;;
4;B-E Nijverheid (geen bouw) en energie;1953 mei;;17.0;;
5;B-E Nijverheid (geen bouw) en energie;1953 juni;;16.4;;
6;B-E Nijverheid (geen bouw) en energie;1953 juli;;15.5;;
7;B-E Nijverheid (geen bouw) en energie;1953 augustus;;15.9;;
8;B-E Nijverheid (geen bouw) en energie;1953 september;;16.6;;
9;B-E Nijverheid (geen bouw) en energie;1953 oktober;;18.3;;
10;B-E Nijverheid (geen bouw) en energie;1953 november;;18.1;;
11;B-E Nijverheid (geen bouw) en energie;1953 december;;17.0;;
12;B-E Nijverheid (geen bouw) en energie;1953;;16.3;;
13;B-E Nijverheid (geen bouw) en energie;1954 januari;;16.6;;13.2
14;B-E Nijverheid (geen bouw) en energie;1954 februari;;16.4;;10.1
15;B-E Nijverheid (geen bouw) en energie;1954 maart;;16.6;;8.5
16;B-E Nijverheid (geen bouw) en energie;1954 april;;17.9;;10.7
17;B-E Nijverheid (geen bouw) en energie;1954 mei;;18.5;;8.9
18;B-E Nijverheid (geen bouw) en energie;1954 juni;;18.5;;13.2
19;B-E Nijverheid (geen bouw) en energie;1954 juli;;17.4;;12.5
20;B-E Nijverheid (geen bouw) en energie;1954 augustus;;17.2;;8.1
21;B-E Nijverheid (geen bouw) en energie;1954 september;;18.1;;9.1
22;B-E Nijverheid (geen bouw) en energie;1954 oktober;;19.8;;8.2
23;B-E Nijverheid (geen bouw) en energie;1954 november;;19.8;;9.5
24;B-E Nijverheid (geen bouw) en energie;1954 december;;19.4;;13.9
25;B-E Nijverheid (geen bouw) en energie;1954;;18.0;;10.5
26;B-E Nijverheid (geen bouw) en energie;1955 januari;;17.6;;6.5
27;B-E Nijverheid (geen bouw) en energie;1955 februari;;18.1;;10.5
28;B-E Nijverheid (geen bouw) en energie;1955 maart;;18.1;;9.1
29;B-E Nijverheid (geen bouw) en energie;1955 april;;19.4;;8.4
30;B-E Nijverheid (geen bouw) en energie;1955 mei;;19.4;;4.6
31;B-E Nijverheid (geen bouw) en energie;1955 juni;;19.8;;7.0
32;B-E Nijverheid (geen bouw) en energie;1955 juli;;18.9;;8.6
33;B-E Nijverheid (geen bouw) en energie;1955 augustus;;18.3;;6.2
34;B-E Nijverheid (geen bouw) en energie;1955 september;;19.4;;7.1
35;B-E Nijverheid (geen bouw) en energie;1955 oktober;;21.5;;8.7
36;B-E Nijverheid (geen bouw) en energie;1955 november;;21.5;;8.7
37;B-E Nijverheid (geen bouw) en energie;1955 december;;20.9;;7.8
38;B-E Nijverheid (geen bouw) en energie;1955;;19.4;;7.8
39;B-E Nijverheid (geen bouw) en energie;1956 januari;;18.7;;6.1
40;B-E Nijverheid (geen bouw) en energie;1956 februari;;18.5;;2.4
41;B-E Nijverheid (geen bouw) en energie;1956 maart;;19.4;;7.2
42;B-E Nijverheid (geen bouw) en energie;1956 april;;20.7;;6.7
43;B-E Nijverheid (geen bouw) en energie;1956 mei;;21.1;;8.9
44;B-E Nijverheid (geen bouw) en energie;1956 juni;;21.3;;7.6
45;B-E Nijverheid (geen bouw) en energie;1956 juli;;20.0;;5.7
46;B-E Nijverheid (geen bouw) en energie;1956 augustus;;19.6;;7.1
47;B-E Nijverheid (geen bouw) en energie;1956 september;;21.1;;8.9
48;B-E Nijverheid (geen bouw) en energie;1956 oktober;;22.4;;4.0
49;B-E Nijverheid (geen bouw) en energie;1956 november;;22.8;;6.0
50;B-E Nijverheid (geen bouw) en energie;1956 december;;22.4;;7.2
51;B-E Nijverheid (geen bouw) en energie;1956;;20.7;;6.5
52;B-E Nijverheid (geen bouw) en energie;1957 januari;;20.6;;10.3
53;B-E Nijverheid (geen bouw) en energie;1957 februari;;21.3;;15.0
54;B-E Nijverheid (geen bouw) en energie;1957 maart;;21.1;;8.8
55;B-E Nijverheid (geen bouw) en energie;1957 april;;21.7;;5.1
56;B-E Nijverheid (geen bouw) en energie;1957 mei;;21.9;;4.0
57;B-E Nijverheid (geen bouw) en energie;1957 juni;;22.6;;6.0
58;B-E Nijverheid (geen bouw) en energie;1957 juli;;20.4;;2.1
59;B-E Nijverheid (geen bouw) en energie;1957 augustus;;20.4;;4.4
60;B-E Nijverheid (geen bouw) en energie;1957 september;;21.1;;0.0
61;B-E Nijverheid (geen bouw) en energie;1957 oktober;;22.2;;-0.9
62;B-E Nijverheid (geen bouw) en energie;1957 november;;22.4;;-1.8
63;B-E Nijverheid (geen bouw) en energie;1957 december;;21.5;;-3.7
64;B-E Nijverheid (geen bouw) en energie;1957;;21.4;;3.8
65;B-E Nijverheid (geen bouw) en energie;1958 januari;;19.8;;-4.0
66;B-E Nijverheid (geen bouw) en energie;1958 februari;;20.5;;-3.8
67;B-E Nijverheid (geen bouw) en energie;1958 maart;;20.7;;-1.8
68;B-E Nijverheid (geen bouw) en energie;1958 april;;21.3;;-1.7
69;B-E Nijverheid (geen bouw) en energie;1958 mei;;22.0;;0.3
70;B-E Nijverheid (geen bouw) en energie;1958 juni;;22.0;;-2.6
71;B-E Nijverheid (geen bouw) en energie;1958 juli;;20.3;;-0.8
72;B-E Nijverheid (geen bouw) en energie;1958 augustus;;20.7;;1.3
73;B-E Nijverheid (geen bouw) en energie;1958 september;;21.8;;3.3
