ID;LeeftijdMoederBijGeboorteKind;AantalKinderenInHetHuishouden;SamenstellingHuishouden;MigratieachtergrondKind;Perioden;LevendGeborenKinderen_1
0;Totaal leeftijd;Totaal aantal kinderen;Totaal huishoudens;Totaal;2010;184397
1;Totaal leeftijd;Totaal aantal kinderen;Totaal huishoudens;Totaal;2011;180060
2;Totaal leeftijd;Totaal aantal kinderen;Totaal huishoudens;Totaal;2012;175959
3;Totaal leeftijd;Totaal aantal kinderen;Totaal huishoudens;Totaal;2013;171341
4;Totaal leeftijd;Totaal aantal kinderen;Totaal huishoudens;Totaal;2014;175181
5;Totaal leeftijd;Totaal aantal kinderen;Totaal huishoudens;Totaal;2015;170510
6;Totaal leeftijd;Totaal aantal kinderen;Totaal huishoudens;Totaal;2016;172520
7;Totaal leeftijd;Totaal aantal kinderen;Totaal huishoudens;Totaal;2017;169836
8;Totaal leeftijd;Totaal aantal kinderen;Totaal huishoudens;Totaal;2018;168525
9;Totaal leeftijd;Totaal aantal kinderen;Totaal huishoudens;Totaal;2019;169680
10;Totaal leeftijd;Totaal aantal kinderen;Totaal huishoudens;Totaal;2020;168681
11;Totaal leeftijd;Totaal aantal kinderen;Totaal huishoudens;Totaal;2021;179441
12;Totaal leeftijd;Totaal aantal kinderen;Totaal huishoudens;Totaal met Nederlandse achtergrond;2010;139085
13;Totaal leeftijd;Totaal aantal kinderen;Totaal huishoudens;Totaal met Nederlandse achtergrond;2011;135227
14;Totaal leeftijd;Totaal aantal kinderen;Totaal huishoudens;Totaal met Nederlandse achtergrond;2012;131409
15;Totaal leeftijd;Totaal aantal kinderen;Totaal huishoudens;Totaal met Nederlandse achtergrond;2013;128428
16;Totaal leeftijd;Totaal aantal kinderen;Totaal huishoudens;Totaal met Nederlandse achtergrond;2014;130411
17;Totaal leeftijd;Totaal aantal kinderen;Totaal huishoudens;Totaal met Nederlandse achtergrond;2015;126438
18;Totaal leeftijd;Totaal aantal kinderen;Totaal huishoudens;Totaal met Nederlandse achtergrond;2016;127103
19;Totaal leeftijd;Totaal aantal kinderen;Totaal huishoudens;Totaal met Nederlandse achtergrond;2017;124962
