ID;Persoonskenmerken;Perioden;WerkzameBeroepsbevolking_1;Cursusdeelnemers_2;NietCursusdeelnemers_3;CursusdeelnemersRelatief_4;TenminsteEenCursus_5;TenminsteEenCursusRelatief_6
0;Totaal ;2011;6625;3020.0;3605.0;45.6;2840.0;94.0
1;Geslacht: mannen;2011;3725;1705.0;2020.0;45.8;1595.0;93.6
2;Geslacht: vrouwen;2011;2895;1315.0;1585.0;45.3;1245.0;94.6
3;Leeftijd: 25 tot 35 jaar;2011;1845;860.0;985.0;46.6;820.0;95.5
4;Leeftijd: 35 tot 45 jaar;2011;1975;940.0;1035.0;47.6;880.0;93.5
5;Leeftijd: 45 tot 55 jaar;2011;1925;905.0;1020.0;47.0;855.0;94.7
6;Leeftijd: 55 tot 65 jaar;2011;880;315.0;565.0;35.8;280.0;89.6
7;12600;2011;5285;2525.0;2760.0;47.7;2380.0;94.4
8;12650;2011;690;;;;;
9;13000;2011;650;;;;;
10;18700;2011;1330;335.0;995.0;25.2;300.0;89.8
11;18740;2011;2795;1185.0;1610.0;42.4;1130.0;95.1
12;18790;2011;2490;1495.0;995.0;60.0;1405.0;94.1
13;Werkkring: werkn. vaste arbeidsrelatie;2011;4740;2215.0;2525.0;46.7;2120.0;95.6
14;Werkn. flex. arbeidsrelatie;2011;825;305.0;520.0;36.9;295.0;96.9
15;Werkkring: zelfstandige;2011;1055;500.0;555.0;47.2;425.0;85.1
16;Arbeidsduur: 12 tot 20 uur per week;2011;525;185.0;345.0;34.8;185.0;100.0
17;Arbeidsduur: 20 tot 29 uur per week;2011;1145;495.0;650.0;43.1;455.0;92.7
18;Arbeidsduur: 29 tot 35 uur per week;2011;925;475.0;450.0;51.3;455.0;95.8
19;Arbeidsduur: 35 uur of meer per week;2011;4025;1865.0;2160.0;46.4;1745.0;93.3
20;Anciënniteit: tot 2 jaar;2011;700;275.0;425.0;39.3;245.0;88.5
21;Anciënniteit: 2 tot 5 jaar;2011;915;450.0;465.0;49.2;410.0;90.8
22;Anciënniteit: 5 tot 10 jaar;2011;1150;530.0;625.0;45.9;505.0;96.0
23;Anciënniteit: 10 jaar of meer;2011;2760;1245.0;1515.0;45.2;1180.0;94.6
24;Anciënniteit: onbekend;2011;1100;520.0;580.0;47.3;500.0;96.2
25;10650;2011;1310;560.0;745.0;42.9;485.0;85.9
26;10660;2011;1095;420.0;675.0;38.6;405.0;95.8
27;10670;2011;4100;1990.0;2110.0;48.6;1910.0;96.0
28;10680;2011;120;45.0;75.0;36.4;40.0;91.9
