ID;BedrijfstakkenBranchesSBI2008;Perioden;WerkzameBeroepsbevolking_1;Cursusdeelnemers_2;NietCursusdeelnemers_3;CursusdeelnemersRelatief_4;TenminsteEenCursus_5;TenminsteEenCursusRelatief_6
0;20360;2011;6625.0;3020.0;3605.0;45.6;2840.0;94.0
1;A-F Landbouw en nijverheid;2011;1175.0;425.0;750.0;36.1;410.0;96.1
2;A Landbouw, bosbouw en visserij;2011;140.0;;;;;
3;B-E Nijverheid (geen bouw) en energie;2011;670.0;240.0;430.0;35.8;235.0;98.2
4;B Delfstoffenwinning;2011;;;;;;
5;C-E Industrie, energie, afvalbeheer;2011;1035.0;385.0;655.0;36.9;370.0;96.8
6;C Industrie;2011;605.0;215.0;395.0;35.1;210.0;98.0
7;D Energievoorziening;2011;;;;;;
8;E Waterbedrijven en afvalbeheer;2011;;;;;;
9;F Bouwnijverheid;2011;365.0;145.0;225.0;39.0;135.0;94.6
10;G-I Handel, vervoer en horeca;2011;1105.0;345.0;760.0;31.4;325.0;94.4
11;G Handel;2011;675.0;200.0;475.0;29.9;190.0;94.7
12;H Vervoer en opslag;2011;285.0;;;;;
13;I Horeca;2011;145.0;;;;;
14;J Informatie en communicatie;2011;240.0;100.0;140.0;41.1;;
15;K Financiële dienstverlening;2011;240.0;175.0;;73.9;175.0;99.0
16;L Verhuur en handel van onroerend goed;2011;;;;;;
17;M-U Zakelijke en persoonlijke diensten;2011;2285.0;985.0;1300.0;43.2;915.0;92.9
18;M-N Zakelijke dienstverlening;2011;640.0;335.0;305.0;52.3;300.0;89.5
19;M Specialistische zakelijke diensten;2011;445.0;245.0;205.0;54.4;210.0;86.9
20;N Verhuur en overige zakelijke diensten;2011;195.0;;;;;
21;O-U Niet-commerciële dienstverlening;2011;2335.0;1260.0;1075.0;53.9;1200.0;95.3
22;O-Q Overheid en zorg;2011;2080.0;1150.0;930.0;55.4;1105.0;95.8
23;O Openbaar bestuur en overheidsdiensten;2011;465.0;265.0;200.0;57.2;260.0;98.7
24;P Onderwijs;2011;495.0;290.0;210.0;57.9;280.0;98.1
25;Q Gezondheids- en welzijnszorg;2011;1120.0;600.0;520.0;53.5;560.0;93.5
26;R-U Cultuur, recreatie, overige diensten;2011;255.0;110.0;150.0;42.3;95.0;89.5
27;R Cultuur, sport en recreatie;2011;160.0;;;;;
28;S Overige dienstverlening;2011;95.0;;;;;
29;SBI-code onbekend;2011;830.0;350.0;480.0;42.2;315.0;89.9
