ID;Geslacht;Leeftijd;Migratieachtergrond;Geboortegeneratie;PersoonMetBaan_1;Eerste20Inkomensgroep_2;Tweede20Inkomensgroep_3;Derde20Inkomensgroep_4;Vierde20Inkomensgroep_5;Vijfde20Inkomensgroep_6;PersoonHeeftVoortdurendBaan_7;TotaalGedeeltelijk_8;k_3Jaar_9;k_2Tot3Jaar_10;k_12Jaar_11;k_1Jaar_12;PersoonHeeftGeenBaan_13;EenBaan_14;TweeBanen_15;DrieBanen_16;VierBanen_17;VijfTotTienBanen_18;TienOfMeerBanen_19
0;Totaal mannen en vrouwen;15 jaar;Totaal;1935 tot 1940;;;;;;;;;;;;;;;;;;;
1;Totaal mannen en vrouwen;15 jaar;Totaal;1940 tot 1945;;;;;;;;;;;;;;;;;;;
2;Totaal mannen en vrouwen;15 jaar;Totaal;1945 tot 1950;;;;;;;;;;;;;;;;;;;
3;Totaal mannen en vrouwen;15 jaar;Totaal;1950 tot 1955;;;;;;;;;;;;;;;;;;;
4;Totaal mannen en vrouwen;15 jaar;Totaal;1955 tot 1960;;;;;;;;;;;;;;;;;;;
5;Totaal mannen en vrouwen;15 jaar;Totaal;1960 tot 1965;;;;;;;;;;;;;;;;;;;
6;Totaal mannen en vrouwen;15 jaar;Totaal;1965 tot 1970;;;;;;;;;;;;;;;;;;;
7;Totaal mannen en vrouwen;15 jaar;Totaal;1970 tot 1975;;;;;;;;;;;;;;;;;;;
8;Totaal mannen en vrouwen;15 jaar;Totaal;1975 tot 1980;;;;;;;;;;;;;;;;;;;
9;Totaal mannen en vrouwen;15 jaar;Totaal;1980 tot 1985;23.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;Totaal mannen en vrouwen;15 jaar;Totaal;1985 tot 1990;22.0;100.0;0.0;0.0;0.0;0.0;0.0;43.0;0.0;1.0;6.0;35.0;57.0;80.0;15.0;2.0;0.0;0.0;0.0
