ID;BalanceSheetItemsIntergovOrg;Periods;BalanceSheetItemsAtYearEnd_1
0;A - Assets;2005;7336.0
1;A - Assets;2006;6478.0
2;A - Assets;2007;7025.0
3;A - Assets;2008;7298.0
4;A - Assets;2009;7370.0
5;A - Assets;2010;7445.0
6;A - Assets;2011;6921.0
7;A - Assets;2012;7351.0
8;A - Assets;2013;7930.0
9;A - Assets;2014;7916.0
10;A - Assets;2015;7050.0
11;A - Assets;2016;7026.0
12;A - Assets;2017;7900.0
13;A - Assets;2018;8440.0
14;A - Assets;2019;8131.0
15;A - Assets;2020;9002.0
16;A - Assets;2021;8796.0
17;A1 - Fixed assets;2005;2940.0
18;A1 - Fixed assets;2006;2887.0
19;A1 - Fixed assets;2007;2876.0
20;A1 - Fixed assets;2008;2790.0
21;A1 - Fixed assets;2009;2817.0
22;A1 - Fixed assets;2010;2918.0
23;A1 - Fixed assets;2011;2636.0
24;A1 - Fixed assets;2012;2729.0
25;A1 - Fixed assets;2013;3114.0
26;A1 - Fixed assets;2014;3324.0
27;A1 - Fixed assets;2015;3168.0
28;A1 - Fixed assets;2016;3045.0
29;A1 - Fixed assets;2017;3913.0
30;A1 - Fixed assets;2018;4079.0
31;A1 - Fixed assets;2019;4121.0
32;A1 - Fixed assets;2020;4270.0
33;A1 - Fixed assets;2021;3991.0
34;A11 - Intangible assets;2005;25.0
35;A11 - Intangible assets;2006;27.0
36;A11 - Intangible assets;2007;22.0
37;A11 - Intangible assets;2008;24.0
38;A11 - Intangible assets;2009;30.0
39;A11 - Intangible assets;2010;31.0
40;A11 - Intangible assets;2011;18.0
41;A11 - Intangible assets;2012;18.0
42;A11 - Intangible assets;2013;21.0
43;A11 - Intangible assets;2014;19.0
44;A11 - Intangible assets;2015;16.0
45;A11 - Intangible assets;2016;16.0
46;A11 - Intangible assets;2017;16.0
47;A11 - Intangible assets;2018;19.0
48;A11 - Intangible assets;2019;19.0
49;A11 - Intangible assets;2020;18.0
50;A11 - Intangible assets;2021;29.0
51;A12 - Tangible fixed assets;2005;1580.0
52;A12 - Tangible fixed assets;2006;1666.0
53;A12 - Tangible fixed assets;2007;1754.0
54;A12 - Tangible fixed assets;2008;1703.0
55;A12 - Tangible fixed assets;2009;1699.0
56;A12 - Tangible fixed assets;2010;1903.0
57;A12 - Tangible fixed assets;2011;1607.0
58;A12 - Tangible fixed assets;2012;1870.0
59;A12 - Tangible fixed assets;2013;2379.0
60;A12 - Tangible fixed assets;2014;2460.0
61;A12 - Tangible fixed assets;2015;2432.0
62;A12 - Tangible fixed assets;2016;2427.0
63;A12 - Tangible fixed assets;2017;2445.0
64;A12 - Tangible fixed assets;2018;2480.0
65;A12 - Tangible fixed assets;2019;2488.0
66;A12 - Tangible fixed assets;2020;2643.0
67;A12 - Tangible fixed assets;2021;2398.0
68;A121 - Land;2005;391.0
69;A121 - Land;2006;428.0
70;A121 - Land;2007;499.0
71;A121 - Land;2008;452.0
72;A121 - Land;2009;482.0
73;A121 - Land;2010;519.0
74;A121 - Land;2011;344.0
75;A121 - Land;2012;435.0
76;A121 - Land;2013;502.0
77;A121 - Land;2014;487.0
78;A121 - Land;2015;500.0
79;A121 - Land;2016;486.0
80;A121 - Land;2017;499.0
81;A121 - Land;2018;509.0
82;A121 - Land;2019;511.0
83;A121 - Land;2020;617.0
84;A121 - Land;2021;460.0
85;A123 - Commercial buildings;2005;544.0
86;A123 - Commercial buildings;2006;553.0
87;A123 - Commercial buildings;2007;544.0
88;A123 - Commercial buildings;2008;561.0
89;A123 - Commercial buildings;2009;551.0
90;A123 - Commercial buildings;2010;572.0
91;A123 - Commercial buildings;2011;566.0
92;A123 - Commercial buildings;2012;571.0
93;A123 - Commercial buildings;2013;792.0
94;A123 - Commercial buildings;2014;864.0
95;A123 - Commercial buildings;2015;873.0
96;A123 - Commercial buildings;2016;864.0
97;A123 - Commercial buildings;2017;822.0
98;A123 - Commercial buildings;2018;792.0
99;A123 - Commercial buildings;2019;779.0
100;A123 - Commercial buildings;2020;800.0
101;A123 - Commercial buildings;2021;783.0
102;A124 - Civil engineering works;2005;273.0
103;A124 - Civil engineering works;2006;293.0
104;A124 - Civil engineering works;2007;315.0
105;A124 - Civil engineering works;2008;250.0
106;A124 - Civil engineering works;2009;216.0
107;A124 - Civil engineering works;2010;319.0
108;A124 - Civil engineering works;2011;173.0
109;A124 - Civil engineering works;2012;300.0
110;A124 - Civil engineering works;2013;250.0
111;A124 - Civil engineering works;2014;237.0
112;A124 - Civil engineering works;2015;242.0
113;A124 - Civil engineering works;2016;236.0
114;A124 - Civil engineering works;2017;241.0
115;A124 - Civil engineering works;2018;221.0
116;A124 - Civil engineering works;2019;220.0
117;A124 - Civil engineering works;2020;230.0
118;A124 - Civil engineering works;2021;82.0
119;A12a - Other tangible fixed assets;2005;372.0
120;A12a - Other tangible fixed assets;2006;393.0
121;A12a - Other tangible fixed assets;2007;395.0
122;A12a - Other tangible fixed assets;2008;440.0
123;A12a - Other tangible fixed assets;2009;451.0
124;A12a - Other tangible fixed assets;2010;493.0
125;A12a - Other tangible fixed assets;2011;524.0
126;A12a - Other tangible fixed assets;2012;564.0
127;A12a - Other tangible fixed assets;2013;836.0
128;A12a - Other tangible fixed assets;2014;872.0
129;A12a - Other tangible fixed assets;2015;817.0
130;A12a - Other tangible fixed assets;2016;840.0
131;A12a - Other tangible fixed assets;2017;883.0
132;A12a - Other tangible fixed assets;2018;959.0
133;A12a - Other tangible fixed assets;2019;978.0
134;A12a - Other tangible fixed assets;2020;996.0
135;A12a - Other tangible fixed assets;2021;1073.0
136;A13 - Financial fixed assets;2005;1336.0
137;A13 - Financial fixed assets;2006;1194.0
138;A13 - Financial fixed assets;2007;1100.0
139;A13 - Financial fixed assets;2008;1063.0
140;A13 - Financial fixed assets;2009;1088.0
141;A13 - Financial fixed assets;2010;984.0
142;A13 - Financial fixed assets;2011;1012.0
143;A13 - Financial fixed assets;2012;841.0
144;A13 - Financial fixed assets;2013;714.0
145;A13 - Financial fixed assets;2014;845.0
146;A13 - Financial fixed assets;2015;720.0
147;A13 - Financial fixed assets;2016;602.0
148;A13 - Financial fixed assets;2017;1453.0
149;A13 - Financial fixed assets;2018;1580.0
150;A13 - Financial fixed assets;2019;1614.0
151;A13 - Financial fixed assets;2020;1609.0
152;A13 - Financial fixed assets;2021;1564.0
153;A131a - Equity and investm. fund shares;2005;243.0
154;A131a - Equity and investm. fund shares;2006;221.0
155;A131a - Equity and investm. fund shares;2007;214.0
156;A131a - Equity and investm. fund shares;2008;208.0
157;A131a - Equity and investm. fund shares;2009;213.0
158;A131a - Equity and investm. fund shares;2010;215.0
159;A131a - Equity and investm. fund shares;2011;274.0
160;A131a - Equity and investm. fund shares;2012;278.0
161;A131a - Equity and investm. fund shares;2013;250.0
162;A131a - Equity and investm. fund shares;2014;235.0
163;A131a - Equity and investm. fund shares;2015;236.0
164;A131a - Equity and investm. fund shares;2016;245.0
165;A131a - Equity and investm. fund shares;2017;240.0
166;A131a - Equity and investm. fund shares;2018;241.0
167;A131a - Equity and investm. fund shares;2019;232.0
168;A131a - Equity and investm. fund shares;2020;233.0
169;A131a - Equity and investm. fund shares;2021;274.0
170;A132a - Loans to related parties;2005;64.0
171;A132a - Loans to related parties;2006;311.0
172;A132a - Loans to related parties;2007;76.0
173;A132a - Loans to related parties;2008;117.0
174;A132a - Loans to related parties;2009;59.0
175;A132a - Loans to related parties;2010;45.0
176;A132a - Loans to related parties;2011;45.0
177;A132a - Loans to related parties;2012;37.0
178;A132a - Loans to related parties;2013;43.0
179;A132a - Loans to related parties;2014;45.0
180;A132a - Loans to related parties;2015;38.0
181;A132a - Loans to related parties;2016;27.0
182;A132a - Loans to related parties;2017;922.0
183;A132a - Loans to related parties;2018;1103.0
184;A132a - Loans to related parties;2019;1192.0
185;A132a - Loans to related parties;2020;1107.0
186;A132a - Loans to related parties;2021;1062.0
187;A1331 - Other long-term loans;2005;115.0
188;A1331 - Other long-term loans;2006;112.0
189;A1331 - Other long-term loans;2007;108.0
190;A1331 - Other long-term loans;2008;96.0
191;A1331 - Other long-term loans;2009;175.0
192;A1331 - Other long-term loans;2010;94.0
193;A1331 - Other long-term loans;2011;71.0
194;A1331 - Other long-term loans;2012;71.0
195;A1331 - Other long-term loans;2013;69.0
196;A1331 - Other long-term loans;2014;162.0
197;A1331 - Other long-term loans;2015;157.0
198;A1331 - Other long-term loans;2016;134.0
199;A1331 - Other long-term loans;2017;113.0
200;A1331 - Other long-term loans;2018;100.0
201;A1331 - Other long-term loans;2019;84.0
202;A1331 - Other long-term loans;2020;155.0
203;A1331 - Other long-term loans;2021;155.0
204;A1332 - Other long-term debt securities;2005;914.0
205;A1332 - Other long-term debt securities;2006;551.0
206;A1332 - Other long-term debt securities;2007;703.0
207;A1332 - Other long-term debt securities;2008;642.0
208;A1332 - Other long-term debt securities;2009;641.0
209;A1332 - Other long-term debt securities;2010;630.0
210;A1332 - Other long-term debt securities;2011;621.0
211;A1332 - Other long-term debt securities;2012;455.0
212;A1332 - Other long-term debt securities;2013;352.0
213;A1332 - Other long-term debt securities;2014;403.0
214;A1332 - Other long-term debt securities;2015;289.0
215;A1332 - Other long-term debt securities;2016;197.0
216;A1332 - Other long-term debt securities;2017;178.0
217;A1332 - Other long-term debt securities;2018;136.0
218;A1332 - Other long-term debt securities;2019;106.0
219;A1332 - Other long-term debt securities;2020;114.0
220;A1332 - Other long-term debt securities;2021;73.0
221;A2 - Current assets;2005;4395.0
222;A2 - Current assets;2006;3591.0
223;A2 - Current assets;2007;4149.0
224;A2 - Current assets;2008;4508.0
225;A2 - Current assets;2009;4552.0
226;A2 - Current assets;2010;4527.0
227;A2 - Current assets;2011;4285.0
228;A2 - Current assets;2012;4622.0
229;A2 - Current assets;2013;4816.0
230;A2 - Current assets;2014;4592.0
231;A2 - Current assets;2015;3882.0
232;A2 - Current assets;2016;3981.0
233;A2 - Current assets;2017;3986.0
234;A2 - Current assets;2018;4361.0
235;A2 - Current assets;2019;4010.0
236;A2 - Current assets;2020;4732.0
237;A2 - Current assets;2021;4804.0
238;A21 - Stocks;2005;408.0
239;A21 - Stocks;2006;392.0
240;A21 - Stocks;2007;433.0
241;A21 - Stocks;2008;456.0
242;A21 - Stocks;2009;533.0
243;A21 - Stocks;2010;679.0
244;A21 - Stocks;2011;553.0
245;A21 - Stocks;2012;570.0
246;A21 - Stocks;2013;551.0
247;A21 - Stocks;2014;609.0
248;A21 - Stocks;2015;551.0
249;A21 - Stocks;2016;559.0
250;A21 - Stocks;2017;569.0
251;A21 - Stocks;2018;775.0
252;A21 - Stocks;2019;762.0
253;A21 - Stocks;2020;666.0
254;A21 - Stocks;2021;542.0
255;A211 - Not in operation taken land;2005;37.0
256;A211 - Not in operation taken land;2006;39.0
257;A211 - Not in operation taken land;2007;39.0
258;A211 - Not in operation taken land;2008;60.0
259;A211 - Not in operation taken land;2009;115.0
260;A211 - Not in operation taken land;2010;124.0
261;A211 - Not in operation taken land;2011;114.0
262;A211 - Not in operation taken land;2012;90.0
263;A211 - Not in operation taken land;2013;76.0
264;A211 - Not in operation taken land;2014;90.0
265;A211 - Not in operation taken land;2015;107.0
266;A211 - Not in operation taken land;2016;108.0
267;A211 - Not in operation taken land;2017;72.0
268;A211 - Not in operation taken land;2018;
269;A211 - Not in operation taken land;2019;
270;A211 - Not in operation taken land;2020;
271;A211 - Not in operation taken land;2021;
272;A213 - Works in progress;2005;335.0
273;A213 - Works in progress;2006;318.0
274;A213 - Works in progress;2007;357.0
275;A213 - Works in progress;2008;362.0
276;A213 - Works in progress;2009;390.0
277;A213 - Works in progress;2010;529.0
278;A213 - Works in progress;2011;413.0
