ID;Persoonskenmerken;Cijfersoort;Perioden;VertrouwenInAndereMensen_1;Kerken_2;Leger_3;Rechters_4;Pers_5;Politie_6;TweedeKamer_7;Ambtenaren_8;Banken_9;GroteBedrijven_10;EuropeseUnie_11
0;Totaal;Waarde;2012;58.3;31.0;59.3;68.8;30.9;67.7;36.3;44.3;41.6;45.3;39.2
1;Totaal;Waarde;2013;58.3;28.7;61.7;69.0;31.8;67.5;31.5;40.8;34.3;40.3;34.3
2;Totaal;Waarde;2014;57.9;29.4;62.2;68.0;31.3;67.9;34.6;41.9;36.6;40.1;36.4
3;Totaal;Waarde;2015;59.7;30.3;64.8;69.0;30.3;68.8;34.4;42.3;35.4;39.2;35.8
4;Totaal;Waarde;2016;59.9;30.4;64.9;71.5;31.2;70.3;36.8;42.6;36.3;37.4;36.0
5;Totaal;Waarde;2017;62.2;31.2;64.8;72.9;31.9;74.5;40.8;45.5;39.9;39.4;43.1
6;Totaal;Waarde;2018;61.7;29.5;63.5;72.6;36.0;74.8;42.0;46.6;42.8;39.7;45.2
7;Totaal;Waarde;2019;61.8;28.2;66.9;73.6;36.1;75.3;40.0;46.3;41.5;37.5;45.7
8;Totaal;Waarde;2020;63.0;30.9;71.8;77.3;39.3;78.1;53.2;49.7;46.6;39.1;48.1
9;Totaal;Waarde;2021;66.3;29.2;72.0;79.2;45.9;79.3;42.3;46.2;48.7;39.2;53.4
10;Totaal;Ondergrens 95%-interval;2012;57.2;29.9;58.1;67.8;29.8;66.6;35.2;43.2;40.4;44.1;38.0
11;Totaal;Ondergrens 95%-interval;2013;57.1;27.6;60.5;67.9;30.7;66.4;30.4;39.7;33.2;39.1;33.1
12;Totaal;Ondergrens 95%-interval;2014;56.8;28.3;61.0;66.9;30.2;66.8;33.5;40.7;35.5;38.9;35.2
13;Totaal;Ondergrens 95%-interval;2015;58.5;29.2;63.6;67.9;29.2;67.7;33.3;41.1;34.3;38.0;34.7
