ID;Warmtepompen;Sector;Perioden;InGebruikGenomenWarmtepompen_1;UitGebruikGenomenWarmtepompen_2;OpgesteldeWarmtepompenEindeVanJaar_3;InGebruikGenomenThermischVermogen_4;UitGebruikGenomenThermischVermogen_5;OpgesteldThermischVermogenEindeJaar_6;BrutoWarmteproductieWarmtepompen_7;VerbruikVanElektriciteitEnAardgas_8;OnttrekkingWarmteUitBodemOfLucht_9;VermedenVerbruikVanFossieleEnergie_10;VermedenEmissieKooldioxideCO2_11
0;"Warmtepompen; totaal";Totaal gebouwen;1994;0.0;0.0;1743.0;0.0;0.0;16.0;69.0;34.0;35.0;23.0;1.0
1;"Warmtepompen; totaal";Totaal gebouwen;1995;67.0;0.0;1810.0;1.0;0.0;17.0;73.0;35.0;38.0;24.0;1.0
2;"Warmtepompen; totaal";Totaal gebouwen;1996;146.0;0.0;1956.0;2.0;0.0;19.0;81.0;37.0;43.0;28.0;1.0
3;"Warmtepompen; totaal";Totaal gebouwen;1997;1408.0;0.0;3364.0;8.0;0.0;27.0;115.0;47.0;68.0;40.0;1.0
4;"Warmtepompen; totaal";Totaal gebouwen;1998;1669.0;0.0;5033.0;14.0;0.0;41.0;173.0;64.0;109.0;61.0;2.0
5;"Warmtepompen; totaal";Totaal gebouwen;1999;880.0;0.0;5913.0;10.0;0.0;51.0;214.0;77.0;138.0;75.0;3.0
6;"Warmtepompen; totaal";Totaal gebouwen;2000;938.0;0.0;6851.0;14.0;0.0;65.0;270.0;92.0;178.0;94.0;3.0
7;"Warmtepompen; totaal";Totaal gebouwen;2001;1478.0;0.0;8329.0;12.0;0.0;78.0;322.0;107.0;215.0;108.0;3.0
8;"Warmtepompen; totaal";Totaal gebouwen;2002;3906.0;0.0;12235.0;24.0;0.0;102.0;426.0;138.0;288.0;140.0;4.0
9;"Warmtepompen; totaal";Totaal gebouwen;2003;3973.0;0.0;16208.0;28.0;0.0;129.0;544.0;173.0;371.0;177.0;5.0
10;"Warmtepompen; totaal";Totaal gebouwen;2004;3849.0;0.0;20056.0;53.0;0.0;182.0;760.0;235.0;525.0;257.0;8.0
11;"Warmtepompen; totaal";Totaal gebouwen;2005;3993.0;349.0;23701.0;67.0;3.0;246.0;1015.0;307.0;708.0;351.0;12.0
12;"Warmtepompen; totaal";Totaal gebouwen;2006;5494.0;349.0;28847.0;81.0;3.0;323.0;1326.0;397.0;930.0;476.0;15.0
