ID;Woonplaatsen;Woonplaatscode_1;Naam_2;Code_3;Naam_4;Code_5;Naam_6;Code_7
0;Aadorp;1925;Almelo                             ;GM0141    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
1;Aagtekerke;2774;Veere                              ;GM0717    ;Zeeland                  ;PV29      ;West-Nederland           ;LD03      
2;Aalden;2145;Coevorden                          ;GM0109    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
3;Aalsmeer;2571;Aalsmeer                           ;GM0358    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
4;Aalsmeerderbrug;1600;Haarlemmermeer                     ;GM0394    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
5;Aalst;2626;Zaltbommel                         ;GM0297    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
6;Aalsum;3387;Dongeradeel                        ;GM0058    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
7;Aalten;1193;Aalten                             ;GM0197    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
8;Ter Aar;2673;Nieuwkoop                          ;GM0569    ;Zuid-Holland             ;PV28      ;West-Nederland           ;LD03      
9;Ter Aard;2394;Assen                              ;GM0106    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
10;Aardenburg;2961;Sluis                              ;GM1714    ;Zeeland                  ;PV29      ;West-Nederland           ;LD03      
11;Aarlanderveen;1079;Alphen aan den Rijn                ;GM0484    ;Zuid-Holland             ;PV28      ;West-Nederland           ;LD03      
12;Aarle-Rixtel;1445;Laarbeek                           ;GM1659    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
13;Aartswoud;2788;Opmeer                             ;GM0432    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
14;Abbega;2400;Súdwest-Fryslân                    ;GM1900    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
15;Abbekerk;3147;Medemblik                          ;GM0420    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
16;Abbenbroek;1385;Bernisse                           ;GM0568    ;Zuid-Holland             ;PV28      ;West-Nederland           ;LD03      
17;Abbenes;1608;Haarlemmermeer                     ;GM0394    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
18;Abcoude;1332;De Ronde Venen                     ;GM0736    ;Utrecht                  ;PV26      ;West-Nederland           ;LD03      
19;Achlum;1364;Franekeradeel                      ;GM0070    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
20;Achterveld;1063;Barneveld                          ;GM0203    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
21;Achterveld;2640;Leusden                            ;GM0327    ;Utrecht                  ;PV26      ;West-Nederland           ;LD03      
22;Achthuizen;2131;Goeree-Overflakkee                 ;GM1924    ;Zuid-Holland             ;PV28      ;West-Nederland           ;LD03      
23;Achtmaal;3493;Zundert                            ;GM0879    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
