ID;Vervoerstromen;Landen;Perioden;VervoerdLadinggewicht_1;Ladingtonkilometer_2;VervoerdeContainers_3
0;Aanvoer;Totaal;2007;8940;1456;509
1;Aanvoer;Totaal;2008;9051;1420;702
2;Aanvoer;Totaal;2009;7487;1082;415
3;Aanvoer;Totaal;2010;7869;1153;428
4;Aanvoer;Totaal;2011;8301;1220;475
5;Aanvoer;Totaal;2012;8172;1212;569
6;Aanvoer;Totaal;2013;7902;1115;478
7;Aanvoer;Totaal;2014;8519;1243;557
8;Aanvoer;Totaal;2015;9463;1406;582
9;Aanvoer;Totaal;2016;9885;1468;687
10;Aanvoer;Totaal;2017;10425;1583;583
11;Aanvoer;Totaal;2018;9943;1758;719
12;Aanvoer;Totaal;2019;9228;1451;642
13;Aanvoer;Totaal;2020;9303;1432;656
14;Aanvoer;Totaal;2021;10183;1575;711
15;Aanvoer;Totaal;2022;10465;1523;709
16;Aanvoer;Totaal;2023;10051;1529;722
17;Aanvoer;België;2007;1635;261;39
18;Aanvoer;België;2008;1698;253;103
19;Aanvoer;België;2009;901;133;17
20;Aanvoer;België;2010;756;146;6
21;Aanvoer;België;2011;798;163;4
22;Aanvoer;België;2012;880;196;5
23;Aanvoer;België;2013;674;130;8
24;Aanvoer;België;2014;717;163;8
25;Aanvoer;België;2015;866;185;8
26;Aanvoer;België;2016;903;172;19
27;Aanvoer;België;2017;869;157;13
28;Aanvoer;België;2018;832;147;33
29;Aanvoer;België;2019;899;150;31
30;Aanvoer;België;2020;836;126;24
31;Aanvoer;België;2021;1027;138;40
32;Aanvoer;België;2022;829;122;30
33;Aanvoer;België;2023;489;82;15
34;Aanvoer;Duitsland;2007;4151;656;218
35;Aanvoer;Duitsland;2008;4241;652;282
36;Aanvoer;Duitsland;2009;3679;512;171
37;Aanvoer;Duitsland;2010;4580;630;232
38;Aanvoer;Duitsland;2011;4789;646;268
39;Aanvoer;Duitsland;2012;4810;673;352
40;Aanvoer;Duitsland;2013;4429;588;250
41;Aanvoer;Duitsland;2014;4454;602;251
42;Aanvoer;Duitsland;2015;4319;611;252
43;Aanvoer;Duitsland;2016;4218;625;259
44;Aanvoer;Duitsland;2017;4983;771;283
45;Aanvoer;Duitsland;2018;4508;953;325
46;Aanvoer;Duitsland;2019;4489;713;311
47;Aanvoer;Duitsland;2020;3896;629;279
48;Aanvoer;Duitsland;2021;3900;643;290
49;Aanvoer;Duitsland;2022;4254;687;314
50;Aanvoer;Duitsland;2023;4112;669;315
51;Aanvoer;Frankrijk;2007;89;4;0
52;Aanvoer;Frankrijk;2008;100;5;0
53;Aanvoer;Frankrijk;2009;107;4;0
54;Aanvoer;Frankrijk;2010;209;15;0
55;Aanvoer;Frankrijk;2011;91;10;0
56;Aanvoer;Frankrijk;2012;165;27;9
57;Aanvoer;Frankrijk;2013;6;1;0
58;Aanvoer;Frankrijk;2014;143;23;14
59;Aanvoer;Frankrijk;2015;273;37;19
60;Aanvoer;Frankrijk;2016;147;24;9
61;Aanvoer;Frankrijk;2017;125;20;5
62;Aanvoer;Frankrijk;2018;152;26;9
63;Aanvoer;Frankrijk;2019;154;27;8
64;Aanvoer;Frankrijk;2020;229;32;17
65;Aanvoer;Frankrijk;2021;117;14;5
66;Aanvoer;Frankrijk;2022;77;9;3
67;Aanvoer;Frankrijk;2023;27;3;0
68;Aanvoer;Italië;2007;1864;311;147
69;Aanvoer;Italië;2008;1364;210;124
70;Aanvoer;Italië;2009;1256;191;95
71;Aanvoer;Italië;2010;1255;189;102
72;Aanvoer;Italië;2011;1334;222;122
73;Aanvoer;Italië;2012;1464;200;136
74;Aanvoer;Italië;2013;1451;198;133
75;Aanvoer;Italië;2014;1882;247;173
76;Aanvoer;Italië;2015;2191;271;185
77;Aanvoer;Italië;2016;2569;308;240
78;Aanvoer;Italië;2017;2404;284;186
79;Aanvoer;Italië;2018;2723;344;240
80;Aanvoer;Italië;2019;1930;257;177
81;Aanvoer;Italië;2020;2170;264;197
82;Aanvoer;Italië;2021;2456;302;217
83;Aanvoer;Italië;2022;2641;295;223
84;Aanvoer;Italië;2023;2542;315;238
85;Aanvoer;Oostenrijk;2007;305;53;18
86;Aanvoer;Oostenrijk;2008;383;71;46
87;Aanvoer;Oostenrijk;2009;285;50;40
88;Aanvoer;Oostenrijk;2010;219;38;26
89;Aanvoer;Oostenrijk;2011;163;27;13
90;Aanvoer;Oostenrijk;2012;124;19;9
91;Aanvoer;Oostenrijk;2013;102;17;2
92;Aanvoer;Oostenrijk;2014;98;15;2
93;Aanvoer;Oostenrijk;2015;141;23;7
94;Aanvoer;Oostenrijk;2016;176;27;10
95;Aanvoer;Oostenrijk;2017;198;29;4
96;Aanvoer;Oostenrijk;2018;238;39;13
