ID;Voertuigsoort;KenmerkenVrachtautoSEnTrekkers;BedrijfstakkenBranchesSBI2008;Perioden;AantalVoertuigenInGebruik_1;KilometersNederlandseVoertuigen_2;GemiddeldJaarkilometrage_3
0;Vrachtauto's en trekkers;Totaal;A-U Alle economische activiteiten;2009;166650.0;10085.6;60518.0
1;Vrachtauto's en trekkers;Totaal;A-U Alle economische activiteiten;2010;161780.0;9763.8;60352.0
2;Vrachtauto's en trekkers;Totaal;A-U Alle economische activiteiten;2011;160080.0;9782.9;61111.0
3;Vrachtauto's en trekkers;Totaal;A Landbouw, bosbouw en visserij;2009;5460.0;171.6;31429.0
4;Vrachtauto's en trekkers;Totaal;A Landbouw, bosbouw en visserij;2010;5510.0;175.4;31852.0
5;Vrachtauto's en trekkers;Totaal;A Landbouw, bosbouw en visserij;2011;5510.0;174.2;31588.0
6;Vrachtauto's en trekkers;Totaal;B-E Nijverheid (geen bouw) en energie;2009;13200.0;535.8;40600.0
7;Vrachtauto's en trekkers;Totaal;B-E Nijverheid (geen bouw) en energie;2010;12670.0;500.4;39491.0
8;Vrachtauto's en trekkers;Totaal;B-E Nijverheid (geen bouw) en energie;2011;12880.0;519.3;40319.0
9;Vrachtauto's en trekkers;Totaal;B Delfstoffenwinning;2009;160.0;5.5;33868.0
10;Vrachtauto's en trekkers;Totaal;B Delfstoffenwinning;2010;140.0;5.2;38524.0
11;Vrachtauto's en trekkers;Totaal;B Delfstoffenwinning;2011;140.0;5.4;38358.0
12;Vrachtauto's en trekkers;Totaal;C Industrie;2009;8740.0;344.7;39441.0
13;Vrachtauto's en trekkers;Totaal;C Industrie;2010;8310.0;315.8;38013.0
14;Vrachtauto's en trekkers;Totaal;C Industrie;2011;8940.0;344.5;38544.0
15;Vrachtauto's en trekkers;Totaal;D Energievoorziening;2009;70.0;1.1;16653.0
16;Vrachtauto's en trekkers;Totaal;D Energievoorziening;2010;90.0;2.2;23716.0
17;Vrachtauto's en trekkers;Totaal;D Energievoorziening;2011;110.0;2.4;22201.0
18;Vrachtauto's en trekkers;Totaal;E Waterbedrijven en afvalbeheer;2009;4230.0;184.6;43629.0
19;Vrachtauto's en trekkers;Totaal;E Waterbedrijven en afvalbeheer;2010;4140.0;177.2;42842.0
20;Vrachtauto's en trekkers;Totaal;E Waterbedrijven en afvalbeheer;2011;3690.0;167.0;45220.0
21;Vrachtauto's en trekkers;Totaal;F Bouwnijverheid;2009;10350.0;279.8;27022.0
22;Vrachtauto's en trekkers;Totaal;F Bouwnijverheid;2010;10320.0;276.0;26762.0
23;Vrachtauto's en trekkers;Totaal;F Bouwnijverheid;2011;10150.0;272.4;26834.0
24;Vrachtauto's en trekkers;Totaal;G-I Handel, vervoer en horeca;2009;119690.0;8535.0;71307.0
25;Vrachtauto's en trekkers;Totaal;G-I Handel, vervoer en horeca;2010;115900.0;8258.7;71260.0
26;Vrachtauto's en trekkers;Totaal;G-I Handel, vervoer en horeca;2011;114170.0;8273.8;72469.0
27;Vrachtauto's en trekkers;Totaal;G Handel;2009;39940.0;1784.3;44679.0
28;Vrachtauto's en trekkers;Totaal;G Handel;2010;39450.0;1628.9;41293.0
29;Vrachtauto's en trekkers;Totaal;G Handel;2011;37950.0;1588.9;41864.0
30;Vrachtauto's en trekkers;Totaal;H Vervoer en opslag;2009;79090.0;6738.8;85208.0
31;Vrachtauto's en trekkers;Totaal;H Vervoer en opslag;2010;75760.0;6617.8;87356.0
32;Vrachtauto's en trekkers;Totaal;H Vervoer en opslag;2011;75560.0;6676.4;88355.0
33;Vrachtauto's en trekkers;Totaal;I Horeca;2009;670.0;11.9;17689.0
34;Vrachtauto's en trekkers;Totaal;I Horeca;2010;690.0;12.1;17400.0
35;Vrachtauto's en trekkers;Totaal;I Horeca;2011;650.0;8.5;13055.0
36;Vrachtauto's en trekkers;Totaal;J Informatie en communicatie;2009;260.0;4.5;17639.0
37;Vrachtauto's en trekkers;Totaal;J Informatie en communicatie;2010;270.0;5.6;20394.0
38;Vrachtauto's en trekkers;Totaal;J Informatie en communicatie;2011;250.0;4.1;16296.0
39;Vrachtauto's en trekkers;Totaal;K Financiële dienstverlening;2009;1800.0;92.9;51633.0
40;Vrachtauto's en trekkers;Totaal;K Financiële dienstverlening;2010;1620.0;88.7;54666.0
41;Vrachtauto's en trekkers;Totaal;K Financiële dienstverlening;2011;1740.0;89.1;51109.0
42;Vrachtauto's en trekkers;Totaal;L Verhuur en handel van onroerend goed;2009;580.0;24.5;42562.0
43;Vrachtauto's en trekkers;Totaal;L Verhuur en handel van onroerend goed;2010;540.0;21.5;39676.0
44;Vrachtauto's en trekkers;Totaal;L Verhuur en handel van onroerend goed;2011;580.0;24.5;42413.0
45;Vrachtauto's en trekkers;Totaal;M-N Zakelijke dienstverlening;2009;9530.0;328.9;34521.0
46;Vrachtauto's en trekkers;Totaal;M-N Zakelijke dienstverlening;2010;9070.0;324.2;35741.0
47;Vrachtauto's en trekkers;Totaal;M-N Zakelijke dienstverlening;2011;8820.0;309.3;35083.0
48;Vrachtauto's en trekkers;Totaal;M Specialistische zakelijke diensten;2009;2610.0;97.0;37157.0
49;Vrachtauto's en trekkers;Totaal;M Specialistische zakelijke diensten;2010;2380.0;82.3;34673.0
50;Vrachtauto's en trekkers;Totaal;M Specialistische zakelijke diensten;2011;2240.0;76.2;34045.0
51;Vrachtauto's en trekkers;Totaal;N Verhuur en overige zakelijke diensten;2009;6920.0;231.9;33525.0
52;Vrachtauto's en trekkers;Totaal;N Verhuur en overige zakelijke diensten;2010;6700.0;241.9;36120.0
53;Vrachtauto's en trekkers;Totaal;N Verhuur en overige zakelijke diensten;2011;6580.0;233.1;35436.0
54;Vrachtauto's en trekkers;Totaal;O-Q Overheid en zorg;2009;2460.0;43.0;17482.0
55;Vrachtauto's en trekkers;Totaal;O-Q Overheid en zorg;2010;2490.0;39.2;15753.0
56;Vrachtauto's en trekkers;Totaal;O-Q Overheid en zorg;2011;2580.0;38.3;14827.0
57;Vrachtauto's en trekkers;Totaal;O Openbaar bestuur en overheidsdiensten;2009;1340.0;16.7;12441.0
58;Vrachtauto's en trekkers;Totaal;O Openbaar bestuur en overheidsdiensten;2010;1430.0;18.4;12867.0
59;Vrachtauto's en trekkers;Totaal;O Openbaar bestuur en overheidsdiensten;2011;1560.0;17.8;11418.0
60;Vrachtauto's en trekkers;Totaal;P Onderwijs;2009;750.0;17.1;22795.0
61;Vrachtauto's en trekkers;Totaal;P Onderwijs;2010;740.0;14.8;20193.0
62;Vrachtauto's en trekkers;Totaal;P Onderwijs;2011;720.0;14.1;19748.0
63;Vrachtauto's en trekkers;Totaal;Q Gezondheids- en welzijnszorg;2009;370.0;9.2;24961.0
64;Vrachtauto's en trekkers;Totaal;Q Gezondheids- en welzijnszorg;2010;320.0;5.9;18464.0
65;Vrachtauto's en trekkers;Totaal;Q Gezondheids- en welzijnszorg;2011;300.0;6.3;20814.0
66;Vrachtauto's en trekkers;Totaal;R-U Cultuur, recreatie, overige diensten;2009;3330.0;69.7;20893.0
67;Vrachtauto's en trekkers;Totaal;R-U Cultuur, recreatie, overige diensten;2010;3400.0;74.1;21819.0
68;Vrachtauto's en trekkers;Totaal;R-U Cultuur, recreatie, overige diensten;2011;3400.0;77.9;22917.0
69;Vrachtauto's en trekkers;Totaal;R Cultuur, sport en recreatie;2009;2240.0;27.3;12175.0
70;Vrachtauto's en trekkers;Totaal;R Cultuur, sport en recreatie;2010;2280.0;29.8;13049.0
71;Vrachtauto's en trekkers;Totaal;R Cultuur, sport en recreatie;2011;2250.0;30.4;13488.0
72;Vrachtauto's en trekkers;Totaal;S Overige dienstverlening;2009;1090.0;42.4;38744.0
73;Vrachtauto's en trekkers;Totaal;S Overige dienstverlening;2010;1120.0;44.4;39743.0
74;Vrachtauto's en trekkers;Totaal;S Overige dienstverlening;2011;1150.0;47.6;41421.0
75;Vrachtauto's en trekkers;Totaal;SBI-code onbekend;2009;0.0;0.0;0.0
76;Vrachtauto's en trekkers;Totaal;SBI-code onbekend;2010;0.0;0.0;0.0
77;Vrachtauto's en trekkers;Totaal;SBI-code onbekend;2011;0.0;0.0;0.0
78;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;A-U Alle economische activiteiten;2009;61270.0;4955.2;80870.0
79;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;A-U Alle economische activiteiten;2010;52530.0;4179.1;79559.0
80;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;A-U Alle economische activiteiten;2011;49590.0;3840.3;77445.0
81;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;A Landbouw, bosbouw en visserij;2009;990.0;62.6;63224.0
82;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;A Landbouw, bosbouw en visserij;2010;910.0;56.2;61813.0
