ID;Sectoren;Perioden;TotaalInkomsten_1;TotaalBelastingen_2;TotaalBelastingenOpProdEnInvoer_3;ProductgebondenBelastingen_4;NietProductgebondenBelastingen_5;TotaalBelastOpInkomenEnVermogen_6;BelastingenOpInkomen_7;BelastingenOpVermogen_8;Vermogensheffingen_9;WettelijkeSocialeVerzekeringspremies_10;VerkopenVanGoederenEnDiensten_11;TotaalInkomenUitVermogen_12;Rente_13;Winstuitkeringen_14;OverigInkomenUitInvesteringen_15;InkomenUitGrondEnMineraleReserves_16;TotaalInkomensoverdrachten_17;InkomensoverdrachtenBinnenDeOverheid_18;InkomensoverdrIvmInternationSamenw_19;OverigeInkomensoverdrachten_20;TotaalKapitaaloverdrExclVermogen_21;Investeringsbijdragen_22;OverigeKapitaaloverdrachten_23;TotaalOverigeInkomsten_24;InvesteringenInEigenBeheer_25;Subsidies_26;ToegerekendeSocialePremies_27;TotaalUitgaven_28;TotaalBeloningVanWerknemers_29;Lonen_30;SocialePremiesTLVWerkgevers_31;AankopenGoederenEnDiensten_32;TotaalNettoInvesteringen_33;TotaalNettoInvestInVasteActiva_34;BrutoInvesteringenInVasteActiva_35;Afschrijvingen_36;VeranderingenInVoorradenInclKos_37;Afschrijvingen_38;SaldoAanEnVerkopenVanNietGepro_39;TotaalInkomenUitVermogen_40;Rente_41;InkomenUitGrondEnMineraleReserves_42;TotaalUitkeringen_43;TotaalSocialeUitkeringenInGeld_44;UitkeringenWettSocVerzInGeld_45;UitkeringenSocialeVoorzieningInGeld_46;TotaalSocialeUitkeringenInNatura_47;UitkeringenWettSocVerzInNatura_48;UitkeringenSocVoorzieningInNatura_49;TotaalSubsidies_50;ProductgebondenSubsidies_51;NietProductgebondenSubsidies_52;TotaalInkomensoverdrachten_53;InkomensoverdrachtenBinnenDeOverheid_54;InkomensoverdrIvmInternationSamenw_55;TotaalEigenMiddelenVanDeEU_56;BTWAfdrachten_57;BNIAfdrachten_58;OverigeInkomensoverdrachten_59;TotaalKapitaaloverdrachten_60;Investeringsbijdragen_61;OverigeKapitaaloverdrachten_62;TotaalOverigeUitgaven_63;BelastingenOpProductieEnInvoer_64;BelastingenOpInkomenEnVermogen_65;UitkSocVerzRechtstrDoorWerkgevers_66;TotaalOverheidssaldo_67;OverheidssaldoInkomsten_68;OverheidssaldoUitgaven_69;TotaalExploitatiesaldo_70;ExploitatiesaldoOverheidssaldo_71;NettoInvesteringen_72;SaldoAanEnVerkopenVanNiet_73;TotaalAardgasbaten_74;Dividenden_75;InkomenUitGrondEnMineraleReserves_76;Vennootschapsbelasting_77;WerkelijkeRenteInkomsten_78;WerkelijkeRenteUitgaven_79
0;Overheid;1995;146760.0;72605.0;34345.0;31158.0;3187.0;37479.0;33520.0;3959.0;781.0;48532.0;9290.0;9256.0;3955.0;2706.0;2.0;2593.0;976.0;0.0;250.0;726.0;200.0;90.0;110.0;5901.0;2383.0;20.0;3498.0;174713.0;32391.0;25646.0;6745.0;19090.0;1849.0;1847.0;11956.0;-10109.0;2.0;10109.0;-1056.0;16767.0;16734.0;33.0;65543.0;43005.0;32414.0;10591.0;22538.0;18318.0;4220.0;3434.0;2021.0;1413.0;4887.0;0.0;1618.0;2560.0;1786.0;774.0;709.0;17846.0;1458.0;16388.0;3853.0;355.0;0.0;3498.0;-27953.0;146760.0;-174713.0;-27160.0;-27953.0;1849.0;-1056.0;;;;;3544.0;17758.0
1;Overheid;1996;154096.0;78336.0;36828.0;33557.0;3271.0;40619.0;36110.0;4509.0;889.0;48822.0;9982.0;8733.0;2972.0;2886.0;0.0;2875.0;1254.0;0.0;312.0;942.0;829.0;82.0;747.0;6140.0;2370.0;81.0;3689.0;159985.0;32621.0;25688.0;6933.0;19709.0;2564.0;2561.0;13028.0;-10467.0;3.0;10467.0;-2109.0;16363.0;16331.0;32.0;65238.0;43120.0;32694.0;10426.0;22118.0;17876.0;4242.0;3900.0;1893.0;2007.0;5277.0;0.0;1765.0;2739.0;1475.0;1264.0;773.0;1901.0;1307.0;594.0;4054.0;365.0;0.0;3689.0;-5889.0;154096.0;-159985.0;-5434.0;-5889.0;2564.0;-2109.0;;;;;2666.0;17404.0
2;Overheid;1997;160855.0;82349.0;39922.0;36647.0;3275.0;41476.0;37094.0;4382.0;951.0;51750.0;10596.0;8455.0;2744.0;2899.0;1.0;2811.0;1214.0;0.0;297.0;917.0;209.0;136.0;73.0;6282.0;2420.0;127.0;3735.0;165501.0;33951.0;27113.0;6838.0;20232.0;2312.0;2309.0;13165.0;-10856.0;3.0;10856.0;-1403.0;16322.0;16289.0;33.0;66711.0;42726.0;32749.0;9977.0;23985.0;20746.0;3239.0;4511.0;1931.0;2580.0;5742.0;0.0;1791.0;3110.0;1666.0;1444.0;841.0;2153.0;1316.0;837.0;4114.0;379.0;0.0;3735.0;-4646.0;160855.0;-165501.0;-3737.0;-4646.0;2312.0;-1403.0;;;;;2436.0;17172.0
3;Overheid;1998;168195.0;86958.0;42752.0;39326.0;3426.0;43080.0;38408.0;4672.0;1126.0;54363.0;11009.0;7580.0;2732.0;2786.0;1.0;2061.0;1421.0;0.0;201.0;1220.0;210.0;151.0;59.0;6654.0;2700.0;173.0;3781.0;171717.0;35703.0;27428.0;8275.0;21674.0;2535.0;2530.0;13777.0;-11247.0;5.0;11247.0;-2221.0;16448.0;16417.0;31.0;67895.0;42427.0;31787.0;10640.0;25468.0;21841.0;3627.0;5236.0;1952.0;3284.0;6114.0;0.0;1758.0;3442.0;1610.0;1832.0;914.0;2897.0;1678.0;1219.0;4189.0;408.0;0.0;3781.0;-3522.0;168195.0;-171717.0;-3208.0;-3522.0;2535.0;-2221.0;;;;;2443.0;17131.0
4;Overheid;1999 1e kwartaal;43038.0;21742.0;11009.0;10032.0;977.0;10455.0;9266.0;1189.0;278.0;14736.0;3120.0;1263.0;720.0;273.0;0.0;270.0;315.0;0.0;59.0;256.0;69.0;51.0;18.0;1793.0;851.0;57.0;885.0;43340.0;8402.0;6324.0;2078.0;5552.0;509.0;505.0;3468.0;-2963.0;4.0;2963.0;-441.0;4056.0;4049.0;7.0;17000.0;9971.0;7673.0;2298.0;7029.0;6019.0;1010.0;1678.0;590.0;1088.0;1985.0;0.0;468.0;1159.0;507.0;652.0;358.0;646.0;375.0;271.0;990.0;105.0;0.0;885.0;-302.0;43038.0;-43340.0;-234.0;-302.0;509.0;-441.0;;;;;646.0;4234.0
5;Overheid;1999 2e kwartaal;46186.0;22971.0;11860.0;10899.0;961.0;10776.0;9476.0;1300.0;335.0;16164.0;2668.0;2218.0;721.0;1186.0;0.0;311.0;316.0;0.0;59.0;257.0;70.0;52.0;18.0;1779.0;732.0;54.0;993.0;47257.0;10461.0;8238.0;2223.0;5681.0;847.0;843.0;3808.0;-2965.0;4.0;2965.0;-342.0;4033.0;4026.0;7.0;18746.0;12223.0;9436.0;2787.0;6523.0;5558.0;965.0;1581.0;629.0;952.0;1532.0;0.0;468.0;619.0;282.0;337.0;445.0;650.0;375.0;275.0;1103.0;110.0;0.0;993.0;-1071.0;46186.0;-47257.0;-566.0;-1071.0;847.0;-342.0;;;;;646.0;4215.0
6;Overheid;1999 3e kwartaal;43607.0;22936.0;11408.0;10449.0;959.0;11201.0;10068.0;1133.0;327.0;13911.0;2743.0;1989.0;746.0;778.0;1.0;464.0;313.0;0.0;58.0;255.0;69.0;51.0;18.0;1646.0;687.0;49.0;910.0;42739.0;8439.0;6409.0;2030.0;5577.0;945.0;940.0;3896.0;-2956.0;5.0;2956.0;-368.0;4020.0;4012.0;8.0;16514.0;10053.0;7665.0;2388.0;6461.0;5536.0;925.0;1326.0;457.0;869.0;1672.0;0.0;467.0;843.0;353.0;490.0;362.0;647.0;374.0;273.0;1011.0;101.0;0.0;910.0;868.0;43607.0;-42739.0;1445.0;868.0;945.0;-368.0;;;;;667.0;4195.0
7;Overheid;1999 4e kwartaal;48835.0;26524.0;13100.0;12149.0;951.0;13066.0;11760.0;1306.0;358.0;15234.0;3327.0;1600.0;777.0;424.0;0.0;399.0;313.0;0.0;59.0;254.0;69.0;51.0;18.0;1768.0;683.0;54.0;1031.0;46977.0;10300.0;8088.0;2212.0;6277.0;1466.0;1462.0;4480.0;-3018.0;4.0;3018.0;-320.0;3992.0;3984.0;8.0;17246.0;10389.0;7696.0;2693.0;6857.0;5899.0;958.0;1504.0;498.0;1006.0;1695.0;0.0;467.0;859.0;450.0;409.0;369.0;648.0;375.0;273.0;1151.0;120.0;0.0;1031.0;1858.0;48835.0;-46977.0;3004.0;1858.0;1466.0;-320.0;;;;;700.0;4167.0
8;Overheid;1999;181666.0;94173.0;47377.0;43529.0;3848.0;45498.0;40570.0;4928.0;1298.0;60045.0;11858.0;7070.0;2964.0;2661.0;1.0;1444.0;1257.0;0.0;235.0;1022.0;277.0;205.0;72.0;6986.0;2953.0;214.0;3819.0;180313.0;37602.0;29059.0;8543.0;23087.0;3767.0;3750.0;15652.0;-11902.0;17.0;11902.0;-1471.0;16101.0;16071.0;30.0;69506.0;42636.0;32470.0;10166.0;26870.0;23012.0;3858.0;6089.0;2174.0;3915.0;6884.0;0.0;1870.0;3480.0;1592.0;1888.0;1534.0;2591.0;1499.0;1092.0;4255.0;436.0;0.0;3819.0;1353.0;181666.0;-180313.0;3649.0;1353.0;3767.0;-1471.0;;;;;2659.0;16811.0
9;Overheid;2000 1e kwartaal;44955.0;22531.0;11570.0;10525.0;1045.0;10680.0;9406.0;1274.0;281.0;15310.0;3306.0;1560.0;885.0;280.0;6.0;389.0;351.0;0.0;48.0;303.0;56.0;36.0;20.0;1841.0;893.0;63.0;885.0;45476.0;8886.0;6696.0;2190.0;6047.0;506.0;503.0;3680.0;-3177.0;3.0;3177.0;-294.0;3751.0;3744.0;7.0;17796.0;10133.0;7831.0;2302.0;7663.0;6550.0;1113.0;1733.0;597.0;1136.0;2188.0;0.0;570.0;1039.0;494.0;545.0;579.0;688.0;410.0;278.0;998.0;113.0;0.0;885.0;-521.0;44955.0;-45476.0;-309.0;-521.0;506.0;-294.0;;;;;778.0;3899.0
