ID;Perioden;TotaalSocialePremies_1;AlgemeenArbeidsongeschiktheidsfonds_2;Arbeidsongeschiktheidsfonds_3;ArbeidsongeschiktheidsfondsZelfst_4;Werkhervattingskas_5;Arbeidsongeschiktheidskas_6;AlgemeenWerkloosheidsfonds_7;Sectorfondsen_8;UitvoeringsfondsVoorDeOverheid_9;WetKinderopvang_10;Ziekengeldkassen_11;AlgemeneKas_12;Zorgverzekeringsfonds_13;AlgemeenOuderdomsfonds_14;AlgemeenNabestaandenfonds_15;AlgemeenKinderbijslagfonds_16;AlgemeenFondsBijzondereZiektekosten_17;FondsLangdurigeZorg_18;TotaalSocialePremiesTLVWerkgevers_19;AlgemeenArbeidsongeschiktheidsfonds_20;Arbeidsongeschiktheidsfonds_21;Werkhervattingskas_22;Arbeidsongeschiktheidskas_23;AlgemeenWerkloosheidsfonds_24;Sectorfondsen_25;UitvoeringsfondsVoorDeOverheid_26;WetKinderopvang_27;Ziekengeldkassen_28;AlgemeneKas_29;Zorgverzekeringsfonds_30;AlgemeenKinderbijslagfonds_31;AlgemeenFondsBijzondereZiektekosten_32;FondsLangdurigeZorg_33;TotaalSocPremiesNietTLVWerkg_34;AlgemeenArbeidsongeschiktheidsfonds_35;Arbeidsongeschiktheidsfonds_36;ArbeidsongeschiktheidsfondsZelfst_37;AlgemeenWerkloosheidsfonds_38;Sectorfondsen_39;Ziekengeldkassen_40;AlgemeneKas_41;Zorgverzekeringsfonds_42;AlgemeenOuderdomsfonds_43;AlgemeenNabestaandenfonds_44;AlgemeenKinderbijslagfonds_45;AlgemeenFondsBijzondereZiektekosten_46;FondsLangdurigeZorg_47
0;1995;48532;6294.0;3661;;;;3873;689;;;1610.0;4954.0;;14645;2087;;10719;;5941;-53.0;;;;1806;322;;;1083.0;2783.0;;;;;42591;6347.0;3661.0;;2067.0;367.0;527.0;2171.0;;14645;2087;;10719;
1;1996;48822;6803.0;3200;;;;4144;1165;;;252.0;7026.0;;15464;2015;;8753;;6124;-36.0;-2.0;;;2067;544;;;247.0;3304.0;;;;;42698;6839.0;3202.0;;2077.0;621.0;5.0;3722.0;;15464;2015;;8753;
2;1997;51750;6748.0;3640;;;;4624;615;;;;7000.0;;16225;2022;;10876;;5987;;;;;2246;289;;;;3452.0;;;;;45763;6748.0;3640.0;;2378.0;326.0;;3548.0;;16225;2022;;10876;
3;1998;54363;-31.0;9266;363.0;;326.0;4834;820;;;;7652.0;;18366;1637;;11130;;16358;;9266.0;;326.0;1817;820;;;;4129.0;;;;;38005;-31.0;;363.0;3017.0;;;3523.0;;18366;1637;;11130;
4;1999 1e kwartaal;14736;5.0;2620;141.0;;267.0;1701;241;;;;1899.0;;4548;401;;2913;;4813;;2620.0;;267.0;769;241;;;;916.0;;;;;9923;5.0;;141.0;932.0;;;983.0;;4548;401;;2913;
5;1999 2e kwartaal;16164;6.0;2316;100.0;;259.0;1127;205;;;;2603.0;;5525;487;;3536;;4382;;2316.0;;259.0;381;205;;;;1221.0;;;;;11782;6.0;;100.0;746.0;;;1382.0;;5525;487;;3536;
6;1999 3e kwartaal;13911;5.0;2242;106.0;;253.0;1221;217;;;;2120.0;;4483;395;;2869;;4186;;2242.0;;253.0;498;217;;;;976.0;;;;;9725;5.0;;106.0;723.0;;;1144.0;;4483;395;;2869;
7;1999 4e kwartaal;15234;6.0;1987;252.0;;230.0;813;206;;;;2618.0;;5278;465;;3379;;3771;;1987.0;;230.0;196;206;;;;1152.0;;;;;11463;6.0;;252.0;617.0;;;1466.0;;5278;465;;3379;
8;1999;60045;22.0;9165;599.0;;1009.0;4862;869;;;;9240.0;;19834;1748;;12697;;17152;;9165.0;;1009.0;1844;869;;;;4265.0;;;;;42893;22.0;;599.0;3018.0;;;4975.0;;19834;1748;;12697;
9;2000 1e kwartaal;15310;-14.0;2481;241.0;;535.0;1749;322;;;;2467.0;;4443;367;;2719;;5185;;2481.0;;535.0;780;322;;;;1067.0;;;;;10125;-14.0;;241.0;969.0;;;1400.0;;4443;367;;2719;
10;2000 2e kwartaal;17718;-19.0;2202;163.0;;488.0;1298;283;;;;3278.0;;5918;489;;3618;;4742;;2202.0;;488.0;420;283;;;;1349.0;;;;;12976;-19.0;;163.0;878.0;;;1929.0;;5918;489;;3618;
11;2000 3e kwartaal;14777;-14.0;2150;152.0;;480.0;1377;288;;;;2657.0;;4537;376;;2774;;4589;;2150.0;;480.0;559;288;;;;1112.0;;;;;10188;-14.0;;152.0;818.0;;;1545.0;;4537;376;;2774;
