ID;EconomischeActiviteitEnOverigePosten;Perioden;OutputBasisprijzen_1;IntermediairVerbruik_2;BrutoToegevoegdeWaardeBasisprijzen_3;OutputBasisprijzen_4;IntermediairVerbruik_5;BrutoToegevoegdeWaardeBasisprijzen_6;OutputBasisprijzen_7;IntermediairVerbruik_8;BrutoToegevoegdeWaardeBasisprijzen_9;OutputBasisprijzen_10;IntermediairVerbruik_11;BrutoToegevoegdeWaardeBasisprijzen_12;Totaal_13;Lonen_14;SocialePremiesTLVWerkgevers_15;Bruto_16;VerbruikVanVasteActiva_17;Netto_18;Saldo_19;NietProductgebondenBelastingen_20;NietProductgebondenSubsidies_21;BrutoToegevoegdeWaardeBasisprijzen_22
0;A-U Alle economische activiteiten;1969;100408.0;50951.0;49457.0;386566.0;186640.0;200109.0;;;;26.0;27.3;24.7;28901.0;22564.0;6337.0;20349.0;6303.0;14046.0;207.0;412.0;205.0;49457.0
1;A-U Alle economische activiteiten;1970;114420.0;58772.0;55648.0;414247.0;201938.0;212304.0;7.2;8.2;6.1;27.6;29.1;26.2;33111.0;25826.0;7285.0;22347.0;7336.0;15011.0;190.0;438.0;248.0;55648.0
2;A-U Alle economische activiteiten;1971;128110.0;65307.0;62803.0;434818.0;212627.0;222113.0;5.0;5.3;4.6;29.5;30.7;28.3;38097.0;29460.0;8637.0;24514.0;8708.0;15806.0;192.0;477.0;285.0;62803.0
3;A-U Alle economische activiteiten;1972;139553.0;68681.0;70872.0;444902.0;214567.0;230513.0;2.3;0.9;3.8;31.4;32.0;30.7;42737.0;32848.0;9889.0;27878.0;10010.0;17868.0;257.0;580.0;323.0;70872.0
4;A-U Alle economische activiteiten;1973;160025.0;79055.0;80970.0;469431.0;226339.0;243282.0;5.5;5.5;5.5;34.1;34.9;33.3;49558.0;37369.0;12189.0;31084.0;11351.0;19733.0;328.0;681.0;353.0;80970.0
5;A-U Alle economische activiteiten;1974;189639.0;97142.0;92497.0;486257.0;234149.0;252320.0;3.6;3.5;3.7;39.0;41.5;36.7;57562.0;43185.0;14377.0;34567.0;13280.0;21287.0;368.0;780.0;412.0;92497.0
6;A-U Alle economische activiteiten;1975;203824.0;101597.0;102227.0;481575.0;229346.0;252775.0;-1.0;-2.1;0.2;42.3;44.3;40.4;65226.0;48942.0;16284.0;36709.0;15377.0;21332.0;292.0;796.0;504.0;102227.0
7;A-U Alle economische activiteiten;1976;232201.0;116013.0;116188.0;504559.0;241152.0;263898.0;4.8;5.1;4.4;46.0;48.1;44.0;72630.0;54215.0;18415.0;43225.0;17427.0;25798.0;333.0;1016.0;683.0;116188.0
8;A-U Alle economische activiteiten;1977;250206.0;125149.0;125057.0;514770.0;246159.0;269099.0;2.0;2.1;2.0;48.6;50.8;46.5;79385.0;59601.0;19784.0;45069.0;19160.0;25909.0;603.0;1208.0;605.0;125057.0
9;A-U Alle economische activiteiten;1978;267260.0;131999.0;135261.0;530865.0;254771.0;276512.0;3.1;3.5;2.8;50.3;51.8;48.9;86211.0;64741.0;21470.0;48491.0;21129.0;27362.0;559.0;1272.0;713.0;135261.0
10;A-U Alle economische activiteiten;1979;292980.0;147594.0;145386.0;551616.0;269107.0;282684.0;3.9;5.6;2.2;53.1;54.8;51.4;92614.0;69328.0;23286.0;52123.0;23209.0;28914.0;649.0;1431.0;782.0;145386.0
11;A-U Alle economische activiteiten;1980;319979.0;162937.0;157042.0;560435.0;274285.0;286269.0;1.6;1.9;1.3;57.1;59.4;54.9;98486.0;73433.0;25053.0;57863.0;25626.0;32237.0;693.0;1540.0;847.0;157042.0
12;A-U Alle economische activiteiten;1981;341101.0;174890.0;166211.0;555152.0;270791.0;284556.0;-0.9;-1.3;-0.6;61.4;64.6;58.4;100550.0;75243.0;25307.0;64852.0;28039.0;36813.0;809.0;1691.0;882.0;166211.0
13;A-U Alle economische activiteiten;1982;352995.0;180918.0;172077.0;549856.0;269105.0;280849.0;-1.0;-0.6;-1.3;64.2;67.2;61.3;103520.0;77971.0;25549.0;67772.0;29703.0;38069.0;785.0;1813.0;1028.0;172077.0
14;A-U Alle economische activiteiten;1983;365477.0;187244.0;178233.0;560896.0;274077.0;286960.0;2.0;1.8;2.2;65.2;68.3;62.1;105243.0;78236.0;27007.0;72210.0;30817.0;41393.0;780.0;1919.0;1139.0;178233.0
15;A-U Alle economische activiteiten;1984;390217.0;202560.0;187657.0;581459.0;285417.0;296059.0;3.7;4.1;3.2;67.1;71.0;63.4;105601.0;79024.0;26577.0;81272.0;31992.0;49280.0;784.0;1972.0;1188.0;187657.0
16;A-U Alle economische activiteiten;1985;405955.0;211593.0;194362.0;595947.0;291894.0;304147.0;2.5;2.3;2.7;68.1;72.5;63.9;109292.0;82572.0;26720.0;84231.0;33115.0;51116.0;839.0;2031.0;1192.0;194362.0
17;A-U Alle economische activiteiten;1986;400155.0;199652.0;200503.0;616776.0;303816.0;312825.0;3.5;4.1;2.9;64.9;65.7;64.1;114360.0;86747.0;27613.0;85310.0;34284.0;51026.0;833.0;2085.0;1252.0;200503.0
18;A-U Alle economische activiteiten;1987;403664.0;200437.0;203227.0;631272.0;310829.0;320308.0;2.4;2.3;2.4;63.9;64.5;63.4;118184.0;89808.0;28376.0;84156.0;36078.0;48078.0;887.0;2228.0;1341.0;203227.0
