ID;Geslacht;TypeWerkenden;BedrijfstakkenBranchesSBI2008;Perioden;WerkzamePersonen_1;Banen_2;Arbeidsjaren_3;GewerkteUren_4
0;Totaal mannen en vrouwen;Totaal;A-U Alle economische activiteiten;1969;5361.0;5843.0;4871.0;9980.0
1;Totaal mannen en vrouwen;Totaal;A-U Alle economische activiteiten;1970;5447.0;5936.0;4939.0;9964.0
2;Totaal mannen en vrouwen;Totaal;A-U Alle economische activiteiten;1971;5515.0;6015.0;4984.0;9932.0
3;Totaal mannen en vrouwen;Totaal;A-U Alle economische activiteiten;1972;5505.0;6014.0;4962.0;9833.0
4;Totaal mannen en vrouwen;Totaal;A-U Alle economische activiteiten;1973;5576.0;6106.0;5010.0;9828.0
5;Totaal mannen en vrouwen;Totaal;A-U Alle economische activiteiten;1974;5629.0;6172.0;5041.0;9625.0
6;Totaal mannen en vrouwen;Totaal;A-U Alle economische activiteiten;1975;5636.0;6183.0;5024.0;9343.0
7;Totaal mannen en vrouwen;Totaal;A-U Alle economische activiteiten;1976;5705.0;6268.0;5052.0;9450.0
8;Totaal mannen en vrouwen;Totaal;A-U Alle economische activiteiten;1977;5734.0;6290.0;5078.0;9359.0
9;Totaal mannen en vrouwen;Totaal;A-U Alle economische activiteiten;1978;5800.0;6363.0;5124.0;9283.0
10;Totaal mannen en vrouwen;Totaal;A-U Alle economische activiteiten;1979;5931.0;6509.0;5215.0;9368.0
11;Totaal mannen en vrouwen;Totaal;A-U Alle economische activiteiten;1980;6033.0;6633.0;5280.0;9514.0
12;Totaal mannen en vrouwen;Totaal;A-U Alle economische activiteiten;1981;6011.0;6620.0;5230.0;9499.0
13;Totaal mannen en vrouwen;Totaal;A-U Alle economische activiteiten;1982;5931.0;6545.0;5118.0;9311.0
14;Totaal mannen en vrouwen;Totaal;A-U Alle economische activiteiten;1983;5876.0;6491.0;5035.0;9109.0
15;Totaal mannen en vrouwen;Totaal;A-U Alle economische activiteiten;1984;5932.0;6559.0;5050.0;9142.0
16;Totaal mannen en vrouwen;Totaal;A-U Alle economische activiteiten;1985;6046.0;6684.0;5141.0;9186.0
17;Totaal mannen en vrouwen;Totaal;A-U Alle economische activiteiten;1986;6214.0;6878.0;5258.0;9341.0
18;Totaal mannen en vrouwen;Totaal;A-U Alle economische activiteiten;1987;6350.0;7027.0;5345.0;9430.0
19;Totaal mannen en vrouwen;Totaal;A-U Alle economische activiteiten;1988;6465.0;7157.0;5428.0;9585.0
20;Totaal mannen en vrouwen;Totaal;A-U Alle economische activiteiten;1989;6640.0;7345.0;5550.0;9789.0
21;Totaal mannen en vrouwen;Totaal;A-U Alle economische activiteiten;1990;6829.0;7550.0;5695.0;10046.0
22;Totaal mannen en vrouwen;Totaal;A-U Alle economische activiteiten;1991;6945.0;7671.0;5770.0;10176.0
23;Totaal mannen en vrouwen;Totaal;A-U Alle economische activiteiten;1992;7035.0;7790.0;5845.0;10427.0
24;Totaal mannen en vrouwen;Totaal;A-U Alle economische activiteiten;1993;7072.0;7838.0;5852.0;10408.0
25;Totaal mannen en vrouwen;Totaal;A-U Alle economische activiteiten;1994;7127.0;7907.0;5853.0;10515.0
26;Totaal mannen en vrouwen;Totaal;A-U Alle economische activiteiten;1995;7276.0;8066.0;5959.0;10763.0
27;Totaal mannen en vrouwen;Totaal;A-U Alle economische activiteiten;1996;7427.0;8252.0;6098.0;11099.0
28;Totaal mannen en vrouwen;Totaal;A-U Alle economische activiteiten;1997;7656.0;8467.0;6286.0;11331.0
29;Totaal mannen en vrouwen;Totaal;A-U Alle economische activiteiten;1998;7838.0;8687.0;6464.0;11572.0
30;Totaal mannen en vrouwen;Totaal;A-U Alle economische activiteiten;1999;8063.0;8930.0;6629.0;11895.0
