ID;KenmerkenWerk;Cijfersoort;Perioden;ScoreGeluk_1;Ongelukkig_2;NietGelukkigNietOngelukkig_3;Gelukkig_4;ScoreTevredenheidMetHetLeven_5;Ontevreden_6;NietTevredenNietOntevreden_7;Tevreden_8;ScoreTevredenheidOpleidingskansen_9;Ontevreden_10;NietTevredenNietOntevreden_11;Tevreden_12;ScoreTevredenheidMetWerk_13;Ontevreden_14;NietTevredenNietOntevreden_15;Tevreden_16;ScoreTevredenheidMetReistijd_17;Ontevreden_18;NietTevredenNietOntevreden_19;Tevreden_20;ScoreTevredenheidDagelijkseBezigheden_21;Ontevreden_22;NietTevredenNietOntevreden_23;Tevreden_24
0;Totaal personen;Gemiddelde/Percentage;2013;7.7;2.5;10.0;87.5;7.5;3.4;13.0;83.6;7.5;5.2;15.8;79.0;7.7;3.3;12.5;84.2;8.1;3.9;11.6;84.4;7.2;6.3;18.2;75.5
1;Totaal personen;Gemiddelde/Percentage;2014;7.7;2.4;9.7;87.9;7.6;3.3;12.1;84.6;7.5;5.0;15.4;79.6;7.6;3.6;13.3;83.1;8.1;4.9;11.2;83.8;7.3;6.0;16.9;77.1
2;Totaal personen;Gemiddelde/Percentage;2015;7.7;2.8;9.8;87.4;7.5;3.9;12.2;83.9;7.5;5.4;15.0;79.7;7.7;3.1;13.1;83.8;8.1;4.6;11.9;83.5;7.2;5.8;16.9;77.3
3;Totaal personen;Gemiddelde/Percentage;2016;7.7;2.6;9.1;88.3;7.6;3.0;11.8;85.2;7.5;4.8;14.8;80.4;7.7;3.6;11.3;85.1;8.0;4.8;12.0;83.2;7.3;4.6;18.3;77.1
4;Totaal personen;Gemiddelde/Percentage;2017;7.7;2.8;9.8;87.5;7.6;3.5;11.1;85.4;7.6;4.5;13.6;82.0;7.7;3.1;12.0;84.9;8.0;5.1;12.0;82.9;7.2;6.3;17.1;76.5
5;Totaal personen;Gemiddelde/Percentage;2018;7.7;2.8;9.4;87.7;7.6;2.4;11.8;85.7;7.6;5.4;13.1;81.5;7.7;3.1;12.7;84.2;8.0;6.2;12.4;81.5;7.3;4.7;16.3;79.0
6;Totaal personen;Gemiddelde/Percentage;2019;7.7;2.6;8.5;88.9;7.7;2.4;10.3;87.3;7.7;4.8;12.9;82.4;7.8;3.0;10.1;86.9;8.0;5.2;12.2;82.6;7.3;4.5;16.3;79.2
7;Totaal personen;Gemiddelde/Percentage;2020;7.7;2.7;10.5;86.8;7.6;2.7;12.4;84.8;7.7;4.7;12.6;82.7;7.8;2.5;11.3;86.2;8.1;5.1;10.6;84.3;7.3;5.7;16.7;77.6
8;Totaal personen;Gemiddelde/Percentage;2021;7.6;3.3;10.3;86.4;7.5;3.3;13.0;83.6;7.8;4.3;10.9;84.8;7.8;3.4;10.1;86.5;8.2;4.1;10.9;85.0;7.2;5.7;19.5;74.8
9;Totaal personen;Standaardfout;2013;0.0;0.2;0.4;0.4;0.0;0.2;0.4;0.4;0.0;0.3;0.4;0.5;0.0;0.3;0.5;0.6;0.0;0.3;0.5;0.6;0.0;0.4;0.7;0.8
