ID;PersonalCharacteristics;Accuracy;CaribbeanNetherlands;Periods;AccessToTheInternetAtHome_1;ADialUpConnection_2;ABroadbandConnection_3;MobileConnectionEGMobilePhone_4;k_3MonthsAgo_5;k_312MonthsAgo_6;k_1YearAgo_7;NeverUsedTheInternet_8;NearlyEveryDay_9;NotEveryDayAtLeastOnceAWeek_10;NotEveryWeekAtLeastOnceAMonth_11;LessThanOnceAMonth_12;AtHome_13;AtSomeoneElseSHome_14;AtWork_15;AtAnEducationalInstitute_16;SomewhereElse_17;ToSendReceiveEmails_18;PostMessagesOnChatSites_19;Weblogs_20;ExchangingTextMessages_21;ProfessionalNetworking_22;OtherSocialNetworkFacebookTwitter_23;PhoneCallsOverTheInternet_24;RadioTelevision_25;Newspapers_26;OnlineBanking_27;PlayOrDownloadGamesFilmsOrMusic_28;UploadPhotosMusicTextSoftware_29;DownloadSoftwareOtherThanForGames_30;OnlinePurchases_31
0;Total persons;Percentage/average;Caribbean Netherlands ;2013;74.7;11.7;74.6;36.0;70.3;2.6;5.3;21.8;86.1;10.9;1.8;1.3;92.9;15.6;44.7;15.6;10.9;82.1;33.7;14.9;47.8;11.7;68.6;60.6;46.8;42.7;40.2;47.6;44.8;26.2;35.1
1;Total persons;Percentage/average;Caribbean Netherlands ;2017/2018;84.8;;;;93.8;;;;93.0;6.2;0.5;;;;;;;72.9;37.4;;89.9;13.2;73.5;77.2;69.7;41.8;52.7;48.9;48.9;24.1;43.6
2;Total persons;Percentage/average;Bonaire;2013;75.1;12.6;74.4;38.3;70.4;2.5;5.6;21.5;86.2;10.5;2.1;1.2;94.0;17.1;45.0;13.1;11.3;80.7;29.2;14.0;46.0;9.2;68.3;58.8;47.9;43.1;38.7;45.8;42.4;22.5;29.7
3;Total persons;Percentage/average;Bonaire;2017/2018;85.5;;;;96.1;;;;96.4;3.2;;;;;;;;69.3;32.8;;92.8;11.0;76.1;81.6;63.6;37.9;52.7;47.8;47.2;22.0;36.1
4;Total persons;Percentage/average;St. Eustatius;2013;68.1;7.9;72.5;32.1;62.8;3.8;5.6;27.8;87.4;10.1;;;86.3;10.5;52.3;13.2;10.4;85.2;49.5;15.8;48.2;14.4;65.7;57.1;36.3;40.0;42.7;50.6;49.4;35.2;44.3
5;Total persons;Percentage/average;St. Eustatius;2017/2018;80.1;;;;87.9;;;;80.7;17.2;1.7;;;;;;;73.9;40.7;;80.4;13.8;62.6;65.7;79.1;45.7;48.4;46.2;40.4;18.6;52.9
6;Total persons;Percentage/average;Saba;2013;83.3;10.2;78.9;24.2;83.5;;;13.3;83.0;14.0;;;94.3;12.7;31.3;36.6;9.5;88.2;42.9;20.4;59.6;25.7;75.3;78.5;53.9;44.1;47.1;56.4;54.9;39.0;60.0
7;Total persons;Percentage/average;Saba;2017/2018;89.3;;;;92.9;;;;95.4;4.3;;;;;;;;86.1;51.1;;90.8;20.9;77.3;74.6;81.7;51.7;58.2;56.5;66.2;39.5;61.2
8;Total persons;Reliability margin;Caribbean Netherlands ;2013;2.6;2.2;3.0;3.4;2.7;1.0;1.4;2.5;2.5;2.2;1.0;0.8;1.8;2.6;3.6;2.6;2.2;2.7;3.4;2.6;3.6;2.3;3.3;3.5;3.6;3.6;3.5;3.6;3.6;3.2;3.4
9;Total persons;Reliability margin;Caribbean Netherlands ;2017/2018;1.7;;;;1.3;;;;1.4;1.3;0.4;;;;;;;2.4;2.6;;1.6;1.8;2.4;2.3;2.5;2.7;2.7;2.7;2.7;2.3;2.7
10;Total persons;Reliability margin;Bonaire;2013;3.0;2.7;3.5;3.9;3.2;1.1;1.6;2.9;2.9;2.6;1.2;0.9;2.0;3.2;4.2;2.8;2.6;3.3;3.8;2.9;4.2;2.4;3.9;4.1;4.2;4.2;4.1;4.2;4.2;3.5;3.8
11;Total persons;Reliability margin;Bonaire;2017/2018;2.2;;;;1.3;;;;1.3;1.2;;;;;;;;3.2;3.2;;1.8;2.2;2.9;2.7;3.3;3.3;3.4;3.4;3.4;2.9;3.3
12;Total persons;Reliability margin;St. Eustatius;2013;8.0;5.6;9.3;9.7;8.2;3.3;3.9;7.6;7.1;6.5;;;7.4;6.6;10.7;7.3;6.5;7.6;10.8;7.8;10.7;7.5;10.2;10.9;10.3;10.5;10.6;10.8;10.7;10.3;10.8
13;Total persons;Reliability margin;St. Eustatius;2017/2018;4.0;;;;3.7;;;;4.8;4.5;1.6;;;;;;;5.3;5.9;;4.8;4.2;5.8;5.7;4.9;6.0;6.0;6.0;5.9;4.7;6.1
14;Total persons;Reliability margin;Saba;2013;6.0;5.4;7.3;7.7;6.0;;;5.5;6.6;6.1;;;4.1;5.9;8.2;8.5;5.2;5.7;8.8;7.2;8.7;7.8;7.7;7.3;8.9;8.9;8.9;8.9;8.9;8.7;8.7
15;Total persons;Reliability margin;Saba;2017/2018;3.8;;;;3.4;;;;2.8;2.7;;;;;;;;4.7;6.8;;3.9;5.5;5.7;5.9;5.3;6.8;6.7;6.8;6.4;6.7;6.7
16;Sex: male;Percentage/average;Caribbean Netherlands ;2013;72.6;11.2;76.3;34.7;68.3;1.8;6.1;23.8;84.2;12.6;2.1;1.1;93.2;13.6;43.6;14.3;10.7;81.1;34.6;16.0;47.7;13.4;66.0;59.6;48.3;44.9;38.7;48.4;45.7;29.8;35.9
17;Sex: male;Percentage/average;Caribbean Netherlands ;2017/2018;84.0;;;;93.0;;;;92.4;6.5;;;;;;;;71.8;36.5;;88.6;14.1;70.3;75.9;70.8;42.4;48.4;49.7;48.3;28.3;43.9
18;Sex: male;Percentage/average;Bonaire;2013;73.1;12.1;76.3;38.5;68.4;1.5;6.5;23.6;85.0;12.2;2.2;;94.2;14.8;44.8;10.5;10.9;79.0;29.1;14.8;45.1;10.1;66.8;57.6;49.9;44.8;36.6;47.7;42.7;25.2;30.8
19;Sex: male;Percentage/average;Bonaire;2017/2018;84.8;;;;94.9;;;;95.6;3.6;;;;;;;;68.4;32.4;;91.3;12.7;73.3;80.9;63.8;37.0;46.5;48.5;48.4;24.3;36.3
20;Sex: male;Percentage/average;St. Eustatius;2013;67.0;;;;62.9;;6.4;28.1;;;;;;;;;;;;;;;;;;;;;;;
21;Sex: male;Percentage/average;St. Eustatius;2017/2018;78.7;;;;88.1;;;;81.0;16.7;;;;;;;;67.8;34.3;;79.3;13.6;59.8;61.2;81.5;45.0;47.7;46.3;36.2;22.3;51.8
22;Sex: male;Percentage/average;Saba;2013;79.6;4.0;80.0;23.1;78.4;;;16.6;78.4;16.8;;;95.0;15.0;18.4;43.8;14.3;89.8;43.3;22.6;63.0;27.3;65.6;73.8;60.7;42.1;45.1;57.4;51.6;42.7;52.8
23;Sex: male;Percentage/average;Saba;2017/2018;89.0;;;;92.3;;;;94.8;4.5;;;;;;;;90.7;55.5;;90.4;20.4;72.4;75.7;84.3;60.3;57.3;59.1;63.9;52.1;63.4
24;Sex: male;Reliability margin;Caribbean Netherlands ;2013;3.7;3.1;4.1;4.6;3.8;1.1;2.0;3.5;3.6;3.3;1.4;1.0;2.5;3.4;5.0;3.5;3.1;3.9;4.8;3.7;5.0;3.4;4.7;4.9;5.1;5.0;4.9;5.1;5.0;4.6;4.8
25;Sex: male;Reliability margin;Caribbean Netherlands ;2017/2018;2.5;;;;1.9;;;;2.0;1.9;;;;;;;;3.5;3.7;;2.5;2.7;3.5;3.3;3.5;3.8;3.8;3.8;3.8;3.5;3.8
26;Sex: male;Reliability margin;Bonaire;2013;4.3;3.7;4.8;5.5;4.5;1.2;2.4;4.1;4.2;3.8;1.7;;2.7;4.2;5.8;3.6;3.6;4.8;5.3;4.2;5.8;3.5;5.5;5.8;5.9;5.9;5.7;5.9;5.8;5.1;5.4
27;Sex: male;Reliability margin;Bonaire;2017/2018;3.1;;;;2.1;;;;2.0;1.8;;;;;;;;4.5;4.5;;2.7;3.2;4.3;3.8;4.7;4.7;4.8;4.8;4.8;4.2;4.7
28;Sex: male;Reliability margin;St. Eustatius;2013;10.8;;;;11.0;;5.6;10.2;;;;;;;;;;;;;;;;;;;;;;;
29;Sex: male;Reliability margin;St. Eustatius;2017/2018;5.7;;;;5.1;;;;6.6;6.3;;;;;;;;7.9;8.0;;6.8;5.8;8.3;8.2;6.5;8.4;8.4;8.4;8.1;7.0;8.4
30;Sex: male;Reliability margin;Saba;2013;9.3;5.1;10.5;11.0;9.4;;;8.5;10.7;9.7;;;5.7;9.3;10.1;12.9;9.1;7.9;13.0;11.0;12.7;11.7;12.5;11.4;13.0;13.1;13.2;13.2;13.3;13.2;13.0
31;Sex: male;Reliability margin;Saba;2017/2018;5.5;;;;5.0;;;;4.3;4.0;;;;;;;;5.6;9.6;;5.7;7.8;8.7;8.3;7.1;9.5;9.6;9.5;9.3;9.7;9.3
32;Sex: female;Percentage/average;Caribbean Netherlands ;2013;77.0;12.1;72.7;37.3;72.5;3.6;4.3;19.6;88.0;9.0;1.5;1.5;92.5;17.8;45.8;17.0;11.2;83.3;32.7;13.8;47.9;9.9;71.4;61.7;45.2;40.4;41.8;46.8;43.9;22.3;34.3
33;Sex: female;Percentage/average;Caribbean Netherlands ;2017/2018;85.7;;;;94.6;;;;93.7;6.0;;;;;;;;74.1;38.4;;91.2;12.2;76.7;78.5;68.6;41.1;57.0;48.1;49.6;19.9;43.2
