ID;Geslacht;Persoonskenmerken;BedrijfstakkenBranchesSBI2008;Perioden;WerkzameBeroepsbevolking_1
0;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2003 1e kwartaal;7771
1;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2003 2e kwartaal;7782
2;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2003 3e kwartaal;7809
3;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2003 4e kwartaal;7770
4;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2003;7783
5;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2004 1e kwartaal;7719
6;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2004 2e kwartaal;7754
7;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2004 3e kwartaal;7793
8;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2004 4e kwartaal;7777
9;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2004;7761
10;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2005 1e kwartaal;7739
11;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2005 2e kwartaal;7812
12;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2005 3e kwartaal;7856
13;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2005 4e kwartaal;7866
14;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2005;7818
15;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2006 1e kwartaal;7845
16;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2006 2e kwartaal;7905
17;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2006 3e kwartaal;7977
18;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2006 4e kwartaal;8027
19;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2006;7938
20;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2007 1e kwartaal;8052
21;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2007 2e kwartaal;8156
22;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2007 3e kwartaal;8227
23;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2007 4e kwartaal;8241
24;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2007;8169
25;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2008 1e kwartaal;8269
26;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2008 2e kwartaal;8359
27;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2008 3e kwartaal;8400
28;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2008 4e kwartaal;8406
29;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2008;8358
30;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2009 1e kwartaal;8399
31;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2009 2e kwartaal;8390
32;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2009 3e kwartaal;8360
33;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2009 4e kwartaal;8296
34;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2009;8361
35;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2010 1e kwartaal;8228
36;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2010 2e kwartaal;8279
37;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2010 3e kwartaal;8305
38;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2010 4e kwartaal;8299
39;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2010;8278
40;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2011 1e kwartaal;8232
41;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2011 2e kwartaal;8259
