ID;Geslacht;Perioden;Personeel_1
0;Mannen en vrouwen;1994;9446
1;Mannen en vrouwen;1995;10416
2;Mannen en vrouwen;1996;11057
3;Mannen en vrouwen;1997;11662
4;Mannen en vrouwen;1998;12120
5;Mannen en vrouwen;1999;12022
6;Mannen en vrouwen;2000;11835
7;Mannen en vrouwen;2001;12082
8;Mannen en vrouwen;2002;12145
9;Mannen en vrouwen;2003;13162
10;Mannen en vrouwen;2004;13069
11;Mannen en vrouwen;2005;11869
12;Mannen en vrouwen;2006;11987
13;Mannen en vrouwen;2007;11310
14;Mannen en vrouwen;2008;11550
15;Mannen en vrouwen;2009;11024
16;Mannen en vrouwen;2010;10783
17;Mannen en vrouwen;2011;11387
18;Mannen en vrouwen;2012;11121
19;Mannen en vrouwen;2013;10778
20;Mannen en vrouwen;2014;10203
21;Mannen en vrouwen;2015;9352
22;Mannen en vrouwen;2016;8421
23;Mannen;1994;7031
24;Mannen;1995;7694
25;Mannen;1996;8121
26;Mannen;1997;8421
27;Mannen;1998;8683
28;Mannen;1999;8552
29;Mannen;2000;8348
30;Mannen;2001;8431
31;Mannen;2002;8380
32;Mannen;2003;9064
33;Mannen;2004;8955
34;Mannen;2005;8248
35;Mannen;2006;8254
36;Mannen;2007;7858
37;Mannen;2008;7952
38;Mannen;2009;7584
39;Mannen;2010;7389
40;Mannen;2011;7865
41;Mannen;2012;7619
42;Mannen;2013;7379
43;Mannen;2014;6951
44;Mannen;2015;6343
45;Mannen;2016;5700
46;Vrouwen;1994;2415
47;Vrouwen;1995;2722
48;Vrouwen;1996;2936
49;Vrouwen;1997;3241
50;Vrouwen;1998;3437
51;Vrouwen;1999;3470
52;Vrouwen;2000;3487
53;Vrouwen;2001;3651
54;Vrouwen;2002;3765
55;Vrouwen;2003;4098
56;Vrouwen;2004;4114
57;Vrouwen;2005;3625
58;Vrouwen;2006;3733
59;Vrouwen;2007;3452
60;Vrouwen;2008;3598
61;Vrouwen;2009;3440
62;Vrouwen;2010;3394
63;Vrouwen;2011;3522
64;Vrouwen;2012;3502
65;Vrouwen;2013;3399
66;Vrouwen;2014;3252
67;Vrouwen;2015;3009
68;Vrouwen;2016;2722
