ID;InstitutioneleBeleggers;Perioden;Aankopen_1;Verkopen_2;OverigeVeranderingen_3;Eindstand_4
0;Totaal institutionele beleggers;1999;5.7;4.9;4.4;52.8
1;Totaal institutionele beleggers;2000;14.0;6.6;5.5;65.6
2;Totaal institutionele beleggers;2001;7.1;5.2;4.5;72.0
3;Totaal institutionele beleggers;2002;5.5;15.6;-0.2;61.7
4;Totaal institutionele beleggers;2003 1e kwartaal;1.3;1.9;-0.2;60.9
5;Totaal institutionele beleggers;2003 2e kwartaal;0.9;1.5;0.0;60.4
6;Totaal institutionele beleggers;2003 3e kwartaal;0.8;0.4;0.1;61.0
7;Totaal institutionele beleggers;2003 4e kwartaal;2.2;3.0;-0.2;60.0
8;Totaal institutionele beleggers;2003;5.2;6.7;-0.2;60.0
9;Totaal institutionele beleggers;2004 1e kwartaal;0.5;1.0;-0.1;59.4
10;Totaal institutionele beleggers;2004 2e kwartaal;1.2;1.7;0.8;59.8
11;Totaal institutionele beleggers;2004 3e kwartaal;0.6;1.1;0.3;59.5
12;Totaal institutionele beleggers;2004 4e kwartaal;1.3;2.1;0.5;59.2
13;Totaal institutionele beleggers;2004;3.6;5.8;1.5;59.2
14;Totaal institutionele beleggers;2005 1e kwartaal;0.9;1.4;-1.5;57.3
15;Totaal institutionele beleggers;2005 2e kwartaal;1.6;1.7;0.5;57.8
16;Totaal institutionele beleggers;2005 3e kwartaal;1.3;2.3;1.7;58.4
17;Totaal institutionele beleggers;2005 4e kwartaal;1.6;2.1;2.7;60.6
18;Totaal institutionele beleggers;2005;5.4;7.5;3.4;60.6
19;Totaal institutionele beleggers;2006 1e kwartaal;2.2;1.5;-2.7;58.7
20;Totaal institutionele beleggers;2006 2e kwartaal;1.5;1.1;0.8;59.9
21;Totaal institutionele beleggers;2006 3e kwartaal;1.4;1.3;0.4;60.4
22;Totaal institutionele beleggers;2006 4e kwartaal;2.2;1.7;0.4;61.3
23;Totaal institutionele beleggers;2006;7.3;5.6;-1.0;61.3
24;Totaal institutionele beleggers;2007 1e kwartaal;1.4;0.9;0.9;62.5
25;Totaal institutionele beleggers;2007 2e kwartaal;1.6;2.1;-10.6;51.5
26;Totaal institutionele beleggers;2007 3e kwartaal;1.5;0.8;0.0;52.2
27;Totaal institutionele beleggers;2007 4e kwartaal;2.3;3.0;-0.6;50.9
28;Totaal institutionele beleggers;2007;6.8;6.8;-10.4;50.9
29;Totaal institutionele beleggers;2008 1e kwartaal;1.2;0.6;-0.1;51.4
30;Totaal institutionele beleggers;2008 2e kwartaal;0.4;0.6;-0.4;50.9
31;Totaal institutionele beleggers;2008 3e kwartaal;0.4;0.8;-0.3;50.2
32;Totaal institutionele beleggers;2008 4e kwartaal voor revisie;0.8;0.9;-1.6;48.5
33;Totaal institutionele beleggers;2008 4e kwartaal na revisie;;;;51.6
34;Totaal institutionele beleggers;2008 voor revisie;2.8;2.9;-2.3;48.5
35;Totaal institutionele beleggers;2008 na revisie;;;;51.6
36;Totaal institutionele beleggers;2009 1e kwartaal;0.5;0.2;0.1;52.1
37;Totaal institutionele beleggers;2009 2e kwartaal;0.4;0.4;-1.1;50.9
38;Totaal institutionele beleggers;2009 3e kwartaal;0.3;0.4;-1.0;49.8
39;Totaal institutionele beleggers;2009 4e kwartaal;0.9;1.1;-0.1;49.5
40;Totaal institutionele beleggers;2009;2.0;2.1;-2.0;49.5
41;Totaal institutionele beleggers;2010 1e kwartaal;4.5;4.9;-0.2;49.0
42;Totaal institutionele beleggers;2010 2e kwartaal;0.3;0.5;-0.2;48.6
43;Totaal institutionele beleggers;2010 3e kwartaal;0.7;0.5;-0.1;48.7
44;Totaal institutionele beleggers;2010 4e kwartaal;2.6;3.1;-0.1;48.0
45;Totaal institutionele beleggers;2010;8.1;9.0;-0.6;48.0
46;Totaal institutionele beleggers;2011 1e kwartaal;0.7;0.7;0.8;48.8
47;Totaal institutionele beleggers;2011 2e kwartaal;0.3;0.4;-0.3;48.4
48;Totaal institutionele beleggers;2011 3e kwartaal;1.3;0.6;-0.1;48.9
49;Totaal institutionele beleggers;2011 4e kwartaal;0.9;1.0;-1.4;47.4
50;Totaal institutionele beleggers;2011;3.1;2.7;-1.0;47.4
