ID;BedrijfstakkenBranchesSBI2008;TotaalArbeidskosten_1;ArbeidskostenPerVoltijdeenheid_2;ArbeidskostenPerGewerktUur_3;ArbeidskostenPerBetaaldUur_4;GewerkteUrenPerVoltijdeenheid_5;TotaalOpbouwArbeidskosten_6;Lonen_7;WettelijkeSocialePremies_8;ContractueleSocialePremies_9;ToegerekendeSocialePremies_10;OverigeKosten_11
0;A-U Alle economische activiteiten;327.9;56.6;33.14;28.0;1707;100;76.4;9.4;8.2;3.5;2.4
1;A Landbouw, bosbouw en visserij;2.8;39.5;21.6;18.87;1828;100;79.0;10.4;7.9;1.9;0.8
2;01 Landbouw;2.7;38.8;21.2;18.53;1829;100;78.9;10.5;7.9;1.9;0.8
3;02 Bosbouw;0.1;53.7;31.75;26.86;1691;100;77.0;10.8;8.3;2.4;1.5
4;03 Visserij;0.1;69.3;35.81;30.83;1934;100;83.0;6.7;7.6;1.9;0.9
5;B Delfstoffenwinning;0.8;105.3;58.2;50.08;1810;100;80.8;7.2;7.7;2.1;2.1
6;06 Winning van aardolie en aardgas;0.4;133.3;75.76;63.74;1759;100;82.2;6.0;7.2;2.1;2.4
7;08 Delfstoffenwinning (geen olie en gas);0.1;77.3;42.53;37.34;1818;100;78.4;9.0;8.6;2.2;1.7
8;09 Dienstverlening delfstoffenwinning;0.3;93.2;50.14;43.59;1858;100;79.8;8.0;8.0;2.2;1.9
9;C Industrie;38.8;57.9;33.16;28.12;1746;100;76.5;10.2;8.6;3.3;1.5
10;10 Voedingsmiddelenindustrie;5.3;56.9;32.13;27.58;1771;100;75.4;10.3;9.4;3.2;1.7
11;11 Drankenindustrie;0.4;72.8;41.19;35.14;1767;100;77.4;9.6;7.9;3.2;2.0
12;12 Tabaksindustrie;0.2;78.9;47.1;39.49;1675;100;75.2;9.8;10.0;3.1;2.0
13;13 Textielindustrie;0.5;53.9;31.43;26.59;1716;100;75.9;10.6;8.7;3.2;1.6
14;14 Kledingindustrie;0.1;47.7;27.78;23.55;1715;100;78.4;9.3;7.7;2.7;2.0
15;15 Leer- en schoenenindustrie;0.1;49.8;28.25;23.95;1764;100;79.8;9.9;6.3;2.8;1.2
16;16 Houtindustrie;0.6;49.1;27.81;23.77;1764;100;77.0;11.4;7.2;2.7;1.6
17;17 Papierindustrie;1.0;61.0;35.22;30.19;1733;100;76.4;11.1;7.5;3.2;1.7
18;18 Grafische industrie;1.1;52.1;30.86;26.31;1687;100;76.8;11.8;6.5;3.1;1.8
19;19 Aardolie-industrie;0.5;91.8;54.23;45.25;1694;100;83.7;8.6;1.8;3.4;2.5
20;20 Chemische industrie;3.5;84.5;47.53;40.34;1777;100;73.7;8.8;13.0;3.0;1.4
21;21 Farmaceutische industrie;0.9;79.3;44.65;37.9;1776;100;76.8;9.1;8.5;4.1;1.4
22;22 Rubber- en kunststofproductindustrie;1.6;56.9;31.98;27.23;1779;100;76.2;10.9;8.4;3.1;1.3
23;23 Bouwmaterialenindustrie;1.3;58.8;32.63;28.07;1803;100;75.8;10.9;8.8;3.0;1.5
24;24 Basismetaalindustrie;1.2;64.8;36.14;30.69;1794;100;75.9;10.4;8.8;3.2;1.7
25;25 Metaalproductenindustrie;4.0;53.7;29.65;25.5;1810;100;77.9;10.5;7.4;2.9;1.4
26;26 Elektrotechnische industrie;1.7;72.7;41.7;35.15;1743;100;79.7;9.6;7.8;2.9;0.0
27;27 Elektrische apparatenindustrie;1.3;63.6;35.53;30.24;1791;100;78.4;9.6;7.6;3.0;1.3
28;28 Machine-industrie;4.7;66.6;36.14;31.23;1843;100;78.5;9.8;7.8;2.5;1.4
29;29 Auto- en aanhangwagenindustrie;1.0;58.1;33.52;28.23;1732;100;77.7;10.6;7.5;3.1;1.2
30;30 Overige transportmiddelenindustrie;1.0;61.8;33.82;28.93;1828;100;78.6;10.1;7.5;2.9;1.0
31;31 Meubelindustrie;0.8;49.0;27.57;23.62;1776;100;77.2;11.0;7.5;2.6;1.7
32;32 Overige industrie;3.6;34.9;22.78;18.32;1533;100;72.2;10.9;9.3;5.9;1.7
33;33 Reparatie en installatie van machines;2.3;64.0;35.14;30.2;1821;100;77.6;9.9;7.7;3.0;1.8
34;D Energievoorziening;2.1;84.8;49.47;41.39;1715;100;74.3;7.2;12.1;2.8;3.6
35;35 Energiebedrijven;2.1;84.8;49.47;41.39;1715;100;74.3;7.2;12.1;2.8;3.6
36;E Waterbedrijven en afvalbeheer;2.1;61.5;33.45;29.06;1838;100;74.9;9.6;9.1;3.9;2.4
37;36 Waterleidingbedrijven;0.4;73.2;45.01;35.49;1627;100;74.3;7.9;11.6;3.8;2.3
38;37 Afvalwaterinzameling en -behandeling;0.3;61.7;35.64;30.64;1732;100;74.1;9.6;9.9;3.9;2.4
39;38 Afvalbehandeling en recycling;1.4;59.1;31.17;27.61;1898;100;75.2;10.0;8.4;4.0;2.4
40;39 Sanering en overig afvalbeheer;0.1;60.7;32.37;28.01;1875;100;76.2;10.2;8.5;3.1;2.0
41;F Bouwnijverheid;18.8;58.6;32.84;27.74;1783;100;76.5;10.3;8.6;2.7;1.9
42;41 Algemene bouw en projectontwikkeling;5.5;60.6;34.72;28.67;1746;100;76.4;10.1;8.7;2.7;2.1
43;42 Grond-, water-  en wegenbouw;3.6;68.1;37.44;31.56;1819;100;76.1;9.8;9.6;2.9;1.6
44;43 Gespecialiseerde bouw;9.7;54.7;30.52;26.09;1791;100;76.7;10.6;8.1;2.7;1.9
45;G Handel;43.1;48.7;27.69;23.76;1757;100;78.6;9.9;6.9;2.4;2.2
46;45 Autohandel en -reparatie;4.8;47.8;27.12;23.22;1763;100;78.8;10.2;7.1;2.1;1.9
47;46 Groothandel en handelsbemiddeling;24.5;61.3;34.16;29.41;1795;100;79.1;9.5;7.1;2.4;2.0
