ID;Rijkswegen;Perioden;VerkeersintensiteitenRijkswegen_1
0;Alle Rijkswegen;2011 januari;1885.0
1;Alle Rijkswegen;2011 februari;2060.0
2;Alle Rijkswegen;2011 maart;2140.0
3;Alle Rijkswegen;2011 april;2160.0
4;Alle Rijkswegen;2011 mei;2145.0
5;Alle Rijkswegen;2011 juni;2163.0
6;Alle Rijkswegen;2011 juli;2019.0
7;Alle Rijkswegen;2011 augustus;2013.0
8;Alle Rijkswegen;2011 september;2201.0
9;Alle Rijkswegen;2011 oktober;2171.0
10;Alle Rijkswegen;2011 november;2160.0
11;Alle Rijkswegen;2011 december;1964.0
12;Alle Rijkswegen;2011;2089.0
13;Alle Rijkswegen;2012 januari;1951.0
14;Alle Rijkswegen;2012 februari;1968.0
15;Alle Rijkswegen;2012 maart;2116.0
16;Alle Rijkswegen;2012 april;2098.0
17;Alle Rijkswegen;2012 mei;2162.0
18;Alle Rijkswegen;2012 juni;2148.0
19;Alle Rijkswegen;2012 juli;2076.0
20;Alle Rijkswegen;2012 augustus;2117.0
21;Alle Rijkswegen;2012 september;2191.0
22;Alle Rijkswegen;2012 oktober;2221.0
23;Alle Rijkswegen;2012 november;2165.0
24;Alle Rijkswegen;2012 december;1895.0
25;Alle Rijkswegen;2012;2092.0
26;Alle Rijkswegen;2013 januari;1908.0
27;Alle Rijkswegen;2013 februari;2036.0
28;Alle Rijkswegen;2013 maart;2108.0
29;Alle Rijkswegen;2013 april;2177.0
30;Alle Rijkswegen;2013 mei;2208.0
31;Alle Rijkswegen;2013 juni;2250.0
32;Alle Rijkswegen;2013 juli;2131.0
33;Alle Rijkswegen;2013 augustus;2150.0
34;Alle Rijkswegen;2013 september;2250.0
35;Alle Rijkswegen;2013 oktober;2278.0
36;Alle Rijkswegen;2013 november;2203.0
37;Alle Rijkswegen;2013 december;2030.0
38;Alle Rijkswegen;2013;2144.0
39;Alle Rijkswegen;2014 januari;2048.0
40;Alle Rijkswegen;2014 februari;2114.0
41;Alle Rijkswegen;2014 maart;2117.0
42;Alle Rijkswegen;2014 april;2218.0
43;Alle Rijkswegen;2014 mei;2238.0
44;Alle Rijkswegen;2014 juni;2273.0
45;Alle Rijkswegen;2014 juli;2165.0
46;Alle Rijkswegen;2014 augustus;2124.0
47;Alle Rijkswegen;2014 september;2304.0
48;Alle Rijkswegen;2014 oktober;2324.0
49;Alle Rijkswegen;2014 november;2218.0
50;Alle Rijkswegen;2014 december;2063.0
51;Alle Rijkswegen;2014;2184.0
52;Alle Rijkswegen;2015 januari;2055.0
53;Alle Rijkswegen;2015 februari;2148.0
54;Alle Rijkswegen;2015 maart;2253.0
55;Alle Rijkswegen;2015 april;2288.0
56;Alle Rijkswegen;2015 mei;2240.0
57;Alle Rijkswegen;2015 juni;2377.0
58;Alle Rijkswegen;2015 juli;2240.0
59;Alle Rijkswegen;2015 augustus;2182.0
60;Alle Rijkswegen;2015 september;2330.0
61;Alle Rijkswegen;2015 oktober;2333.0
62;Alle Rijkswegen;2015 november;2302.0
63;Alle Rijkswegen;2015 december;2154.0
64;Alle Rijkswegen;2015;2242.0
65;Alle Rijkswegen;2016 januari;2057.0
66;Alle Rijkswegen;2016 februari;2213.0
67;Alle Rijkswegen;2016 maart;2293.0
68;Alle Rijkswegen;2016 april;2268.0
69;Alle Rijkswegen;2016 mei;2281.0
70;Alle Rijkswegen;2016 juni;2358.0
71;Alle Rijkswegen;2016 juli;2252.0
72;Alle Rijkswegen;2016 augustus;2189.0
73;Alle Rijkswegen;2016 september;2362.0
