ID;PersonalCharacteristics;Accuracy;CaribbeanNetherlands;Periods;NoVacation_1;OneVacation_2;TwoOrThreeVacations_3;MoreThanThreeVacations_4;MemberOfASportsClub_5;MemberOfAGym_6
0;Total persons;Percentage/average;Caribbean Netherlands ;2013;39.8;35.6;17.6;7.0;13.9;11.5
1;Total persons;Percentage/average;Caribbean Netherlands ;2017/2018;42.9;37.6;15.9;3.6;;
2;Total persons;Percentage/average;Bonaire;2013;39.9;36.8;16.7;6.6;15.3;12.8
3;Total persons;Percentage/average;Bonaire;2017/2018;41.9;39.5;14.6;3.9;;
4;Total persons;Percentage/average;St. Eustatius;2013;48.6;32.3;13.5;5.7;9.4;
5;Total persons;Percentage/average;St. Eustatius;2017/2018;48.4;35.0;13.4;3.2;;
6;Total persons;Percentage/average;Saba;2013;23.4;32.4;32.4;11.8;10.7;22.4
7;Total persons;Percentage/average;Saba;2017/2018;39.2;33.5;24.7;2.6;;
8;Total persons;Reliability margin;Caribbean Netherlands ;2013;2.9;2.9;2.3;1.5;2.1;1.9
9;Total persons;Reliability margin;Caribbean Netherlands ;2017/2018;2.4;2.4;1.8;0.9;;
10;Total persons;Reliability margin;Bonaire;2013;3.4;3.4;2.6;1.7;2.5;2.3
11;Total persons;Reliability margin;Bonaire;2017/2018;3.1;3.0;2.2;1.2;;
12;Total persons;Reliability margin;St. Eustatius;2013;8.6;8.0;5.8;4.0;5.0;
13;Total persons;Reliability margin;St. Eustatius;2017/2018;5.2;5.0;3.6;1.8;;
14;Total persons;Reliability margin;Saba;2013;6.8;7.5;7.5;5.2;5.0;6.8
15;Total persons;Reliability margin;Saba;2017/2018;6.0;5.8;5.3;2.0;;
16;Sex: male;Percentage/average;Caribbean Netherlands ;2013;42.3;35.6;16.2;5.9;20.2;11.9
17;Sex: male;Percentage/average;Caribbean Netherlands ;2017/2018;43.8;37.1;16.0;3.2;;
18;Sex: male;Percentage/average;Bonaire;2013;44.3;34.9;15.8;5.0;22.8;12.9
19;Sex: male;Percentage/average;Bonaire;2017/2018;44.8;37.0;15.0;3.2;;
20;Sex: male;Percentage/average;St. Eustatius;2013;43.0;36.5;13.9;6.6;12.5;
21;Sex: male;Percentage/average;St. Eustatius;2017/2018;46.9;37.3;13.6;2.2;;
22;Sex: male;Percentage/average;Saba;2013;23.4;40.0;24.1;12.5;13.6;27.5
23;Sex: male;Percentage/average;Saba;2017/2018;35.1;36.7;23.4;4.8;;
24;Sex: male;Reliability margin;Caribbean Netherlands ;2013;4.1;4.0;3.0;1.9;3.3;2.7
25;Sex: male;Reliability margin;Caribbean Netherlands ;2017/2018;3.4;3.3;2.5;1.2;;
26;Sex: male;Reliability margin;Bonaire;2013;4.8;4.6;3.5;2.1;4.1;3.2
27;Sex: male;Reliability margin;Bonaire;2017/2018;4.3;4.2;3.1;1.5;;
28;Sex: male;Reliability margin;St. Eustatius;2013;11.4;11.1;7.9;5.7;7.5;
29;Sex: male;Reliability margin;St. Eustatius;2017/2018;7.3;7.1;5.0;2.1;;
30;Sex: male;Reliability margin;Saba;2013;9.7;11.2;9.8;7.6;7.8;10.3
31;Sex: male;Reliability margin;Saba;2017/2018;8.4;8.4;7.4;3.8;;
32;Sex: female;Percentage/average;Caribbean Netherlands ;2013;37.0;35.7;19.2;8.1;6.7;11.1
33;Sex: female;Percentage/average;Caribbean Netherlands ;2017/2018;42.0;38.2;15.9;3.9;;
34;Sex: female;Percentage/average;Bonaire;2013;34.9;38.9;17.8;8.5;6.9;12.7
35;Sex: female;Percentage/average;Bonaire;2017/2018;38.8;42.2;14.3;4.7;;
36;Sex: female;Percentage/average;St. Eustatius;2013;55.6;26.9;12.9;;;
37;Sex: female;Percentage/average;St. Eustatius;2017/2018;50.1;32.6;13.1;4.3;;
38;Sex: female;Percentage/average;Saba;2013;23.4;24.8;40.7;11.1;7.9;17.3
39;Sex: female;Percentage/average;Saba;2017/2018;43.4;30.3;26.0;;;
40;Sex: female;Reliability margin;Caribbean Netherlands ;2013;4.3;4.2;3.5;2.4;2.2;2.8
41;Sex: female;Reliability margin;Caribbean Netherlands ;2017/2018;3.5;3.4;2.6;1.4;;
42;Sex: female;Reliability margin;Bonaire;2013;4.9;5.0;3.9;2.8;2.6;3.4
43;Sex: female;Reliability margin;Bonaire;2017/2018;4.4;4.4;3.1;1.9;;
44;Sex: female;Reliability margin;St. Eustatius;2013;12.9;11.5;8.7;;;
45;Sex: female;Reliability margin;St. Eustatius;2017/2018;7.6;7.1;5.1;3.1;;
