ID;EconomischeActiviteitEnOverigePosten;Perioden;Energieverbruik_1;GebruikVanLeidingwater_2;Afval_3;ZwareMetalen_4;VermestendeStoffen_5;BroeikasgassenKlimaatverandering_6;VerzurendeStoffenVerzuring_7;Ozonlaagaantasting_8;FijnStof_9;OpbrengstMilieubelastingenHeffingen_10;Milieukosten_11;MilieuInvesteringen_12;ArbeidsvolumeWerkzamePersonen_13;BrutoToegevoegdeWaardeBasisprijzen_14;ArbeidsvolumeWerkzamePersonen_15;OutputBasisprijzen_16;BrutoToegevoegdeWaardeBasisprijzen_17;OutputBasisprijzen_18;BrutoToegevoegdeWaardeBasisprijzen_19;BrutoInvesteringenInVasteActiva_20
0;Totaal;2001;3465.0;;71938.0;;;243495;39.4;246.3;57.8;17409.0;9650.0;2206.0;119.0;8073.0;6832.0;890461.0;424304.0;1068642.0;496993.0;106820.0
1;Totaal;2002;3462.0;;73845.0;;;242024;38.0;219.4;56.7;17538.0;;;121.0;8460.0;6819.0;910235.0;440659.0;1063645.0;496414.0;105080.0
2;Totaal;2003;3543.0;1132.1;74092.0;;;242594;37.8;184.4;53.8;18342.0;10440.0;2299.0;122.0;8689.0;6740.0;923951.0;452130.0;1060359.0;498125.0;104886.0
3;Totaal;2004;3617.0;1099.0;73125.0;;;244779;37.7;178.2;52.4;19544.0;;;116.0;8912.0;6693.0;955169.0;463836.0;1080153.0;507766.0;105729.0
4;Totaal;2005;3628.0;1086.0;72354.0;454.0;74885.0;240557;37.7;172.9;52.0;20919.0;10105.0;2649.0;115.0;9231.0;6712.0;1002532.0;481262.0;1105783.0;519532.0;110515.0
5;Totaal;2006;3524.0;1098.0;73602.0;;;235142;36.1;169.3;49.8;22561.0;;;119.0;10088.0;6860.0;1063437.0;510012.0;1147557.0;540075.0;121321.0
6;Totaal;2007;3656.0;1088.1;75127.0;;;235811;35.4;160.6;48.8;22497.0;11337.0;3989.0;122.0;10904.0;7051.0;1131842.0;543050.0;1194886.0;563591.0;131607.0
7;Totaal;2008;3647.0;1093.1;77552.0;;;236690;33.4;153.9;46.7;23880.0;;;125.0;12056.0;7181.0;1192997.0;567779.0;1218976.0;577008.0;140647.0
8;Totaal;2009;3561.0;1092.8;73539.0;;;231635;31.6;143.9;44.5;23350.0;10799.0;3310.0;127.0;11800.0;7099.0;1142971.0;554036.0;1173863.0;560062.0;129744.0
9;Totaal;2010;3772.0;1089.6;72808.0;423.0;75932.0;242628;30.1;136.7;42.6;23985.0;;;126.0;12778.0;7056.0;1178924.0;567757.0;1178924.0;567757.0;124649.0
10;Totaal;2011;3527.0;1080.3;;416.0;68538.0;229103;28.7;133.0;39.6;23873.0;10938.0;3244.0;132.0;13491.0;7099.0;1238414.0;579590.0;1209761.0;579152.0;130402.0
11;Totaal;2012;3554.0;1070.4;;385.0;74390.0;228332;28.2;125.3;38.1;22858.0;;;130.0;13239.0;7059.0;1244749.0;578917.0;1193338.0;571507.0;122099.0
12;Totaal;2013;3540.0;;;;;228425;28.3;123.7;37.8;23013.0;;;;;6962.0;1236446.0;578536.0;1184441.0;569246.0;117297.0
13;Totaal Nederlandse economie;2001;3465.0;;63753.0;;;243495;30.0;246.3;52.5;17359.0;9650.0;2206.0;119.0;8073.0;6832.0;890461.0;424304.0;1068642.0;496993.0;106820.0
14;Totaal Nederlandse economie;2002;3462.0;;63848.0;;;242024;28.6;219.4;51.6;17482.0;;;121.0;8460.0;6819.0;910235.0;440659.0;1063645.0;496414.0;105080.0
15;Totaal Nederlandse economie;2003;3543.0;1132.1;63106.0;;;242594;28.3;184.4;48.9;18283.0;10440.0;2299.0;122.0;8689.0;6740.0;923951.0;452130.0;1060359.0;498125.0;104886.0
