ID;Geslacht;Migratieachtergrond;Startjaar;BrugklastypeStartjaar;Peilmoment;OnderwijspositiePeilmoment;TotaalLeerlingenStartjaar_1;ZonderVertraging_2;TotaalMetVertraging_3;VertraagdBinnenGelijkNiveau_4;VertraagdNaarHogerNiveau_5;VertraagdNaarLagerNiveau_6;VertraagdNaarHogerEnLagerNiveau_7;VertraagdNiveauveranderingOnbekend_8;VertragingOnbekend_9;ZonderVertraging_10;TotaalMetVertraging_11;VertraagdBinnenGelijkNiveau_12;VertraagdNaarHogerNiveau_13;VertraagdNaarLagerNiveau_14;VertraagdNaarHogerEnLagerNiveau_15;VertraagdNiveauveranderingOnbekend_16;VertragingOnbekend_17
0;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;1 jaar na startjaar;Totaal;183571.0;178613.0;2998.0;2859.0;74.0;65.0;;;1960.0;97.0;2.0;2.0;0.0;0.0;;;1.0
1;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;1 jaar na startjaar;Leerlingen in vo op peilmoment;182008.0;178613.0;2998.0;2859.0;74.0;65.0;;;397.0;98.0;2.0;2.0;0.0;0.0;;;0.0
2;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;1 jaar na startjaar;Leerlingen uit vo op peilmoment;1563.0;0.0;0.0;0.0;0.0;0.0;;;1563.0;0.0;0.0;0.0;0.0;0.0;;;100.0
3;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;2 jaar na startjaar;Totaal;183571.0;171787.0;9982.0;8767.0;275.0;851.0;47.0;42.0;1802.0;94.0;5.0;5.0;0.0;0.0;0.0;0.0;1.0
4;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;2 jaar na startjaar;Leerlingen in vo op peilmoment;180132.0;170213.0;9563.0;8357.0;270.0;847.0;47.0;42.0;356.0;94.0;5.0;5.0;0.0;0.0;0.0;0.0;0.0
5;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;2 jaar na startjaar;Leerlingen uit vo op peilmoment;3439.0;1574.0;419.0;410.0;5.0;4.0;0.0;0.0;1446.0;46.0;12.0;12.0;0.0;0.0;0.0;0.0;42.0
6;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;3 jaar na startjaar;Totaal;183571.0;159912.0;21939.0;16468.0;860.0;4147.0;415.0;49.0;1720.0;87.0;12.0;9.0;0.0;2.0;0.0;0.0;1.0
7;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;3 jaar na startjaar;Leerlingen in vo op peilmoment;177048.0;156106.0;20641.0;15296.0;839.0;4059.0;409.0;38.0;301.0;88.0;12.0;9.0;0.0;2.0;0.0;0.0;0.0
8;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;3 jaar na startjaar;Leerlingen uit vo op peilmoment;6523.0;3806.0;1298.0;1172.0;21.0;88.0;6.0;11.0;1419.0;58.0;20.0;18.0;0.0;1.0;0.0;0.0;22.0
9;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;4 jaar na startjaar;Totaal;183571.0;137039.0;44844.0;26662.0;6742.0;8776.0;2621.0;43.0;1688.0;75.0;24.0;15.0;4.0;5.0;1.0;0.0;1.0
10;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;4 jaar na startjaar;Leerlingen in vo op peilmoment;99917.0;58918.0;40785.0;23426.0;6627.0;8155.0;2558.0;19.0;214.0;59.0;41.0;23.0;7.0;8.0;3.0;0.0;0.0
11;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;4 jaar na startjaar;Leerlingen uit vo op peilmoment;83654.0;78121.0;4059.0;3236.0;115.0;621.0;63.0;24.0;1474.0;93.0;5.0;4.0;0.0;1.0;0.0;0.0;2.0
12;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;5 jaar na startjaar;Totaal;183571.0;129770.0;52122.0;29986.0;8282.0;10558.0;3252.0;44.0;1679.0;71.0;28.0;16.0;5.0;6.0;2.0;0.0;1.0
13;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;5 jaar na startjaar;Leerlingen in vo op peilmoment;58218.0;28279.0;29863.0;15865.0;6194.0;5553.0;2242.0;9.0;76.0;49.0;51.0;27.0;11.0;10.0;4.0;0.0;0.0
14;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;5 jaar na startjaar;Leerlingen uit vo op peilmoment;125353.0;101491.0;22259.0;14121.0;2088.0;5005.0;1010.0;35.0;1603.0;81.0;18.0;11.0;2.0;4.0;1.0;0.0;1.0
15;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;6 jaar na startjaar;Totaal;183571.0;128397.0;53495.0;30683.0;8416.0;10999.0;3356.0;41.0;1679.0;70.0;29.0;17.0;5.0;6.0;2.0;0.0;1.0
16;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;6 jaar na startjaar;Leerlingen in vo op peilmoment;10175.0;;10159.0;6508.0;2057.0;898.0;696.0;0.0;16.0;;100.0;64.0;20.0;9.0;7.0;0.0;0.0
17;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;6 jaar na startjaar;Leerlingen uit vo op peilmoment;173396.0;128397.0;43336.0;24175.0;6359.0;10101.0;2660.0;41.0;1663.0;74.0;25.0;14.0;4.0;6.0;2.0;0.0;1.0
18;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;7 jaar na startjaar;Totaal;183571.0;128393.0;53499.0;30667.0;8417.0;11013.0;3361.0;41.0;1679.0;70.0;29.0;17.0;5.0;6.0;2.0;0.0;1.0
19;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;7 jaar na startjaar;Leerlingen in vo op peilmoment;628.0;;626.0;281.0;206.0;41.0;98.0;0.0;2.0;;100.0;45.0;33.0;7.0;16.0;0.0;0.0
20;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;7 jaar na startjaar;Leerlingen uit vo op peilmoment;182943.0;128393.0;52873.0;30386.0;8211.0;10972.0;3263.0;41.0;1677.0;70.0;29.0;17.0;4.0;6.0;2.0;0.0;1.0
