ID;HuishoudensKenmerken;Perioden;Vermogenssaldo_1;Totaal_2;ChartaalGeldEnDepositoS_3;Schuldbewijzen_4;Leningen_5;AandelenEnOverigeDeelnemingen_6;VerzekeringsPensioenregelingen_7;FinancieleDerivatenEnAandelenopties_8;OverigeVorderingen_9;Totaal_10;Leningen_11;FinancieleDerivatenEnAandelenopties_12;OverigeSchulden_13;Totaal_14;WoningenEnGrondOnderWoningen_15;OverigeNietFinancieleActiva_16;Vermogenssaldo_17;Totaal_18;ChartaalGeldEnDepositoS_19;Schuldbewijzen_20;Leningen_21;AandelenEnOverigeDeelnemingen_22;VerzekeringsPensioenregelingen_23;FinancieleDerivatenEnAandelenopties_24;OverigeVorderingen_25;Totaal_26;Leningen_27;FinancieleDerivatenEnAandelenopties_28;OverigeSchulden_29;Totaal_30;WoningenEnGrondOnderWoningen_31;OverigeNietFinancieleActiva_32;Vermogenssaldo_33;Totaal_34;ChartaalGeldEnDepositoS_35;Schuldbewijzen_36;Leningen_37;AandelenEnOverigeDeelnemingen_38;VerzekeringsPensioenregelingen_39;FinancieleDerivatenEnAandelenopties_40;OverigeVorderingen_41;Totaal_42;Leningen_43;FinancieleDerivatenEnAandelenopties_44;OverigeSchulden_45;Totaal_46;WoningenEnGrondOnderWoningen_47;OverigeNietFinancieleActiva_48;Vermogenssaldo_49;Totaal_50;ChartaalGeldEnDepositoS_51;Schuldbewijzen_52;Leningen_53;AandelenEnOverigeDeelnemingen_54;VerzekeringsPensioenregelingen_55;FinancieleDerivatenEnAandelenopties_56;OverigeVorderingen_57;Totaal_58;Leningen_59;FinancieleDerivatenEnAandelenopties_60;OverigeSchulden_61;Totaal_62;WoningenEnGrondOnderWoningen_63;OverigeNietFinancieleActiva_64
0;Totaal;2005;2127709;1384460;295349;26101;7725;243368;746229;541;65147;646602;589257;25;57320;1389851;1244037;145814;290.3;188.9;40.3;3.6;1.1;33.2;101.8;0.1;8.9;88.2;80.4;0.0;7.8;189.6;169.7;19.9;208.3;135.5;28.9;2.6;0.8;23.8;73.0;0.1;6.4;63.3;57.7;0.0;5.6;136.0;121.8;14.3;100;65.1;13.9;1.2;0.4;11.4;35.1;0.0;3.1;30.4;27.7;0.0;2.7;65.3;58.5;6.9
1;Totaal;2006;2213521;1412814;308208;26777;8086;254839;756952;594;57358;679655;634451;360;44844;1480362;1329923;150439;300.1;191.5;41.8;3.6;1.1;34.5;102.6;0.1;7.8;92.1;86.0;0.0;6.1;200.7;180.3;20.4;215.7;137.7;30.0;2.6;0.8;24.8;73.8;0.1;5.6;66.2;61.8;0.0;4.4;144.3;129.6;14.7;100;63.8;13.9;1.2;0.4;11.5;34.2;0.0;2.6;30.7;28.7;0.0;2.0;66.9;60.1;6.8
2;Totaal;2007;2271467;1412059;328321;27618;8341;243988;748159;593;55039;720826;672106;360;48360;1580234;1418834;161400;306.0;190.2;44.2;3.7;1.1;32.9;100.8;0.1;7.4;97.1;90.5;0.0;6.5;212.9;191.1;21.7;220.4;137.0;31.9;2.7;0.8;23.7;72.6;0.1;5.3;69.9;65.2;0.0;4.7;153.3;137.7;15.7;100;62.2;14.5;1.2;0.4;10.7;32.9;0.0;2.4;31.7;29.6;0.0;2.1;69.6;62.5;7.1
3;Totaal;2008;2445370;1548297;346768;27631;8360;230748;885008;534;49248;765679;706725;21;58933;1662752;1485738;177014;326.7;206.9;46.3;3.7;1.1;30.8;118.2;0.1;6.6;102.3;94.4;0.0;7.9;222.2;198.5;23.7;235.9;149.3;33.4;2.7;0.8;22.3;85.4;0.1;4.8;73.9;68.2;0.0;5.7;160.4;143.3;17.1;100;63.3;14.2;1.1;0.3;9.4;36.2;0.0;2.0;31.3;28.9;0.0;2.4;68.0;60.8;7.2
4;Totaal;2009;2407254;1569884;362127;25177;8515;225234;898295;512;50024;796915;731270;19;65626;1634285;1454732;179553;318.5;207.7;47.9;3.3;1.1;29.8;118.9;0.1;6.6;105.5;96.8;0.0;8.7;216.3;192.5;23.8;230.3;150.2;34.6;2.4;0.8;21.6;86.0;0.0;4.8;76.3;70.0;0.0;6.3;156.4;139.2;17.2;100;65.2;15.0;1.0;0.4;9.4;37.3;0.0;2.1;33.1;30.4;0.0;2.7;67.9;60.4;7.5
5;Totaal;2010;2472952;1679009;372427;22386;8418;236406;986513;650;52209;819243;749836;114;69293;1613186;1433183;180003;324.2;220.1;48.8;2.9;1.1;31.0;129.3;0.1;6.8;107.4;98.3;0.0;9.1;211.5;187.9;23.6;234.6;159.3;35.3;2.1;0.8;22.4;93.6;0.1;5.0;77.7;71.1;0.0;6.6;153.1;136.0;17.1;100;67.9;15.1;0.9;0.3;9.6;39.9;0.0;2.1;33.1;30.3;0.0;2.8;65.2;58.0;7.3
6;Totaal;2011;2556143;1788939;381334;17169;7349;220722;1119970;590;41805;819686;758413;22;61251;1586890;1404059;182831;332.1;232.4;49.5;2.2;1.0;28.7;145.5;0.1;5.4;106.5;98.5;0.0;8.0;206.2;182.4;23.8;240.9;168.6;35.9;1.6;0.7;20.8;105.6;0.1;3.9;77.3;71.5;0.0;5.8;149.6;132.3;17.2;100;69.5;14.8;0.7;0.3;8.6;43.5;0.0;1.6;32.1;29.7;0.0;2.4;61.6;54.5;7.1
7;Totaal;2012;2568506;1888435;393955;14722;7177;221873;1210105;501;40102;824472;762061;14;62397;1504543;1315835;188708;331.1;243.4;50.8;1.9;0.9;28.6;156.0;0.1;5.2;106.3;98.2;0.0;8.0;193.9;169.6;24.3;240.6;176.9;36.9;1.4;0.7;20.8;113.4;0.0;3.8;77.2;71.4;0.0;5.8;140.9;123.3;17.7;100;73.5;15.3;0.6;0.3;8.6;47.1;0.0;1.6;32.1;29.7;0.0;2.4;58.6;51.2;7.3
8;Totaal;2013;2473907;1860568;392861;10236;7045;232747;1177986;562;39131;813808;746383;16;67409;1427147;1237699;189448;316.7;238.2;50.3;1.3;0.9;29.8;150.8;0.1;5.0;104.2;95.5;0.0;8.6;182.7;158.4;24.3;230.6;173.4;36.6;1.0;0.7;21.7;109.8;0.1;3.6;75.8;69.6;0.0;6.3;133.0;115.4;17.7;100;75.2;15.9;0.4;0.3;9.4;47.6;0.0;1.6;32.9;30.2;0.0;2.7;57.7;50.0;7.7
9;Totaal;2014;2739984;2106981;399362;7793;7313;243610;1402996;591;45316;819409;743909;21;75479;1452412;1259958;192454;347.9;267.6;50.7;1.0;0.9;30.9;178.2;0.1;5.8;104.1;94.5;0.0;9.6;184.4;160.0;24.4;253.8;195.2;37.0;0.7;0.7;22.6;130.0;0.1;4.2;75.9;68.9;0.0;7.0;134.5;116.7;17.8;100;76.9;14.6;0.3;0.3;8.9;51.2;0.0;1.7;29.9;27.2;0.0;2.8;53.0;46.0;7.0
