ID;LeeftijdReferentiepersoon;AantalPersonenInHetHuishouden;Perioden;TotaalParticuliereHuishoudens_1;Eenpersoonshuishouden_2;TotaalMeerpersoonshuishoudens_3;ZonderKinderen_4;MetKinderen_5;TotaalNietGehuwdeParen_6;ZonderKinderen_7;MetKinderen_8;TotaalGehuwdeParen_9;ZonderKinderen_10;MetKinderen_11;Eenouderhuishouden_12;OverigHuishouden_13
0;10000;Totaal;1971;4002;685.0;3318.0;991.0;2327.0;62.0;47.0;15.0;2995.0;883.0;2113.0;200.0;61.0
1;10000;Totaal;1972;4105;726.0;3379.0;1020.0;2359.0;70.0;51.0;18.0;3047.0;909.0;2138.0;202.0;59.0
2;10000;Totaal;1973;4201;767.0;3434.0;1047.0;2387.0;78.0;56.0;22.0;3095.0;934.0;2161.0;205.0;57.0
3;10000;Totaal;1974;4295;807.0;3488.0;1074.0;2414.0;86.0;60.0;25.0;3139.0;958.0;2181.0;207.0;56.0
4;10000;Totaal;1975;4392;850.0;3542.0;1101.0;2441.0;94.0;66.0;28.0;3183.0;981.0;2202.0;211.0;54.0
5;10000;Totaal;1976;4497;895.0;3602.0;1132.0;2470.0;104.0;74.0;30.0;3229.0;1005.0;2224.0;217.0;53.0
6;10000;Totaal;1977;4590;941.0;3650.0;1159.0;2490.0;115.0;83.0;31.0;3260.0;1024.0;2236.0;223.0;51.0
7;10000;Totaal;1978;4689;993.0;3696.0;1187.0;2510.0;127.0;94.0;33.0;3289.0;1043.0;2246.0;230.0;50.0
8;10000;Totaal;1979;4792;1050.0;3742.0;1214.0;2529.0;140.0;105.0;35.0;3314.0;1060.0;2255.0;239.0;49.0
9;10000;Totaal;1980;4904;1114.0;3791.0;1242.0;2549.0;154.0;117.0;37.0;3338.0;1076.0;2262.0;250.0;49.0
10;10000;Totaal;1981;5023;1184.0;3839.0;1271.0;2568.0;170.0;132.0;38.0;3357.0;1090.0;2267.0;263.0;49.0
11;10000;Totaal;1982;5132;1256.0;3876.0;1295.0;2580.0;187.0;148.0;39.0;3361.0;1098.0;2263.0;278.0;49.0
12;10000;Totaal;1983;5232;1329.0;3903.0;1319.0;2584.0;204.0;165.0;39.0;3354.0;1104.0;2251.0;294.0;50.0
13;10000;Totaal;1984;5330;1403.0;3927.0;1345.0;2582.0;223.0;183.0;40.0;3344.0;1110.0;2234.0;309.0;52.0
14;10000;Totaal;1985;5430;1477.0;3953.0;1375.0;2578.0;244.0;202.0;42.0;3335.0;1121.0;2215.0;321.0;53.0
15;10000;Totaal;1986;5539;1551.0;3988.0;1414.0;2574.0;267.0;222.0;45.0;3337.0;1139.0;2198.0;331.0;53.0
16;10000;Totaal;1987;5649;1620.0;4029.0;1459.0;2570.0;292.0;243.0;50.0;3345.0;1163.0;2182.0;338.0;53.0
17;10000;Totaal;1988;5763;1689.0;4074.0;1511.0;2563.0;320.0;265.0;55.0;3359.0;1193.0;2166.0;343.0;53.0
18;10000;Totaal;1989;5872;1752.0;4120.0;1568.0;2552.0;350.0;289.0;61.0;3373.0;1227.0;2146.0;346.0;52.0
19;10000;Totaal;1990;5978;1813.0;4165.0;1628.0;2538.0;378.0;312.0;66.0;3390.0;1266.0;2125.0;347.0;50.0
20;10000;Totaal;1991;6091;1872.0;4219.0;1692.0;2527.0;409.0;338.0;71.0;3413.0;1306.0;2108.0;348.0;48.0
21;10000;Totaal;1992;6198;1930.0;4268.0;1750.0;2517.0;440.0;361.0;79.0;3433.0;1343.0;2090.0;348.0;46.0
22;10000;Totaal;1993;6291;1982.0;4309.0;1803.0;2506.0;471.0;383.0;88.0;3445.0;1375.0;2069.0;349.0;44.0
23;10000;Totaal;1994;6378;2032.0;4346.0;1849.0;2496.0;505.0;407.0;98.0;3447.0;1401.0;2046.0;352.0;42.0
24;10000;Eenpersoonshuishouden;1971;685;685.0;;;;;;;;;;;
25;10000;Eenpersoonshuishouden;1972;726;726.0;;;;;;;;;;;
26;10000;Eenpersoonshuishouden;1973;767;767.0;;;;;;;;;;;
27;10000;Eenpersoonshuishouden;1974;807;807.0;;;;;;;;;;;
28;10000;Eenpersoonshuishouden;1975;850;850.0;;;;;;;;;;;
29;10000;Eenpersoonshuishouden;1976;895;895.0;;;;;;;;;;;
30;10000;Eenpersoonshuishouden;1977;941;941.0;;;;;;;;;;;
31;10000;Eenpersoonshuishouden;1978;993;993.0;;;;;;;;;;;
32;10000;Eenpersoonshuishouden;1979;1050;1050.0;;;;;;;;;;;
33;10000;Eenpersoonshuishouden;1980;1114;1114.0;;;;;;;;;;;
34;10000;Eenpersoonshuishouden;1981;1184;1184.0;;;;;;;;;;;
35;10000;Eenpersoonshuishouden;1982;1256;1256.0;;;;;;;;;;;
36;10000;Eenpersoonshuishouden;1983;1329;1329.0;;;;;;;;;;;
37;10000;Eenpersoonshuishouden;1984;1403;1403.0;;;;;;;;;;;
38;10000;Eenpersoonshuishouden;1985;1477;1477.0;;;;;;;;;;;
39;10000;Eenpersoonshuishouden;1986;1551;1551.0;;;;;;;;;;;
40;10000;Eenpersoonshuishouden;1987;1620;1620.0;;;;;;;;;;;
41;10000;Eenpersoonshuishouden;1988;1689;1689.0;;;;;;;;;;;
42;10000;Eenpersoonshuishouden;1989;1752;1752.0;;;;;;;;;;;
43;10000;Eenpersoonshuishouden;1990;1813;1813.0;;;;;;;;;;;
44;10000;Eenpersoonshuishouden;1991;1872;1872.0;;;;;;;;;;;
45;10000;Eenpersoonshuishouden;1992;1930;1930.0;;;;;;;;;;;
46;10000;Eenpersoonshuishouden;1993;1982;1982.0;;;;;;;;;;;
47;10000;Eenpersoonshuishouden;1994;2032;2032.0;;;;;;;;;;;
48;10000;Meerpersoonshuishouden met 2 personen;1971;1015;;1015.0;918.0;97.0;45.0;45.0;;835.0;835.0;;97.0;37.0
49;10000;Meerpersoonshuishouden met 2 personen;1972;1050;;1050.0;949.0;102.0;49.0;49.0;;863.0;863.0;;102.0;37.0
50;10000;Meerpersoonshuishouden met 2 personen;1973;1084;;1084.0;978.0;106.0;53.0;53.0;;888.0;888.0;;106.0;37.0
51;10000;Meerpersoonshuishouden met 2 personen;1974;1117;;1117.0;1006.0;110.0;58.0;58.0;;913.0;913.0;;110.0;36.0
52;10000;Meerpersoonshuishouden met 2 personen;1975;1150;;1150.0;1036.0;114.0;63.0;63.0;;937.0;937.0;;114.0;36.0
53;10000;Meerpersoonshuishouden met 2 personen;1976;1186;;1186.0;1069.0;117.0;71.0;71.0;;962.0;962.0;;117.0;35.0
54;10000;Meerpersoonshuishouden met 2 personen;1977;1218;;1218.0;1098.0;120.0;80.0;80.0;;982.0;982.0;;120.0;35.0
55;10000;Meerpersoonshuishouden met 2 personen;1978;1252;;1252.0;1127.0;125.0;90.0;90.0;;1002.0;1002.0;;125.0;35.0
56;10000;Meerpersoonshuishouden met 2 personen;1979;1287;;1287.0;1156.0;131.0;101.0;101.0;;1020.0;1020.0;;131.0;35.0
57;10000;Meerpersoonshuishouden met 2 personen;1980;1324;;1324.0;1186.0;138.0;113.0;113.0;;1037.0;1037.0;;138.0;35.0
58;10000;Meerpersoonshuishouden met 2 personen;1981;1363;;1363.0;1216.0;147.0;128.0;128.0;;1053.0;1053.0;;147.0;35.0
59;10000;Meerpersoonshuishouden met 2 personen;1982;1397;;1397.0;1242.0;156.0;143.0;143.0;;1062.0;1062.0;;156.0;36.0
60;10000;Meerpersoonshuishouden met 2 personen;1983;1431;;1431.0;1266.0;165.0;160.0;160.0;;1069.0;1069.0;;165.0;37.0
61;10000;Meerpersoonshuishouden met 2 personen;1984;1466;;1466.0;1293.0;173.0;178.0;178.0;;1077.0;1077.0;;173.0;38.0
62;10000;Meerpersoonshuishouden met 2 personen;1985;1506;;1506.0;1325.0;181.0;197.0;197.0;;1089.0;1089.0;;181.0;39.0
63;10000;Meerpersoonshuishouden met 2 personen;1986;1554;;1554.0;1364.0;189.0;217.0;217.0;;1108.0;1108.0;;189.0;40.0
64;10000;Meerpersoonshuishouden met 2 personen;1987;1607;;1607.0;1411.0;196.0;238.0;238.0;;1133.0;1133.0;;196.0;40.0
65;10000;Meerpersoonshuishouden met 2 personen;1988;1666;;1666.0;1464.0;202.0;260.0;260.0;;1164.0;1164.0;;202.0;40.0
66;10000;Meerpersoonshuishouden met 2 personen;1989;1730;;1730.0;1523.0;207.0;284.0;284.0;;1199.0;1199.0;;207.0;40.0
67;10000;Meerpersoonshuishouden met 2 personen;1990;1795;;1795.0;1585.0;210.0;307.0;307.0;;1239.0;1239.0;;210.0;39.0
68;10000;Meerpersoonshuishouden met 2 personen;1991;1864;;1864.0;1651.0;213.0;334.0;334.0;;1279.0;1279.0;;213.0;38.0
69;10000;Meerpersoonshuishouden met 2 personen;1992;1924;;1924.0;1711.0;213.0;357.0;357.0;;1317.0;1317.0;;213.0;37.0
70;10000;Meerpersoonshuishouden met 2 personen;1993;1979;;1979.0;1765.0;214.0;379.0;379.0;;1350.0;1350.0;;214.0;36.0
71;10000;Meerpersoonshuishouden met 2 personen;1994;2028;;2028.0;1813.0;215.0;402.0;402.0;;1376.0;1376.0;;215.0;35.0
72;10000;Meerpersoonshuishouden met 3 personen;1971;723;;723.0;56.0;668.0;9.0;2.0;7.0;649.0;38.0;610.0;51.0;15.0
73;10000;Meerpersoonshuishouden met 3 personen;1972;737;;737.0;54.0;683.0;11.0;2.0;9.0;661.0;37.0;624.0;50.0;15.0
74;10000;Meerpersoonshuishouden met 3 personen;1973;749;;749.0;52.0;697.0;13.0;2.0;11.0;672.0;36.0;636.0;50.0;14.0
75;10000;Meerpersoonshuishouden met 3 personen;1974;760;;760.0;51.0;710.0;15.0;2.0;13.0;682.0;35.0;647.0;50.0;13.0
76;10000;Meerpersoonshuishouden met 3 personen;1975;772;;772.0;49.0;723.0;17.0;2.0;15.0;691.0;34.0;657.0;52.0;12.0
77;10000;Meerpersoonshuishouden met 3 personen;1976;785;;785.0;48.0;737.0;19.0;3.0;16.0;700.0;33.0;666.0;55.0;12.0
78;10000;Meerpersoonshuishouden met 3 personen;1977;795;;795.0;46.0;749.0;21.0;3.0;18.0;705.0;32.0;673.0;58.0;11.0
79;10000;Meerpersoonshuishouden met 3 personen;1978;806;;806.0;44.0;761.0;22.0;3.0;19.0;712.0;31.0;681.0;61.0;10.0
80;10000;Meerpersoonshuishouden met 3 personen;1979;817;;817.0;43.0;774.0;24.0;3.0;20.0;718.0;30.0;689.0;65.0;10.0
81;10000;Meerpersoonshuishouden met 3 personen;1980;829;;829.0;42.0;787.0;25.0;4.0;21.0;725.0;29.0;697.0;69.0;9.0
82;10000;Meerpersoonshuishouden met 3 personen;1981;842;;842.0;40.0;801.0;26.0;4.0;22.0;733.0;27.0;705.0;74.0;9.0
83;10000;Meerpersoonshuishouden met 3 personen;1982;853;;853.0;39.0;814.0;26.0;4.0;22.0;737.0;26.0;711.0;81.0;9.0
84;10000;Meerpersoonshuishouden met 3 personen;1983;863;;863.0;38.0;825.0;27.0;4.0;23.0;740.0;25.0;716.0;87.0;9.0
85;10000;Meerpersoonshuishouden met 3 personen;1984;873;;873.0;37.0;836.0;27.0;4.0;23.0;743.0;23.0;719.0;94.0;9.0
86;10000;Meerpersoonshuishouden met 3 personen;1985;882;;882.0;36.0;846.0;28.0;4.0;24.0;745.0;22.0;723.0;99.0;9.0
87;10000;Meerpersoonshuishouden met 3 personen;1986;890;;890.0;35.0;855.0;30.0;4.0;26.0;749.0;21.0;727.0;102.0;9.0
88;10000;Meerpersoonshuishouden met 3 personen;1987;897;;897.0;34.0;863.0;32.0;4.0;28.0;752.0;20.0;732.0;103.0;9.0
89;10000;Meerpersoonshuishouden met 3 personen;1988;902;;902.0;33.0;870.0;35.0;4.0;31.0;755.0;19.0;736.0;103.0;9.0
90;10000;Meerpersoonshuishouden met 3 personen;1989;905;;905.0;31.0;874.0;38.0;4.0;34.0;757.0;18.0;738.0;101.0;8.0
91;10000;Meerpersoonshuishouden met 3 personen;1990;907;;907.0;30.0;878.0;41.0;4.0;37.0;758.0;18.0;741.0;100.0;8.0
92;10000;Meerpersoonshuishouden met 3 personen;1991;911;;911.0;28.0;883.0;44.0;4.0;40.0;761.0;17.0;744.0;99.0;7.0
93;10000;Meerpersoonshuishouden met 3 personen;1992;914;;914.0;26.0;888.0;48.0;4.0;44.0;762.0;16.0;746.0;98.0;6.0
94;10000;Meerpersoonshuishouden met 3 personen;1993;912;;912.0;25.0;887.0;53.0;4.0;49.0;757.0;16.0;741.0;97.0;6.0
