ID;Overheidslagen;Perioden;TotaalVorderingen_1;TotaalFinancieleVasteActiva_2;Kapitaalverstrekkingen_3;LeningenAanVerbondenPartijen_4;OverigeLanglopendeLeningen_5;OverigeLanglopendeUitzettingen_6;TotaalFinancieleVlottendeActiva_7;KortlopendeVorderingenEnUitzettingen_8;LiquideMiddelenKasBankEnGiro_9;OverlopendeActiva_10;TotaalSchulden_11;TotaalVasteSchuld_12;OnderhandseLeningenVanBinFinInst_13;OverigeVasteSchuld_14;TotaalVlottendePassiva_15;KortlopendeSchuld_16;OverlopendePassiva_17
0;Totaal decentrale overheid;2006 1e kwartaal;43904;20756;2302;10301;4343;3811.0;23146;17762;2692;2692;51427;35802;32843;2959;15625;10228;5397
1;Totaal decentrale overheid;2006 2e kwartaal;43461;20831;2641;9937;4565;3688.0;22630;15503;4261;2866;51223;35848;32708;3140;15375;8515;6860
2;Totaal decentrale overheid;2006 3e kwartaal;38583;19984;2647;9007;4528;3802.0;18599;12956;3903;1740;46955;35172;32159;3013;11783;7232;4551
3;Totaal decentrale overheid;2006 4e kwartaal;38621;19431;2110;9492;4178;3651.0;19190;11908;4001;3281;49260;35525;32698;2827;13735;8306;5429
4;Totaal decentrale overheid;2007 1e kwartaal;41529;20316;3251;9092;4688;3285.0;21213;15001;3171;3041;50619;35866;32254;3612;14753;9078;5675
5;Totaal decentrale overheid;2007 2e kwartaal;41601;20067;2784;9376;4625;3282.0;21534;15170;4247;2117;49633;35632;32345;3287;14001;8312;5689
6;Totaal decentrale overheid;2007 3e kwartaal;40059;19021;2758;8644;4523;3096.0;21038;13866;4038;3134;48190;35760;32338;3422;12430;6668;5762
7;Totaal decentrale overheid;2007 4e kwartaal;39652;18909;2255;9274;4283;3097.0;20743;13698;3976;3069;50235;35194;32503;2691;15041;8944;6097
8;Totaal decentrale overheid;2008 1e kwartaal;42770;20066;3460;9524;3713;3369.0;22704;15806;3002;3896;57586;36241;33105;3136;21345;11345;10000
9;Totaal decentrale overheid;2008 2e kwartaal;45092;20248;3465;9474;3811;3498.0;24844;17860;3584;3400;57483;36753;33582;3171;20730;9702;11028
10;Totaal decentrale overheid;2008 3e kwartaal;41752;19543;3116;9319;3721;3387.0;22209;14384;4542;3283;56217;36173;33138;3035;20044;8753;11291
11;Totaal decentrale overheid;2008 4e kwartaal;40277;19101;2947;8968;3866;3320.0;21176;13128;4423;3625;59595;36589;33777;2812;23006;10368;12638
12;Totaal decentrale overheid;2009 1e kwartaal;39762;19600;3130;9006;3965;3499.0;20162;15375;2565;2222;60361;37023;33844;3179;23338;10707;12631
13;Totaal decentrale overheid;2009 2e kwartaal;39097;19420;3212;8950;3896;3362.0;19677;14141;2856;2680;59638;36898;33932;2966;22740;10732;12008
14;Totaal decentrale overheid;2009 3e kwartaal;52878;24575;3356;9945;6532;4742.0;28303;12376;12276;3651;58891;37120;34177;2943;21771;8997;12774
15;Totaal decentrale overheid;2009 4e kwartaal;53993;30616;3385;10605;7930;8696.0;23377;13898;5633;3846;61648;37793;35074;2719;23855;11375;12480
16;Totaal decentrale overheid;2010 1e kwartaal;53580;32424;3770;11033;7951;9670.0;21156;13727;4226;3203;62701;37684;35576;2108;25017;12018;12999
17;Totaal decentrale overheid;2010 2e kwartaal;52896;32544;4016;10703;7956;9869.0;20352;11863;5711;2778;62550;38899;36738;2161;23651;10771;12880
18;Totaal decentrale overheid;2010 3e kwartaal;49519;31962;3860;10604;7779;9719.0;17557;10132;4480;2945;60107;38956;36846;2110;21151;8777;12374
19;Totaal decentrale overheid;2010 4e kwartaal;51899;31626;3054;10220;7833;10519.0;20273;11507;4442;4324;66369;40818;38417;2401;25551;11958;13593
20;Totaal decentrale overheid;2011 1e kwartaal;55551;31513;3079;10034;7652;10748.0;24038;15603;5469;2966;66908;41799;39619;2180;25109;12002;13107
21;Totaal decentrale overheid;2011 2e kwartaal;53418;31164;3108;9565;7650;10841.0;22254;13523;6209;2522;66389;42115;39908;2207;24274;11476;12798
22;Totaal decentrale overheid;2011 3e kwartaal;49301;30130;2958;9452;6598;11122.0;19171;11315;5468;2388;63876;42525;40538;1987;21351;9032;12319
23;Totaal decentrale overheid;2011 4e kwartaal;51158;30098;3086;8916;6692;11404.0;21060;11976;5319;3765;68037;43485;41122;2363;24552;11588;12964
24;Totaal decentrale overheid;2012 1e kwartaal;54077;29805;2911;9095;6106;11693.0;24272;14951;6237;3084;69334;44252;41643;2609;25082;12895;12187
25;Totaal decentrale overheid;2012 2e kwartaal;51128;29465;2947;8790;6183;11545.0;21663;12127;6625;2911;67579;44394;42085;2309;23185;10587;12598
26;Totaal decentrale overheid;2012 3e kwartaal;48346;29012;2919;8686;6112;11295.0;19334;10372;5924;3038;66766;44505;42156;2349;22261;10290;11971
27;Totaal decentrale overheid;2012 4e kwartaal;49433;28531;3001;7877;6294;11359.0;20902;11979;5364;3559;70311;45015;42782;2233;25296;12936;12360
28;Totaal decentrale overheid;2013 1e kwartaal;52309;27792;1818;8474;6114;11386.0;24517;16392;4653;3472;70987;45429;42064;3365;25558;13529;12029
29;Totaal decentrale overheid;2013 2e kwartaal;49270;27380;1812;8444;6062;11062.0;21890;13911;4944;3035;69153;45505;42033;3472;23648;11338;12310
30;Totaal decentrale overheid;2013 3e kwartaal;47967;26217;2121;8342;5002;10752.0;21750;13917;5105;2728;69084;45674;42190;3484;23410;11432;11978
31;Totaal decentrale overheid;2013 4e kwartaal;47959;27006;3017;7565;5329;11095.0;20953;13372;3952;3629;71422;46598;43155;3443;24824;12717;12107
32;Totaal decentrale overheid;2014 1e kwartaal;49266;26967;3235;7073;5752;10906.0;22299;17691;1482;3127;70151;47016;43449;3567;23135;11631;11504
33;Totaal decentrale overheid;2014 2e kwartaal;47158;26573;3513;6632;5713;10714.0;20585;15300;2634;2649;68250;46987;43577;3410;21264;9628;11635
34;Totaal decentrale overheid;2014 3e kwartaal;45841;26945;3636;6958;5792;10559.0;18896;13866;2374;2657;67601;47408;43950;3458;20193;9354;10839
35;Totaal decentrale overheid;2014 4e kwartaal;45367;26420;2973;6856;6361;10230.0;18947;13163;2324;3460;70456;48137;43648;4489;22319;11379;10940
36;Totaal decentrale overheid;2015 1e kwartaal;46446;26201;2989;7198;6210;9803.0;20246;15592;1361;3293;71251;47322;42818;4505;23929;12454;11475
37;Totaal decentrale overheid;2015 2e kwartaal;44573;26269;2983;7150;6350;9784.0;18304;13269;1695;3338;69110;47980;43171;4809;21130;9876;11255
38;Totaal decentrale overheid;2015 3e kwartaal;43110;24648;2985;7159;4995;9510.0;18460;13873;1127;3461;67796;48103;43202;4900;19693;8853;10842
39;Totaal decentrale overheid;2015 4e kwartaal;43604;23793;2928;6646;5088;9130.0;19811;14419;1264;4128;69587;47942;43510;4433;21645;10564;11080
40;Totaal decentrale overheid;2016 1e kwartaal;44076;23103;2961;6393;4995;8754.0;20972;16124;655;4194;69366;47455;43038;4418;21912;12206;9707
41;Totaal decentrale overheid;2016 2e kwartaal;41813;22414;2946;5987;4935;8546.0;19399;14680;1162;3558;67600;47013;42756;4257;20586;11287;9298
42;Totaal decentrale overheid;2016 3e kwartaal;40954;22053;3048;6042;4755;8208.0;18900;14259;1286;3358;66205;46942;42683;4258;19263;10948;8315
43;Totaal decentrale overheid;2016 4e kwartaal;42429;21586;3163;5777;4633;8012.0;20844;15524;1272;4046;67959;47213;42811;4402;20748;10790;9957
44;Totaal decentrale overheid;2017 1e kwartaal;45017;21897;3239;6327;4511;7820.0;23120;17825;1279;4016;70764;47807;42321;5486;22959;13066;9891
45;Totaal decentrale overheid;2017 2e kwartaal;43799;21086;3230;6253;4632;6972.0;22713;16776;1971;3966;69459;48181;42504;5677;21278;10788;10490
46;Totaal decentrale overheid;2017 3e kwartaal;42868;20942;3246;6164;4683;6850.0;21927;14988;1600;5338;67956;48026;42068;5958;19931;8393;11537
47;Totaal decentrale overheid;2017 4e kwartaal;42252;20641;3299;5725;4807;6808.0;21611;15856;1216;4540;68869;48190;42115;6076;20679;11341;9337
48;Gemeenten;2006 1e kwartaal;33262;16916;1707;9964;3174;2071.0;16346;13145;1531;1670;40399;29203;27093;2110;11196;7898;3298
49;Gemeenten;2006 2e kwartaal;32179;17024;2084;9598;3389;1953.0;15155;10653;2451;2051;40405;29208;27150;2058;11197;6456;4741
50;Gemeenten;2006 3e kwartaal;28074;16184;2084;8673;3390;2037.0;11890;8641;2043;1206;36977;28835;26767;2068;8142;5450;2692
51;Gemeenten;2006 4e kwartaal;28261;15825;1572;9160;3091;2002.0;12436;7748;2197;2491;38846;29159;27291;1868;9687;6128;3559
52;Gemeenten;2007 1e kwartaal;30794;16718;2725;8762;3663;1568.0;14076;10126;1410;2540;39898;29430;27115;2315;10468;6601;3867
53;Gemeenten;2007 2e kwartaal;29404;16473;2267;9049;3583;1574.0;12931;9078;1723;2130;38462;29064;26823;2241;9398;5597;3801
54;Gemeenten;2007 3e kwartaal;27980;15513;2219;8326;3479;1489.0;12467;8480;1484;2503;37329;28910;26706;2204;8419;4574;3845
55;Gemeenten;2007 4e kwartaal;27060;15525;1729;8959;3303;1534.0;11535;8040;1470;2025;38949;28593;26807;1786;10356;6410;3946
56;Gemeenten;2008 1e kwartaal;29413;16865;2944;9166;2971;1784.0;12548;9350;401;2797;43374;29103;27177;1926;14271;8244;6027
57;Gemeenten;2008 2e kwartaal;31018;16819;2927;9117;2943;1832.0;14199;10935;859;2405;43163;29366;27434;1932;13797;6804;6993
58;Gemeenten;2008 3e kwartaal;27775;16296;2594;8965;2873;1864.0;11479;7908;1360;2211;41711;29233;27341;1892;12478;6101;6377
59;Gemeenten;2008 4e kwartaal;26901;15734;2428;8620;2947;1739.0;11167;7149;1530;2488;43953;29554;27677;1877;14399;7443;6956
60;Gemeenten;2009 1e kwartaal;25867;15814;2639;8225;2993;1957.0;10053;8746;-355;1662;44120;29882;27647;2235;14238;7461;6777
61;Gemeenten;2009 2e kwartaal;24650;15568;2687;8123;2964;1794.0;9082;7106;-31;2007;43548;29678;27647;2031;13870;7415;6455
62;Gemeenten;2009 3e kwartaal;28529;16356;2726;7757;3032;2841.0;12173;5841;3370;2962;42699;29926;27909;2017;12773;5723;7050
63;Gemeenten;2009 4e kwartaal;28231;17371;2752;8459;3989;2171.0;10860;7156;1273;2431;45143;30603;28776;1827;14540;8134;6406
64;Gemeenten;2010 1e kwartaal;27818;17537;3131;8835;4087;1484.0;10281;7201;1012;2068;45731;30603;28813;1790;15128;8495;6633
65;Gemeenten;2010 2e kwartaal;26865;17417;3367;8506;4074;1470.0;9448;5898;2065;1485;45800;31780;29960;1820;14020;7870;6150
66;Gemeenten;2010 3e kwartaal;24177;16985;3204;8406;4020;1355.0;7192;4429;992;1771;43678;31878;30074;1804;11800;5932;5868
67;Gemeenten;2010 4e kwartaal;26859;16646;2394;8024;4109;2119.0;10213;6458;1018;2737;48775;33162;31373;1789;15613;8578;7035
68;Gemeenten;2011 1e kwartaal;30162;16350;2365;7710;3883;2392.0;13812;9347;2343;2122;49417;34161;32567;1594;15256;8452;6804
69;Gemeenten;2011 2e kwartaal;28650;16238;2392;7577;3874;2395.0;12412;8070;2515;1827;49211;34415;32782;1633;14796;8466;6330
70;Gemeenten;2011 3e kwartaal;25033;15604;2242;7394;3796;2172.0;9429;5954;1818;1657;47093;34759;33355;1404;12334;6329;6005
71;Gemeenten;2011 4e kwartaal;25347;15252;2308;6913;3892;2139.0;10095;6007;1824;2264;50082;35577;33781;1796;14505;8274;6231
72;Gemeenten;2012 1e kwartaal;29191;15228;2273;7342;3267;2346.0;13963;9459;2759;1745;51294;36098;34051;2047;15196;9569;5627
73;Gemeenten;2012 2e kwartaal;26436;15033;2298;7108;3340;2287.0;11403;6800;2777;1826;49772;36249;34467;1782;13523;7654;5869
74;Gemeenten;2012 3e kwartaal;23803;14652;2251;6996;3274;2131.0;9151;5342;2071;1738;49161;36380;34547;1833;12781;7477;5304
75;Gemeenten;2012 4e kwartaal;24312;13963;2308;6197;3446;2012.0;10349;6102;2073;2174;51740;36878;35138;1740;14862;9102;5760
76;Gemeenten;2013 1e kwartaal;27437;13231;1004;6717;3483;2027.0;14206;10158;1327;2721;52441;36971;34087;2884;15470;9769;5701
77;Gemeenten;2013 2e kwartaal;24584;13032;988;6673;3432;1939.0;11552;7848;1480;2224;50845;37049;34053;2996;13796;7985;5811
78;Gemeenten;2013 3e kwartaal;23300;12939;1293;6571;3354;1721.0;10361;6776;1565;2020;51065;37089;34063;3026;13976;8213;5763
79;Gemeenten;2013 4e kwartaal;23475;13289;2174;6167;3290;1658.0;10186;6308;1390;2488;52686;38079;35052;3027;14607;9015;5592
80;Gemeenten;2014 1e kwartaal;25360;13370;2396;5674;3515;1785.0;11990;10032;-407;2365;51872;38172;35245;2927;13700;8648;5052
81;Gemeenten;2014 2e kwartaal;22984;13115;2653;5213;3472;1777.0;9869;7942;241;1686;49914;38065;35301;2764;11849;6903;4946
82;Gemeenten;2014 3e kwartaal;22277;13513;2765;5541;3447;1760.0;8764;6672;300;1792;49785;38514;35696;2818;11271;6738;4533
83;Gemeenten;2014 4e kwartaal;21782;12760;2080;5413;3544;1723.0;9022;6136;609;2277;51849;39145;35286;3859;12704;8268;4436
84;Gemeenten;2015 1e kwartaal;22428;12573;2093;5282;3484;1714.0;9855;6952;572;2330;52724;38938;34887;4051;13786;9810;3976
85;Gemeenten;2015 2e kwartaal;20115;12480;2084;5227;3444;1724.0;7635;4517;950;2167;50670;39242;34945;4296;11428;7279;4150
86;Gemeenten;2015 3e kwartaal;19423;11874;2048;5180;3207;1439.0;7549;5127;165;2257;49580;39304;34915;4388;10276;6685;3592
87;Gemeenten;2015 4e kwartaal;21045;11208;1962;4659;3241;1346.0;9837;6577;445;2815;51437;39151;35217;3934;12286;7665;4621
